# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.286018e+03 2.602719e+04 4.062714e-18)	(2.282451e+03 2.602668e+04 4.063148e-18)	(3.567355e+00 5.106262e-01 -4.346425e-22)
0.0002       	(-2.413219e+02 -3.968447e+03 -4.812434e-19)	(-2.446038e+02 -3.968895e+03 -4.808615e-19)	(3.281928e+00 4.481122e-01 -3.819215e-22)
0.0003       	(2.720834e+00 1.992843e+00 -1.059892e-19)	(-1.150139e-01 1.607680e+00 -1.056628e-19)	(2.835848e+00 3.851631e-01 -3.263495e-22)
0.0004       	(2.923658e+00 -1.417280e-01 -1.194778e-19)	(2.501331e-01 -4.982284e-01 -1.192127e-19)	(2.673525e+00 3.565004e-01 -2.650634e-22)
0.0005       	(3.150982e+00 -2.073314e+00 -1.276848e-19)	(5.924402e-01 -2.411216e+00 -1.274494e-19)	(2.558542e+00 3.379020e-01 -2.354056e-22)
0.0006       	(3.077889e+00 -2.040135e+00 -1.319023e-19)	(6.478546e-01 -2.357881e+00 -1.316815e-19)	(2.430035e+00 3.177455e-01 -2.208338e-22)
0.0007       	(2.874723e+00 -1.392207e+00 -1.226032e-19)	(5.534895e-01 -1.691183e+00 -1.224036e-19)	(2.321234e+00 2.989763e-01 -1.995742e-22)
0.0008       	(2.906345e+00 -1.400376e+00 -1.224449e-19)	(6.606505e-01 -1.683750e+00 -1.222601e-19)	(2.245695e+00 2.833743e-01 -1.847477e-22)
0.0009       	(2.887006e+00 8.422487e-01 -1.178332e-19)	(7.060424e-01 5.735357e-01 -1.176673e-19)	(2.180963e+00 2.687131e-01 -1.659397e-22)
0.001        	(3.708414e+00 1.274449e+00 -1.155007e-19)	(1.589481e+00 1.020465e+00 -1.153613e-19)	(2.118933e+00 2.539839e-01 -1.393418e-22)
0.0011       	(4.054804e+00 1.912473e+00 -1.098547e-19)	(1.994969e+00 1.673528e+00 -1.097314e-19)	(2.059835e+00 2.389444e-01 -1.232800e-22)
0.0012       	(4.088465e+00 1.636248e+00 -1.136785e-19)	(2.082453e+00 1.412462e+00 -1.135694e-19)	(2.006011e+00 2.237853e-01 -1.091628e-22)
0.0013       	(3.399037e+00 1.793094e+00 -1.223602e-19)	(1.440079e+00 1.582452e+00 -1.222571e-19)	(1.958958e+00 2.106421e-01 -1.030668e-22)
0.0014       	(3.911775e+00 1.768262e+00 -1.205357e-19)	(1.996981e+00 1.569637e+00 -1.204432e-19)	(1.914794e+00 1.986255e-01 -9.255873e-23)
0.0015       	(6.310895e+00 3.313525e+00 -1.148849e-19)	(4.436768e+00 3.124995e+00 -1.148013e-19)	(1.874127e+00 1.885300e-01 -8.352115e-23)
0.0016       	(7.286836e+00 3.801653e+00 -1.090991e-19)	(5.450865e+00 3.622829e+00 -1.090173e-19)	(1.835971e+00 1.788233e-01 -8.187287e-23)
0.0017       	(7.780434e+00 2.208352e+00 -1.028902e-19)	(5.981313e+00 2.036950e+00 -1.028173e-19)	(1.799121e+00 1.714019e-01 -7.297165e-23)
0.0018       	(5.362599e+00 2.321154e+00 -1.126748e-19)	(3.597123e+00 2.156881e+00 -1.126076e-19)	(1.765475e+00 1.642734e-01 -6.725855e-23)
0.0019       	(7.605386e+00 4.164767e+00 -1.072399e-19)	(5.869863e+00 4.006666e+00 -1.071740e-19)	(1.735524e+00 1.581014e-01 -6.591135e-23)
