# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.268913e+03 -2.767591e+04 -1.271517e-17)	(2.265334e+03 -2.767538e+04 -1.271500e-17)	(3.578348e+00 -5.372872e-01 -1.776254e-22)
0.0002       	(-2.189494e+02 3.912088e+03 1.440307e-18)	(-2.222406e+02 3.912560e+03 1.440466e-18)	(3.291285e+00 -4.723140e-01 -1.595317e-22)
0.0003       	(4.031303e+00 2.305573e+00 -1.368024e-19)	(1.181469e+00 2.714473e+00 -1.366701e-19)	(2.849834e+00 -4.088999e-01 -1.323333e-22)
0.0004       	(2.936038e+00 -1.715193e-01 -1.183206e-19)	(2.548968e-01 2.070887e-01 -1.181989e-19)	(2.681141e+00 -3.786080e-01 -1.217086e-22)
0.0005       	(2.761385e+00 -3.276347e-01 -1.245638e-19)	(2.040634e-01 2.666172e-02 -1.244565e-19)	(2.557322e+00 -3.542964e-01 -1.073084e-22)
0.0006       	(2.639247e+00 -6.384518e-01 -1.272278e-19)	(2.098620e-01 -3.089403e-01 -1.271300e-19)	(2.429385e+00 -3.295115e-01 -9.774800e-23)
0.0007       	(2.930110e+00 1.022290e+00 -1.279208e-19)	(6.178973e-01 1.328320e+00 -1.278262e-19)	(2.312213e+00 -3.060297e-01 -9.461770e-23)
0.0008       	(3.212541e+00 1.891910e+00 -1.298085e-19)	(9.879073e-01 2.179015e+00 -1.296933e-19)	(2.224634e+00 -2.871045e-01 -1.151144e-22)
0.0009       	(2.961182e+00 -9.088420e-01 -1.372059e-19)	(8.093788e-01 -6.399505e-01 -1.370876e-19)	(2.151803e+00 -2.688914e-01 -1.182521e-22)
0.001        	(3.579855e+00 -1.445029e-01 -1.526462e-19)	(1.497864e+00 1.058091e-01 -1.525208e-19)	(2.081991e+00 -2.503120e-01 -1.254240e-22)
0.0011       	(3.443742e+00 -2.948788e+00 -1.566356e-19)	(1.428204e+00 -2.717139e+00 -1.565051e-19)	(2.015538e+00 -2.316485e-01 -1.304777e-22)
0.0012       	(3.269241e+00 -3.080172e+00 -1.478497e-19)	(1.311095e+00 -2.865147e+00 -1.477147e-19)	(1.958146e+00 -2.150248e-01 -1.349752e-22)
0.0013       	(3.037390e+00 -3.619683e+00 -1.438641e-19)	(1.127523e+00 -3.418613e+00 -1.437261e-19)	(1.909867e+00 -2.010697e-01 -1.380377e-22)
0.0014       	(3.539282e+00 -2.251852e+00 -1.526192e-19)	(1.673292e+00 -2.061457e+00 -1.524681e-19)	(1.865989e+00 -1.903946e-01 -1.510783e-22)
0.0015       	(4.191718e+00 -3.292324e+00 -1.780910e-19)	(2.363558e+00 -3.110688e+00 -1.779228e-19)	(1.828160e+00 -1.816364e-01 -1.682010e-22)
0.0016       	(4.471839e+00 -3.674724e+00 -1.814104e-19)	(2.679284e+00 -3.500191e+00 -1.812377e-19)	(1.792555e+00 -1.745327e-01 -1.727141e-22)
0.0017       	(6.789828e+00 -4.817209e+00 -1.951129e-19)	(5.030695e+00 -4.648968e+00 -1.949501e-19)	(1.759134e+00 -1.682406e-01 -1.628019e-22)
0.0018       	(8.138804e+00 -4.331008e+00 -1.792726e-19)	(6.410755e+00 -4.168292e+00 -1.791476e-19)	(1.728049e+00 -1.627167e-01 -1.249734e-22)
0.0019       	(8.680132e+00 -4.447661e+00 -1.937276e-19)	(6.980513e+00 -4.290756e+00 -1.936228e-19)	(1.699619e+00 -1.569050e-01 -1.047721e-22)
0.002        	(8.067807e+00 -4.805930e+00 -1.957502e-19)	(6.395161e+00 -4.654137e+00 -1.956613e-19)	(1.672646e+00 -1.517936e-01 -8.887245e-23)
0.0021       	(6.151006e+00 -4.651652e+00 -1.749126e-19)	(4.504084e+00 -4.504016e+00 -1.748248e-19)	(1.646921e+00 -1.476356e-01 -8.779881e-23)
0.0022       	(9.161508e+00 -6.993489e+00 -2.081935e-19)	(7.539235e+00 -6.850743e+00 -2.080779e-19)	(1.622273e+00 -1.427464e-01 -1.155478e-22)
0.0023       	(6.695795e+00 -5.634447e+00 -1.775559e-19)	(5.099540e+00 -5.496188e+00 -1.774374e-19)	(1.596256e+00 -1.382589e-01 -1.184304e-22)
0.0024       	(9.955365e+00 -9.545587e+00 -2.143851e-19)	(8.383332e+00 -9.411510e+00 -2.142724e-19)	(1.572032e+00 -1.340774e-01 -1.126973e-22)
0.0025       	(9.430861e+00 -8.035519e+00 -2.249184e-19)	(7.881033e+00 -7.905480e+00 -2.248107e-19)	(1.549828e+00 -1.300393e-01 -1.077385e-22)
0.0026       	(5.695493e+00 -4.635915e+00 -1.760037e-19)	(4.165964e+00 -4.509763e+00 -1.759020e-19)	(1.529529e+00 -1.261519e-01 -1.016916e-22)
0.0027       	(6.495847e+00 -5.038494e+00 -1.791178e-19)	(4.983696e+00 -4.915023e+00 -1.790199e-19)	(1.512151e+00 -1.234708e-01 -9.793054e-23)
0.0028       	(7.094876e+00 -6.182404e+00 -1.797136e-19)	(5.598003e+00 -6.059253e+00 -1.796145e-19)	(1.496874e+00 -1.231518e-01 -9.915438e-23)
0.0029       	(8.028190e+00 -6.404934e+00 -1.983333e-19)	(6.545322e+00 -6.281672e+00 -1.982319e-19)	(1.482867e+00 -1.232623e-01 -1.013979e-22)
0.003        	(1.021570e+01 -9.575190e+00 -2.150648e-19)	(8.746197e+00 -9.452132e+00 -2.149631e-19)	(1.469505e+00 -1.230584e-01 -1.016876e-22)
0.0031       	(1.170475e+01 -1.209125e+01 -2.089586e-19)	(1.024777e+01 -1.196895e+01 -2.088539e-19)	(1.456983e+00 -1.223016e-01 -1.046810e-22)
0.0032       	(9.586172e+00 -7.862695e+00 -2.057297e-19)	(8.140177e+00 -7.741292e+00 -2.056177e-19)	(1.445995e+00 -1.214032e-01 -1.119354e-22)
0.0033       	(9.055293e+00 -9.996977e+00 -2.001257e-19)	(7.619603e+00 -9.876500e+00 -2.000171e-19)	(1.435691e+00 -1.204774e-01 -1.085749e-22)
0.0034       	(1.001907e+01 -1.173972e+01 -1.820659e-19)	(8.594724e+00 -1.162031e+01 -1.819605e-19)	(1.424345e+00 -1.194064e-01 -1.053802e-22)
0.0035       	(1.131109e+01 -1.217563e+01 -2.055322e-19)	(9.897946e+00 -1.205714e+01 -2.054259e-19)	(1.413140e+00 -1.184946e-01 -1.063254e-22)
0.0036       	(9.184770e+00 -9.616979e+00 -1.856657e-19)	(7.782504e+00 -9.498973e+00 -1.855597e-19)	(1.402266e+00 -1.180062e-01 -1.060395e-22)
0.0037       	(8.476597e+00 -8.421953e+00 -1.808157e-19)	(7.083786e+00 -8.304136e+00 -1.807094e-19)	(1.392811e+00 -1.178173e-01 -1.062796e-22)
0.0038       	(1.160900e+01 -1.121678e+01 -2.118590e-19)	(1.022282e+01 -1.109856e+01 -2.117461e-19)	(1.386180e+00 -1.182182e-01 -1.129270e-22)
0.0039       	(1.062870e+01 -1.006656e+01 -2.022965e-19)	(9.249237e+00 -9.947707e+00 -2.021761e-19)	(1.379460e+00 -1.188546e-01 -1.203539e-22)
0.004        	(1.020036e+01 -1.047991e+01 -1.897532e-19)	(8.827461e+00 -1.036043e+01 -1.896306e-19)	(1.372895e+00 -1.194817e-01 -1.226407e-22)
0.0041       	(1.016652e+01 -9.926704e+00 -1.995994e-19)	(8.801444e+00 -9.806915e+00 -1.994749e-19)	(1.365077e+00 -1.197897e-01 -1.244321e-22)
0.0042       	(8.410617e+00 -7.700629e+00 -1.824560e-19)	(7.053514e+00 -7.580564e+00 -1.823305e-19)	(1.357103e+00 -1.200652e-01 -1.254592e-22)
0.0043       	(9.530698e+00 -9.096803e+00 -1.936624e-19)	(8.179585e+00 -8.976760e+00 -1.935350e-19)	(1.351113e+00 -1.200428e-01 -1.273751e-22)
0.0044       	(1.183397e+01 -1.192544e+01 -2.080247e-19)	(1.048756e+01 -1.180508e+01 -2.078969e-19)	(1.346414e+00 -1.203633e-01 -1.278341e-22)
0.0045       	(1.019355e+01 -8.595249e+00 -2.016878e-19)	(8.852475e+00 -8.474832e+00 -2.015612e-19)	(1.341072e+00 -1.204167e-01 -1.265587e-22)
0.0046       	(9.005291e+00 -8.181811e+00 -1.956098e-19)	(7.670556e+00 -8.061756e+00 -1.954941e-19)	(1.334735e+00 -1.200553e-01 -1.156584e-22)
0.0047       	(1.034360e+01 -9.121213e+00 -1.934851e-19)	(9.014117e+00 -9.001471e+00 -1.933763e-19)	(1.329480e+00 -1.197422e-01 -1.087986e-22)
0.0048       	(1.300428e+01 -1.209124e+01 -1.989587e-19)	(1.167909e+01 -1.197151e+01 -1.988579e-19)	(1.325188e+00 -1.197304e-01 -1.007472e-22)
0.0049       	(1.043338e+01 -9.961446e+00 -1.957074e-19)	(9.113667e+00 -9.842287e+00 -1.956178e-19)	(1.319709e+00 -1.191590e-01 -8.955199e-23)
0.005        	(9.814981e+00 -8.718156e+00 -1.908646e-19)	(8.501956e+00 -8.599771e+00 -1.907802e-19)	(1.313025e+00 -1.183850e-01 -8.444298e-23)
0.0051       	(1.014457e+01 -1.119983e+01 -1.918702e-19)	(8.837268e+00 -1.108222e+01 -1.917866e-19)	(1.307304e+00 -1.176122e-01 -8.362024e-23)
0.0052       	(1.150755e+01 -1.488316e+01 -1.982188e-19)	(1.020689e+01 -1.476652e+01 -1.981295e-19)	(1.300659e+00 -1.166430e-01 -8.931590e-23)
0.0053       	(1.152185e+01 -1.316666e+01 -1.943156e-19)	(1.022617e+01 -1.304985e+01 -1.942188e-19)	(1.295687e+00 -1.168175e-01 -9.671946e-23)
0.0054       	(1.210817e+01 -1.326569e+01 -1.922331e-19)	(1.081900e+01 -1.314820e+01 -1.921285e-19)	(1.289171e+00 -1.174858e-01 -1.046026e-22)
0.0055       	(1.534185e+01 -1.452146e+01 -2.144870e-19)	(1.406093e+01 -1.440387e+01 -2.143801e-19)	(1.280921e+00 -1.175946e-01 -1.068627e-22)
0.0056       	(1.593437e+01 -1.510888e+01 -2.250889e-19)	(1.466113e+01 -1.499099e+01 -2.249785e-19)	(1.273236e+00 -1.178979e-01 -1.104016e-22)
0.0057       	(1.378264e+01 -1.257749e+01 -2.105512e-19)	(1.251714e+01 -1.246033e+01 -2.104386e-19)	(1.265495e+00 -1.171606e-01 -1.126271e-22)
0.0058       	(1.296349e+01 -1.238830e+01 -2.058156e-19)	(1.170274e+01 -1.227202e+01 -2.057008e-19)	(1.260748e+00 -1.162861e-01 -1.148014e-22)
0.0059       	(1.044500e+01 -9.304349e+00 -1.917055e-19)	(9.189769e+00 -9.189237e+00 -1.915876e-19)	(1.255235e+00 -1.151117e-01 -1.179272e-22)
0.006        	(1.005302e+01 -1.012069e+01 -1.891976e-19)	(8.802693e+00 -1.000659e+01 -1.890767e-19)	(1.250329e+00 -1.140970e-01 -1.209143e-22)
0.0061       	(1.145620e+01 -1.198134e+01 -1.957034e-19)	(1.021002e+01 -1.186792e+01 -1.955809e-19)	(1.246180e+00 -1.134212e-01 -1.224753e-22)
0.0062       	(1.259734e+01 -1.375697e+01 -1.960222e-19)	(1.135535e+01 -1.364388e+01 -1.958982e-19)	(1.241998e+00 -1.130906e-01 -1.240903e-22)
0.0063       	(1.385139e+01 -1.461913e+01 -2.015957e-19)	(1.261454e+01 -1.450670e+01 -2.014701e-19)	(1.236845e+00 -1.124331e-01 -1.255859e-22)
0.0064       	(1.424690e+01 -1.202672e+01 -2.100035e-19)	(1.301620e+01 -1.191507e+01 -2.098774e-19)	(1.230700e+00 -1.116542e-01 -1.261308e-22)
0.0065       	(1.490492e+01 -1.406088e+01 -2.093447e-19)	(1.368108e+01 -1.394980e+01 -2.092183e-19)	(1.223846e+00 -1.110747e-01 -1.263926e-22)
0.0066       	(1.387906e+01 -1.567916e+01 -1.983697e-19)	(1.266221e+01 -1.556849e+01 -1.982454e-19)	(1.216850e+00 -1.106712e-01 -1.242806e-22)
