# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.837649e+03 1.721578e+04 2.291457e-18)	(2.834033e+03 1.721544e+04 2.291839e-18)	(3.616476e+00 3.429109e-01 -3.819975e-22)
0.0002       	(-3.814577e+02 -2.570083e+03 -2.545614e-19)	(-3.848004e+02 -2.570390e+03 -2.542288e-19)	(3.342690e+00 3.070436e-01 -3.325728e-22)
0.0003       	(2.819774e+00 2.172584e+00 -1.267314e-19)	(-1.242760e-01 1.902809e+00 -1.264333e-19)	(2.944050e+00 2.697746e-01 -2.981117e-22)
0.0004       	(2.449833e+00 2.245344e+00 -1.351651e-19)	(-3.440349e-01 1.991270e+00 -1.348935e-19)	(2.793868e+00 2.540744e-01 -2.716532e-22)
0.0005       	(2.723154e+00 5.687839e-01 -1.224762e-19)	(3.620483e-02 3.243763e-01 -1.222232e-19)	(2.686950e+00 2.444076e-01 -2.530124e-22)
0.0006       	(2.732103e+00 -1.303147e-01 -1.217868e-19)	(1.567174e-01 -3.649671e-01 -1.215471e-19)	(2.575386e+00 2.346524e-01 -2.396812e-22)
0.0007       	(2.797514e+00 -9.259030e-01 -1.222113e-19)	(3.188420e-01 -1.152029e+00 -1.219847e-19)	(2.478672e+00 2.261260e-01 -2.265974e-22)
0.0008       	(2.962614e+00 -4.746819e-01 -1.195797e-19)	(5.567029e-01 -6.922977e-01 -1.193682e-19)	(2.405911e+00 2.176158e-01 -2.115025e-22)
0.0009       	(3.453605e+00 1.345760e+00 -1.144276e-19)	(1.110095e+00 1.137605e+00 -1.142399e-19)	(2.343510e+00 2.081554e-01 -1.876716e-22)
0.001        	(3.657103e+00 2.294516e+00 -1.103920e-19)	(1.376336e+00 2.096835e+00 -1.102291e-19)	(2.280767e+00 1.976808e-01 -1.628706e-22)
0.0011       	(3.591308e+00 2.376650e+00 -1.110950e-19)	(1.371102e+00 2.188995e+00 -1.109438e-19)	(2.220206e+00 1.876546e-01 -1.511122e-22)
0.0012       	(3.817626e+00 9.434848e-01 -1.115558e-19)	(1.649519e+00 7.651744e-01 -1.114091e-19)	(2.168107e+00 1.783105e-01 -1.467293e-22)
0.0013       	(3.908046e+00 2.263595e-01 -1.154355e-19)	(1.787878e+00 5.699191e-02 -1.152917e-19)	(2.120168e+00 1.693676e-01 -1.438055e-22)
0.0014       	(4.320752e+00 1.769221e+00 -1.190860e-19)	(2.246358e+00 1.608642e+00 -1.189523e-19)	(2.074394e+00 1.605790e-01 -1.337543e-22)
0.0015       	(5.146345e+00 2.562173e+00 -1.108496e-19)	(3.115791e+00 2.410019e+00 -1.107244e-19)	(2.030554e+00 1.521545e-01 -1.252219e-22)
0.0016       	(9.060054e+00 4.898788e+00 -9.068199e-20)	(7.071235e+00 4.754553e+00 -9.056414e-20)	(1.988818e+00 1.442344e-01 -1.178521e-22)
0.0017       	(6.467578e+00 3.086463e+00 -1.040421e-19)	(4.517878e+00 2.949273e+00 -1.039281e-19)	(1.949701e+00 1.371906e-01 -1.139793e-22)
0.0018       	(5.169747e+00 3.111938e+00 -1.069910e-19)	(3.256851e+00 2.981361e+00 -1.068894e-19)	(1.912896e+00 1.305770e-01 -1.016150e-22)
0.0019       	(5.918384e+00 3.653347e+00 -1.046194e-19)	(4.039933e+00 3.528159e+00 -1.045323e-19)	(1.878451e+00 1.251887e-01 -8.714934e-23)
0.002        	(6.220187e+00 3.766958e+00 -1.046481e-19)	(4.374006e+00 3.646276e+00 -1.045771e-19)	(1.846181e+00 1.206818e-01 -7.100084e-23)
0.0021       	(5.892069e+00 3.200295e+00 -1.050841e-19)	(4.076012e+00 3.083557e+00 -1.050191e-19)	(1.816057e+00 1.167378e-01 -6.503271e-23)
0.0022       	(7.483437e+00 3.834514e+00 -9.708405e-20)	(5.695447e+00 3.722353e+00 -9.702195e-20)	(1.787990e+00 1.121609e-01 -6.209472e-23)
0.0023       	(8.211413e+00 4.503680e+00 -9.476396e-20)	(6.451231e+00 4.394785e+00 -9.471191e-20)	(1.760183e+00 1.088955e-01 -5.205484e-23)
0.0024       	(6.857859e+00 4.149905e+00 -1.019460e-19)	(5.125708e+00 4.044005e+00 -1.019026e-19)	(1.732151e+00 1.059001e-01 -4.343807e-23)
0.0025       	(7.318756e+00 4.299424e+00 -9.938981e-20)	(5.613413e+00 4.196000e+00 -9.934715e-20)	(1.705343e+00 1.034242e-01 -4.265558e-23)
0.0026       	(8.741159e+00 5.460534e+00 -9.321846e-20)	(7.060990e+00 5.359196e+00 -9.316905e-20)	(1.680169e+00 1.013382e-01 -4.940447e-23)
0.0027       	(6.256020e+00 4.172830e+00 -1.039359e-19)	(4.599416e+00 4.072817e+00 -1.038840e-19)	(1.656604e+00 1.000137e-01 -5.195631e-23)
0.0028       	(7.740052e+00 5.390721e+00 -9.894112e-20)	(6.106472e+00 5.291895e+00 -9.888841e-20)	(1.633580e+00 9.882554e-02 -5.271317e-23)
0.0029       	(1.080564e+01 9.094620e+00 -7.712261e-20)	(9.194633e+00 8.996958e+00 -7.707122e-20)	(1.611005e+00 9.766261e-02 -5.138661e-23)
0.003        	(9.297355e+00 6.861104e+00 -9.305856e-20)	(7.708813e+00 6.764345e+00 -9.300175e-20)	(1.588542e+00 9.675885e-02 -5.680706e-23)
0.0031       	(1.026022e+01 4.753966e+00 -1.223729e-19)	(8.693176e+00 4.658173e+00 -1.223030e-19)	(1.567048e+00 9.579361e-02 -6.984339e-23)
0.0032       	(1.444449e+01 5.760159e+00 -1.306266e-19)	(1.289844e+01 5.665003e+00 -1.305359e-19)	(1.546051e+00 9.515604e-02 -9.073144e-23)
0.0033       	(1.164474e+01 6.201742e+00 -9.752270e-20)	(1.011751e+01 6.106969e+00 -9.741707e-20)	(1.527226e+00 9.477307e-02 -1.056347e-22)
0.0034       	(9.486623e+00 5.730820e+00 -1.006463e-19)	(7.977232e+00 5.636396e+00 -1.005276e-19)	(1.509391e+00 9.442472e-02 -1.187344e-22)
0.0035       	(7.264879e+00 6.108856e+00 -8.302860e-20)	(5.773697e+00 6.014966e+00 -8.291542e-20)	(1.491182e+00 9.389064e-02 -1.131810e-22)
0.0036       	(6.412080e+00 3.977196e+00 -9.789266e-20)	(4.940086e+00 3.885443e+00 -9.778280e-20)	(1.471994e+00 9.175305e-02 -1.098625e-22)
0.0037       	(7.547392e+00 4.854292e+00 -9.558681e-20)	(6.092258e+00 4.763945e+00 -9.548133e-20)	(1.455134e+00 9.034707e-02 -1.054755e-22)
0.0038       	(7.870144e+00 4.467658e+00 -9.899607e-20)	(6.429726e+00 4.378763e+00 -9.889432e-20)	(1.440418e+00 8.889476e-02 -1.017498e-22)
0.0039       	(1.027920e+01 6.118241e+00 -8.947382e-20)	(8.851527e+00 6.030365e+00 -8.937303e-20)	(1.427671e+00 8.787596e-02 -1.007928e-22)
0.004        	(1.034751e+01 5.083940e+00 -1.024135e-19)	(8.932045e+00 4.997006e+00 -1.023082e-19)	(1.415461e+00 8.693421e-02 -1.053307e-22)
0.0041       	(1.210818e+01 6.792962e+00 -9.823092e-20)	(1.070402e+01 6.706123e+00 -9.811870e-20)	(1.404159e+00 8.683874e-02 -1.122246e-22)
0.0042       	(1.094966e+01 5.917722e+00 -1.001714e-19)	(9.556821e+00 5.830711e+00 -1.000588e-19)	(1.392840e+00 8.701038e-02 -1.126653e-22)
0.0043       	(1.078750e+01 7.139213e+00 -9.275550e-20)	(9.406201e+00 7.052381e+00 -9.264502e-20)	(1.381300e+00 8.683205e-02 -1.104806e-22)
0.0044       	(1.049524e+01 6.784406e+00 -9.577680e-20)	(9.127076e+00 6.697998e+00 -9.566864e-20)	(1.368160e+00 8.640735e-02 -1.081603e-22)
0.0045       	(1.122072e+01 7.657972e+00 -9.909863e-20)	(9.865976e+00 7.571672e+00 -9.899616e-20)	(1.354743e+00 8.630009e-02 -1.024702e-22)
0.0046       	(1.025445e+01 7.586968e+00 -9.127785e-20)	(8.911345e+00 7.500308e+00 -9.117232e-20)	(1.343109e+00 8.666061e-02 -1.055347e-22)
0.0047       	(9.907868e+00 6.150727e+00 -9.837511e-20)	(8.573004e+00 6.064330e+00 -9.827068e-20)	(1.334864e+00 8.639653e-02 -1.044217e-22)
0.0048       	(9.902071e+00 5.426941e+00 -1.019389e-19)	(8.574236e+00 5.341417e+00 -1.018383e-19)	(1.327835e+00 8.552368e-02 -1.005846e-22)
0.0049       	(1.104902e+01 5.469660e+00 -1.050666e-19)	(9.729276e+00 5.384749e+00 -1.049694e-19)	(1.319744e+00 8.491159e-02 -9.714319e-23)
0.005        	(1.372068e+01 7.024023e+00 -1.020038e-19)	(1.240778e+01 6.939506e+00 -1.019091e-19)	(1.312901e+00 8.451665e-02 -9.469735e-23)
0.0051       	(1.357150e+01 6.785884e+00 -1.012475e-19)	(1.226547e+01 6.701386e+00 -1.011517e-19)	(1.306035e+00 8.449763e-02 -9.581709e-23)
0.0052       	(1.100886e+01 6.095922e+00 -9.696460e-20)	(9.711559e+00 6.011320e+00 -9.686866e-20)	(1.297300e+00 8.460154e-02 -9.593273e-23)
0.0053       	(9.917753e+00 5.532546e+00 -9.875135e-20)	(8.632338e+00 5.447568e+00 -9.865260e-20)	(1.285415e+00 8.497799e-02 -9.875270e-23)
0.0054       	(1.049679e+01 6.021741e+00 -9.947130e-20)	(9.223252e+00 5.936635e+00 -9.937295e-20)	(1.273541e+00 8.510680e-02 -9.834724e-23)
0.0055       	(1.122633e+01 6.180437e+00 -9.885168e-20)	(9.961982e+00 6.095096e+00 -9.875583e-20)	(1.264345e+00 8.534128e-02 -9.584892e-23)
0.0056       	(1.252271e+01 8.321508e+00 -9.020735e-20)	(1.126537e+01 8.235699e+00 -9.011583e-20)	(1.257339e+00 8.580898e-02 -9.151887e-23)
0.0057       	(1.081808e+01 5.925800e+00 -1.023231e-19)	(9.567371e+00 5.839974e+00 -1.022375e-19)	(1.250706e+00 8.582560e-02 -8.563550e-23)
0.0058       	(1.250399e+01 7.722745e+00 -1.029916e-19)	(1.125985e+01 7.637040e+00 -1.029138e-19)	(1.244134e+00 8.570470e-02 -7.776464e-23)
0.0059       	(1.473384e+01 1.110140e+01 -1.023847e-19)	(1.349578e+01 1.101593e+01 -1.023173e-19)	(1.238052e+00 8.546583e-02 -6.739415e-23)
0.006        	(1.277348e+01 8.900509e+00 -1.036294e-19)	(1.154005e+01 8.815553e+00 -1.035728e-19)	(1.233436e+00 8.495601e-02 -5.659662e-23)
