# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.422583e+03 -5.508023e+03 -2.290989e-18)	(3.418930e+03 -5.507897e+03 -2.290727e-18)	(3.652963e+00 -1.264388e-01 -2.624003e-22)
0.0002       	(2.431060e+01 6.649087e+00 -2.162953e-19)	(2.094501e+01 6.765802e+00 -2.160991e-19)	(3.365595e+00 -1.167155e-01 -1.962583e-22)
0.0003       	(2.199020e+01 -1.239986e+01 -1.932685e-19)	(1.883334e+01 -1.229039e+01 -1.930833e-19)	(3.156860e+00 -1.094684e-01 -1.851607e-22)
0.0004       	(2.156302e+01 -1.918965e+01 -2.029069e-19)	(1.854838e+01 -1.908624e+01 -2.027060e-19)	(3.014649e+00 -1.034109e-01 -2.008652e-22)
0.0005       	(2.140131e+01 -2.275736e+01 -2.034863e-19)	(1.850012e+01 -2.265991e+01 -2.032680e-19)	(2.901195e+00 -9.744726e-02 -2.182712e-22)
0.0006       	(2.117870e+01 -2.405298e+01 -2.028472e-19)	(1.837001e+01 -2.395994e+01 -2.026202e-19)	(2.808682e+00 -9.304260e-02 -2.269692e-22)
0.0007       	(2.166964e+01 -2.048072e+01 -2.014647e-19)	(1.893989e+01 -2.039026e+01 -2.012344e-19)	(2.729743e+00 -9.046627e-02 -2.303387e-22)
0.0008       	(2.267840e+01 -1.732656e+01 -1.996231e-19)	(2.001646e+01 -1.723876e+01 -1.993920e-19)	(2.661940e+00 -8.780062e-02 -2.310782e-22)
0.0009       	(2.155781e+01 -1.739838e+01 -2.009776e-19)	(1.895461e+01 -1.731280e+01 -2.007556e-19)	(2.603193e+00 -8.558027e-02 -2.219645e-22)
0.001        	(2.159950e+01 -2.072146e+01 -2.027882e-19)	(1.904824e+01 -2.063761e+01 -2.025782e-19)	(2.551257e+00 -8.385136e-02 -2.099681e-22)
0.0011       	(2.213607e+01 -2.114167e+01 -2.058450e-19)	(1.963151e+01 -2.105908e+01 -2.056465e-19)	(2.504556e+00 -8.258453e-02 -1.984747e-22)
0.0012       	(2.139506e+01 -3.466675e+01 -2.143871e-19)	(1.893102e+01 -3.458597e+01 -2.141984e-19)	(2.464039e+00 -8.078789e-02 -1.886328e-22)
