# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.823455e+03 1.753213e+04 2.327078e-18)	(2.819839e+03 1.753178e+04 2.327472e-18)	(3.615951e+00 3.474032e-01 -3.943749e-22)
0.0002       	(-3.747571e+02 -2.607583e+03 -2.477831e-19)	(-3.780996e+02 -2.607896e+03 -2.474378e-19)	(3.342545e+00 3.125787e-01 -3.453170e-22)
0.0003       	(2.149642e+00 6.327485e+00 -1.439692e-19)	(-7.929982e-01 6.054212e+00 -1.436712e-19)	(2.942640e+00 2.732730e-01 -2.979248e-22)
0.0004       	(2.605850e+00 1.367282e+00 -1.306621e-19)	(-1.872110e-01 1.109495e+00 -1.303877e-19)	(2.793061e+00 2.577871e-01 -2.743787e-22)
0.0005       	(2.725978e+00 6.494687e-01 -1.248037e-19)	(4.021299e-02 4.012660e-01 -1.245473e-19)	(2.685765e+00 2.482027e-01 -2.564280e-22)
0.0006       	(2.742793e+00 -1.633021e-01 -1.228780e-19)	(1.692840e-01 -4.014519e-01 -1.226364e-19)	(2.573509e+00 2.381498e-01 -2.415919e-22)
0.0007       	(2.709807e+00 -1.323235e-01 -1.236263e-19)	(2.330612e-01 -3.615409e-01 -1.233978e-19)	(2.476746e+00 2.292174e-01 -2.285777e-22)
0.0008       	(2.917177e+00 -7.251541e-01 -1.211234e-19)	(5.139158e-01 -9.457503e-01 -1.209075e-19)	(2.403261e+00 2.205963e-01 -2.158063e-22)
0.0009       	(3.374044e+00 1.169519e+00 -1.157886e-19)	(1.034306e+00 9.586210e-01 -1.155940e-19)	(2.339738e+00 2.108981e-01 -1.945799e-22)
0.001        	(3.707043e+00 2.430960e+00 -1.116527e-19)	(1.430565e+00 2.230780e+00 -1.114849e-19)	(2.276478e+00 2.001800e-01 -1.677631e-22)
0.0011       	(3.596318e+00 2.666970e+00 -1.119483e-19)	(1.380996e+00 2.477091e+00 -1.117937e-19)	(2.215323e+00 1.898789e-01 -1.546637e-22)
0.0012       	(3.754450e+00 1.442114e+00 -1.131468e-19)	(1.590757e+00 1.261958e+00 -1.129972e-19)	(2.163692e+00 1.801556e-01 -1.495788e-22)
0.0013       	(3.936769e+00 5.780706e-01 -1.157756e-19)	(1.820915e+00 4.070292e-01 -1.156288e-19)	(2.115854e+00 1.710413e-01 -1.468156e-22)
0.0014       	(4.399320e+00 1.359753e+00 -1.205740e-19)	(2.328861e+00 1.197628e+00 -1.204374e-19)	(2.070459e+00 1.621248e-01 -1.366721e-22)
0.0015       	(5.216893e+00 2.449668e+00 -1.113666e-19)	(3.189624e+00 2.295890e+00 -1.112384e-19)	(2.027269e+00 1.537775e-01 -1.282309e-22)
0.0016       	(9.129043e+00 4.796866e+00 -9.071912e-20)	(7.141982e+00 4.651048e+00 -9.060110e-20)	(1.987061e+00 1.458178e-01 -1.180296e-22)
0.0017       	(6.338161e+00 2.691287e+00 -1.052424e-19)	(4.390684e+00 2.552724e+00 -1.051287e-19)	(1.947477e+00 1.385635e-01 -1.136402e-22)
0.0018       	(5.186776e+00 2.744156e+00 -1.074446e-19)	(3.276114e+00 2.612553e+00 -1.073446e-19)	(1.910662e+00 1.316030e-01 -1.000405e-22)
0.0019       	(5.983976e+00 3.370004e+00 -1.049675e-19)	(4.107579e+00 3.243952e+00 -1.048832e-19)	(1.876397e+00 1.260527e-01 -8.427609e-23)
0.002        	(6.213457e+00 3.319839e+00 -1.054527e-19)	(4.369686e+00 3.198429e+00 -1.053855e-19)	(1.843771e+00 1.214098e-01 -6.727262e-23)
0.0021       	(5.963781e+00 2.829908e+00 -1.056842e-19)	(4.149938e+00 2.712525e+00 -1.056225e-19)	(1.813842e+00 1.173832e-01 -6.165496e-23)
0.0022       	(7.519638e+00 3.673019e+00 -9.778516e-20)	(5.732929e+00 3.560011e+00 -9.772522e-20)	(1.786709e+00 1.130075e-01 -5.993519e-23)
0.0023       	(8.222827e+00 4.405116e+00 -9.536824e-20)	(6.461963e+00 4.294893e+00 -9.531652e-20)	(1.760864e+00 1.102223e-01 -5.171795e-23)
0.0024       	(6.888709e+00 4.144718e+00 -1.023739e-19)	(5.153137e+00 4.037000e+00 -1.023290e-19)	(1.735572e+00 1.077183e-01 -4.487191e-23)
0.0025       	(7.598594e+00 4.638942e+00 -9.828996e-20)	(5.888152e+00 4.533541e+00 -9.824441e-20)	(1.710442e+00 1.054015e-01 -4.555127e-23)
0.0026       	(8.534504e+00 5.251672e+00 -9.474179e-20)	(6.849566e+00 5.148630e+00 -9.468905e-20)	(1.684938e+00 1.030419e-01 -5.274604e-23)
0.0027       	(6.256574e+00 4.111961e+00 -1.042037e-19)	(4.596708e+00 4.010753e+00 -1.041488e-19)	(1.659865e+00 1.012083e-01 -5.487097e-23)
0.0028       	(7.803779e+00 5.213985e+00 -9.823988e-20)	(6.168325e+00 5.114302e+00 -9.818413e-20)	(1.635454e+00 9.968340e-02 -5.575004e-23)
0.0029       	(1.150609e+01 9.875260e+00 -7.288282e-20)	(9.893204e+00 9.776603e+00 -7.282969e-20)	(1.612885e+00 9.865713e-02 -5.313476e-23)
0.003        	(8.648737e+00 5.989234e+00 -9.502474e-20)	(7.057558e+00 5.891166e+00 -9.496689e-20)	(1.591180e+00 9.806858e-02 -5.784408e-23)
0.0031       	(9.771455e+00 5.136386e+00 -1.055015e-19)	(8.201363e+00 5.039133e+00 -1.054330e-19)	(1.570093e+00 9.725321e-02 -6.842216e-23)
0.0032       	(1.509360e+01 5.860100e+00 -1.348674e-19)	(1.354404e+01 5.763285e+00 -1.347769e-19)	(1.549557e+00 9.681429e-02 -9.050761e-23)
0.0033       	(1.136654e+01 5.927465e+00 -1.067824e-19)	(9.836528e+00 5.831191e+00 -1.066787e-19)	(1.530009e+00 9.627384e-02 -1.037388e-22)
0.0034       	(9.692112e+00 5.941801e+00 -9.805324e-20)	(8.181188e+00 5.846022e+00 -9.793706e-20)	(1.510924e+00 9.577835e-02 -1.161779e-22)
0.0035       	(7.263234e+00 5.363031e+00 -9.024528e-20)	(5.769871e+00 5.267500e+00 -9.011695e-20)	(1.493363e+00 9.553085e-02 -1.283300e-22)
0.0036       	(6.021753e+00 4.051031e+00 -9.402217e-20)	(4.547439e+00 3.957364e+00 -9.390718e-20)	(1.474314e+00 9.366716e-02 -1.149895e-22)
0.0037       	(7.357559e+00 4.675793e+00 -9.566623e-20)	(5.900801e+00 4.583740e+00 -9.555813e-20)	(1.456758e+00 9.205355e-02 -1.081008e-22)
0.0038       	(8.808020e+00 5.060976e+00 -9.710988e-20)	(7.366313e+00 4.970334e+00 -9.700685e-20)	(1.441706e+00 9.064191e-02 -1.030295e-22)
0.0039       	(1.060403e+01 6.205382e+00 -8.928684e-20)	(9.174363e+00 6.115511e+00 -8.918426e-20)	(1.429672e+00 8.987163e-02 -1.025838e-22)
0.004        	(1.044449e+01 5.334383e+00 -1.009660e-19)	(9.026524e+00 5.245414e+00 -1.008589e-19)	(1.417969e+00 8.896919e-02 -1.071380e-22)
0.0041       	(1.219735e+01 6.947855e+00 -9.670297e-20)	(1.079024e+01 6.858982e+00 -9.658700e-20)	(1.407107e+00 8.887308e-02 -1.159759e-22)
0.0042       	(1.029973e+01 6.008021e+00 -9.731210e-20)	(8.904040e+00 5.918828e+00 -9.719563e-20)	(1.395691e+00 8.919355e-02 -1.164708e-22)
0.0043       	(1.104737e+01 7.988834e+00 -8.837991e-20)	(9.662978e+00 7.899579e+00 -8.826565e-20)	(1.384392e+00 8.925447e-02 -1.142632e-22)
0.0044       	(1.042435e+01 6.428518e+00 -9.807993e-20)	(9.052207e+00 6.339455e+00 -9.796854e-20)	(1.372139e+00 8.906264e-02 -1.113911e-22)
0.0045       	(1.124060e+01 8.013044e+00 -9.806694e-20)	(9.880824e+00 7.923847e+00 -9.796172e-20)	(1.359780e+00 8.919732e-02 -1.052208e-22)
0.0046       	(9.838895e+00 6.887713e+00 -9.375937e-20)	(8.490270e+00 6.798052e+00 -9.365107e-20)	(1.348625e+00 8.966077e-02 -1.082952e-22)
0.0047       	(9.660152e+00 6.020560e+00 -9.847991e-20)	(8.319069e+00 5.930851e+00 -9.837300e-20)	(1.341083e+00 8.970963e-02 -1.069140e-22)
0.0048       	(1.035266e+01 5.774584e+00 -1.006508e-19)	(9.017969e+00 5.685636e+00 -1.005481e-19)	(1.334689e+00 8.894709e-02 -1.027369e-22)
0.0049       	(1.221514e+01 6.562778e+00 -1.013977e-19)	(1.088799e+01 6.474310e+00 -1.012979e-19)	(1.327150e+00 8.846862e-02 -9.974627e-23)
0.005        	(1.327270e+01 6.595685e+00 -1.037079e-19)	(1.195217e+01 6.507735e+00 -1.036111e-19)	(1.320524e+00 8.795053e-02 -9.685834e-23)
0.0051       	(1.408038e+01 8.040998e+00 -9.352898e-20)	(1.276549e+01 7.952973e+00 -9.343332e-20)	(1.314893e+00 8.802483e-02 -9.565814e-23)
0.0052       	(9.860315e+00 5.402785e+00 -9.874699e-20)	(8.552634e+00 5.314617e+00 -9.865051e-20)	(1.307681e+00 8.816709e-02 -9.647648e-23)
0.0053       	(1.003575e+01 5.646228e+00 -9.969150e-20)	(8.738658e+00 5.557731e+00 -9.959347e-20)	(1.297093e+00 8.849789e-02 -9.802795e-23)
0.0054       	(1.120331e+01 6.837425e+00 -9.630059e-20)	(9.918383e+00 6.748813e+00 -9.620395e-20)	(1.284926e+00 8.861203e-02 -9.664618e-23)
0.0055       	(1.020279e+01 4.706368e+00 -1.077627e-19)	(8.927531e+00 4.617694e+00 -1.076677e-19)	(1.275256e+00 8.867352e-02 -9.496026e-23)
0.0056       	(1.224648e+01 7.919455e+00 -9.186465e-20)	(1.097747e+01 7.830347e+00 -9.177118e-20)	(1.269013e+00 8.910763e-02 -9.347748e-23)
0.0057       	(1.241036e+01 8.360996e+00 -9.372038e-20)	(1.114854e+01 8.271743e+00 -9.362989e-20)	(1.261820e+00 8.925357e-02 -9.048903e-23)
0.0058       	(1.182514e+01 7.058448e+00 -1.105056e-19)	(1.057045e+01 6.969620e+00 -1.104227e-19)	(1.254685e+00 8.882831e-02 -8.289810e-23)
0.0059       	(1.409922e+01 1.069430e+01 -1.129077e-19)	(1.285200e+01 1.060561e+01 -1.128383e-19)	(1.247214e+00 8.869888e-02 -6.935926e-23)
0.006        	(1.157298e+01 7.575284e+00 -9.715356e-20)	(1.033056e+01 7.487427e+00 -9.708960e-20)	(1.242421e+00 8.785687e-02 -6.396010e-23)
0.0061       	(1.331112e+01 1.044727e+01 -8.528405e-20)	(1.207615e+01 1.035969e+01 -8.522339e-20)	(1.234971e+00 8.758193e-02 -6.065813e-23)
0.0062       	(1.266164e+01 9.940146e+00 -9.015449e-20)	(1.143527e+01 9.852599e+00 -9.009535e-20)	(1.226375e+00 8.754713e-02 -5.914569e-23)
0.0063       	(9.969700e+00 7.267429e+00 -1.028036e-19)	(8.754155e+00 7.179404e+00 -1.027443e-19)	(1.215545e+00 8.802493e-02 -5.933960e-23)
0.0064       	(1.118331e+01 1.102465e+01 -1.073256e-19)	(9.978362e+00 1.093651e+01 -1.072580e-19)	(1.204945e+00 8.813695e-02 -6.757421e-23)
0.0065       	(1.188299e+01 9.635188e+00 -1.022109e-19)	(1.068618e+01 9.546167e+00 -1.021367e-19)	(1.196809e+00 8.902033e-02 -7.412937e-23)
0.0066       	(1.257404e+01 8.921561e+00 -1.059678e-19)	(1.138210e+01 8.831807e+00 -1.058872e-19)	(1.191937e+00 8.975452e-02 -8.057669e-23)
0.0067       	(1.304210e+01 8.560162e+00 -9.813059e-20)	(1.185205e+01 8.471014e+00 -9.804363e-20)	(1.190051e+00 8.914869e-02 -8.696028e-23)
0.0068       	(1.308765e+01 8.616470e+00 -9.739602e-20)	(1.189883e+01 8.527884e+00 -9.730334e-20)	(1.188818e+00 8.858583e-02 -9.267142e-23)
0.0069       	(1.223948e+01 9.316380e+00 -9.799396e-20)	(1.105150e+01 9.228298e+00 -9.789916e-20)	(1.187986e+00 8.808190e-02 -9.479569e-23)
0.007        	(1.205088e+01 9.640572e+00 -9.955981e-20)	(1.086430e+01 9.552755e+00 -9.946573e-20)	(1.186582e+00 8.781738e-02 -9.407862e-23)
0.0071       	(1.125527e+01 7.323946e+00 -1.019846e-19)	(1.007084e+01 7.236405e+00 -1.018934e-19)	(1.184428e+00 8.754028e-02 -9.122665e-23)
0.0072       	(1.070785e+01 6.669293e+00 -1.016994e-19)	(9.524803e+00 6.581898e+00 -1.016114e-19)	(1.183042e+00 8.739462e-02 -8.801458e-23)
0.0073       	(9.944062e+00 6.222870e+00 -1.027788e-19)	(8.760362e+00 6.135489e+00 -1.026945e-19)	(1.183701e+00 8.738016e-02 -8.438925e-23)
0.0074       	(9.898130e+00 5.794935e+00 -1.060577e-19)	(8.715170e+00 5.707475e+00 -1.059777e-19)	(1.182961e+00 8.746021e-02 -8.000954e-23)
0.0075       	(1.047033e+01 6.651108e+00 -1.051888e-19)	(9.287808e+00 6.563279e+00 -1.051145e-19)	(1.182522e+00 8.782930e-02 -7.422098e-23)
0.0076       	(1.114690e+01 8.426650e+00 -1.010814e-19)	(9.965040e+00 8.338754e+00 -1.010136e-19)	(1.181856e+00 8.789628e-02 -6.785259e-23)
0.0077       	(1.210504e+01 8.842683e+00 -1.017805e-19)	(1.092509e+01 8.754796e+00 -1.017164e-19)	(1.179953e+00 8.788702e-02 -6.409128e-23)
0.0078       	(1.124501e+01 6.843273e+00 -1.034843e-19)	(1.006979e+01 6.755424e+00 -1.034236e-19)	(1.175223e+00 8.784856e-02 -6.071068e-23)
0.0079       	(1.176052e+01 7.381751e+00 -1.066000e-19)	(1.058721e+01 7.294212e+00 -1.065408e-19)	(1.173313e+00 8.753869e-02 -5.915895e-23)
0.008        	(1.353343e+01 8.533659e+00 -1.089396e-19)	(1.235475e+01 8.446718e+00 -1.088811e-19)	(1.178672e+00 8.694100e-02 -5.852059e-23)
0.0081       	(1.465444e+01 1.113454e+01 -1.005806e-19)	(1.347161e+01 1.104740e+01 -1.005251e-19)	(1.182831e+00 8.713277e-02 -5.549963e-23)
0.0082       	(1.475060e+01 1.202020e+01 -9.544766e-20)	(1.356258e+01 1.193192e+01 -9.539583e-20)	(1.188020e+00 8.828427e-02 -5.182805e-23)
0.0083       	(1.262028e+01 9.362223e+00 -1.015859e-19)	(1.142628e+01 9.272348e+00 -1.015339e-19)	(1.193997e+00 8.987429e-02 -5.202641e-23)
0.0084       	(9.871558e+00 7.107436e+00 -1.107435e-19)	(8.675674e+00 7.017026e+00 -1.106879e-19)	(1.195885e+00 9.040995e-02 -5.557405e-23)
0.0085       	(1.123088e+01 8.145879e+00 -1.076985e-19)	(1.003589e+01 8.055646e+00 -1.076361e-19)	(1.194996e+00 9.023222e-02 -6.245411e-23)
0.0086       	(1.080305e+01 8.086885e+00 -1.065330e-19)	(9.609225e+00 7.997289e+00 -1.064677e-19)	(1.193826e+00 8.959517e-02 -6.527750e-23)
0.0087       	(9.576105e+00 5.587493e+00 -1.112532e-19)	(8.383526e+00 5.499183e+00 -1.111865e-19)	(1.192579e+00 8.831030e-02 -6.673345e-23)
