# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.120629e+03 3.026700e+04 4.551489e-18)	(2.117083e+03 3.026642e+04 4.551942e-18)	(3.545208e+00 5.792252e-01 -4.533580e-22)
0.0002       	(-1.868994e+02 -4.518311e+03 -4.865511e-19)	(-1.901546e+02 -4.518816e+03 -4.861546e-19)	(3.255210e+00 5.049020e-01 -3.965132e-22)
0.0003       	(3.021717e+00 -2.120235e-02 -1.121737e-19)	(2.293296e-01 -4.515836e-01 -1.118473e-19)	(2.792388e+00 4.303812e-01 -3.263423e-22)
0.0004       	(2.707507e+00 9.947736e-01 -1.185323e-19)	(8.017839e-02 5.971598e-01 -1.182622e-19)	(2.627329e+00 3.976138e-01 -2.701720e-22)
0.0005       	(2.733030e+00 2.413974e-01 -1.181857e-19)	(2.212021e-01 -1.323371e-01 -1.179530e-19)	(2.511827e+00 3.737345e-01 -2.327511e-22)
0.0006       	(2.499149e+00 1.226207e+00 -1.180436e-19)	(1.184301e-01 8.783222e-01 -1.178423e-19)	(2.380719e+00 3.478851e-01 -2.012122e-22)
0.0007       	(2.701600e+00 2.334941e-01 -1.176054e-19)	(4.325513e-01 -9.206715e-02 -1.174299e-19)	(2.269048e+00 3.255613e-01 -1.754492e-22)
0.0008       	(3.047500e+00 -1.614273e+00 -1.211914e-19)	(8.548730e-01 -1.921194e+00 -1.210408e-19)	(2.192627e+00 3.069211e-01 -1.506191e-22)
0.0009       	(3.964924e+00 -4.523855e+00 -1.353514e-19)	(1.837809e+00 -4.815686e+00 -1.352073e-19)	(2.127116e+00 2.918318e-01 -1.441208e-22)
0.001        	(3.973105e+00 -9.302151e-01 -1.176586e-19)	(1.909512e+00 -1.205514e+00 -1.175408e-19)	(2.063593e+00 2.752993e-01 -1.177678e-22)
0.0011       	(3.769527e+00 1.014246e+00 -1.170015e-19)	(1.768863e+00 7.571075e-01 -1.169144e-19)	(2.000664e+00 2.571381e-01 -8.705891e-23)
0.0012       	(3.575099e+00 2.821017e+00 -1.158573e-19)	(1.628388e+00 2.579244e+00 -1.157997e-19)	(1.946711e+00 2.417728e-01 -5.752571e-23)
0.0013       	(3.849219e+00 3.036303e+00 -1.182336e-19)	(1.948545e+00 2.808387e+00 -1.181922e-19)	(1.900675e+00 2.279168e-01 -4.140815e-23)
0.0014       	(3.918717e+00 3.523370e+00 -1.190793e-19)	(2.059779e+00 3.307847e+00 -1.190411e-19)	(1.858938e+00 2.155229e-01 -3.818816e-23)
0.0015       	(4.477336e+00 3.514842e+00 -1.198151e-19)	(2.658692e+00 3.310589e+00 -1.197725e-19)	(1.818644e+00 2.042531e-01 -4.264300e-23)
0.0016       	(6.651132e+00 3.972880e+00 -1.154457e-19)	(4.869122e+00 3.778141e+00 -1.153920e-19)	(1.782011e+00 1.947384e-01 -5.365127e-23)
0.0017       	(7.618839e+00 5.038537e+00 -1.056646e-19)	(5.871257e+00 4.852815e+00 -1.056113e-19)	(1.747582e+00 1.857219e-01 -5.337657e-23)
0.0018       	(7.826224e+00 5.339225e+00 -1.021315e-19)	(6.112676e+00 5.162011e+00 -1.020814e-19)	(1.713548e+00 1.772133e-01 -5.007570e-23)
0.0019       	(8.331971e+00 5.771530e+00 -1.030912e-19)	(6.650760e+00 5.601529e+00 -1.030443e-19)	(1.681211e+00 1.700008e-01 -4.699523e-23)
0.002        	(7.883833e+00 6.078678e+00 -1.037628e-19)	(6.228786e+00 5.914707e+00 -1.037192e-19)	(1.655048e+00 1.639707e-01 -4.358599e-23)
0.0021       	(6.448484e+00 4.791074e+00 -1.058630e-19)	(4.816955e+00 4.632272e+00 -1.058264e-19)	(1.631528e+00 1.588019e-01 -3.663289e-23)
0.0022       	(5.250254e+00 4.135297e+00 -1.094214e-19)	(3.642354e+00 3.981482e+00 -1.093918e-19)	(1.607900e+00 1.538154e-01 -2.963446e-23)
0.0023       	(6.423558e+00 4.509297e+00 -1.016623e-19)	(4.839786e+00 4.360335e+00 -1.016320e-19)	(1.583771e+00 1.489621e-01 -3.025111e-23)
0.0024       	(8.914964e+00 6.161895e+00 -8.440736e-20)	(7.353950e+00 6.016870e+00 -8.437729e-20)	(1.561014e+00 1.450246e-01 -3.006427e-23)
0.0025       	(8.443113e+00 6.760442e+00 -8.959833e-20)	(6.903164e+00 6.619471e+00 -8.957164e-20)	(1.539950e+00 1.409708e-01 -2.668817e-23)
0.0026       	(8.315378e+00 8.184064e+00 -8.456636e-20)	(6.793879e+00 8.046516e+00 -8.453994e-20)	(1.521498e+00 1.375480e-01 -2.642083e-23)
0.0027       	(7.432608e+00 7.650474e+00 -8.789709e-20)	(5.928326e+00 7.515197e+00 -8.786990e-20)	(1.504282e+00 1.352761e-01 -2.718897e-23)
0.0028       	(8.931954e+00 9.337390e+00 -7.330950e-20)	(7.443852e+00 9.203650e+00 -7.327989e-20)	(1.488101e+00 1.337402e-01 -2.960490e-23)
0.0029       	(8.137654e+00 7.325240e+00 -9.103621e-20)	(6.664865e+00 7.192859e+00 -9.100558e-20)	(1.472789e+00 1.323802e-01 -3.063295e-23)
0.003        	(9.005170e+00 7.911395e+00 -8.632186e-20)	(7.546484e+00 7.780212e+00 -8.628584e-20)	(1.458687e+00 1.311831e-01 -3.602129e-23)
0.0031       	(1.039238e+01 9.269607e+00 -7.551867e-20)	(8.945473e+00 9.138852e+00 -7.547860e-20)	(1.446910e+00 1.307546e-01 -4.006326e-23)
0.0032       	(7.879599e+00 6.372933e+00 -9.231556e-20)	(6.442926e+00 6.242633e+00 -9.227592e-20)	(1.436673e+00 1.303001e-01 -3.963686e-23)
0.0033       	(9.887031e+00 9.689918e+00 -7.270141e-20)	(8.460619e+00 9.559572e+00 -7.266899e-20)	(1.426412e+00 1.303467e-01 -3.241780e-23)
0.0034       	(1.077244e+01 1.090498e+01 -6.455823e-20)	(9.355707e+00 1.077423e+01 -6.453714e-20)	(1.416736e+00 1.307561e-01 -2.109546e-23)
0.0035       	(8.047423e+00 9.081131e+00 -7.134345e-20)	(6.639643e+00 8.950929e+00 -7.133975e-20)	(1.407780e+00 1.302026e-01 -3.707494e-24)
