# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.345808e+03 -7.210935e+03 -2.819732e-18)	(3.342158e+03 -7.210774e+03 -2.819480e-18)	(3.649945e+00 -1.618100e-01 -2.512799e-22)
0.0002       	(-3.145114e+01 2.004511e+02 -2.039350e-19)	(-3.481642e+01 2.006005e+02 -2.037446e-19)	(3.365278e+00 -1.493660e-01 -1.903522e-22)
0.0003       	(3.966694e+00 -6.743189e+00 -1.183627e-19)	(8.596748e-01 -6.604343e+00 -1.181902e-19)	(3.107019e+00 -1.388456e-01 -1.724302e-22)
0.0004       	(3.543586e+00 -5.712483e+00 -1.472518e-19)	(5.789083e-01 -5.582764e+00 -1.470811e-19)	(2.964677e+00 -1.297188e-01 -1.707318e-22)
0.0005       	(4.099657e+00 -2.656874e+00 -1.389846e-19)	(1.255434e+00 -2.534416e+00 -1.387991e-19)	(2.844223e+00 -1.224574e-01 -1.855067e-22)
0.0006       	(4.033669e+00 -1.258521e+00 -1.291639e-19)	(1.292802e+00 -1.140655e+00 -1.289649e-19)	(2.740868e+00 -1.178666e-01 -1.990111e-22)
0.0007       	(4.191565e+00 -1.978035e+00 -1.297845e-19)	(1.534433e+00 -1.865045e+00 -1.295779e-19)	(2.657132e+00 -1.129902e-01 -2.065761e-22)
0.0008       	(4.702294e+00 -1.624882e+00 -1.358379e-19)	(2.118434e+00 -1.516002e+00 -1.356239e-19)	(2.583860e+00 -1.088798e-01 -2.140002e-22)
0.0009       	(6.151988e+00 -2.855641e+00 -1.423448e-19)	(3.633907e+00 -2.750358e+00 -1.421328e-19)	(2.518081e+00 -1.052831e-01 -2.120034e-22)
0.001        	(7.670368e+00 -3.773648e+00 -1.407563e-19)	(5.213031e+00 -3.672551e+00 -1.405540e-19)	(2.457337e+00 -1.010964e-01 -2.022685e-22)
0.0011       	(8.960202e+00 -6.310256e+00 -1.642643e-19)	(6.562062e+00 -6.213832e+00 -1.640748e-19)	(2.398140e+00 -9.642403e-02 -1.894145e-22)
0.0012       	(7.101147e+00 -4.251989e+00 -1.602176e-19)	(4.756060e+00 -4.159136e+00 -1.600332e-19)	(2.345087e+00 -9.285339e-02 -1.843524e-22)
0.0013       	(6.375551e+00 -4.807762e+00 -1.558693e-19)	(4.080692e+00 -4.718875e+00 -1.556843e-19)	(2.294859e+00 -8.888695e-02 -1.850459e-22)
0.0014       	(6.750000e+00 -3.989152e+00 -1.530283e-19)	(4.501246e+00 -3.904305e+00 -1.528351e-19)	(2.248754e+00 -8.484767e-02 -1.931658e-22)
0.0015       	(8.836468e+00 -3.254364e+00 -1.719582e-19)	(6.629322e+00 -3.173056e+00 -1.717638e-19)	(2.207145e+00 -8.130745e-02 -1.943364e-22)
0.0016       	(1.185382e+01 -3.747805e+00 -1.855932e-19)	(9.685542e+00 -3.670656e+00 -1.854076e-19)	(2.168280e+00 -7.714901e-02 -1.856645e-22)
0.0017       	(1.165143e+01 -2.315408e+00 -1.671066e-19)	(9.521500e+00 -2.242464e+00 -1.669194e-19)	(2.129929e+00 -7.294467e-02 -1.872249e-22)
0.0018       	(8.107805e+00 -1.926582e+00 -1.568446e-19)	(6.018160e+00 -1.857730e+00 -1.566575e-19)	(2.089645e+00 -6.885185e-02 -1.871278e-22)
0.0019       	(9.481513e+00 -2.348838e+00 -1.653374e-19)	(7.430872e+00 -2.283492e+00 -1.651507e-19)	(2.050641e+00 -6.534601e-02 -1.866993e-22)
0.002        	(9.463241e+00 -1.669822e+00 -1.575268e-19)	(7.450750e+00 -1.606915e+00 -1.573378e-19)	(2.012491e+00 -6.290652e-02 -1.890562e-22)
0.0021       	(9.300560e+00 -7.470017e-01 -1.573892e-19)	(7.325309e+00 -6.860260e-01 -1.572000e-19)	(1.975252e+00 -6.097565e-02 -1.892344e-22)
0.0022       	(9.252080e+00 -2.242231e+00 -1.670254e-19)	(7.312579e+00 -2.182789e+00 -1.668391e-19)	(1.939501e+00 -5.944267e-02 -1.862764e-22)
0.0023       	(1.087016e+01 -3.554863e+00 -1.855630e-19)	(8.963827e+00 -3.497402e+00 -1.853758e-19)	(1.906333e+00 -5.746167e-02 -1.871930e-22)
0.0024       	(1.173285e+01 -1.763330e+00 -1.696527e-19)	(9.857895e+00 -1.707843e+00 -1.694659e-19)	(1.874955e+00 -5.548718e-02 -1.868159e-22)
0.0025       	(1.120468e+01 -1.462950e+00 -1.659062e-19)	(9.360460e+00 -1.409226e+00 -1.657211e-19)	(1.844222e+00 -5.372370e-02 -1.851433e-22)
0.0026       	(9.479197e+00 -1.638074e+00 -1.648939e-19)	(7.666481e+00 -1.586027e+00 -1.647120e-19)	(1.812716e+00 -5.204635e-02 -1.819691e-22)
0.0027       	(9.316010e+00 -1.376601e+00 -1.610356e-19)	(7.534462e+00 -1.326227e+00 -1.608577e-19)	(1.781548e+00 -5.037395e-02 -1.779246e-22)
0.0028       	(1.030035e+01 -1.705252e+00 -1.680113e-19)	(8.549090e+00 -1.656352e+00 -1.678380e-19)	(1.751256e+00 -4.890004e-02 -1.733287e-22)
0.0029       	(1.056014e+01 -1.513659e+00 -1.629471e-19)	(8.839377e+00 -1.466011e+00 -1.627764e-19)	(1.720764e+00 -4.764776e-02 -1.706491e-22)
0.003        	(1.148527e+01 -2.103354e+00 -1.716693e-19)	(9.792362e+00 -2.057032e+00 -1.714984e-19)	(1.692906e+00 -4.632159e-02 -1.709302e-22)
0.0031       	(1.087840e+01 -2.024674e+00 -1.730105e-19)	(9.211171e+00 -1.979643e+00 -1.728393e-19)	(1.667224e+00 -4.503146e-02 -1.711340e-22)
0.0032       	(1.025095e+01 -9.850444e-01 -1.612511e-19)	(8.608129e+00 -9.410871e-01 -1.610828e-19)	(1.642824e+00 -4.395730e-02 -1.682402e-22)
0.0033       	(1.081616e+01 -2.111426e+00 -1.701259e-19)	(9.196780e+00 -2.068473e+00 -1.699604e-19)	(1.619379e+00 -4.295284e-02 -1.655297e-22)
0.0034       	(1.103764e+01 -2.323671e+00 -1.739957e-19)	(9.439210e+00 -2.281781e+00 -1.738345e-19)	(1.598434e+00 -4.188979e-02 -1.611789e-22)
0.0035       	(1.023326e+01 -1.811243e+00 -1.657978e-19)	(8.655872e+00 -1.770342e+00 -1.656420e-19)	(1.577384e+00 -4.090068e-02 -1.558139e-22)
0.0036       	(1.173945e+01 -2.596701e+00 -1.687069e-19)	(1.018260e+01 -2.556883e+00 -1.685557e-19)	(1.556848e+00 -3.981813e-02 -1.512300e-22)
0.0037       	(1.461095e+01 -7.154213e+00 -1.738954e-19)	(1.307338e+01 -7.116249e+00 -1.737496e-19)	(1.537575e+00 -3.796381e-02 -1.457686e-22)
0.0038       	(1.364633e+01 -8.906493e+00 -1.758573e-19)	(1.212920e+01 -8.870183e+00 -1.757199e-19)	(1.517136e+00 -3.631036e-02 -1.374656e-22)
0.0039       	(1.116129e+01 -5.986101e+00 -1.721785e-19)	(9.664450e+00 -5.950458e+00 -1.720481e-19)	(1.496836e+00 -3.564278e-02 -1.304210e-22)
0.004        	(1.381056e+01 -6.381332e+00 -1.878074e-19)	(1.233244e+01 -6.345912e+00 -1.876830e-19)	(1.478124e+00 -3.542046e-02 -1.244040e-22)
0.0041       	(1.212850e+01 -6.014027e+00 -1.768857e-19)	(1.066605e+01 -5.977876e+00 -1.767649e-19)	(1.462458e+00 -3.615077e-02 -1.208505e-22)
0.0042       	(1.299271e+01 -7.813948e+00 -1.760060e-19)	(1.154628e+01 -7.776893e+00 -1.758894e-19)	(1.446438e+00 -3.705514e-02 -1.165587e-22)
0.0043       	(1.234839e+01 -7.805526e+00 -1.863334e-19)	(1.091744e+01 -7.767715e+00 -1.862186e-19)	(1.430950e+00 -3.781134e-02 -1.147697e-22)
0.0044       	(1.197671e+01 -7.330519e+00 -1.815300e-19)	(1.055960e+01 -7.291917e+00 -1.814191e-19)	(1.417102e+00 -3.860182e-02 -1.109308e-22)
0.0045       	(1.291862e+01 -9.575505e+00 -1.885278e-19)	(1.151391e+01 -9.535931e+00 -1.884236e-19)	(1.404714e+00 -3.957430e-02 -1.042120e-22)
0.0046       	(1.228946e+01 -1.097825e+01 -1.841018e-19)	(1.089703e+01 -1.093744e+01 -1.840072e-19)	(1.392431e+00 -4.080961e-02 -9.461010e-23)
0.0047       	(1.065963e+01 -1.832991e+01 -1.738452e-19)	(9.279516e+00 -1.828881e+01 -1.737688e-19)	(1.380117e+00 -4.109414e-02 -7.639093e-23)
0.0048       	(8.572324e+00 -4.429472e+01 -2.148518e-19)	(7.200763e+00 -4.425279e+01 -2.147964e-19)	(1.371561e+00 -4.192673e-02 -5.547355e-23)
0.0049       	(8.982356e+00 -2.917906e+01 -2.063601e-19)	(7.618534e+00 -2.913632e+01 -2.063227e-19)	(1.363822e+00 -4.274831e-02 -3.741247e-23)
0.005        	(8.783483e+00 -2.920384e+01 -1.894641e-19)	(7.428399e+00 -2.916158e+01 -1.894194e-19)	(1.355084e+00 -4.226477e-02 -4.477965e-23)
0.0051       	(9.564544e+00 -3.895272e+01 -2.063690e-19)	(8.218646e+00 -3.891113e+01 -2.063043e-19)	(1.345898e+00 -4.158863e-02 -6.469986e-23)
0.0052       	(1.078055e+01 -1.354847e+01 -1.872812e-19)	(9.443756e+00 -1.350545e+01 -1.872351e-19)	(1.336793e+00 -4.302002e-02 -4.604960e-23)
0.0053       	(9.534365e+00 -1.462247e+01 -1.843269e-19)	(8.205602e+00 -1.457754e+01 -1.842854e-19)	(1.328763e+00 -4.493014e-02 -4.150692e-23)
0.0054       	(1.006272e+01 -1.469612e+01 -1.885945e-19)	(8.739708e+00 -1.464879e+01 -1.885539e-19)	(1.323013e+00 -4.732521e-02 -4.063272e-23)
0.0055       	(9.236155e+00 -2.540194e+01 -1.969525e-19)	(7.918125e+00 -2.535288e+01 -1.969128e-19)	(1.318030e+00 -4.906604e-02 -3.972037e-23)
0.0056       	(8.748989e+00 -2.957564e+01 -2.002137e-19)	(7.435630e+00 -2.952422e+01 -2.001808e-19)	(1.313359e+00 -5.142176e-02 -3.292957e-23)
0.0057       	(8.772544e+00 -2.980507e+01 -1.944207e-19)	(7.464894e+00 -2.975070e+01 -1.943967e-19)	(1.307650e+00 -5.436961e-02 -2.399897e-23)
0.0058       	(3.967339e+00 -5.275014e+01 -1.964541e-19)	(2.665677e+00 -5.269386e+01 -1.964388e-19)	(1.301662e+00 -5.627988e-02 -1.527146e-23)
