# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.618589e+03 2.117314e+04 3.034446e-18)	(2.614989e+03 2.117273e+04 3.034852e-18)	(3.599789e+00 4.128565e-01 -4.059065e-22)
0.0002       	(-2.985752e+02 -3.172582e+03 -4.296756e-19)	(-3.019007e+02 -3.172949e+03 -4.293232e-19)	(3.325552e+00 3.670618e-01 -3.524870e-22)
0.0003       	(3.038460e+00 6.002103e-01 -1.073846e-19)	(1.309122e-01 2.817267e-01 -1.070683e-19)	(2.907548e+00 3.184836e-01 -3.163253e-22)
0.0004       	(3.015676e+00 -7.441524e-01 -1.170460e-19)	(2.619902e-01 -1.042417e+00 -1.167515e-19)	(2.753686e+00 2.982647e-01 -2.945212e-22)
0.0005       	(3.012448e+00 -1.791454e+00 -1.208397e-19)	(3.700524e-01 -2.077936e+00 -1.205625e-19)	(2.642395e+00 2.864819e-01 -2.771674e-22)
0.0006       	(3.123771e+00 -3.118938e+00 -1.177017e-19)	(6.033242e-01 -3.391625e+00 -1.174459e-19)	(2.520447e+00 2.726864e-01 -2.558144e-22)
0.0007       	(3.114007e+00 -3.932151e+00 -1.170270e-19)	(6.960522e-01 -4.192397e+00 -1.167930e-19)	(2.417955e+00 2.602459e-01 -2.339951e-22)
0.0008       	(2.722056e+00 3.948233e-01 -1.183310e-19)	(3.761002e-01 1.452341e-01 -1.181085e-19)	(2.345956e+00 2.495891e-01 -2.224173e-22)
0.0009       	(2.985130e+00 1.337502e+00 -1.163093e-19)	(7.033274e-01 1.099335e+00 -1.160958e-19)	(2.281803e+00 2.381671e-01 -2.135118e-22)
0.001        	(3.737464e+00 2.008978e+00 -1.151269e-19)	(1.519283e+00 1.784327e+00 -1.149351e-19)	(2.218182e+00 2.246516e-01 -1.918987e-22)
0.0011       	(3.986356e+00 2.578513e+00 -1.138986e-19)	(1.830415e+00 2.367363e+00 -1.137313e-19)	(2.155942e+00 2.111498e-01 -1.672268e-22)
0.0012       	(3.840807e+00 2.753764e+00 -1.157935e-19)	(1.739411e+00 2.554764e+00 -1.156422e-19)	(2.101396e+00 1.989999e-01 -1.512913e-22)
0.0013       	(4.304332e+00 2.482359e+00 -1.224567e-19)	(2.252507e+00 2.294281e+00 -1.223174e-19)	(2.051825e+00 1.880786e-01 -1.392630e-22)
0.0014       	(4.574304e+00 2.126954e+00 -1.209449e-19)	(2.568717e+00 1.949104e+00 -1.208183e-19)	(2.005587e+00 1.778500e-01 -1.266417e-22)
0.0015       	(6.092010e+00 3.260700e+00 -1.080303e-19)	(4.129600e+00 3.093195e+00 -1.079177e-19)	(1.962411e+00 1.675055e-01 -1.125728e-22)
0.0016       	(6.681016e+00 3.779113e+00 -1.069395e-19)	(4.758525e+00 3.620746e+00 -1.068352e-19)	(1.922491e+00 1.583668e-01 -1.043303e-22)
0.0017       	(6.304886e+00 4.516932e+00 -1.085999e-19)	(4.421542e+00 4.367896e+00 -1.084975e-19)	(1.883344e+00 1.490365e-01 -1.024212e-22)
0.0018       	(5.693763e+00 3.524873e+00 -1.070637e-19)	(3.846742e+00 3.384304e+00 -1.069718e-19)	(1.847021e+00 1.405697e-01 -9.191177e-23)
0.0019       	(6.926919e+00 3.817061e+00 -1.004507e-19)	(5.112506e+00 3.682981e+00 -1.003694e-19)	(1.814414e+00 1.340792e-01 -8.128038e-23)
0.002        	(6.144376e+00 3.161796e+00 -1.077925e-19)	(4.360167e+00 3.032461e+00 -1.077147e-19)	(1.784209e+00 1.293355e-01 -7.776632e-23)
0.0021       	(6.344924e+00 3.009584e+00 -1.034803e-19)	(4.588010e+00 2.884762e+00 -1.034041e-19)	(1.756915e+00 1.248221e-01 -7.625877e-23)
0.0022       	(6.974753e+00 3.787078e+00 -1.001450e-19)	(5.242941e+00 3.665551e+00 -1.000740e-19)	(1.731811e+00 1.215263e-01 -7.102620e-23)
0.0023       	(9.504694e+00 6.165291e+00 -9.402362e-20)	(7.797713e+00 6.045668e+00 -9.395752e-20)	(1.706981e+00 1.196229e-01 -6.609800e-23)
0.0024       	(7.128550e+00 4.223647e+00 -1.006314e-19)	(5.445524e+00 4.105654e+00 -1.005708e-19)	(1.683026e+00 1.179935e-01 -6.056678e-23)
0.0025       	(7.913712e+00 4.296575e+00 -9.554542e-20)	(6.253180e+00 4.179463e+00 -9.548810e-20)	(1.660532e+00 1.171121e-01 -5.731995e-23)
0.0026       	(7.950017e+00 5.147380e+00 -9.086409e-20)	(6.310855e+00 5.031087e+00 -9.080916e-20)	(1.639162e+00 1.162925e-01 -5.493384e-23)
0.0027       	(7.920825e+00 5.906368e+00 -9.591365e-20)	(6.302840e+00 5.791254e+00 -9.586058e-20)	(1.617985e+00 1.151142e-01 -5.307532e-23)
0.0028       	(8.855874e+00 7.091049e+00 -8.795726e-20)	(7.258549e+00 6.977866e+00 -8.790170e-20)	(1.597324e+00 1.131835e-01 -5.555866e-23)
0.0029       	(1.034954e+01 8.257477e+00 -8.561319e-20)	(8.773976e+00 8.146622e+00 -8.555346e-20)	(1.575562e+00 1.108542e-01 -5.972502e-23)
0.003        	(8.212585e+00 5.786356e+00 -8.641312e-20)	(6.658148e+00 5.678012e+00 -8.634847e-20)	(1.554437e+00 1.083443e-01 -6.464728e-23)
0.0031       	(1.129179e+01 7.527193e+00 -7.509495e-20)	(9.753158e+00 7.418637e+00 -7.502458e-20)	(1.538633e+00 1.085561e-01 -7.036414e-23)
0.0032       	(1.180342e+01 9.013152e+00 -7.423835e-20)	(1.027808e+01 8.904335e+00 -7.416897e-20)	(1.525345e+00 1.088165e-01 -6.937693e-23)
0.0033       	(1.048436e+01 9.079403e+00 -7.754441e-20)	(8.972871e+00 8.970371e+00 -7.747537e-20)	(1.511489e+00 1.090324e-01 -6.904022e-23)
0.0034       	(6.737580e+00 4.590282e+00 -1.060521e-19)	(5.242398e+00 4.481452e+00 -1.059786e-19)	(1.495182e+00 1.088305e-01 -7.350167e-23)
0.0035       	(6.500766e+00 4.242736e+00 -1.049569e-19)	(5.024025e+00 4.134339e+00 -1.048794e-19)	(1.476741e+00 1.083962e-01 -7.754463e-23)
0.0036       	(7.631885e+00 5.047974e+00 -9.906781e-20)	(6.171114e+00 4.939971e+00 -9.898308e-20)	(1.460771e+00 1.080029e-01 -8.472318e-23)
0.0037       	(1.068454e+01 7.205488e+00 -9.659660e-20)	(9.234763e+00 7.097500e+00 -9.649836e-20)	(1.449777e+00 1.079876e-01 -9.824646e-23)
0.0038       	(1.165681e+01 6.283377e+00 -1.043155e-19)	(1.021768e+01 6.175673e+00 -1.042008e-19)	(1.439130e+00 1.077045e-01 -1.146676e-22)
0.0039       	(1.223891e+01 7.664284e+00 -8.972549e-20)	(1.080983e+01 7.556608e+00 -8.959340e-20)	(1.429073e+00 1.076754e-01 -1.320964e-22)
0.004        	(9.645985e+00 6.850389e+00 -9.327027e-20)	(8.228002e+00 6.743058e+00 -9.312594e-20)	(1.417982e+00 1.073306e-01 -1.443281e-22)
0.0041       	(1.019692e+01 9.208346e+00 -7.747485e-20)	(8.790050e+00 9.101624e+00 -7.734534e-20)	(1.406871e+00 1.067224e-01 -1.295148e-22)
0.0042       	(1.080461e+01 8.627257e+00 -8.004855e-20)	(9.409233e+00 8.521629e+00 -7.992630e-20)	(1.395382e+00 1.056281e-01 -1.222470e-22)
0.0043       	(1.013582e+01 7.208706e+00 -8.859403e-20)	(8.753099e+00 7.103973e+00 -8.847638e-20)	(1.382725e+00 1.047330e-01 -1.176572e-22)
0.0044       	(1.044830e+01 8.168690e+00 -8.239848e-20)	(9.077299e+00 8.064341e+00 -8.228155e-20)	(1.371001e+00 1.043492e-01 -1.169251e-22)
0.0045       	(8.243405e+00 5.154243e+00 -9.388351e-20)	(6.884435e+00 5.050586e+00 -9.376888e-20)	(1.358970e+00 1.036567e-01 -1.146313e-22)
0.0046       	(1.076793e+01 6.610699e+00 -9.714431e-20)	(9.420544e+00 6.507290e+00 -9.702535e-20)	(1.347384e+00 1.034095e-01 -1.189521e-22)
0.0047       	(1.270933e+01 8.044367e+00 -9.294588e-20)	(1.137056e+01 7.941211e+00 -9.282051e-20)	(1.338770e+00 1.031560e-01 -1.253666e-22)
0.0048       	(1.381309e+01 9.007701e+00 -8.392749e-20)	(1.248113e+01 8.905318e+00 -8.380182e-20)	(1.331957e+00 1.023828e-01 -1.256723e-22)
0.0049       	(1.070012e+01 6.828859e+00 -9.079178e-20)	(9.374563e+00 6.727093e+00 -9.066941e-20)	(1.325562e+00 1.017660e-01 -1.223717e-22)
0.005        	(1.059761e+01 6.745283e+00 -9.456456e-20)	(9.278148e+00 6.643727e+00 -9.443936e-20)	(1.319459e+00 1.015564e-01 -1.252025e-22)
0.0051       	(1.189428e+01 8.787797e+00 -8.257781e-20)	(1.057887e+01 8.686652e+00 -8.245763e-20)	(1.315403e+00 1.011443e-01 -1.201876e-22)
0.0052       	(9.759728e+00 5.832995e+00 -9.636868e-20)	(8.450110e+00 5.732338e+00 -9.625721e-20)	(1.309618e+00 1.006567e-01 -1.114729e-22)
0.0053       	(1.009110e+01 7.431758e+00 -9.636159e-20)	(8.788070e+00 7.331844e+00 -9.625493e-20)	(1.303026e+00 9.991361e-02 -1.066679e-22)
0.0054       	(1.305502e+01 1.235408e+01 -9.289551e-20)	(1.176067e+01 1.225430e+01 -9.279954e-20)	(1.294358e+00 9.978840e-02 -9.596840e-23)
0.0055       	(1.359182e+01 1.199333e+01 -9.503754e-20)	(1.230583e+01 1.189374e+01 -9.495116e-20)	(1.285988e+00 9.958635e-02 -8.637664e-23)
0.0056       	(1.167175e+01 7.708716e+00 -9.700012e-20)	(1.039220e+01 7.608804e+00 -9.691868e-20)	(1.279548e+00 9.991147e-02 -8.143476e-23)
0.0057       	(1.304562e+01 8.971661e+00 -9.320231e-20)	(1.177238e+01 8.871330e+00 -9.312347e-20)	(1.273238e+00 1.003318e-01 -7.884019e-23)
0.0058       	(1.366937e+01 9.965379e+00 -8.975542e-20)	(1.240170e+01 9.864826e+00 -8.968006e-20)	(1.267675e+00 1.005536e-01 -7.536052e-23)
0.0059       	(1.336865e+01 1.207727e+01 -8.538659e-20)	(1.210598e+01 1.197667e+01 -8.531430e-20)	(1.262669e+00 1.006013e-01 -7.228844e-23)
0.006        	(1.267961e+01 1.392305e+01 -8.997463e-20)	(1.142130e+01 1.382261e+01 -8.990912e-20)	(1.258310e+00 1.004429e-01 -6.550551e-23)
0.0061       	(1.093322e+01 1.003593e+01 -9.593712e-20)	(9.680147e+00 9.935766e+00 -9.588164e-20)	(1.253076e+00 1.001617e-01 -5.547656e-23)
0.0062       	(1.112370e+01 8.805022e+00 -8.961894e-20)	(9.877939e+00 8.705393e+00 -8.956930e-20)	(1.245764e+00 9.962931e-02 -4.963026e-23)
0.0063       	(1.061547e+01 8.820269e+00 -9.880588e-20)	(9.381053e+00 8.720942e+00 -9.875984e-20)	(1.234420e+00 9.932645e-02 -4.603303e-23)
