# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.205792e+03 -2.867770e+04 -1.314016e-17)	(2.202222e+03 -2.867714e+04 -1.314000e-17)	(3.570049e+00 -5.546643e-01 -1.686732e-22)
0.0002       	(-2.085173e+02 4.052381e+03 1.522560e-18)	(-2.117956e+02 4.052870e+03 1.522717e-18)	(3.278288e+00 -4.890948e-01 -1.567016e-22)
0.0003       	(4.726490e+00 4.705977e+00 -1.496750e-19)	(1.892027e+00 5.127945e+00 -1.495424e-19)	(2.834463e+00 -4.219681e-01 -1.325696e-22)
0.0004       	(2.981614e+00 1.936880e-01 -1.139545e-19)	(3.184391e-01 5.839812e-01 -1.138370e-19)	(2.663175e+00 -3.902932e-01 -1.175221e-22)
0.0005       	(2.618686e+00 -1.059556e+00 -1.216966e-19)	(8.065530e-02 -6.945171e-01 -1.215901e-19)	(2.538031e+00 -3.650390e-01 -1.064942e-22)
0.0006       	(2.508965e+00 -1.279376e+00 -1.257111e-19)	(9.883538e-02 -9.400626e-01 -1.256181e-19)	(2.410130e+00 -3.393132e-01 -9.304146e-23)
0.0007       	(2.640572e+00 -4.072594e-01 -1.261893e-19)	(3.464115e-01 -9.203519e-02 -1.261113e-19)	(2.294161e+00 -3.152242e-01 -7.801376e-23)
0.0008       	(3.367786e+00 2.819363e+00 -1.324809e-19)	(1.162301e+00 3.113214e+00 -1.324000e-19)	(2.205485e+00 -2.938513e-01 -8.090634e-23)
0.0009       	(3.153076e+00 7.327636e-01 -1.371032e-19)	(1.022342e+00 1.008168e+00 -1.370128e-19)	(2.130734e+00 -2.754047e-01 -9.043265e-23)
0.001        	(3.385363e+00 -8.895058e-01 -1.493977e-19)	(1.326915e+00 -6.332816e-01 -1.492973e-19)	(2.058448e+00 -2.562242e-01 -1.003895e-22)
0.0011       	(3.782641e+00 -7.313899e-01 -1.579482e-19)	(1.790851e+00 -4.947694e-01 -1.578412e-19)	(1.991790e+00 -2.366205e-01 -1.070069e-22)
0.0012       	(3.363630e+00 -2.681468e+00 -1.480419e-19)	(1.428028e+00 -2.462158e+00 -1.479280e-19)	(1.935602e+00 -2.193094e-01 -1.138364e-22)
0.0013       	(3.155394e+00 -3.146409e+00 -1.449917e-19)	(1.266179e+00 -2.941549e+00 -1.448736e-19)	(1.889215e+00 -2.048601e-01 -1.180322e-22)
0.0014       	(3.387208e+00 -2.960385e+00 -1.534183e-19)	(1.539592e+00 -2.766950e+00 -1.532937e-19)	(1.847616e+00 -1.934342e-01 -1.245715e-22)
0.0015       	(4.287399e+00 -2.339092e+00 -1.761195e-19)	(2.475774e+00 -2.154927e+00 -1.759738e-19)	(1.811625e+00 -1.841648e-01 -1.457473e-22)
0.0016       	(4.278152e+00 -2.906993e+00 -1.717398e-19)	(2.499373e+00 -2.730419e+00 -1.715872e-19)	(1.778779e+00 -1.765748e-01 -1.525391e-22)
0.0017       	(6.953543e+00 -4.643614e+00 -1.944430e-19)	(5.205307e+00 -4.473191e+00 -1.943037e-19)	(1.748236e+00 -1.704223e-01 -1.392448e-22)
0.0018       	(7.089888e+00 -4.775916e+00 -1.905194e-19)	(5.369868e+00 -4.610027e+00 -1.903821e-19)	(1.720020e+00 -1.658892e-01 -1.373082e-22)
0.0019       	(6.744054e+00 -4.498830e+00 -1.925182e-19)	(5.052170e+00 -4.337221e+00 -1.923869e-19)	(1.691885e+00 -1.616083e-01 -1.312768e-22)
0.002        	(9.614335e+00 -4.566497e+00 -1.976249e-19)	(7.949650e+00 -4.409975e+00 -1.975332e-19)	(1.664685e+00 -1.565213e-01 -9.173100e-23)
0.0021       	(7.794718e+00 -5.319568e+00 -1.894525e-19)	(6.155342e+00 -5.167708e+00 -1.893683e-19)	(1.639375e+00 -1.518597e-01 -8.422656e-23)
0.0022       	(7.659908e+00 -6.344383e+00 -1.928134e-19)	(6.044604e+00 -6.196678e+00 -1.927109e-19)	(1.615303e+00 -1.477051e-01 -1.025182e-22)
0.0023       	(8.410002e+00 -6.839608e+00 -1.892459e-19)	(6.819775e+00 -6.695852e+00 -1.891304e-19)	(1.590227e+00 -1.437555e-01 -1.155383e-22)
0.0024       	(9.612415e+00 -9.389934e+00 -2.193539e-19)	(8.046683e+00 -9.250405e+00 -2.192400e-19)	(1.565732e+00 -1.395296e-01 -1.139515e-22)
0.0025       	(8.825631e+00 -7.620542e+00 -2.197796e-19)	(7.283164e+00 -7.485017e+00 -2.196779e-19)	(1.542466e+00 -1.355250e-01 -1.016310e-22)
0.0026       	(5.355059e+00 -4.368078e+00 -1.710054e-19)	(3.834779e+00 -4.236577e+00 -1.709094e-19)	(1.520280e+00 -1.315001e-01 -9.601481e-23)
0.0027       	(6.450062e+00 -5.237641e+00 -1.779714e-19)	(4.948498e+00 -5.109792e+00 -1.778783e-19)	(1.501563e+00 -1.278492e-01 -9.308897e-23)
0.0028       	(7.404097e+00 -6.570381e+00 -1.853264e-19)	(5.918610e+00 -6.444662e+00 -1.852355e-19)	(1.485487e+00 -1.257191e-01 -9.096617e-23)
0.0029       	(8.708224e+00 -7.043687e+00 -2.062231e-19)	(7.236417e+00 -6.917798e+00 -2.061278e-19)	(1.471806e+00 -1.258890e-01 -9.534119e-23)
0.003        	(1.018546e+01 -1.096789e+01 -2.050008e-19)	(8.726263e+00 -1.084190e+01 -2.049046e-19)	(1.459200e+00 -1.259932e-01 -9.626629e-23)
0.0031       	(1.049088e+01 -1.095819e+01 -2.017394e-19)	(9.044318e+00 -1.083267e+01 -2.016390e-19)	(1.446566e+00 -1.255253e-01 -1.004505e-22)
0.0032       	(1.082761e+01 -9.625461e+00 -2.098290e-19)	(9.391836e+00 -9.500755e+00 -2.097152e-19)	(1.435778e+00 -1.247059e-01 -1.137454e-22)
0.0033       	(9.446447e+00 -9.539445e+00 -1.982635e-19)	(8.020427e+00 -9.414979e+00 -1.981478e-19)	(1.426020e+00 -1.244656e-01 -1.156998e-22)
0.0034       	(9.841798e+00 -1.215149e+01 -1.896008e-19)	(8.425715e+00 -1.202790e+01 -1.894930e-19)	(1.416083e+00 -1.235958e-01 -1.078334e-22)
0.0035       	(1.091772e+01 -1.211138e+01 -2.061380e-19)	(9.512187e+00 -1.198879e+01 -2.060329e-19)	(1.405535e+00 -1.225884e-01 -1.051501e-22)
0.0036       	(9.466570e+00 -1.102158e+01 -1.745508e-19)	(8.071761e+00 -1.090004e+01 -1.744499e-19)	(1.394809e+00 -1.215457e-01 -1.008840e-22)
0.0037       	(8.571066e+00 -8.349134e+00 -1.920032e-19)	(7.186050e+00 -8.228384e+00 -1.919041e-19)	(1.385016e+00 -1.207494e-01 -9.909213e-23)
0.0038       	(1.246804e+01 -1.287462e+01 -2.135526e-19)	(1.109108e+01 -1.275407e+01 -2.134510e-19)	(1.376953e+00 -1.205442e-01 -1.016266e-22)
0.0039       	(1.036691e+01 -1.016763e+01 -1.993599e-19)	(8.995885e+00 -1.004685e+01 -1.992549e-19)	(1.371026e+00 -1.207859e-01 -1.050224e-22)
0.004        	(9.265633e+00 -9.105955e+00 -1.908139e-19)	(7.900739e+00 -8.984363e+00 -1.907034e-19)	(1.364894e+00 -1.215915e-01 -1.105285e-22)
0.0041       	(1.068183e+01 -1.108844e+01 -1.977720e-19)	(9.323746e+00 -1.096603e+01 -1.976589e-19)	(1.358083e+00 -1.224195e-01 -1.131379e-22)
0.0042       	(8.345114e+00 -7.629840e+00 -1.875991e-19)	(6.994829e+00 -7.507340e+00 -1.874837e-19)	(1.350285e+00 -1.225001e-01 -1.153643e-22)
0.0043       	(1.084931e+01 -1.122229e+01 -1.997464e-19)	(9.506837e+00 -1.109992e+01 -1.996299e-19)	(1.342471e+00 -1.223728e-01 -1.165359e-22)
0.0044       	(1.110346e+01 -1.095671e+01 -2.075749e-19)	(9.767774e+00 -1.083434e+01 -2.074575e-19)	(1.335684e+00 -1.223722e-01 -1.173931e-22)
0.0045       	(1.033526e+01 -8.980955e+00 -2.094354e-19)	(9.004926e+00 -8.858561e+00 -2.093148e-19)	(1.330330e+00 -1.223942e-01 -1.206230e-22)
0.0046       	(9.353027e+00 -8.043160e+00 -1.942299e-19)	(8.029603e+00 -7.920837e+00 -1.941089e-19)	(1.323424e+00 -1.223229e-01 -1.210042e-22)
0.0047       	(9.985142e+00 -1.011428e+01 -1.952569e-19)	(8.667730e+00 -9.991913e+00 -1.951468e-19)	(1.317412e+00 -1.223659e-01 -1.101108e-22)
