# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.828558e+03 -1.734612e+04 -8.061525e-18)	(2.824933e+03 -1.734578e+04 -8.061327e-18)	(3.625149e+00 -3.462695e-01 -1.985195e-22)
0.0002       	(-3.676235e+02 2.480278e+03 7.036440e-19)	(-3.709758e+02 2.480590e+03 7.038236e-19)	(3.352294e+00 -3.115308e-01 -1.795987e-22)
0.0003       	(3.048712e+00 -1.408741e+00 -1.328631e-19)	(9.350131e-02 -1.136228e+00 -1.326840e-19)	(2.955211e+00 -2.725130e-01 -1.790895e-22)
0.0004       	(2.813705e+00 -7.450623e-01 -1.212870e-19)	(1.123988e-02 -4.897339e-01 -1.210791e-19)	(2.802465e+00 -2.553285e-01 -2.079135e-22)
0.0005       	(2.837929e+00 6.384171e-01 -1.267710e-19)	(1.443829e-01 8.838410e-01 -1.265460e-19)	(2.693546e+00 -2.454239e-01 -2.249885e-22)
0.0006       	(2.567040e+00 -7.127165e-01 -1.246207e-19)	(-9.257930e-03 -4.799522e-01 -1.243721e-19)	(2.576298e+00 -2.327644e-01 -2.485875e-22)
0.0007       	(2.453573e+00 -1.574321e+00 -1.274613e-19)	(-2.218815e-02 -1.354302e+00 -1.271782e-19)	(2.475761e+00 -2.200193e-01 -2.830949e-22)
0.0008       	(2.922151e+00 -1.814654e+00 -1.346249e-19)	(5.195332e-01 -1.604205e+00 -1.343307e-19)	(2.402617e+00 -2.104493e-01 -2.941932e-22)
0.0009       	(3.325100e+00 -1.492181e+00 -1.408546e-19)	(9.864403e-01 -1.291198e+00 -1.405636e-19)	(2.338659e+00 -2.009831e-01 -2.910770e-22)
0.001        	(3.934856e+00 -1.205085e+00 -1.436884e-19)	(1.658950e+00 -1.014216e+00 -1.434164e-19)	(2.275906e+00 -1.908696e-01 -2.720552e-22)
0.0011       	(3.740251e+00 -4.659829e-01 -1.390075e-19)	(1.528773e+00 -2.858052e-01 -1.387467e-19)	(2.211478e+00 -1.801777e-01 -2.607899e-22)
0.0012       	(3.762818e+00 -1.780783e+00 -1.285580e-19)	(1.604271e+00 -1.609929e+00 -1.283066e-19)	(2.158547e+00 -1.708530e-01 -2.513914e-22)
0.0013       	(4.547904e+00 -3.549739e+00 -1.271348e-19)	(2.437998e+00 -3.387942e+00 -1.269040e-19)	(2.109905e+00 -1.617974e-01 -2.307503e-22)
0.0014       	(4.282109e+00 -3.263686e+00 -1.371463e-19)	(2.218626e+00 -3.110443e+00 -1.369235e-19)	(2.063483e+00 -1.532426e-01 -2.228363e-22)
0.0015       	(6.002238e+00 -3.091441e+00 -1.662523e-19)	(3.982403e+00 -2.945387e+00 -1.660258e-19)	(2.019835e+00 -1.460547e-01 -2.265571e-22)
0.0016       	(5.821575e+00 -3.291433e+00 -1.689308e-19)	(3.842162e+00 -3.151730e+00 -1.686935e-19)	(1.979413e+00 -1.397033e-01 -2.373477e-22)
0.0017       	(7.301102e+00 -4.474622e+00 -1.936493e-19)	(5.359905e+00 -4.340974e+00 -1.934116e-19)	(1.941197e+00 -1.336475e-01 -2.376529e-22)
0.0018       	(7.859267e+00 -3.568031e+00 -1.909887e-19)	(5.953289e+00 -3.439600e+00 -1.907573e-19)	(1.905978e+00 -1.284315e-01 -2.313793e-22)
0.0019       	(5.020439e+00 -2.437534e+00 -1.551182e-19)	(3.147137e+00 -2.314472e+00 -1.548846e-19)	(1.873302e+00 -1.230614e-01 -2.335086e-22)
0.002        	(6.051509e+00 -3.176420e+00 -1.676019e-19)	(4.208955e+00 -3.058829e+00 -1.673682e-19)	(1.842554e+00 -1.175917e-01 -2.336765e-22)
0.0021       	(6.869581e+00 -4.113949e+00 -1.815141e-19)	(5.057665e+00 -4.001379e+00 -1.812885e-19)	(1.811916e+00 -1.125697e-01 -2.256149e-22)
0.0022       	(7.469736e+00 -4.446977e+00 -1.843748e-19)	(5.688280e+00 -4.338788e+00 -1.841595e-19)	(1.781456e+00 -1.081893e-01 -2.152954e-22)
0.0023       	(7.312060e+00 -4.482935e+00 -1.861283e-19)	(5.559416e+00 -4.377194e+00 -1.859240e-19)	(1.752644e+00 -1.057405e-01 -2.042591e-22)
0.0024       	(5.644495e+00 -2.996728e+00 -1.626317e-19)	(3.919541e+00 -2.893703e+00 -1.624372e-19)	(1.724954e+00 -1.030255e-01 -1.945018e-22)
0.0025       	(7.671940e+00 -3.045970e+00 -1.717460e-19)	(5.972499e+00 -2.944871e+00 -1.715615e-19)	(1.699441e+00 -1.010993e-01 -1.844649e-22)
0.0026       	(1.183370e+01 -3.567644e+00 -1.871628e-19)	(1.015705e+01 -3.467733e+00 -1.869962e-19)	(1.676647e+00 -9.991114e-02 -1.666433e-22)
0.0027       	(7.856932e+00 -3.873231e+00 -1.706875e-19)	(6.202390e+00 -3.774519e+00 -1.705362e-19)	(1.654543e+00 -9.871179e-02 -1.513744e-22)
0.0028       	(6.285465e+00 -4.037439e+00 -1.515458e-19)	(4.651746e+00 -3.939973e+00 -1.514020e-19)	(1.633719e+00 -9.746578e-02 -1.437965e-22)
0.0029       	(7.624707e+00 -4.251443e+00 -1.655801e-19)	(6.011757e+00 -4.154944e+00 -1.654415e-19)	(1.612950e+00 -9.649899e-02 -1.386164e-22)
0.003        	(7.439898e+00 -4.411327e+00 -1.606147e-19)	(5.846354e+00 -4.315188e+00 -1.604893e-19)	(1.593544e+00 -9.613841e-02 -1.254355e-22)
0.0031       	(8.616412e+00 -4.946500e+00 -1.717176e-19)	(7.040364e+00 -4.850606e+00 -1.716016e-19)	(1.576047e+00 -9.589408e-02 -1.159659e-22)
0.0032       	(8.572133e+00 -5.659319e+00 -1.740364e-19)	(7.012765e+00 -5.564288e+00 -1.739296e-19)	(1.559369e+00 -9.503105e-02 -1.068156e-22)
0.0033       	(1.189472e+01 -1.007879e+01 -2.115222e-19)	(1.035237e+01 -9.985996e+00 -2.114061e-19)	(1.542344e+00 -9.279796e-02 -1.161468e-22)
0.0034       	(1.297807e+01 -9.051053e+00 -2.127376e-19)	(1.145190e+01 -8.960413e+00 -2.126181e-19)	(1.526172e+00 -9.064041e-02 -1.195289e-22)
0.0035       	(1.290151e+01 -9.219567e+00 -2.024657e-19)	(1.139081e+01 -9.130588e+00 -2.023504e-19)	(1.510695e+00 -8.897869e-02 -1.153331e-22)
0.0036       	(8.525020e+00 -6.424747e+00 -1.771378e-19)	(7.029932e+00 -6.336910e+00 -1.770204e-19)	(1.495088e+00 -8.783643e-02 -1.173983e-22)
0.0037       	(9.252420e+00 -6.452365e+00 -1.782532e-19)	(7.771540e+00 -6.365324e+00 -1.781348e-19)	(1.480880e+00 -8.704053e-02 -1.183986e-22)
0.0038       	(1.037536e+01 -5.928346e+00 -1.717391e-19)	(8.906423e+00 -5.841270e+00 -1.716161e-19)	(1.468939e+00 -8.707557e-02 -1.229936e-22)
0.0039       	(9.565810e+00 -4.905076e+00 -1.738861e-19)	(8.107919e+00 -4.817263e+00 -1.737560e-19)	(1.457891e+00 -8.781291e-02 -1.301630e-22)
0.004        	(1.013305e+01 -5.933098e+00 -1.895175e-19)	(8.686838e+00 -5.845089e+00 -1.893856e-19)	(1.446216e+00 -8.800997e-02 -1.318513e-22)
0.0041       	(1.173385e+01 -6.235266e+00 -1.966244e-19)	(1.029890e+01 -6.147465e+00 -1.964943e-19)	(1.434944e+00 -8.780097e-02 -1.300755e-22)
0.0042       	(1.034182e+01 -5.484672e+00 -1.918896e-19)	(8.919306e+00 -5.396848e+00 -1.917580e-19)	(1.422511e+00 -8.782391e-02 -1.315463e-22)
0.0043       	(1.187699e+01 -4.679229e+00 -1.836912e-19)	(1.046647e+01 -4.591914e+00 -1.835573e-19)	(1.410526e+00 -8.731526e-02 -1.339090e-22)
0.0044       	(1.045047e+01 -5.575756e+00 -1.794056e-19)	(9.050382e+00 -5.489329e+00 -1.792709e-19)	(1.400086e+00 -8.642757e-02 -1.346952e-22)
0.0045       	(9.589130e+00 -5.507953e+00 -1.770887e-19)	(8.197586e+00 -5.422547e+00 -1.769562e-19)	(1.391544e+00 -8.540594e-02 -1.324483e-22)
0.0046       	(1.070981e+01 -7.680211e+00 -1.677423e-19)	(9.328951e+00 -7.596174e+00 -1.676152e-19)	(1.380854e+00 -8.403700e-02 -1.270396e-22)
0.0047       	(1.209788e+01 -9.028979e+00 -1.896586e-19)	(1.072835e+01 -8.945736e+00 -1.895351e-19)	(1.369535e+00 -8.324337e-02 -1.234598e-22)
0.0048       	(1.171917e+01 -8.634870e+00 -1.808964e-19)	(1.035997e+01 -8.551654e+00 -1.807764e-19)	(1.359204e+00 -8.321598e-02 -1.199460e-22)
0.0049       	(1.053486e+01 -6.031217e+00 -1.870364e-19)	(9.184512e+00 -5.948584e+00 -1.869169e-19)	(1.350348e+00 -8.263374e-02 -1.195111e-22)
0.005        	(1.054601e+01 -6.277870e+00 -1.792557e-19)	(9.204228e+00 -6.195967e+00 -1.791365e-19)	(1.341779e+00 -8.190267e-02 -1.192436e-22)
0.0051       	(1.276878e+01 -7.870149e+00 -1.820093e-19)	(1.143587e+01 -7.788733e+00 -1.818896e-19)	(1.332907e+00 -8.141670e-02 -1.196174e-22)
0.0052       	(1.261678e+01 -6.308178e+00 -1.870119e-19)	(1.129378e+01 -6.227244e+00 -1.868913e-19)	(1.323000e+00 -8.093463e-02 -1.206173e-22)
0.0053       	(1.236843e+01 -6.593822e+00 -1.942488e-19)	(1.105633e+01 -6.513104e+00 -1.941268e-19)	(1.312103e+00 -8.071813e-02 -1.220296e-22)
0.0054       	(9.864489e+00 -5.274646e+00 -1.811164e-19)	(8.563172e+00 -5.194240e+00 -1.809952e-19)	(1.301317e+00 -8.040643e-02 -1.212055e-22)
0.0055       	(9.338945e+00 -4.661141e+00 -1.764757e-19)	(8.049783e+00 -4.581041e+00 -1.763556e-19)	(1.289162e+00 -8.009996e-02 -1.201267e-22)
0.0056       	(1.071420e+01 -6.139095e+00 -1.846670e-19)	(9.436562e+00 -6.058969e+00 -1.845463e-19)	(1.277636e+00 -8.012612e-02 -1.206960e-22)
0.0057       	(1.138028e+01 -7.498756e+00 -1.863125e-19)	(1.011396e+01 -7.418246e+00 -1.861931e-19)	(1.266312e+00 -8.050910e-02 -1.193893e-22)
0.0058       	(1.014032e+01 -6.014576e+00 -1.808654e-19)	(8.881920e+00 -5.934277e+00 -1.807449e-19)	(1.258404e+00 -8.029977e-02 -1.205315e-22)
0.0059       	(1.298748e+01 -8.880364e+00 -1.904046e-19)	(1.173473e+01 -8.800746e+00 -1.902870e-19)	(1.252747e+00 -7.961824e-02 -1.176216e-22)
0.006        	(1.394944e+01 -7.786625e+00 -1.949184e-19)	(1.270220e+01 -7.707805e+00 -1.948021e-19)	(1.247235e+00 -7.881942e-02 -1.163540e-22)
0.0061       	(1.591197e+01 -1.051984e+01 -2.049052e-19)	(1.466821e+01 -1.044178e+01 -2.047866e-19)	(1.243752e+00 -7.805980e-02 -1.186276e-22)
0.0062       	(1.518009e+01 -1.327316e+01 -1.984947e-19)	(1.393970e+01 -1.319535e+01 -1.983653e-19)	(1.240395e+00 -7.780506e-02 -1.294056e-22)
0.0063       	(1.544786e+01 -1.084912e+01 -2.023588e-19)	(1.421052e+01 -1.077137e+01 -2.022238e-19)	(1.237337e+00 -7.775203e-02 -1.349551e-22)
0.0064       	(1.180947e+01 -9.225768e+00 -1.859594e-19)	(1.057581e+01 -9.147920e+00 -1.858203e-19)	(1.233654e+00 -7.784821e-02 -1.390765e-22)
0.0065       	(1.242441e+01 -9.393276e+00 -1.840997e-19)	(1.119328e+01 -9.315493e+00 -1.839582e-19)	(1.231131e+00 -7.778311e-02 -1.415893e-22)
0.0066       	(1.304727e+01 -7.810311e+00 -1.923574e-19)	(1.181945e+01 -7.732128e+00 -1.922126e-19)	(1.227819e+00 -7.818369e-02 -1.448140e-22)
0.0067       	(1.211289e+01 -6.846269e+00 -1.885278e-19)	(1.089006e+01 -6.767286e+00 -1.883810e-19)	(1.222837e+00 -7.898281e-02 -1.468179e-22)
0.0068       	(1.279483e+01 -8.038479e+00 -1.881619e-19)	(1.157496e+01 -7.958953e+00 -1.880155e-19)	(1.219878e+00 -7.952564e-02 -1.463845e-22)
0.0069       	(1.329549e+01 -9.346729e+00 -1.916049e-19)	(1.207685e+01 -9.266747e+00 -1.914610e-19)	(1.218638e+00 -7.998160e-02 -1.439434e-22)
0.007        	(1.192805e+01 -8.655641e+00 -1.825115e-19)	(1.071197e+01 -8.575119e+00 -1.823725e-19)	(1.216079e+00 -8.052217e-02 -1.389825e-22)
0.0071       	(1.145467e+01 -7.066153e+00 -1.824950e-19)	(1.024136e+01 -6.985314e+00 -1.823600e-19)	(1.213310e+00 -8.083896e-02 -1.349821e-22)
0.0072       	(1.228661e+01 -8.768704e+00 -1.862926e-19)	(1.107567e+01 -8.688075e+00 -1.861581e-19)	(1.210934e+00 -8.062917e-02 -1.344307e-22)
