# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.681780e+03 -1.890042e+04 -8.786021e-18)	(2.678165e+03 -1.890004e+04 -8.785826e-18)	(3.614491e+00 -3.809202e-01 -1.947912e-22)
0.0002       	(-3.341345e+02 2.735031e+03 7.898382e-19)	(-3.374723e+02 2.735373e+03 7.899939e-19)	(3.337722e+00 -3.417740e-01 -1.556494e-22)
0.0003       	(3.437081e+00 2.012352e+00 -1.161339e-19)	(5.045496e-01 2.311694e+00 -1.159749e-19)	(2.932532e+00 -2.993420e-01 -1.589822e-22)
0.0004       	(2.883362e+00 -4.531273e-01 -1.189539e-19)	(1.065669e-01 -1.716531e-01 -1.187658e-19)	(2.776795e+00 -2.814743e-01 -1.881291e-22)
0.0005       	(2.930289e+00 6.145764e-01 -1.165292e-19)	(2.638647e-01 8.829319e-01 -1.163153e-19)	(2.666424e+00 -2.683555e-01 -2.139964e-22)
0.0006       	(2.812646e+00 -3.113352e-01 -1.181222e-19)	(2.656742e-01 -5.880236e-02 -1.178776e-19)	(2.546972e+00 -2.525328e-01 -2.446146e-22)
0.0007       	(2.756729e+00 -9.859442e-01 -1.255115e-19)	(3.146867e-01 -7.476996e-01 -1.252464e-19)	(2.442043e+00 -2.382447e-01 -2.651418e-22)
0.0008       	(3.173005e+00 5.522003e-01 -1.308402e-19)	(8.070224e-01 7.778410e-01 -1.305586e-19)	(2.365983e+00 -2.256407e-01 -2.815971e-22)
0.0009       	(3.319942e+00 -1.414665e+00 -1.402748e-19)	(1.019274e+00 -1.200976e+00 -1.399878e-19)	(2.300668e+00 -2.136890e-01 -2.869265e-22)
0.001        	(3.674896e+00 -2.074094e+00 -1.383526e-19)	(1.439446e+00 -1.873432e+00 -1.380752e-19)	(2.235450e+00 -2.006618e-01 -2.773881e-22)
0.0011       	(4.080221e+00 1.035667e+00 -1.396422e-19)	(1.912075e+00 1.223981e+00 -1.393865e-19)	(2.168146e+00 -1.883139e-01 -2.557068e-22)
0.0012       	(3.711811e+00 -9.422891e-02 -1.374818e-19)	(1.601118e+00 8.255389e-02 -1.372301e-19)	(2.110694e+00 -1.767828e-01 -2.516978e-22)
