# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.411566e+03 4.379111e+03 -7.047659e-19)	(3.407918e+03 4.379010e+03 -7.044495e-19)	(3.648390e+00 1.010191e-01 -3.164092e-22)
0.0002       	(2.354742e+01 -5.237388e+01 -1.401291e-19)	(2.018710e+01 -5.246600e+01 -1.398680e-19)	(3.360325e+00 9.212073e-02 -2.611274e-22)
0.0003       	(1.781356e+01 8.565203e+00 -1.320664e-19)	(1.466829e+01 8.477420e+00 -1.318111e-19)	(3.145267e+00 8.778341e-02 -2.552953e-22)
0.0004       	(1.857723e+01 3.020927e+00 -1.415118e-19)	(1.557453e+01 2.937908e+00 -1.412391e-19)	(3.002701e+00 8.301916e-02 -2.726932e-22)
0.0005       	(1.898929e+01 5.005357e+00 -1.422695e-19)	(1.610095e+01 4.925744e+00 -1.419805e-19)	(2.888340e+00 7.961257e-02 -2.890056e-22)
0.0006       	(1.947002e+01 4.936345e+00 -1.409383e-19)	(1.667501e+01 4.858864e+00 -1.406375e-19)	(2.795007e+00 7.748131e-02 -3.008736e-22)
0.0007       	(1.896260e+01 4.759893e+00 -1.422612e-19)	(1.624688e+01 4.684631e+00 -1.419530e-19)	(2.715720e+00 7.526172e-02 -3.082079e-22)
0.0008       	(1.864950e+01 1.535914e+00 -1.407641e-19)	(1.600257e+01 1.462941e+00 -1.404499e-19)	(2.646934e+00 7.297295e-02 -3.141902e-22)
0.0009       	(1.894289e+01 3.991231e+00 -1.395627e-19)	(1.635585e+01 3.920098e+00 -1.392493e-19)	(2.587035e+00 7.113302e-02 -3.134639e-22)
0.001        	(1.899206e+01 4.283021e+00 -1.379148e-19)	(1.645778e+01 4.213254e+00 -1.376102e-19)	(2.534278e+00 6.976704e-02 -3.045621e-22)
0.0011       	(1.852545e+01 -3.248158e+00 -1.384997e-19)	(1.603930e+01 -3.317332e+00 -1.382188e-19)	(2.486150e+00 6.917408e-02 -2.809565e-22)
0.0012       	(1.930958e+01 4.587093e+00 -1.337063e-19)	(1.686891e+01 4.519384e+00 -1.334424e-19)	(2.440665e+00 6.770847e-02 -2.638708e-22)
0.0013       	(1.805867e+01 8.138122e+00 -1.380122e-19)	(1.566137e+01 8.072112e+00 -1.377645e-19)	(2.397301e+00 6.601028e-02 -2.477012e-22)
0.0014       	(1.877761e+01 7.270258e+00 -1.358803e-19)	(1.642103e+01 7.206137e+00 -1.356424e-19)	(2.356579e+00 6.412032e-02 -2.378512e-22)
0.0015       	(1.866778e+01 2.633252e+00 -1.353022e-19)	(1.634767e+01 2.569159e+00 -1.350742e-19)	(2.320110e+00 6.409302e-02 -2.279541e-22)
0.0016       	(1.920113e+01 8.953490e+00 -1.322341e-19)	(1.691410e+01 8.888999e+00 -1.320121e-19)	(2.287033e+00 6.449143e-02 -2.220206e-22)
0.0017       	(2.013152e+01 7.109369e+00 -1.324926e-19)	(1.787328e+01 7.045543e+00 -1.322764e-19)	(2.258235e+00 6.382614e-02 -2.162561e-22)
0.0018       	(1.902713e+01 1.586161e+01 -1.313355e-19)	(1.679704e+01 1.579934e+01 -1.311343e-19)	(2.230094e+00 6.227603e-02 -2.012020e-22)
0.0019       	(1.978450e+01 1.675233e+01 -1.344987e-19)	(1.758226e+01 1.669166e+01 -1.343131e-19)	(2.202240e+00 6.066306e-02 -1.856263e-22)
0.002        	(1.949371e+01 1.823170e+01 -1.377121e-19)	(1.731785e+01 1.817187e+01 -1.375411e-19)	(2.175860e+00 5.983445e-02 -1.710279e-22)
0.0021       	(2.036878e+01 1.223486e+01 -1.387520e-19)	(1.821700e+01 1.217597e+01 -1.385929e-19)	(2.151783e+00 5.888798e-02 -1.591148e-22)
0.0022       	(2.385114e+01 1.713890e+01 -1.353436e-19)	(2.172208e+01 1.708087e+01 -1.352026e-19)	(2.129066e+00 5.803454e-02 -1.410565e-22)
0.0023       	(2.196857e+01 2.207276e+01 -1.364222e-19)	(1.985972e+01 2.201546e+01 -1.362916e-19)	(2.108854e+00 5.729858e-02 -1.305659e-22)
0.0024       	(2.270993e+01 1.086151e+01 -1.422768e-19)	(2.061821e+01 1.080535e+01 -1.421493e-19)	(2.091719e+00 5.616018e-02 -1.274638e-22)
0.0025       	(2.541548e+01 1.083698e+01 -1.556301e-19)	(2.333958e+01 1.078203e+01 -1.554974e-19)	(2.075900e+00 5.495147e-02 -1.327275e-22)
0.0026       	(2.315858e+01 1.349185e+01 -1.404201e-19)	(2.109866e+01 1.343744e+01 -1.402844e-19)	(2.059918e+00 5.440291e-02 -1.357390e-22)
0.0027       	(2.209123e+01 1.586159e+01 -1.381582e-19)	(2.004829e+01 1.580747e+01 -1.380182e-19)	(2.042941e+00 5.411827e-02 -1.400417e-22)
0.0028       	(2.214674e+01 1.896039e+01 -1.379029e-19)	(2.011788e+01 1.890568e+01 -1.377600e-19)	(2.028862e+00 5.471412e-02 -1.429407e-22)
0.0029       	(2.240749e+01 1.859216e+01 -1.383575e-19)	(2.039039e+01 1.853675e+01 -1.382146e-19)	(2.017104e+00 5.541451e-02 -1.428874e-22)
0.003        	(2.306719e+01 1.897943e+01 -1.413004e-19)	(2.106053e+01 1.892418e+01 -1.411652e-19)	(2.006664e+00 5.525219e-02 -1.351321e-22)
0.0031       	(2.289646e+01 3.305041e+01 -1.377395e-19)	(2.090045e+01 3.299606e+01 -1.376114e-19)	(1.996011e+00 5.435442e-02 -1.280684e-22)
0.0032       	(2.522385e+01 2.532220e+01 -1.345951e-19)	(2.323745e+01 2.526806e+01 -1.344784e-19)	(1.986403e+00 5.414214e-02 -1.166598e-22)
0.0033       	(2.254899e+01 2.071955e+01 -1.313449e-19)	(2.057116e+01 2.066560e+01 -1.312413e-19)	(1.977830e+00 5.394882e-02 -1.035494e-22)
0.0034       	(2.332126e+01 3.058414e+01 -1.103718e-19)	(2.134701e+01 3.052787e+01 -1.102947e-19)	(1.974246e+00 5.627439e-02 -7.708327e-23)
0.0035       	(2.239070e+01 4.484767e+01 -8.854536e-20)	(2.041661e+01 4.479086e+01 -8.850092e-20)	(1.974082e+00 5.681355e-02 -4.443198e-23)
