# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.122561e+03 1.188698e+04 1.035732e-18)	(3.118927e+03 1.188674e+04 1.036096e-18)	(3.634062e+00 2.484735e-01 -3.641902e-22)
0.0002       	(-4.571427e+02 -1.809683e+03 -1.990498e-20)	(-4.605077e+02 -1.809909e+03 -1.959642e-20)	(3.365018e+00 2.254091e-01 -3.085535e-22)
0.0003       	(3.409370e+00 -1.510100e-01 -1.193727e-19)	(4.169391e-01 -3.521519e-01 -1.190778e-19)	(2.992430e+00 2.011419e-01 -2.949078e-22)
0.0004       	(2.705683e+00 1.623112e+00 -1.190726e-19)	(-1.392118e-01 1.432524e+00 -1.187847e-19)	(2.844895e+00 1.905888e-01 -2.878897e-22)
0.0005       	(2.622933e+00 1.884061e+00 -1.182428e-19)	(-1.181088e-01 1.700734e+00 -1.179706e-19)	(2.741042e+00 1.833268e-01 -2.722532e-22)
0.0006       	(2.777783e+00 1.461875e-01 -1.190321e-19)	(1.429063e-01 -3.078081e-02 -1.187736e-19)	(2.634877e+00 1.769683e-01 -2.584256e-22)
0.0007       	(2.913446e+00 -6.541583e-01 -1.175892e-19)	(3.705924e-01 -8.254718e-01 -1.173370e-19)	(2.542854e+00 1.713135e-01 -2.521254e-22)
0.0008       	(3.337070e+00 -6.902986e-02 -1.152456e-19)	(8.636232e-01 -2.352707e-01 -1.150028e-19)	(2.473447e+00 1.662409e-01 -2.427322e-22)
0.0009       	(3.504154e+00 6.326159e-02 -1.159585e-19)	(1.091481e+00 -9.643591e-02 -1.157344e-19)	(2.412673e+00 1.596975e-01 -2.240142e-22)
0.001        	(3.252797e+00 2.808313e+00 -1.168627e-19)	(8.994356e-01 2.655578e+00 -1.166527e-19)	(2.353361e+00 1.527346e-01 -2.100540e-22)
0.0011       	(3.093718e+00 2.596567e+00 -1.191466e-19)	(7.977319e-01 2.451106e+00 -1.189441e-19)	(2.295986e+00 1.454612e-01 -2.024874e-22)
0.0012       	(3.107921e+00 1.731218e+00 -1.191174e-19)	(8.605457e-01 1.592322e+00 -1.189190e-19)	(2.247375e+00 1.388954e-01 -1.983462e-22)
0.0013       	(3.282837e+00 1.573638e+00 -1.181889e-19)	(1.080185e+00 1.440506e+00 -1.179948e-19)	(2.202652e+00 1.331323e-01 -1.940468e-22)
0.0014       	(4.212677e+00 1.736599e+00 -1.182823e-19)	(2.053577e+00 1.608727e+00 -1.180983e-19)	(2.159100e+00 1.278723e-01 -1.839868e-22)
0.0015       	(5.624449e+00 8.424111e-01 -1.105692e-19)	(3.507891e+00 7.191997e-01 -1.104057e-19)	(2.116558e+00 1.232114e-01 -1.634976e-22)
0.0016       	(6.635280e+00 7.932693e-01 -1.015645e-19)	(4.557971e+00 6.742249e-01 -1.014165e-19)	(2.077309e+00 1.190444e-01 -1.480617e-22)
0.0017       	(7.904545e+00 3.812789e+00 -9.509989e-20)	(5.864433e+00 3.697987e+00 -9.496387e-20)	(2.040112e+00 1.148014e-01 -1.360214e-22)
0.0018       	(7.463648e+00 3.295903e+00 -9.410440e-20)	(5.457612e+00 3.186045e+00 -9.398352e-20)	(2.006036e+00 1.098577e-01 -1.208811e-22)
0.0019       	(5.672868e+00 3.341358e+00 -1.049895e-19)	(3.700805e+00 3.235364e+00 -1.048816e-19)	(1.972064e+00 1.059943e-01 -1.078281e-22)
0.002        	(5.592639e+00 3.317425e+00 -1.062101e-19)	(3.652545e+00 3.214998e+00 -1.061180e-19)	(1.940094e+00 1.024271e-01 -9.217703e-23)
0.0021       	(5.949220e+00 3.173073e+00 -1.054771e-19)	(4.040422e+00 3.074005e+00 -1.053975e-19)	(1.908798e+00 9.906793e-02 -7.966137e-23)
