# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.507357e+03 -1.198309e+03 -1.577677e-18)	(3.503702e+03 -1.198280e+03 -1.577380e-18)	(3.655900e+00 -2.914568e-02 -2.971695e-22)
0.0002       	(2.171659e+01 1.991028e+01 -1.700148e-19)	(1.834896e+01 1.993672e+01 -1.697751e-19)	(3.367628e+00 -2.643583e-02 -2.396606e-22)
0.0003       	(2.053295e+01 -1.179183e+01 -1.717148e-19)	(1.737391e+01 -1.176795e+01 -1.715040e-19)	(3.159036e+00 -2.388293e-02 -2.108013e-22)
0.0004       	(2.084229e+01 -1.025025e+01 -1.728300e-19)	(1.782699e+01 -1.022789e+01 -1.726236e-19)	(3.015302e+00 -2.236219e-02 -2.063978e-22)
0.0005       	(2.110434e+01 -1.135551e+01 -1.708182e-19)	(1.820158e+01 -1.133416e+01 -1.706110e-19)	(2.902759e+00 -2.135009e-02 -2.071921e-22)
0.0006       	(2.270470e+01 -1.144742e+01 -1.636215e-19)	(1.989380e+01 -1.142660e+01 -1.634130e-19)	(2.810901e+00 -2.082270e-02 -2.084630e-22)
0.0007       	(2.238388e+01 -1.090176e+01 -1.716257e-19)	(1.965178e+01 -1.088049e+01 -1.714218e-19)	(2.732099e+00 -2.127195e-02 -2.038987e-22)
0.0008       	(2.113450e+01 -2.395499e+01 -1.675920e-19)	(1.847128e+01 -2.393397e+01 -1.673952e-19)	(2.663220e+00 -2.102204e-02 -1.967910e-22)
0.0009       	(2.239354e+01 -1.555022e+01 -1.704506e-19)	(1.979072e+01 -1.552973e+01 -1.702438e-19)	(2.602822e+00 -2.048927e-02 -2.067983e-22)
0.001        	(2.328379e+01 -1.708332e+01 -1.682984e-19)	(2.073342e+01 -1.706247e+01 -1.680945e-19)	(2.550378e+00 -2.084592e-02 -2.038713e-22)
0.0011       	(2.296084e+01 -1.142729e+01 -1.696646e-19)	(2.045803e+01 -1.140627e+01 -1.694731e-19)	(2.502813e+00 -2.101543e-02 -1.915007e-22)
0.0012       	(2.379728e+01 -1.070854e+01 -1.707762e-19)	(2.133799e+01 -1.068705e+01 -1.705905e-19)	(2.459294e+00 -2.148353e-02 -1.856250e-22)
0.0013       	(2.354685e+01 -1.361248e+01 -1.709130e-19)	(2.112644e+01 -1.359029e+01 -1.707210e-19)	(2.420405e+00 -2.219115e-02 -1.920488e-22)
0.0014       	(2.423696e+01 -9.202861e+00 -1.722745e-19)	(2.185044e+01 -9.179892e+00 -1.720770e-19)	(2.386519e+00 -2.296986e-02 -1.975009e-22)
0.0015       	(2.544071e+01 -3.195912e+01 -1.671888e-19)	(2.308623e+01 -3.193618e+01 -1.669905e-19)	(2.354480e+00 -2.293926e-02 -1.982410e-22)
0.0016       	(2.520545e+01 -2.097140e+01 -1.764109e-19)	(2.288027e+01 -2.094788e+01 -1.762132e-19)	(2.325180e+00 -2.351684e-02 -1.977060e-22)
0.0017       	(2.611376e+01 -2.436038e+01 -1.794479e-19)	(2.381228e+01 -2.433687e+01 -1.792516e-19)	(2.301487e+00 -2.350760e-02 -1.962493e-22)
0.0018       	(2.614821e+01 -3.351030e+01 -1.809094e-19)	(2.386674e+01 -3.348784e+01 -1.807166e-19)	(2.281468e+00 -2.245629e-02 -1.928392e-22)
0.0019       	(2.596387e+01 -2.163006e+01 -1.815567e-19)	(2.370079e+01 -2.160802e+01 -1.813663e-19)	(2.263080e+00 -2.204395e-02 -1.904061e-22)
0.002        	(2.713825e+01 -2.528650e+01 -1.811282e-19)	(2.489189e+01 -2.526366e+01 -1.809510e-19)	(2.246355e+00 -2.284544e-02 -1.771688e-22)
0.0021       	(3.325209e+01 -3.497597e+01 -1.976063e-19)	(3.101856e+01 -3.495284e+01 -1.974533e-19)	(2.233537e+00 -2.312590e-02 -1.530043e-22)
0.0022       	(3.792896e+01 -4.315567e+01 -1.989130e-19)	(3.570543e+01 -4.313295e+01 -1.987979e-19)	(2.223532e+00 -2.271418e-02 -1.151017e-22)
0.0023       	(3.672087e+01 -5.507534e+01 -1.978921e-19)	(3.450465e+01 -5.505358e+01 -1.978367e-19)	(2.216216e+00 -2.176253e-02 -5.536090e-23)
