# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.493130e+03 2.248251e+04 3.449886e-18)	(2.489543e+03 2.248207e+04 3.450304e-18)	(3.587318e+00 4.436463e-01 -4.176120e-22)
0.0002       	(-2.810181e+02 -3.468841e+03 -5.193207e-19)	(-2.843276e+02 -3.469234e+03 -5.189586e-19)	(3.309549e+00 3.923307e-01 -3.620864e-22)
0.0003       	(2.195534e+00 4.925053e+00 -1.016563e-19)	(-6.883173e-01 4.585649e+00 -1.013399e-19)	(2.883851e+00 3.394042e-01 -3.163753e-22)
0.0004       	(3.066979e+00 -1.084810e+00 -1.058311e-19)	(3.402732e-01 -1.402309e+00 -1.055505e-19)	(2.726706e+00 3.174984e-01 -2.806018e-22)
0.0005       	(2.716546e+00 7.915003e-01 -1.165650e-19)	(1.009604e-01 4.885208e-01 -1.163056e-19)	(2.615586e+00 3.029795e-01 -2.593818e-22)
0.0006       	(2.621426e+00 1.396294e+00 -1.183186e-19)	(1.289551e-01 1.110288e+00 -1.180643e-19)	(2.492471e+00 2.860055e-01 -2.543021e-22)
0.0007       	(2.643558e+00 2.702858e-01 -1.180708e-19)	(2.528263e-01 -2.538472e-03 -1.178260e-19)	(2.390732e+00 2.728242e-01 -2.447847e-22)
0.0008       	(2.669249e+00 3.640803e-01 -1.197421e-19)	(3.522911e-01 1.031318e-01 -1.195085e-19)	(2.316958e+00 2.609485e-01 -2.335815e-22)
0.0009       	(3.046307e+00 4.674616e-02 -1.189572e-19)	(7.945856e-01 -2.026322e-01 -1.187421e-19)	(2.251721e+00 2.493783e-01 -2.151475e-22)
0.001        	(3.896789e+00 7.705479e-01 -1.200785e-19)	(1.708435e+00 5.342684e-01 -1.198947e-19)	(2.188354e+00 2.362795e-01 -1.837997e-22)
0.0011       	(3.940169e+00 4.004397e-01 -1.140493e-19)	(1.811208e+00 1.772576e-01 -1.138855e-19)	(2.128961e+00 2.231821e-01 -1.638337e-22)
0.0012       	(3.930819e+00 2.314951e+00 -1.157407e-19)	(1.857092e+00 2.104533e+00 -1.155911e-19)	(2.073727e+00 2.104179e-01 -1.496655e-22)
0.0013       	(3.944574e+00 1.899263e+00 -1.164923e-19)	(1.920005e+00 1.700440e+00 -1.163571e-19)	(2.024569e+00 1.988232e-01 -1.351957e-22)
0.0014       	(4.170051e+00 2.157831e+00 -1.219547e-19)	(2.190729e+00 1.969775e+00 -1.218314e-19)	(1.979322e+00 1.880555e-01 -1.232936e-22)
0.0015       	(5.506574e+00 3.465375e+00 -1.111601e-19)	(3.568020e+00 3.287550e+00 -1.110472e-19)	(1.938554e+00 1.778251e-01 -1.129194e-22)
0.0016       	(8.574929e+00 5.573417e+00 -9.588700e-20)	(6.674795e+00 5.405205e+00 -9.578303e-20)	(1.900134e+00 1.682126e-01 -1.039705e-22)
0.0017       	(5.872989e+00 3.837215e+00 -1.079549e-19)	(4.010987e+00 3.678090e+00 -1.078549e-19)	(1.862002e+00 1.591247e-01 -9.994488e-23)
0.0018       	(5.516133e+00 2.920066e+00 -1.087652e-19)	(3.689980e+00 2.769204e+00 -1.086745e-19)	(1.826154e+00 1.508624e-01 -9.062994e-23)
0.0019       	(7.029996e+00 4.165287e+00 -1.022353e-19)	(5.234947e+00 4.020908e+00 -1.021535e-19)	(1.795048e+00 1.443792e-01 -8.172308e-23)
0.002        	(6.354797e+00 3.739158e+00 -1.077748e-19)	(4.588877e+00 3.599882e+00 -1.076969e-19)	(1.765920e+00 1.392760e-01 -7.798373e-23)
0.0021       	(5.844297e+00 2.964106e+00 -1.094369e-19)	(4.105042e+00 2.829544e+00 -1.093553e-19)	(1.739255e+00 1.345615e-01 -8.161599e-23)
0.0022       	(7.549484e+00 4.702748e+00 -1.030918e-19)	(5.835270e+00 4.572463e+00 -1.030136e-19)	(1.714214e+00 1.302854e-01 -7.821605e-23)
0.0023       	(8.977707e+00 5.949087e+00 -9.642623e-20)	(7.287136e+00 5.821998e+00 -9.635206e-20)	(1.690571e+00 1.270888e-01 -7.417756e-23)
0.0024       	(7.526912e+00 4.871367e+00 -9.703412e-20)	(5.860355e+00 4.746497e+00 -9.696684e-20)	(1.666557e+00 1.248699e-01 -6.728486e-23)
0.0025       	(8.125387e+00 4.849600e+00 -9.271582e-20)	(6.481025e+00 4.726181e+00 -9.265168e-20)	(1.644362e+00 1.234186e-01 -6.413931e-23)
0.0026       	(8.519235e+00 5.509347e+00 -9.464639e-20)	(6.895003e+00 5.386843e+00 -9.458619e-20)	(1.624231e+00 1.225032e-01 -6.020006e-23)
0.0027       	(7.450099e+00 5.471279e+00 -9.792093e-20)	(5.844869e+00 5.349613e+00 -9.786133e-20)	(1.605231e+00 1.216666e-01 -5.960188e-23)
0.0028       	(9.411816e+00 7.823429e+00 -8.447113e-20)	(7.826547e+00 7.702892e+00 -8.441075e-20)	(1.585269e+00 1.205362e-01 -6.037662e-23)
0.0029       	(1.005343e+01 8.625053e+00 -7.137479e-20)	(8.489795e+00 8.506934e+00 -7.131598e-20)	(1.563639e+00 1.181190e-01 -5.881197e-23)
0.003        	(7.765413e+00 4.871722e+00 -9.119847e-20)	(6.221636e+00 4.755922e+00 -9.113725e-20)	(1.543777e+00 1.158003e-01 -6.121964e-23)
0.0031       	(1.107392e+01 7.707563e+00 -7.387985e-20)	(9.546303e+00 7.593432e+00 -7.381692e-20)	(1.527620e+00 1.141311e-01 -6.292913e-23)
0.0032       	(1.231147e+01 1.081742e+01 -6.262697e-20)	(1.079776e+01 1.070333e+01 -6.256841e-20)	(1.513714e+00 1.140948e-01 -5.856702e-23)
0.0033       	(9.291206e+00 7.583920e+00 -8.826694e-20)	(7.791131e+00 7.469352e+00 -8.821147e-20)	(1.500075e+00 1.145679e-01 -5.546655e-23)
0.0034       	(7.300432e+00 6.104143e+00 -9.589378e-20)	(5.815522e+00 5.989725e+00 -9.583849e-20)	(1.484910e+00 1.144179e-01 -5.529053e-23)
0.0035       	(6.534633e+00 5.115640e+00 -9.803608e-20)	(5.064039e+00 5.001398e+00 -9.798147e-20)	(1.470594e+00 1.142426e-01 -5.461842e-23)
0.0036       	(7.716271e+00 6.553378e+00 -8.373216e-20)	(6.258730e+00 6.439365e+00 -8.367612e-20)	(1.457541e+00 1.140129e-01 -5.604467e-23)
0.0037       	(9.641185e+00 7.313802e+00 -8.417041e-20)	(8.195488e+00 7.199974e+00 -8.411098e-20)	(1.445698e+00 1.138276e-01 -5.942086e-23)
0.0038       	(1.039667e+01 7.546584e+00 -8.130165e-20)	(8.961405e+00 7.432711e+00 -8.122706e-20)	(1.435264e+00 1.138730e-01 -7.459333e-23)
0.0039       	(1.165124e+01 9.385279e+00 -7.324552e-20)	(1.022397e+01 9.270808e+00 -7.315252e-20)	(1.427266e+00 1.144705e-01 -9.299755e-23)
0.004        	(9.116725e+00 7.433480e+00 -9.305713e-20)	(7.698246e+00 7.319033e+00 -9.294939e-20)	(1.418479e+00 1.144472e-01 -1.077437e-22)
0.0041       	(1.045216e+01 6.509208e+00 -1.081922e-19)	(9.042346e+00 6.394856e+00 -1.080720e-19)	(1.409812e+00 1.143516e-01 -1.202217e-22)
0.0042       	(1.366342e+01 9.262679e+00 -1.044047e-19)	(1.226327e+01 9.148412e+00 -1.042736e-19)	(1.400151e+00 1.142669e-01 -1.310419e-22)
0.0043       	(1.093388e+01 9.345762e+00 -8.079668e-20)	(9.544584e+00 9.231393e+00 -8.065640e-20)	(1.389295e+00 1.143695e-01 -1.402769e-22)
0.0044       	(8.672409e+00 7.332096e+00 -7.885520e-20)	(7.294627e+00 7.217928e+00 -7.873120e-20)	(1.377783e+00 1.141676e-01 -1.239928e-22)
0.0045       	(8.293969e+00 5.595934e+00 -9.439618e-20)	(6.925839e+00 5.483367e+00 -9.428165e-20)	(1.368130e+00 1.125670e-01 -1.145371e-22)
0.0046       	(9.646280e+00 6.246227e+00 -9.319481e-20)	(8.286630e+00 6.134776e+00 -9.308499e-20)	(1.359651e+00 1.114503e-01 -1.098242e-22)
0.0047       	(1.168937e+01 8.035037e+00 -8.855225e-20)	(1.033937e+01 7.924626e+00 -8.844325e-20)	(1.350002e+00 1.104109e-01 -1.089951e-22)
0.0048       	(1.388619e+01 1.031854e+01 -8.391673e-20)	(1.254400e+01 1.020925e+01 -8.380854e-20)	(1.342185e+00 1.092907e-01 -1.081884e-22)
0.0049       	(1.155655e+01 8.632464e+00 -9.351987e-20)	(1.022257e+01 8.523783e+00 -9.340688e-20)	(1.333985e+00 1.086813e-01 -1.129911e-22)
0.005        	(9.669420e+00 6.629059e+00 -9.975685e-20)	(8.344362e+00 6.520679e+00 -9.963947e-20)	(1.325058e+00 1.083797e-01 -1.173792e-22)
0.0051       	(1.173888e+01 9.153170e+00 -9.367246e-20)	(1.042248e+01 9.044578e+00 -9.355185e-20)	(1.316399e+00 1.085928e-01 -1.206120e-22)
0.0052       	(1.039669e+01 8.361794e+00 -9.041705e-20)	(9.089042e+00 8.253016e+00 -9.029583e-20)	(1.307648e+00 1.087785e-01 -1.212120e-22)
0.0053       	(9.216242e+00 7.220347e+00 -9.709261e-20)	(7.918336e+00 7.112418e+00 -9.697511e-20)	(1.297906e+00 1.079288e-01 -1.175058e-22)
0.0054       	(1.240347e+01 1.291835e+01 -8.713049e-20)	(1.111533e+01 1.281159e+01 -8.702522e-20)	(1.288141e+00 1.067591e-01 -1.052672e-22)
0.0055       	(1.303249e+01 1.175166e+01 -8.116732e-20)	(1.175306e+01 1.164551e+01 -8.106946e-20)	(1.279423e+00 1.061576e-01 -9.785672e-23)
0.0056       	(1.254240e+01 9.725058e+00 -8.692824e-20)	(1.127124e+01 9.619216e+00 -8.683524e-20)	(1.271167e+00 1.058418e-01 -9.300583e-23)
0.0057       	(1.335019e+01 9.384672e+00 -9.200194e-20)	(1.208700e+01 9.278857e+00 -9.191216e-20)	(1.263184e+00 1.058155e-01 -8.977584e-23)
0.0058       	(1.377417e+01 9.686799e+00 -8.976041e-20)	(1.251937e+01 9.580763e+00 -8.967335e-20)	(1.254792e+00 1.060360e-01 -8.706173e-23)
0.0059       	(1.222723e+01 1.064812e+01 -8.377918e-20)	(1.098114e+01 1.054166e+01 -8.369388e-20)	(1.246096e+00 1.064615e-01 -8.530881e-23)
0.006        	(1.329659e+01 1.422078e+01 -7.492218e-20)	(1.205908e+01 1.411364e+01 -7.483918e-20)	(1.237506e+00 1.071440e-01 -8.299251e-23)
0.0061       	(1.000637e+01 9.464958e+00 -9.135579e-20)	(8.775745e+00 9.357740e+00 -9.127719e-20)	(1.230627e+00 1.072178e-01 -7.860030e-23)
0.0062       	(1.013589e+01 9.128268e+00 -9.324216e-20)	(8.911190e+00 9.021298e+00 -9.316810e-20)	(1.224701e+00 1.069701e-01 -7.406140e-23)
0.0063       	(1.067781e+01 9.367305e+00 -9.111831e-20)	(9.460049e+00 9.261041e+00 -9.104763e-20)	(1.217765e+00 1.062639e-01 -7.067747e-23)
0.0064       	(1.344414e+01 1.482425e+01 -9.468325e-20)	(1.223375e+01 1.471890e+01 -9.461564e-20)	(1.210386e+00 1.053562e-01 -6.760707e-23)
