# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.292100e+03 9.222565e+03 3.227702e-19)	(3.288458e+03 9.222369e+03 3.231103e-19)	(3.641680e+00 1.954980e-01 -3.401656e-22)
0.0002       	(-2.061723e+01 -2.623672e+02 -9.857505e-20)	(-2.397660e+01 -2.625470e+02 -9.828776e-20)	(3.359372e+00 1.797882e-01 -2.872898e-22)
0.0003       	(3.498854e+00 8.956867e+00 -1.203914e-19)	(4.039353e-01 8.789950e+00 -1.201288e-19)	(3.094918e+00 1.669170e-01 -2.625372e-22)
0.0004       	(3.594550e+00 2.203980e+00 -1.186828e-19)	(6.392552e-01 2.045305e+00 -1.184338e-19)	(2.955294e+00 1.586751e-01 -2.489194e-22)
0.0005       	(3.757442e+00 3.635968e+00 -1.205367e-19)	(9.211054e-01 3.484100e+00 -1.202971e-19)	(2.836337e+00 1.518682e-01 -2.395924e-22)
0.0006       	(4.784362e+00 4.191627e+00 -1.237463e-19)	(2.052996e+00 4.046263e+00 -1.235162e-19)	(2.731366e+00 1.453642e-01 -2.300694e-22)
0.0007       	(4.742146e+00 3.155635e+00 -1.278126e-19)	(2.094753e+00 3.014918e+00 -1.275886e-19)	(2.647393e+00 1.407170e-01 -2.239703e-22)
0.0008       	(6.330529e+00 5.218487e+00 -1.186758e-19)	(3.753641e+00 5.082230e+00 -1.184531e-19)	(2.576888e+00 1.362570e-01 -2.226343e-22)
0.0009       	(7.563785e+00 3.038513e+00 -1.058123e-19)	(5.048639e+00 2.906048e+00 -1.055903e-19)	(2.515146e+00 1.324650e-01 -2.220169e-22)
0.001        	(5.707259e+00 2.478112e+00 -1.139181e-19)	(3.250457e+00 2.350143e+00 -1.136917e-19)	(2.456802e+00 1.279687e-01 -2.264876e-22)
0.0011       	(6.692043e+00 3.223085e+00 -1.127689e-19)	(4.290982e+00 3.099896e+00 -1.125447e-19)	(2.401061e+00 1.231884e-01 -2.241915e-22)
0.0012       	(7.522243e+00 3.673604e+00 -1.121730e-19)	(5.171540e+00 3.554997e+00 -1.119566e-19)	(2.350703e+00 1.186063e-01 -2.163745e-22)
0.0013       	(7.510882e+00 5.444808e+00 -1.110702e-19)	(5.208061e+00 5.330449e+00 -1.108659e-19)	(2.302821e+00 1.143592e-01 -2.043112e-22)
0.0014       	(1.306598e+01 2.824109e+00 -1.491896e-19)	(1.080756e+01 2.714342e+00 -1.489953e-19)	(2.258424e+00 1.097675e-01 -1.942973e-22)
0.0015       	(1.074498e+01 3.320028e+00 -1.311361e-19)	(8.527981e+00 3.215298e+00 -1.309514e-19)	(2.216994e+00 1.047297e-01 -1.847237e-22)
