# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.716481e+03 -1.835254e+04 -8.549227e-18)	(2.712863e+03 -1.835217e+04 -8.549035e-18)	(3.617772e+00 -3.693272e-01 -1.915033e-22)
0.0002       	(-3.511197e+02 2.678731e+03 7.783474e-19)	(-3.544603e+02 2.679064e+03 7.785311e-19)	(3.340609e+00 -3.327373e-01 -1.836663e-22)
0.0003       	(3.261661e+00 4.241805e-01 -1.218797e-19)	(3.272412e-01 7.153350e-01 -1.217153e-19)	(2.934420e+00 -2.911544e-01 -1.643976e-22)
0.0004       	(2.876514e+00 -4.689771e-01 -1.177177e-19)	(9.661844e-02 -1.942399e-01 -1.175356e-19)	(2.779895e+00 -2.747372e-01 -1.820968e-22)
0.0005       	(2.803175e+00 -3.246535e-01 -1.174295e-19)	(1.321287e-01 -6.310517e-02 -1.172191e-19)	(2.671046e+00 -2.615483e-01 -2.103337e-22)
0.0006       	(2.512004e+00 -2.447203e+00 -1.228991e-19)	(-4.063421e-02 -2.201256e+00 -1.226457e-19)	(2.552638e+00 -2.459470e-01 -2.533716e-22)
0.0007       	(2.816362e+00 -1.906877e-01 -1.245900e-19)	(3.668150e-01 4.222836e-02 -1.243123e-19)	(2.449547e+00 -2.329161e-01 -2.776828e-22)
0.0008       	(3.082440e+00 -3.466885e-01 -1.326523e-19)	(7.077009e-01 -1.250247e-01 -1.323597e-19)	(2.374739e+00 -2.216638e-01 -2.926246e-22)
0.0009       	(3.448641e+00 -3.264362e-03 -1.424276e-19)	(1.139232e+00 2.073258e-01 -1.421331e-19)	(2.309409e+00 -2.105901e-01 -2.944966e-22)
0.001        	(4.022135e+00 8.467198e-01 -1.369417e-19)	(1.777174e+00 1.045415e+00 -1.366653e-19)	(2.244961e+00 -1.986954e-01 -2.764403e-22)
0.0011       	(3.839036e+00 -1.719982e+00 -1.382884e-19)	(1.659673e+00 -1.533425e+00 -1.380348e-19)	(2.179363e+00 -1.865563e-01 -2.535394e-22)
0.0012       	(3.319713e+00 -2.824481e+00 -1.367152e-19)	(1.194557e+00 -2.649181e+00 -1.364681e-19)	(2.125156e+00 -1.753008e-01 -2.471278e-22)
0.0013       	(4.129925e+00 -2.358015e+00 -1.386497e-19)	(2.053300e+00 -2.192942e+00 -1.384089e-19)	(2.076625e+00 -1.650736e-01 -2.408024e-22)
0.0014       	(5.152183e+00 -1.861554e+00 -1.367967e-19)	(3.120517e+00 -1.705819e+00 -1.365692e-19)	(2.031666e+00 -1.557353e-01 -2.275040e-22)
0.0015       	(6.886649e+00 -2.962568e+00 -1.750446e-19)	(4.897051e+00 -2.814756e+00 -1.748182e-19)	(1.989599e+00 -1.478118e-01 -2.264796e-22)
0.0016       	(5.587869e+00 2.155120e-03 -1.679105e-19)	(3.636931e+00 1.432841e-01 -1.676798e-19)	(1.950939e+00 -1.411290e-01 -2.306836e-22)
0.0017       	(7.243491e+00 -2.878316e+00 -1.919019e-19)	(5.326806e+00 -2.743010e+00 -1.916723e-19)	(1.916685e+00 -1.353065e-01 -2.296103e-22)
0.0018       	(7.465336e+00 -4.292116e+00 -1.850487e-19)	(5.580730e+00 -4.162136e+00 -1.848231e-19)	(1.884606e+00 -1.299795e-01 -2.255476e-22)
0.0019       	(5.445599e+00 -2.859070e+00 -1.596753e-19)	(3.591444e+00 -2.734059e+00 -1.594469e-19)	(1.854155e+00 -1.250115e-01 -2.284588e-22)
0.002        	(5.936645e+00 -3.624460e+00 -1.712059e-19)	(4.112661e+00 -3.504083e+00 -1.709835e-19)	(1.823984e+00 -1.203762e-01 -2.223872e-22)
0.0021       	(6.963845e+00 -4.261285e+00 -1.872421e-19)	(5.168694e+00 -4.144864e+00 -1.870319e-19)	(1.795151e+00 -1.164205e-01 -2.102462e-22)
0.0022       	(7.811463e+00 -5.200325e+00 -1.927881e-19)	(6.043596e+00 -5.087445e+00 -1.925918e-19)	(1.767867e+00 -1.128798e-01 -1.963701e-22)
0.0023       	(6.605325e+00 -4.230244e+00 -1.737510e-19)	(4.862826e+00 -4.119269e+00 -1.735618e-19)	(1.742499e+00 -1.109752e-01 -1.891809e-22)
0.0024       	(5.438218e+00 -3.209837e+00 -1.613088e-19)	(3.721575e+00 -3.101106e+00 -1.611276e-19)	(1.716643e+00 -1.087308e-01 -1.812030e-22)
