# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.849654e+03 1.711147e+04 2.261555e-18)	(2.846037e+03 1.711113e+04 2.261942e-18)	(3.617184e+00 3.401579e-01 -3.862254e-22)
0.0002       	(-3.860272e+02 -2.546369e+03 -2.513651e-19)	(-3.893720e+02 -2.546672e+03 -2.510430e-19)	(3.344779e+00 3.037285e-01 -3.221675e-22)
0.0003       	(2.823580e+00 2.267424e+00 -1.248014e-19)	(-1.226631e-01 2.000146e+00 -1.245085e-19)	(2.946244e+00 2.672784e-01 -2.928896e-22)
0.0004       	(2.400843e+00 2.740831e+00 -1.362430e-19)	(-3.949034e-01 2.488634e+00 -1.359728e-19)	(2.795747e+00 2.521967e-01 -2.702132e-22)
0.0005       	(2.835898e+00 -7.783978e-01 -1.208133e-19)	(1.475834e-01 -1.021802e+00 -1.205595e-19)	(2.688314e+00 2.434044e-01 -2.537739e-22)
0.0006       	(2.644782e+00 9.540275e-01 -1.216284e-19)	(6.756697e-02 7.204014e-01 -1.213884e-19)	(2.577215e+00 2.336261e-01 -2.400323e-22)
0.0007       	(2.769935e+00 -5.975763e-01 -1.214791e-19)	(2.888012e-01 -8.222392e-01 -1.212539e-19)	(2.481134e+00 2.246629e-01 -2.252055e-22)
0.0008       	(2.883242e+00 6.407411e-01 -1.167681e-19)	(4.742171e-01 4.250183e-01 -1.165604e-19)	(2.409025e+00 2.157228e-01 -2.076520e-22)
0.0009       	(3.463368e+00 1.623951e+00 -1.133562e-19)	(1.116381e+00 1.417229e+00 -1.131734e-19)	(2.346987e+00 2.067222e-01 -1.827420e-22)
0.001        	(3.659550e+00 2.069967e+00 -1.103034e-19)	(1.374658e+00 1.873055e+00 -1.101422e-19)	(2.284892e+00 1.969119e-01 -1.612232e-22)
0.0011       	(3.647225e+00 1.222772e+00 -1.105333e-19)	(1.423555e+00 1.035496e+00 -1.103816e-19)	(2.223670e+00 1.872762e-01 -1.516940e-22)
0.0012       	(3.933701e+00 -6.552405e-01 -1.135501e-19)	(1.763361e+00 -8.331432e-01 -1.134023e-19)	(2.170340e+00 1.779028e-01 -1.478176e-22)
0.0013       	(3.745363e+00 2.184868e+00 -1.150427e-19)	(1.622884e+00 2.016714e+00 -1.148999e-19)	(2.122478e+00 1.681540e-01 -1.427798e-22)
0.0014       	(4.255610e+00 1.979707e+00 -1.179915e-19)	(2.179176e+00 1.820139e+00 -1.178582e-19)	(2.076435e+00 1.595680e-01 -1.333913e-22)
0.0015       	(5.131963e+00 2.590808e+00 -1.115743e-19)	(3.099905e+00 2.439583e+00 -1.114485e-19)	(2.032058e+00 1.512251e-01 -1.258297e-22)
0.0016       	(9.145770e+00 3.864765e+00 -9.068168e-20)	(7.155408e+00 3.721115e+00 -9.056240e-20)	(1.990362e+00 1.436494e-01 -1.192888e-22)
0.0017       	(6.514791e+00 4.220223e+00 -1.036910e-19)	(4.563696e+00 4.083759e+00 -1.035762e-19)	(1.951096e+00 1.364645e-01 -1.147700e-22)
0.0018       	(5.227407e+00 3.214072e+00 -1.067378e-19)	(3.313578e+00 3.084192e+00 -1.066351e-19)	(1.913829e+00 1.298800e-01 -1.026674e-22)
0.0019       	(5.949503e+00 3.626545e+00 -1.045862e-19)	(4.070686e+00 3.502138e+00 -1.044981e-19)	(1.878816e+00 1.244067e-01 -8.810415e-23)
0.002        	(6.164952e+00 3.801358e+00 -1.048898e-19)	(4.318989e+00 3.681477e+00 -1.048170e-19)	(1.845964e+00 1.198806e-01 -7.287886e-23)
0.0021       	(5.834305e+00 3.168931e+00 -1.054796e-19)	(4.019085e+00 3.053046e+00 -1.054125e-19)	(1.815220e+00 1.158857e-01 -6.708216e-23)
0.0022       	(7.495008e+00 3.807988e+00 -9.672371e-20)	(5.708299e+00 3.696772e+00 -9.665953e-20)	(1.786709e+00 1.112158e-01 -6.417705e-23)
0.0023       	(8.183496e+00 4.466052e+00 -9.467735e-20)	(6.424484e+00 4.358182e+00 -9.462349e-20)	(1.759012e+00 1.078706e-01 -5.386897e-23)
0.0024       	(6.803034e+00 4.039237e+00 -1.021222e-19)	(5.072202e+00 3.934452e+00 -1.020777e-19)	(1.730832e+00 1.047851e-01 -4.457378e-23)
0.0025       	(7.213391e+00 4.130791e+00 -9.958732e-20)	(5.510770e+00 4.028841e+00 -9.954425e-20)	(1.702621e+00 1.019505e-01 -4.306359e-23)
0.0026       	(8.745504e+00 5.297179e+00 -9.514652e-20)	(7.069202e+00 5.197305e+00 -9.509747e-20)	(1.676302e+00 9.987369e-02 -4.904466e-23)
0.0027       	(6.338323e+00 4.178909e+00 -1.022281e-19)	(4.686824e+00 4.080644e+00 -1.021760e-19)	(1.651499e+00 9.826521e-02 -5.214761e-23)
0.0028       	(7.558407e+00 5.095347e+00 -9.967651e-20)	(5.931447e+00 4.998459e+00 -9.962111e-20)	(1.626960e+00 9.688779e-02 -5.539734e-23)
0.0029       	(1.033739e+01 8.171937e+00 -8.481035e-20)	(8.731919e+00 8.075912e+00 -8.475153e-20)	(1.605467e+00 9.602589e-02 -5.881666e-23)
0.003        	(9.856985e+00 7.695847e+00 -8.791139e-20)	(8.273279e+00 7.600395e+00 -8.784667e-20)	(1.583707e+00 9.545111e-02 -6.472218e-23)
