# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.126171e+03 -1.113879e+04 -4.866624e-18)	(3.122531e+03 -1.113855e+04 -4.866395e-18)	(3.639938e+00 -2.393931e-01 -2.286408e-22)
0.0002       	(-4.478045e+02 1.653334e+03 1.720023e-19)	(-4.511748e+02 1.653554e+03 1.721894e-19)	(3.370310e+00 -2.203725e-01 -1.871066e-22)
0.0003       	(3.132532e+00 -1.535251e+00 -1.175562e-19)	(1.290120e-01 -1.338994e+00 -1.173753e-19)	(3.003520e+00 -1.962570e-01 -1.808888e-22)
0.0004       	(2.648074e+00 -2.109774e+00 -1.198322e-19)	(-2.094519e-01 -1.925289e+00 -1.196039e-19)	(2.857526e+00 -1.844850e-01 -2.283116e-22)
0.0005       	(2.606158e+00 -1.631498e+00 -1.164376e-19)	(-1.465079e-01 -1.454369e+00 -1.161739e-19)	(2.752666e+00 -1.771297e-01 -2.637481e-22)
0.0006       	(2.392547e+00 -1.690712e+00 -1.111377e-19)	(-2.485879e-01 -1.521399e+00 -1.108467e-19)	(2.641135e+00 -1.693127e-01 -2.910424e-22)
0.0007       	(2.537291e+00 1.067699e-01 -1.199392e-19)	(-9.355295e-03 2.702405e-01 -1.196306e-19)	(2.546646e+00 -1.634705e-01 -3.085508e-22)
0.0008       	(2.584914e+00 -1.985776e+00 -1.205988e-19)	(1.073160e-01 -1.827229e+00 -1.202774e-19)	(2.477598e+00 -1.585473e-01 -3.213333e-22)
0.0009       	(3.139500e+00 -1.451653e+00 -1.269017e-19)	(7.232270e-01 -1.298385e+00 -1.265802e-19)	(2.416273e+00 -1.532686e-01 -3.215766e-22)
0.001        	(3.783133e+00 -2.205436e+00 -1.284540e-19)	(1.425883e+00 -2.058346e+00 -1.281532e-19)	(2.357250e+00 -1.470905e-01 -3.007394e-22)
0.0011       	(4.015006e+00 -3.318051e+00 -1.260556e-19)	(1.716071e+00 -3.177100e+00 -1.257888e-19)	(2.298934e+00 -1.409512e-01 -2.668913e-22)
0.0012       	(3.856893e+00 -2.166861e+00 -1.260930e-19)	(1.613765e+00 -2.032280e+00 -1.258561e-19)	(2.243128e+00 -1.345815e-01 -2.369697e-22)
0.0013       	(3.788847e+00 -3.410761e+00 -1.355070e-19)	(1.593189e+00 -3.282661e+00 -1.352812e-19)	(2.195658e+00 -1.281004e-01 -2.258512e-22)
0.0014       	(4.230852e+00 -2.334260e+00 -1.319090e-19)	(2.077443e+00 -2.211251e+00 -1.316972e-19)	(2.153409e+00 -1.230085e-01 -2.118396e-22)
0.0015       	(5.627700e+00 -5.594399e+00 -1.613114e-19)	(3.515319e+00 -5.476395e+00 -1.611058e-19)	(2.112381e+00 -1.180037e-01 -2.055841e-22)
0.0016       	(4.261013e+00 -4.509406e+00 -1.491239e-19)	(2.189331e+00 -4.396008e+00 -1.489164e-19)	(2.071682e+00 -1.133975e-01 -2.074984e-22)
0.0017       	(4.673304e+00 -4.547506e+00 -1.519887e-19)	(2.638953e+00 -4.437965e+00 -1.517807e-19)	(2.034351e+00 -1.095411e-01 -2.079994e-22)
