# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.991065e+03 1.430242e+04 1.733662e-18)	(2.987440e+03 1.430212e+04 1.734036e-18)	(3.625820e+00 2.913889e-01 -3.743045e-22)
0.0002       	(-4.211440e+02 -2.161963e+03 -1.203334e-19)	(-4.245003e+02 -2.162226e+03 -1.200178e-19)	(3.356319e+00 2.623619e-01 -3.155495e-22)
0.0003       	(3.176263e+00 3.029896e-01 -1.237589e-19)	(2.052849e-01 7.154817e-02 -1.234765e-19)	(2.970978e+00 2.314415e-01 -2.824452e-22)
0.0004       	(2.837463e+00 2.238236e-01 -1.226488e-19)	(1.373267e-02 4.463591e-03 -1.223921e-19)	(2.823730e+00 2.193601e-01 -2.566451e-22)
0.0005       	(2.775401e+00 -7.323405e-01 -1.267627e-19)	(5.604253e-02 -9.453536e-01 -1.265218e-19)	(2.719359e+00 2.130131e-01 -2.408474e-22)
0.0006       	(2.457362e+00 1.529578e+00 -1.318855e-19)	(-1.531325e-01 1.324886e+00 -1.316546e-19)	(2.610494e+00 2.046913e-01 -2.309106e-22)
0.0007       	(2.537400e+00 1.708693e+00 -1.238029e-19)	(2.084605e-02 1.510992e+00 -1.235888e-19)	(2.516554e+00 1.977007e-01 -2.141074e-22)
0.0008       	(2.899836e+00 2.672383e+00 -1.200709e-19)	(4.554865e-01 2.480847e+00 -1.198823e-19)	(2.444349e+00 1.915354e-01 -1.886268e-22)
0.0009       	(3.332374e+00 3.411723e+00 -1.140361e-19)	(9.493504e-01 3.227053e+00 -1.138717e-19)	(2.383024e+00 1.846702e-01 -1.644212e-22)
0.001        	(2.360483e+00 7.013168e+00 -1.217434e-19)	(3.837694e-02 6.835880e+00 -1.215792e-19)	(2.322106e+00 1.772880e-01 -1.642025e-22)
0.0011       	(2.904396e+00 4.874300e+00 -1.197784e-19)	(6.408761e-01 4.704670e+00 -1.196178e-19)	(2.263520e+00 1.696298e-01 -1.605867e-22)
0.0012       	(3.159248e+00 3.407455e+00 -1.186353e-19)	(9.478430e-01 3.245421e+00 -1.184793e-19)	(2.211405e+00 1.620336e-01 -1.560394e-22)
0.0013       	(3.349232e+00 3.677806e+00 -1.192293e-19)	(1.183464e+00 3.523510e+00 -1.190748e-19)	(2.165768e+00 1.542951e-01 -1.545608e-22)
0.0014       	(3.974548e+00 3.689098e+00 -1.211590e-19)	(1.851808e+00 3.542057e+00 -1.210105e-19)	(2.122740e+00 1.470411e-01 -1.485043e-22)
0.0015       	(5.374773e+00 4.664430e+00 -1.144478e-19)	(3.294019e+00 4.524561e+00 -1.143152e-19)	(2.080754e+00 1.398694e-01 -1.326667e-22)
0.0016       	(8.413898e+00 5.783277e+00 -9.673174e-20)	(6.373813e+00 5.650068e+00 -9.661136e-20)	(2.040085e+00 1.332085e-01 -1.203787e-22)
0.0017       	(6.547878e+00 4.352517e+00 -1.052002e-19)	(4.544957e+00 4.225941e+00 -1.050825e-19)	(2.002920e+00 1.265763e-01 -1.177642e-22)
0.0018       	(6.401673e+00 4.448983e+00 -1.015120e-19)	(4.433801e+00 4.328814e+00 -1.014085e-19)	(1.967872e+00 1.201695e-01 -1.034777e-22)
0.0019       	(5.924053e+00 4.699151e+00 -1.066233e-19)	(3.991198e+00 4.584043e+00 -1.065322e-19)	(1.932855e+00 1.151079e-01 -9.109731e-23)
0.002        	(5.336907e+00 3.665155e+00 -1.100879e-19)	(3.437680e+00 3.554407e+00 -1.100101e-19)	(1.899227e+00 1.107488e-01 -7.780738e-23)
0.0021       	(5.627809e+00 2.742969e+00 -1.072672e-19)	(3.760612e+00 2.636634e+00 -1.071964e-19)	(1.867197e+00 1.063347e-01 -7.080462e-23)
0.0022       	(6.605283e+00 2.148964e+00 -1.012100e-19)	(4.770470e+00 2.047256e+00 -1.011478e-19)	(1.834813e+00 1.017078e-01 -6.223196e-23)
0.0023       	(7.922631e+00 2.989903e+00 -9.631573e-20)	(6.116974e+00 2.892091e+00 -9.626534e-20)	(1.805657e+00 9.781252e-02 -5.039761e-23)
0.0024       	(6.553085e+00 2.700475e+00 -1.037329e-19)	(4.773926e+00 2.605136e+00 -1.036917e-19)	(1.779159e+00 9.533980e-02 -4.114959e-23)
0.0025       	(5.847776e+00 2.393928e+00 -1.071377e-19)	(4.093896e+00 2.300465e+00 -1.070958e-19)	(1.753880e+00 9.346266e-02 -4.188076e-23)
0.0026       	(8.099719e+00 3.099963e+00 -1.048700e-19)	(6.370366e+00 3.007471e+00 -1.048225e-19)	(1.729353e+00 9.249170e-02 -4.750806e-23)
0.0027       	(8.492160e+00 7.970169e-01 -1.363513e-19)	(6.787667e+00 7.048178e-01 -1.362902e-19)	(1.704493e+00 9.219906e-02 -6.110012e-23)
0.0028       	(8.717196e+00 2.507091e+00 -1.442901e-19)	(7.038785e+00 2.415412e+00 -1.442212e-19)	(1.678411e+00 9.167846e-02 -6.887971e-23)
0.0029       	(1.294769e+01 4.210713e+00 -1.664779e-19)	(1.129559e+01 4.119317e+00 -1.663923e-19)	(1.652097e+00 9.139607e-02 -8.554318e-23)
0.003        	(1.086581e+01 6.275463e+00 -1.149631e-19)	(9.238112e+00 6.185075e+00 -1.148559e-19)	(1.627694e+00 9.038792e-02 -1.072662e-22)
0.0031       	(8.439895e+00 4.173357e+00 -1.062220e-19)	(6.836771e+00 4.083844e+00 -1.060981e-19)	(1.603124e+00 8.951364e-02 -1.239646e-22)
0.0032       	(9.962298e+00 5.745384e+00 -9.844060e-20)	(8.381294e+00 5.656675e+00 -9.831444e-20)	(1.581004e+00 8.870934e-02 -1.261659e-22)
0.0033       	(1.054933e+01 5.069018e+00 -1.099185e-19)	(8.987356e+00 4.982128e+00 -1.097865e-19)	(1.561972e+00 8.689038e-02 -1.319910e-22)
0.0034       	(1.098123e+01 5.929643e+00 -1.061949e-19)	(9.436362e+00 5.844609e+00 -1.060617e-19)	(1.544872e+00 8.503455e-02 -1.331484e-22)
0.0035       	(1.209446e+01 9.828740e+00 -7.387116e-20)	(1.056710e+01 9.745677e+00 -7.374403e-20)	(1.527356e+00 8.306281e-02 -1.271335e-22)
0.0036       	(8.166635e+00 7.117683e+00 -8.355123e-20)	(6.657333e+00 7.036228e+00 -8.342621e-20)	(1.509302e+00 8.145461e-02 -1.250227e-22)
0.0037       	(7.768200e+00 5.000091e+00 -1.050007e-19)	(6.275596e+00 4.919955e+00 -1.048805e-19)	(1.492604e+00 8.013657e-02 -1.201531e-22)
0.0038       	(8.296626e+00 5.153105e+00 -1.018191e-19)	(6.819557e+00 5.073752e+00 -1.017031e-19)	(1.477069e+00 7.935282e-02 -1.159926e-22)
0.0039       	(9.167117e+00 5.050228e+00 -1.064527e-19)	(7.705149e+00 4.971031e+00 -1.063440e-19)	(1.461968e+00 7.919771e-02 -1.086488e-22)
0.004        	(9.747937e+00 4.703010e+00 -1.110652e-19)	(8.299008e+00 4.624257e+00 -1.109621e-19)	(1.448929e+00 7.875392e-02 -1.031540e-22)
0.0041       	(1.121308e+01 5.722945e+00 -1.076443e-19)	(9.775848e+00 5.644672e+00 -1.075389e-19)	(1.437228e+00 7.827227e-02 -1.054125e-22)
0.0042       	(1.150605e+01 7.154643e+00 -9.832635e-20)	(1.008231e+01 7.076321e+00 -9.821953e-20)	(1.423738e+00 7.832108e-02 -1.068268e-22)
0.0043       	(1.175588e+01 6.732646e+00 -1.055563e-19)	(1.034612e+01 6.654605e+00 -1.054510e-19)	(1.409758e+00 7.804071e-02 -1.052473e-22)
0.0044       	(9.511202e+00 5.133426e+00 -1.132431e-19)	(8.115757e+00 5.056144e+00 -1.131419e-19)	(1.395444e+00 7.728233e-02 -1.012007e-22)
0.0045       	(8.889326e+00 3.986405e+00 -1.160797e-19)	(7.508993e+00 3.909876e+00 -1.159836e-19)	(1.380333e+00 7.652929e-02 -9.604392e-23)
0.0046       	(1.023380e+01 5.515150e+00 -1.096466e-19)	(8.866465e+00 5.439573e+00 -1.095552e-19)	(1.367331e+00 7.557662e-02 -9.138685e-23)
0.0047       	(1.000525e+01 6.433944e+00 -9.976236e-20)	(8.648918e+00 6.358899e+00 -9.967539e-20)	(1.356329e+00 7.504523e-02 -8.697611e-23)
