# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.059559e+03 3.078038e+04 4.668263e-18)	(2.056020e+03 3.077979e+04 4.668736e-18)	(3.538995e+00 5.899854e-01 -4.736789e-22)
0.0002       	(-1.583391e+02 -4.591640e+03 -5.008032e-19)	(-1.615877e+02 -4.592156e+03 -5.004059e-19)	(3.248633e+00 5.155136e-01 -3.972894e-22)
0.0003       	(9.837244e-01 7.911204e+00 -1.019721e-19)	(-1.801994e+00 7.470984e+00 -1.016446e-19)	(2.785719e+00 4.402202e-01 -3.274718e-22)
0.0004       	(2.747054e+00 7.228876e-01 -1.185825e-19)	(1.299716e-01 3.167883e-01 -1.183133e-19)	(2.617082e+00 4.060994e-01 -2.692327e-22)
0.0005       	(2.527100e+00 1.330612e+00 -1.183129e-19)	(2.839609e-02 9.485892e-01 -1.180779e-19)	(2.498703e+00 3.820232e-01 -2.350735e-22)
0.0006       	(2.349406e+00 2.003680e+00 -1.180202e-19)	(-1.770090e-02 1.647436e+00 -1.178161e-19)	(2.367107e+00 3.562442e-01 -2.041528e-22)
0.0007       	(2.466645e+00 1.013172e+00 -1.170332e-19)	(2.118959e-01 6.802827e-01 -1.168610e-19)	(2.254749e+00 3.328895e-01 -1.722249e-22)
0.0008       	(2.673957e+00 6.199574e-01 -1.156596e-19)	(4.956766e-01 3.056915e-01 -1.155182e-19)	(2.178280e+00 3.142659e-01 -1.413490e-22)
0.0009       	(3.110903e+00 9.683698e-01 -1.139776e-19)	(9.980189e-01 6.717080e-01 -1.138644e-19)	(2.112885e+00 2.966618e-01 -1.131741e-22)
0.001        	(4.037077e+00 -1.187012e+00 -1.270741e-19)	(1.987576e+00 -1.467041e+00 -1.269764e-19)	(2.049501e+00 2.800291e-01 -9.778922e-23)
0.0011       	(3.755053e+00 3.366233e-01 -1.229418e-19)	(1.767039e+00 7.325884e-02 -1.228643e-19)	(1.988014e+00 2.633644e-01 -7.754909e-23)
0.0012       	(3.546444e+00 2.491963e+00 -1.194280e-19)	(1.612880e+00 2.244450e+00 -1.193708e-19)	(1.933564e+00 2.475126e-01 -5.714521e-23)
0.0013       	(3.963421e+00 3.821708e+00 -1.179632e-19)	(2.076752e+00 3.588152e+00 -1.179211e-19)	(1.886670e+00 2.335563e-01 -4.204439e-23)
0.0014       	(3.952102e+00 4.220320e+00 -1.187051e-19)	(2.109809e+00 3.999877e+00 -1.186677e-19)	(1.842293e+00 2.204431e-01 -3.747001e-23)
0.0015       	(4.469470e+00 4.287435e+00 -1.182501e-19)	(2.668452e+00 4.078930e+00 -1.182079e-19)	(1.801017e+00 2.085047e-01 -4.216415e-23)
0.0016       	(6.305362e+00 4.768289e+00 -1.156275e-19)	(4.541898e+00 4.569760e+00 -1.155782e-19)	(1.763464e+00 1.985282e-01 -4.929267e-23)
0.0017       	(7.879184e+00 5.238089e+00 -1.059785e-19)	(6.150875e+00 5.048754e+00 -1.059327e-19)	(1.728309e+00 1.893346e-01 -4.586357e-23)
0.0018       	(8.621075e+00 5.870993e+00 -1.006859e-19)	(6.926241e+00 5.690273e+00 -1.006414e-19)	(1.694833e+00 1.807195e-01 -4.446273e-23)
0.0019       	(7.860891e+00 6.608417e+00 -1.063900e-19)	(6.198777e+00 6.435887e+00 -1.063422e-19)	(1.662114e+00 1.725291e-01 -4.785395e-23)
0.002        	(7.517168e+00 6.299355e+00 -1.054627e-19)	(5.885997e+00 6.133307e+00 -1.054129e-19)	(1.631171e+00 1.660479e-01 -4.988364e-23)
0.0021       	(5.954193e+00 4.756944e+00 -1.080755e-19)	(4.349706e+00 4.596625e+00 -1.080308e-19)	(1.604487e+00 1.603186e-01 -4.462999e-23)
0.0022       	(5.483142e+00 4.352238e+00 -1.094471e-19)	(3.902153e+00 4.197511e+00 -1.094061e-19)	(1.580989e+00 1.547274e-01 -4.104070e-23)
0.0023       	(6.847956e+00 5.552963e+00 -1.019022e-19)	(5.289194e+00 5.403201e+00 -1.018614e-19)	(1.558762e+00 1.497619e-01 -4.080969e-23)
0.0024       	(9.317639e+00 8.106016e+00 -8.555554e-20)	(7.779049e+00 7.960533e+00 -8.552436e-20)	(1.538590e+00 1.454836e-01 -3.117706e-23)
0.0025       	(8.106811e+00 7.583475e+00 -9.293390e-20)	(6.588393e+00 7.442123e+00 -9.290912e-20)	(1.518417e+00 1.413515e-01 -2.478022e-23)
0.0026       	(7.890847e+00 8.653058e+00 -8.613537e-20)	(6.391677e+00 8.515603e+00 -8.611486e-20)	(1.499170e+00 1.374556e-01 -2.051272e-23)
0.0027       	(7.481325e+00 7.779621e+00 -8.837341e-20)	(5.999809e+00 7.645396e+00 -8.835381e-20)	(1.481516e+00 1.342251e-01 -1.959665e-23)
0.0028       	(9.066865e+00 9.185399e+00 -7.315947e-20)	(7.600559e+00 9.053311e+00 -7.313620e-20)	(1.466306e+00 1.320872e-01 -2.327539e-23)
0.0029       	(8.696274e+00 7.689963e+00 -8.934623e-20)	(7.243400e+00 7.559392e+00 -8.931742e-20)	(1.452874e+00 1.305701e-01 -2.880789e-23)
0.003        	(9.819718e+00 9.065338e+00 -8.122929e-20)	(8.378273e+00 8.935711e+00 -8.119958e-20)	(1.441445e+00 1.296272e-01 -2.971178e-23)
0.0031       	(9.494087e+00 8.879946e+00 -7.927179e-20)	(8.063488e+00 8.750834e+00 -7.924108e-20)	(1.430599e+00 1.291122e-01 -3.071367e-23)
0.0032       	(7.154774e+00 6.826483e+00 -9.273558e-20)	(5.735347e+00 6.697946e+00 -9.270891e-20)	(1.419427e+00 1.285367e-01 -2.667370e-23)
0.0033       	(9.956814e+00 1.049780e+01 -7.116705e-20)	(8.547381e+00 1.036936e+01 -7.114654e-20)	(1.409433e+00 1.284404e-01 -2.051155e-23)
0.0034       	(1.006030e+01 1.046703e+01 -7.161527e-20)	(8.660537e+00 1.033843e+01 -7.160267e-20)	(1.399764e+00 1.286010e-01 -1.260629e-23)
0.0035       	(7.371524e+00 7.550745e+00 -8.711922e-20)	(5.980916e+00 7.422283e+00 -8.711486e-20)	(1.390607e+00 1.284617e-01 -4.359194e-24)
0.0036       	(7.613675e+00 9.076524e+00 -6.823316e-20)	(6.230999e+00 8.949640e+00 -6.823908e-20)	(1.382677e+00 1.268844e-01 5.923880e-24)
0.0037       	(1.116183e+01 1.079213e+01 -6.067041e-20)	(9.784962e+00 1.066641e+01 -6.067867e-20)	(1.376872e+00 1.257174e-01 8.256086e-24)
0.0038       	(1.084818e+01 1.093561e+01 -6.728587e-20)	(9.476646e+00 1.081063e+01 -6.729749e-20)	(1.371534e+00 1.249855e-01 1.162334e-23)
0.0039       	(8.933286e+00 8.896912e+00 -8.029337e-20)	(7.567701e+00 8.772608e+00 -8.030745e-20)	(1.365585e+00 1.243039e-01 1.408240e-23)
0.004        	(9.633632e+00 1.028332e+01 -7.298795e-20)	(8.274428e+00 1.015940e+01 -7.299894e-20)	(1.359204e+00 1.239192e-01 1.099447e-23)
0.0041       	(1.323915e+01 1.501342e+01 -4.489665e-20)	(1.188665e+01 1.488976e+01 -4.490537e-20)	(1.352501e+00 1.236566e-01 8.715675e-24)
0.0042       	(9.635730e+00 1.025211e+01 -7.557799e-20)	(8.291033e+00 1.012795e+01 -7.557593e-20)	(1.344698e+00 1.241529e-01 -2.063595e-24)
0.0043       	(9.364727e+00 8.111484e+00 -8.562659e-20)	(8.028901e+00 7.987213e+00 -8.561324e-20)	(1.335826e+00 1.242706e-01 -1.335209e-23)
0.0044       	(1.022798e+01 9.790667e+00 -8.530315e-20)	(8.896454e+00 9.665777e+00 -8.527650e-20)	(1.331530e+00 1.248904e-01 -2.664338e-23)
0.0045       	(1.087782e+01 1.102094e+01 -8.314327e-20)	(9.550127e+00 1.089550e+01 -8.310203e-20)	(1.327690e+00 1.254393e-01 -4.123952e-23)
0.0046       	(1.345490e+01 1.785671e+01 -7.207973e-20)	(1.213175e+01 1.773127e+01 -7.204493e-20)	(1.323153e+00 1.254360e-01 -3.479917e-23)
0.0047       	(1.278863e+01 1.679582e+01 -7.270943e-20)	(1.147051e+01 1.667080e+01 -7.267841e-20)	(1.318120e+00 1.250151e-01 -3.101986e-23)
0.0048       	(8.539134e+00 8.113235e+00 -8.780438e-20)	(7.225737e+00 7.988040e+00 -8.776475e-20)	(1.313397e+00 1.251946e-01 -3.962326e-23)
0.0049       	(9.407313e+00 9.025836e+00 -8.805385e-20)	(8.098140e+00 8.900786e+00 -8.799960e-20)	(1.309174e+00 1.250500e-01 -5.424956e-23)
0.005        	(1.163338e+01 1.295811e+01 -7.673420e-20)	(1.032863e+01 1.283295e+01 -7.666895e-20)	(1.304745e+00 1.251576e-01 -6.525652e-23)
0.0051       	(1.361798e+01 1.522947e+01 -5.947541e-20)	(1.231970e+01 1.510398e+01 -5.940428e-20)	(1.298284e+00 1.254914e-01 -7.113474e-23)
0.0052       	(1.365306e+01 1.614395e+01 -6.238999e-20)	(1.236330e+01 1.601809e+01 -6.231570e-20)	(1.289754e+00 1.258646e-01 -7.428635e-23)
