# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.315578e+03 7.236807e+03 -3.223092e-19)	(3.311935e+03 7.236645e+03 -3.219736e-19)	(3.642597e+00 1.617918e-01 -3.356227e-22)
0.0002       	(-3.412420e+01 -2.105333e+02 -9.522349e-20)	(-3.748256e+01 -2.106808e+02 -9.494900e-20)	(3.358361e+00 1.475064e-01 -2.744934e-22)
0.0003       	(3.643195e+00 1.889181e+00 -1.093295e-19)	(5.443095e-01 1.752742e+00 -1.090587e-19)	(3.098886e+00 1.364393e-01 -2.707128e-22)
0.0004       	(3.491623e+00 2.808975e+00 -1.088546e-19)	(5.282834e-01 2.679299e+00 -1.085977e-19)	(2.963340e+00 1.296762e-01 -2.569234e-22)
0.0005       	(3.627328e+00 2.518168e+00 -1.121649e-19)	(7.810895e-01 2.393336e+00 -1.119213e-19)	(2.846239e+00 1.248319e-01 -2.436000e-22)
0.0006       	(3.996199e+00 1.166839e+00 -1.216201e-19)	(1.252994e+00 1.045489e+00 -1.213742e-19)	(2.743205e+00 1.213501e-01 -2.459042e-22)
0.0007       	(4.916618e+00 1.937937e+00 -1.302174e-19)	(2.258123e+00 1.820633e+00 -1.299745e-19)	(2.658495e+00 1.173034e-01 -2.429004e-22)
0.0008       	(4.559599e+00 3.357339e+00 -1.269757e-19)	(1.973780e+00 3.244834e+00 -1.267362e-19)	(2.585818e+00 1.125053e-01 -2.395352e-22)
0.0009       	(5.834801e+00 6.186212e+00 -1.012739e-19)	(3.312240e+00 6.077480e+00 -1.010484e-19)	(2.522561e+00 1.087326e-01 -2.255441e-22)
0.001        	(7.209411e+00 8.205965e+00 -8.997558e-20)	(4.744196e+00 8.100389e+00 -8.975524e-20)	(2.465215e+00 1.055762e-01 -2.203441e-22)
0.0011       	(6.516300e+00 3.390819e+00 -1.102263e-19)	(4.106325e+00 3.288673e+00 -1.100115e-19)	(2.409975e+00 1.021456e-01 -2.148163e-22)
0.0012       	(6.862467e+00 2.773099e+00 -1.150159e-19)	(4.504871e+00 2.675327e+00 -1.148149e-19)	(2.357596e+00 9.777197e-02 -2.009824e-22)
0.0013       	(6.822806e+00 3.207085e+00 -1.067293e-19)	(4.513282e+00 3.112917e+00 -1.065401e-19)	(2.309524e+00 9.416860e-02 -1.891808e-22)
0.0014       	(9.916015e+00 1.000428e+00 -1.258294e-19)	(7.651126e+00 9.086220e-01 -1.256529e-19)	(2.264889e+00 9.180603e-02 -1.765206e-22)
0.0015       	(1.061906e+01 -7.223578e-01 -1.577082e-19)	(8.396801e+00 -8.110119e-01 -1.575487e-19)	(2.222264e+00 8.865412e-02 -1.595346e-22)
0.0016       	(1.008929e+01 2.304944e+00 -1.275188e-19)	(7.909690e+00 2.219746e+00 -1.273673e-19)	(2.179602e+00 8.519742e-02 -1.514674e-22)
0.0017       	(1.022759e+01 2.609933e+00 -1.234304e-19)	(8.089134e+00 2.527502e+00 -1.232867e-19)	(2.138455e+00 8.243080e-02 -1.436595e-22)
0.0018       	(9.290644e+00 2.971605e+00 -1.244357e-19)	(7.190508e+00 2.892090e+00 -1.242985e-19)	(2.100136e+00 7.951477e-02 -1.371141e-22)
0.0019       	(8.711678e+00 5.229602e+00 -1.365060e-19)	(6.647345e+00 5.153608e+00 -1.363767e-19)	(2.064333e+00 7.599378e-02 -1.292487e-22)
0.002        	(7.820624e+00 7.173557e+00 -1.308728e-19)	(5.792307e+00 7.100949e+00 -1.307427e-19)	(2.028317e+00 7.260819e-02 -1.301252e-22)
0.0021       	(8.146204e+00 2.012290e+00 -1.240993e-19)	(6.153070e+00 1.942659e+00 -1.239708e-19)	(1.993134e+00 6.963154e-02 -1.284742e-22)
0.0022       	(8.647830e+00 2.013802e+00 -1.233614e-19)	(6.689266e+00 1.946987e+00 -1.232341e-19)	(1.958564e+00 6.681432e-02 -1.272605e-22)
0.0023       	(1.054218e+01 1.728175e+00 -1.328236e-19)	(8.616316e+00 1.664212e+00 -1.326955e-19)	(1.925861e+00 6.396246e-02 -1.281505e-22)
0.0024       	(1.052138e+01 1.932413e+00 -1.322558e-19)	(8.627354e+00 1.871159e+00 -1.321268e-19)	(1.894030e+00 6.125409e-02 -1.289928e-22)
0.0025       	(8.524455e+00 1.808465e+00 -1.273480e-19)	(6.662990e+00 1.749383e+00 -1.272180e-19)	(1.861464e+00 5.908260e-02 -1.299380e-22)
0.0026       	(9.356068e+00 2.204731e+00 -1.249848e-19)	(7.527253e+00 2.147482e+00 -1.248560e-19)	(1.828815e+00 5.724856e-02 -1.287904e-22)
0.0027       	(9.678986e+00 2.318407e+00 -1.241173e-19)	(7.883501e+00 2.262646e+00 -1.239889e-19)	(1.795485e+00 5.576127e-02 -1.283965e-22)
0.0028       	(1.027458e+01 2.859936e+00 -1.194834e-19)	(8.509448e+00 2.805123e+00 -1.193590e-19)	(1.765128e+00 5.481336e-02 -1.243334e-22)
0.0029       	(1.100016e+01 2.812043e+00 -1.275103e-19)	(9.264336e+00 2.758668e+00 -1.273882e-19)	(1.735826e+00 5.337515e-02 -1.221257e-22)
0.003        	(9.945927e+00 2.723220e+00 -1.298980e-19)	(8.235731e+00 2.670454e+00 -1.297742e-19)	(1.710197e+00 5.276647e-02 -1.238640e-22)
0.0031       	(9.932267e+00 3.718213e+00 -1.374041e-19)	(8.246641e+00 3.666490e+00 -1.372719e-19)	(1.685626e+00 5.172253e-02 -1.322224e-22)
0.0032       	(1.141531e+01 5.200058e+00 -1.255090e-19)	(9.755809e+00 5.149852e+00 -1.253717e-19)	(1.659505e+00 5.020609e-02 -1.373052e-22)
0.0033       	(1.060843e+01 6.444698e+00 -1.193371e-19)	(8.974253e+00 6.395549e+00 -1.191995e-19)	(1.634181e+00 4.914922e-02 -1.376119e-22)
