# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.636956e+03 -2.009238e+04 -9.325279e-18)	(2.633345e+03 -2.009198e+04 -9.325095e-18)	(3.611300e+00 -4.015304e-01 -1.832611e-22)
0.0002       	(-3.226149e+02 2.873919e+03 8.556814e-19)	(-3.259485e+02 2.874277e+03 8.558506e-19)	(3.333625e+00 -3.583563e-01 -1.692948e-22)
0.0003       	(3.340233e+00 1.074250e+00 -1.199630e-19)	(4.175659e-01 1.387897e+00 -1.198029e-19)	(2.922667e+00 -3.136467e-01 -1.601515e-22)
0.0004       	(2.914204e+00 -2.804035e-01 -1.198018e-19)	(1.498258e-01 1.427510e-02 -1.196213e-19)	(2.764378e+00 -2.946786e-01 -1.804575e-22)
0.0005       	(2.806138e+00 -5.266519e-01 -1.215754e-19)	(1.536013e-01 -2.455202e-01 -1.213702e-19)	(2.652537e+00 -2.811316e-01 -2.051731e-22)
0.0006       	(2.684556e+00 -1.420425e+00 -1.223817e-19)	(1.512115e-01 -1.155326e+00 -1.221539e-19)	(2.533344e+00 -2.650992e-01 -2.278134e-22)
0.0007       	(2.731479e+00 -9.286178e-01 -1.245346e-19)	(3.054156e-01 -6.784344e-01 -1.242931e-19)	(2.426064e+00 -2.501833e-01 -2.415034e-22)
0.0008       	(3.018676e+00 -5.340210e-01 -1.313033e-19)	(6.714149e-01 -2.976633e-01 -1.310474e-19)	(2.347261e+00 -2.363577e-01 -2.558949e-22)
0.0009       	(3.317992e+00 -2.480842e-01 -1.372018e-19)	(1.037466e+00 -2.491737e-02 -1.369390e-19)	(2.280526e+00 -2.231668e-01 -2.628239e-22)
0.001        	(3.314254e+00 -2.726539e+00 -1.386976e-19)	(1.100221e+00 -2.517535e+00 -1.384351e-19)	(2.214032e+00 -2.090034e-01 -2.625343e-22)
0.0011       	(3.635203e+00 -3.155951e+00 -1.375072e-19)	(1.488486e+00 -2.961051e+00 -1.372580e-19)	(2.146717e+00 -1.948996e-01 -2.492368e-22)
0.0012       	(3.681171e+00 -2.875759e+00 -1.447114e-19)	(1.591908e+00 -2.692879e+00 -1.444677e-19)	(2.089263e+00 -1.828801e-01 -2.437391e-22)
0.0013       	(3.504228e+00 -1.803058e+00 -1.402799e-19)	(1.465108e+00 -1.630674e+00 -1.400324e-19)	(2.039120e+00 -1.723837e-01 -2.474499e-22)
0.0014       	(4.299964e+00 -2.378104e+00 -1.430379e-19)	(2.306962e+00 -2.214895e+00 -1.427979e-19)	(1.993002e+00 -1.632087e-01 -2.399893e-22)
0.0015       	(7.820004e+00 -4.707635e+00 -1.765906e-19)	(5.868272e+00 -4.552587e+00 -1.763702e-19)	(1.951731e+00 -1.550481e-01 -2.204148e-22)
0.0016       	(6.050270e+00 -3.104845e+00 -1.781525e-19)	(4.136126e+00 -2.957018e+00 -1.779275e-19)	(1.914144e+00 -1.478265e-01 -2.249639e-22)
0.0017       	(6.363435e+00 -3.188331e+00 -1.848652e-19)	(4.483192e+00 -3.047596e+00 -1.846374e-19)	(1.880243e+00 -1.407345e-01 -2.278280e-22)
0.0018       	(8.296879e+00 -3.980418e+00 -1.852322e-19)	(6.447376e+00 -3.845884e+00 -1.850136e-19)	(1.849503e+00 -1.345341e-01 -2.185954e-22)
0.0019       	(5.453168e+00 -2.954680e+00 -1.636691e-19)	(3.633201e+00 -2.825195e+00 -1.634594e-19)	(1.819968e+00 -1.294849e-01 -2.096673e-22)
0.002        	(6.200832e+00 -2.979541e+00 -1.814642e-19)	(4.409025e+00 -2.854277e+00 -1.812696e-19)	(1.791807e+00 -1.252639e-01 -1.945625e-22)
0.0021       	(6.676335e+00 -3.010252e+00 -1.838564e-19)	(4.912550e+00 -2.889394e+00 -1.836766e-19)	(1.763785e+00 -1.208588e-01 -1.797886e-22)
0.0022       	(7.940269e+00 -3.786283e+00 -1.889150e-19)	(6.202682e+00 -3.669419e+00 -1.887454e-19)	(1.737587e+00 -1.168636e-01 -1.695292e-22)
0.0023       	(6.580926e+00 -3.451964e+00 -1.718713e-19)	(4.868012e+00 -3.338340e+00 -1.717049e-19)	(1.712914e+00 -1.136242e-01 -1.663476e-22)
0.0024       	(5.984831e+00 -3.963302e+00 -1.620354e-19)	(4.295941e+00 -3.852003e+00 -1.618705e-19)	(1.688890e+00 -1.112990e-01 -1.648866e-22)
0.0025       	(7.362645e+00 -4.692754e+00 -1.806384e-19)	(5.696108e+00 -4.583301e+00 -1.804812e-19)	(1.666537e+00 -1.094529e-01 -1.571571e-22)
0.0026       	(8.726390e+00 -5.702436e+00 -2.104776e-19)	(7.079934e+00 -5.594141e+00 -2.103368e-19)	(1.646456e+00 -1.082949e-01 -1.408391e-22)
0.0027       	(6.221773e+00 -4.342796e+00 -1.599589e-19)	(4.595063e+00 -4.235754e+00 -1.598328e-19)	(1.626711e+00 -1.070427e-01 -1.260754e-22)
0.0028       	(6.228718e+00 -4.174281e+00 -1.539519e-19)	(4.621340e+00 -4.068146e+00 -1.538451e-19)	(1.607378e+00 -1.061353e-01 -1.067879e-22)
