# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.752352e+03 1.917813e+04 2.610326e-18)	(2.748741e+03 1.917776e+04 2.610720e-18)	(3.610559e+00 3.749932e-01 -3.941899e-22)
0.0002       	(-3.462780e+02 -2.837891e+03 -3.012311e-19)	(-3.496148e+02 -2.838224e+03 -3.008980e-19)	(3.336864e+00 3.332531e-01 -3.330979e-22)
0.0003       	(2.195692e+00 6.139109e+00 -1.390372e-19)	(-7.315776e-01 5.846970e+00 -1.387316e-19)	(2.927269e+00 2.921386e-01 -3.055347e-22)
0.0004       	(2.843161e+00 2.278349e-01 -1.253678e-19)	(6.784123e-02 -4.802084e-02 -1.250886e-19)	(2.775320e+00 2.758558e-01 -2.791337e-22)
0.0005       	(2.828729e+00 -3.733400e-01 -1.234042e-19)	(1.626631e-01 -6.383851e-01 -1.231463e-19)	(2.666066e+00 2.650451e-01 -2.579571e-22)
0.0006       	(2.740584e+00 -1.657866e-01 -1.217955e-19)	(1.910868e-01 -4.180026e-01 -1.215538e-19)	(2.549497e+00 2.522160e-01 -2.417158e-22)
0.0007       	(2.631741e+00 4.780484e-01 -1.231605e-19)	(1.806183e-01 2.368072e-01 -1.229331e-19)	(2.451123e+00 2.412412e-01 -2.273595e-22)
0.0008       	(2.810668e+00 -3.280633e-01 -1.209695e-19)	(4.329189e-01 -5.604511e-01 -1.207528e-19)	(2.377749e+00 2.323878e-01 -2.166505e-22)
0.0009       	(3.245393e+00 -4.013751e-01 -1.185374e-19)	(9.311562e-01 -6.246140e-01 -1.183317e-19)	(2.314237e+00 2.232389e-01 -2.057759e-22)
0.001        	(4.025312e+00 1.211661e+00 -1.169590e-19)	(1.775315e+00 9.993368e-01 -1.167778e-19)	(2.249997e+00 2.123247e-01 -1.811596e-22)
0.0011       	(3.649369e+00 2.605780e+00 -1.139140e-19)	(1.462437e+00 2.405398e+00 -1.137462e-19)	(2.186932e+00 2.003814e-01 -1.677448e-22)
0.0012       	(3.712334e+00 3.239915e+00 -1.157073e-19)	(1.579681e+00 3.051794e+00 -1.155542e-19)	(2.132653e+00 1.881205e-01 -1.531505e-22)
0.0013       	(4.078695e+00 2.884171e+00 -1.186712e-19)	(1.994933e+00 2.706619e+00 -1.185315e-19)	(2.083762e+00 1.775517e-01 -1.397675e-22)
0.0014       	(4.391370e+00 2.556625e+00 -1.178644e-19)	(2.353623e+00 2.388598e+00 -1.177391e-19)	(2.037747e+00 1.680268e-01 -1.253024e-22)
0.0015       	(5.626557e+00 2.478058e+00 -1.070647e-19)	(3.632903e+00 2.319311e+00 -1.069518e-19)	(1.993654e+00 1.587473e-01 -1.129019e-22)
0.0016       	(8.320302e+00 4.450230e+00 -9.480681e-20)	(6.365980e+00 4.300006e+00 -9.470125e-20)	(1.954322e+00 1.502233e-01 -1.055588e-22)
0.0017       	(6.256712e+00 2.564853e+00 -1.071141e-19)	(4.340356e+00 2.422075e+00 -1.070122e-19)	(1.916356e+00 1.427777e-01 -1.019482e-22)
0.0018       	(5.035002e+00 2.897006e+00 -1.098381e-19)	(3.155836e+00 2.761887e+00 -1.097470e-19)	(1.879166e+00 1.351195e-01 -9.108688e-23)
0.0019       	(6.283146e+00 3.143888e+00 -1.034056e-19)	(4.438045e+00 3.014710e+00 -1.033302e-19)	(1.845101e+00 1.291776e-01 -7.543375e-23)
0.002        	(5.856498e+00 3.324929e+00 -1.082612e-19)	(4.043168e+00 3.199939e+00 -1.081969e-19)	(1.813330e+00 1.249898e-01 -6.437122e-23)
0.0021       	(6.690752e+00 3.310190e+00 -1.050335e-19)	(4.906979e+00 3.189232e+00 -1.049676e-19)	(1.783774e+00 1.209572e-01 -6.591644e-23)
0.0022       	(6.994471e+00 3.154673e+00 -1.007570e-19)	(5.238228e+00 3.037341e+00 -1.006955e-19)	(1.756243e+00 1.173322e-01 -6.156135e-23)
0.0023       	(8.028473e+00 4.782562e+00 -9.845477e-20)	(6.298822e+00 4.667890e+00 -9.839963e-20)	(1.729651e+00 1.146720e-01 -5.513781e-23)
0.0024       	(7.299713e+00 5.289479e+00 -1.018850e-19)	(5.595316e+00 5.177218e+00 -1.018318e-19)	(1.704397e+00 1.122613e-01 -5.317602e-23)
0.0025       	(8.091316e+00 5.409789e+00 -9.682479e-20)	(6.410900e+00 5.299686e+00 -9.676829e-20)	(1.680416e+00 1.101035e-01 -5.650058e-23)
0.0026       	(7.809989e+00 4.706743e+00 -9.686723e-20)	(6.154141e+00 4.599178e+00 -9.680873e-20)	(1.655848e+00 1.075644e-01 -5.849113e-23)
0.0027       	(6.971714e+00 5.000933e+00 -9.789150e-20)	(5.340477e+00 4.895830e+00 -9.783187e-20)	(1.631237e+00 1.051029e-01 -5.962525e-23)
0.0028       	(9.030384e+00 6.920169e+00 -9.182788e-20)	(7.422682e+00 6.817220e+00 -9.177014e-20)	(1.607702e+00 1.029491e-01 -5.773605e-23)
0.0029       	(1.084360e+01 9.304525e+00 -7.799949e-20)	(9.257351e+00 9.202238e+00 -7.793870e-20)	(1.586247e+00 1.022871e-01 -6.079069e-23)
0.003        	(8.086531e+00 5.464172e+00 -9.585086e-20)	(6.520148e+00 5.362219e+00 -9.578531e-20)	(1.566383e+00 1.019527e-01 -6.555132e-23)
0.0031       	(9.597363e+00 7.315166e+00 -7.807665e-20)	(8.051040e+00 7.213727e+00 -7.800406e-20)	(1.546323e+00 1.014397e-01 -7.259030e-23)
0.0032       	(1.054111e+01 6.345667e+00 -8.679134e-20)	(9.012801e+00 6.244939e+00 -8.670962e-20)	(1.528309e+00 1.007281e-01 -8.171210e-23)
0.0033       	(1.340517e+01 8.497162e+00 -9.941749e-20)	(1.189439e+01 8.396902e+00 -9.932751e-20)	(1.510778e+00 1.002604e-01 -8.997669e-23)
0.0034       	(1.084493e+01 6.032277e+00 -1.255812e-19)	(9.353279e+00 5.932484e+00 -1.254773e-19)	(1.491651e+00 9.979307e-02 -1.038452e-22)
0.0035       	(6.722780e+00 3.906421e+00 -1.069378e-19)	(5.247991e+00 3.807018e+00 -1.068203e-19)	(1.474789e+00 9.940359e-02 -1.174986e-22)
0.0036       	(6.411919e+00 3.830725e+00 -1.022374e-19)	(4.953046e+00 3.731830e+00 -1.021070e-19)	(1.458873e+00 9.889472e-02 -1.303372e-22)
0.0037       	(8.490808e+00 5.438111e+00 -9.686828e-20)	(7.046661e+00 5.339773e+00 -9.673034e-20)	(1.444147e+00 9.833875e-02 -1.379372e-22)
0.0038       	(8.586839e+00 6.696216e+00 -8.062836e-20)	(7.156059e+00 6.599279e+00 -8.050836e-20)	(1.430780e+00 9.693769e-02 -1.199906e-22)
0.0039       	(1.071734e+01 6.128851e+00 -9.335928e-20)	(9.299595e+00 6.033176e+00 -9.324403e-20)	(1.417742e+00 9.567502e-02 -1.152443e-22)
