# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.394791e+03 -2.512119e+04 -1.157471e-17)	(2.391200e+03 -2.512070e+04 -1.157453e-17)	(3.590673e+00 -4.883120e-01 -1.797602e-22)
0.0002       	(-2.363003e+02 3.668828e+03 1.257477e-18)	(-2.396094e+02 3.669261e+03 1.257614e-18)	(3.309096e+00 -4.329370e-01 -1.363022e-22)
0.0003       	(1.710778e+00 -7.613566e+00 -1.239762e-19)	(-1.163418e+00 -7.237502e+00 -1.238447e-19)	(2.874196e+00 -3.760636e-01 -1.314899e-22)
0.0004       	(2.915958e+00 -4.290491e-02 -1.198967e-19)	(2.060305e-01 3.080190e-01 -1.197528e-19)	(2.709928e+00 -3.509239e-01 -1.438782e-22)
0.0005       	(2.878975e+00 4.624066e-01 -1.203705e-19)	(2.873220e-01 7.931915e-01 -1.202190e-19)	(2.591653e+00 -3.307850e-01 -1.514798e-22)
0.0006       	(2.513563e+00 -1.689487e+00 -1.217805e-19)	(4.752148e-02 -1.379363e+00 -1.216200e-19)	(2.466041e+00 -3.101242e-01 -1.604733e-22)
0.0007       	(2.580141e+00 -1.499477e+00 -1.209913e-19)	(2.266494e-01 -1.209189e+00 -1.208379e-19)	(2.353491e+00 -2.902876e-01 -1.534061e-22)
0.0008       	(2.729885e+00 -5.599502e-01 -1.203004e-19)	(4.603823e-01 -2.869784e-01 -1.201553e-19)	(2.269502e+00 -2.729719e-01 -1.451034e-22)
0.0009       	(3.117956e+00 2.181081e-01 -1.254263e-19)	(9.182255e-01 4.751564e-01 -1.252827e-19)	(2.199730e+00 -2.570483e-01 -1.436227e-22)
0.001        	(3.469269e+00 -7.073556e-01 -1.401607e-19)	(1.338872e+00 -4.666982e-01 -1.400083e-19)	(2.130397e+00 -2.406574e-01 -1.523891e-22)
