# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.894665e+03 1.565469e+04 2.057058e-18)	(2.891045e+03 1.565437e+04 2.057436e-18)	(3.619528e+00 3.168729e-01 -3.780995e-22)
0.0002       	(-4.012130e+02 -2.378647e+03 -1.940597e-19)	(-4.045611e+02 -2.378931e+03 -1.937466e-19)	(3.348175e+00 2.847963e-01 -3.131066e-22)
0.0003       	(2.907091e+00 2.117483e+00 -1.209244e-19)	(-4.797198e-02 1.867067e+00 -1.206418e-19)	(2.955063e+00 2.504164e-01 -2.826778e-22)
0.0004       	(2.416261e+00 3.205023e+00 -1.217919e-19)	(-3.886081e-01 2.967556e+00 -1.215371e-19)	(2.804869e+00 2.374673e-01 -2.548448e-22)
0.0005       	(2.216159e+00 3.475661e+00 -1.259381e-19)	(-4.819849e-01 3.247106e+00 -1.256874e-19)	(2.698144e+00 2.285554e-01 -2.506241e-22)
0.0006       	(2.423570e+00 2.542469e+00 -1.226109e-19)	(-1.646042e-01 2.322903e+00 -1.223657e-19)	(2.588174e+00 2.195654e-01 -2.452078e-22)
0.0007       	(2.578832e+00 1.987407e+00 -1.205974e-19)	(8.566186e-02 1.775845e+00 -1.203672e-19)	(2.493170e+00 2.115615e-01 -2.301853e-22)
0.0008       	(2.970665e+00 9.258311e-01 -1.176841e-19)	(5.484515e-01 7.206971e-01 -1.174714e-19)	(2.422214e+00 2.051340e-01 -2.127131e-22)
0.0009       	(3.556299e+00 6.063112e-01 -1.134306e-19)	(1.193762e+00 4.080164e-01 -1.132425e-19)	(2.362537e+00 1.982947e-01 -1.880816e-22)
0.001        	(3.518175e+00 1.094175e+00 -1.127475e-19)	(1.214896e+00 9.041184e-01 -1.125783e-19)	(2.303279e+00 1.900571e-01 -1.691743e-22)
0.0011       	(3.283407e+00 2.757695e+00 -1.168464e-19)	(1.038030e+00 2.576573e+00 -1.166870e-19)	(2.245377e+00 1.811219e-01 -1.594143e-22)
0.0012       	(3.481683e+00 2.450577e+00 -1.182425e-19)	(1.288348e+00 2.278451e+00 -1.180873e-19)	(2.193334e+00 1.721259e-01 -1.551296e-22)
0.0013       	(3.560054e+00 1.555397e+00 -1.193723e-19)	(1.415793e+00 1.392828e+00 -1.192203e-19)	(2.144261e+00 1.625695e-01 -1.520093e-22)
0.0014       	(4.077680e+00 1.574708e+00 -1.199123e-19)	(1.979059e+00 1.420171e+00 -1.197669e-19)	(2.098622e+00 1.545364e-01 -1.454328e-22)
0.0015       	(5.811679e+00 3.232664e+00 -1.097142e-19)	(3.758399e+00 3.085878e+00 -1.095869e-19)	(2.053281e+00 1.467860e-01 -1.272535e-22)
0.0016       	(8.929362e+00 5.306524e+00 -9.463600e-20)	(6.918809e+00 5.167084e+00 -9.451498e-20)	(2.010552e+00 1.394406e-01 -1.210239e-22)
