# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.287346e+03 -2.677804e+04 -1.229727e-17)	(2.283766e+03 -2.677752e+04 -1.229709e-17)	(3.579955e+00 -5.220908e-01 -1.757172e-22)
0.0002       	(-2.210206e+02 3.843716e+03 1.408535e-18)	(-2.243129e+02 3.844178e+03 1.408694e-18)	(3.292316e+00 -4.613129e-01 -1.589478e-22)
0.0003       	(4.527949e+00 3.830713e+00 -1.510179e-19)	(1.673475e+00 4.228874e+00 -1.508909e-19)	(2.854473e+00 -3.981616e-01 -1.269698e-22)
0.0004       	(2.932219e+00 -1.532986e-01 -1.262799e-19)	(2.452536e-01 2.156090e-01 -1.261734e-19)	(2.686965e+00 -3.689076e-01 -1.064609e-22)
0.0005       	(2.930283e+00 6.829964e-01 -1.298296e-19)	(3.656537e-01 1.028306e+00 -1.297326e-19)	(2.564629e+00 -3.453095e-01 -9.694690e-23)
0.0006       	(2.935335e+00 1.208307e+00 -1.271138e-19)	(4.995485e-01 1.531462e+00 -1.269926e-19)	(2.435787e+00 -3.231559e-01 -1.212562e-22)
0.0007       	(2.814746e+00 -2.195186e-01 -1.261832e-19)	(4.959699e-01 8.265812e-02 -1.260552e-19)	(2.318776e+00 -3.021767e-01 -1.280400e-22)
0.0008       	(2.817119e+00 -2.475159e-01 -1.293466e-19)	(5.862490e-01 3.532405e-02 -1.292186e-19)	(2.230871e+00 -2.828400e-01 -1.280069e-22)
0.0009       	(3.105736e+00 -2.897192e-01 -1.400936e-19)	(9.455438e-01 -2.479178e-02 -1.399665e-19)	(2.160193e+00 -2.649274e-01 -1.271073e-22)
0.001        	(3.286084e+00 -2.175511e+00 -1.514478e-19)	(1.195711e+00 -1.928794e+00 -1.513184e-19)	(2.090373e+00 -2.467177e-01 -1.294310e-22)
0.0011       	(3.420226e+00 -2.834878e+00 -1.547423e-19)	(1.397005e+00 -2.606285e+00 -1.546070e-19)	(2.023220e+00 -2.285932e-01 -1.353158e-22)
0.0012       	(3.264812e+00 -2.552991e+00 -1.437241e-19)	(1.299965e+00 -2.340294e+00 -1.435819e-19)	(1.964847e+00 -2.126967e-01 -1.421356e-22)
0.0013       	(3.158430e+00 -2.223404e+00 -1.383480e-19)	(1.242783e+00 -2.023921e+00 -1.381941e-19)	(1.915647e+00 -1.994830e-01 -1.539121e-22)
0.0014       	(3.402113e+00 -2.911256e+00 -1.491051e-19)	(1.531165e+00 -2.722452e+00 -1.489385e-19)	(1.870948e+00 -1.888035e-01 -1.666851e-22)
0.0015       	(4.265934e+00 -2.983318e+00 -1.752147e-19)	(2.433729e+00 -2.803144e+00 -1.750309e-19)	(1.832205e+00 -1.801736e-01 -1.837889e-22)
0.0016       	(4.631182e+00 -3.601672e+00 -1.838246e-19)	(2.833649e+00 -3.429305e+00 -1.836377e-19)	(1.797533e+00 -1.723674e-01 -1.869238e-22)
0.0017       	(6.093389e+00 -4.098219e+00 -1.917682e-19)	(4.328690e+00 -3.932658e+00 -1.915866e-19)	(1.764699e+00 -1.655604e-01 -1.815766e-22)
0.0018       	(9.054562e+00 -4.874996e+00 -1.739193e-19)	(7.322190e+00 -4.715944e+00 -1.737800e-19)	(1.732372e+00 -1.590527e-01 -1.393847e-22)
0.0019       	(9.434293e+00 -4.969475e+00 -2.018397e-19)	(7.732084e+00 -4.816882e+00 -2.017216e-19)	(1.702208e+00 -1.525929e-01 -1.181745e-22)
0.002        	(7.586867e+00 -4.848379e+00 -1.948600e-19)	(5.912153e+00 -4.700273e+00 -1.947533e-19)	(1.674714e+00 -1.481060e-01 -1.066755e-22)
0.0021       	(5.717241e+00 -4.085460e+00 -1.676548e-19)	(4.068418e+00 -3.941525e+00 -1.675561e-19)	(1.648823e+00 -1.439346e-01 -9.871434e-23)
0.0022       	(7.770423e+00 -5.215879e+00 -1.816402e-19)	(6.146149e+00 -5.076574e+00 -1.815384e-19)	(1.624274e+00 -1.393048e-01 -1.017240e-22)
0.0023       	(8.301859e+00 -6.775025e+00 -1.986885e-19)	(6.702248e+00 -6.640914e+00 -1.985711e-19)	(1.599611e+00 -1.341112e-01 -1.174337e-22)
0.0024       	(1.011599e+01 -9.897629e+00 -2.162731e-19)	(8.539176e+00 -9.767741e+00 -2.161574e-19)	(1.576813e+00 -1.298878e-01 -1.156452e-22)
0.0025       	(1.006962e+01 -8.801069e+00 -2.319368e-19)	(8.513981e+00 -8.675336e+00 -2.318259e-19)	(1.555640e+00 -1.257333e-01 -1.109483e-22)
0.0026       	(5.539564e+00 -4.462375e+00 -1.720268e-19)	(4.003236e+00 -4.339910e+00 -1.719239e-19)	(1.536328e+00 -1.224648e-01 -1.029049e-22)
0.0027       	(6.581319e+00 -5.144080e+00 -1.792844e-19)	(5.061773e+00 -5.023100e+00 -1.791852e-19)	(1.519547e+00 -1.209794e-01 -9.917068e-23)
0.0028       	(7.060280e+00 -5.934492e+00 -1.783733e-19)	(5.555889e+00 -5.813407e+00 -1.782706e-19)	(1.504391e+00 -1.210845e-01 -1.026964e-22)
0.0029       	(8.398024e+00 -6.488962e+00 -2.008917e-19)	(6.907655e+00 -6.367941e+00 -2.007870e-19)	(1.490369e+00 -1.210204e-01 -1.047606e-22)
0.003        	(8.885506e+00 -7.985133e+00 -2.047894e-19)	(7.407941e+00 -7.864009e+00 -2.046854e-19)	(1.477565e+00 -1.211235e-01 -1.040637e-22)
0.0031       	(1.113086e+01 -1.205120e+01 -2.044658e-19)	(9.666078e+00 -1.193069e+01 -2.043618e-19)	(1.464781e+00 -1.205131e-01 -1.039812e-22)
0.0032       	(9.868142e+00 -7.663201e+00 -2.106234e-19)	(8.415054e+00 -7.544028e+00 -2.105110e-19)	(1.453088e+00 -1.191726e-01 -1.123343e-22)
0.0033       	(9.289820e+00 -9.318825e+00 -2.045829e-19)	(7.847784e+00 -9.201549e+00 -2.044751e-19)	(1.442037e+00 -1.172759e-01 -1.078665e-22)
0.0034       	(9.951001e+00 -1.126909e+01 -1.841425e-19)	(8.519887e+00 -1.115278e+01 -1.840349e-19)	(1.431114e+00 -1.163058e-01 -1.075433e-22)
0.0035       	(1.171684e+01 -1.303839e+01 -1.966425e-19)	(1.029696e+01 -1.292254e+01 -1.965346e-19)	(1.419884e+00 -1.158562e-01 -1.078382e-22)
0.0036       	(9.207561e+00 -9.302634e+00 -1.907951e-19)	(7.798172e+00 -9.187110e+00 -1.906873e-19)	(1.409389e+00 -1.155235e-01 -1.077423e-22)
0.0037       	(8.355798e+00 -8.441019e+00 -1.748313e-19)	(6.955464e+00 -8.325190e+00 -1.747232e-19)	(1.400334e+00 -1.158289e-01 -1.080643e-22)
