# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.280679e+03 9.815892e+03 4.662972e-19)	(3.277037e+03 9.815687e+03 4.666356e-19)	(3.642309e+00 2.054999e-01 -3.383878e-22)
0.0002       	(-1.868209e+01 -2.565239e+02 -8.915153e-20)	(-2.204212e+01 -2.567114e+02 -8.885134e-20)	(3.360024e+00 1.874827e-01 -3.001883e-22)
0.0003       	(3.914578e+00 1.295896e+00 -1.200001e-19)	(8.181663e-01 1.123280e+00 -1.197188e-19)	(3.096412e+00 1.726152e-01 -2.812456e-22)
0.0004       	(3.953687e+00 -2.745891e+00 -1.196712e-19)	(9.939952e-01 -2.911087e+00 -1.194094e-19)	(2.959692e+00 1.651954e-01 -2.617487e-22)
0.0005       	(4.460035e+00 -4.920450e+00 -1.278080e-19)	(1.618791e+00 -5.080249e+00 -1.275605e-19)	(2.841244e+00 1.597992e-01 -2.474479e-22)
0.0006       	(5.052270e+00 -1.608534e+00 -1.239315e-19)	(2.314883e+00 -1.761394e+00 -1.236973e-19)	(2.737387e+00 1.528602e-01 -2.342371e-22)
0.0007       	(5.176352e+00 5.836000e+00 -1.147829e-19)	(2.523081e+00 5.690049e+00 -1.145548e-19)	(2.653272e+00 1.459510e-01 -2.280782e-22)
0.0008       	(6.332055e+00 5.529721e+00 -1.138779e-19)	(3.749917e+00 5.390081e+00 -1.136491e-19)	(2.582138e+00 1.396405e-01 -2.288737e-22)
0.0009       	(6.581920e+00 1.944274e+00 -1.079169e-19)	(4.061699e+00 1.809792e+00 -1.076937e-19)	(2.520221e+00 1.344812e-01 -2.231220e-22)
0.001        	(6.045419e+00 2.532693e+00 -1.109451e-19)	(3.583197e+00 2.404017e+00 -1.107279e-19)	(2.462222e+00 1.286760e-01 -2.171670e-22)
0.0011       	(6.768647e+00 3.088771e+00 -1.093437e-19)	(4.361477e+00 2.965601e+00 -1.091324e-19)	(2.407170e+00 1.231700e-01 -2.113190e-22)
0.0012       	(7.314782e+00 2.691221e+00 -1.115269e-19)	(4.957372e+00 2.572192e+00 -1.113145e-19)	(2.357411e+00 1.190293e-01 -2.123637e-22)
0.0013       	(9.305380e+00 2.804976e+00 -1.085645e-19)	(6.993832e+00 2.689848e+00 -1.083575e-19)	(2.311549e+00 1.151275e-01 -2.070173e-22)
0.0014       	(1.370076e+01 1.004387e+00 -1.581982e-19)	(1.143048e+01 8.943186e-01 -1.579987e-19)	(2.270279e+00 1.100682e-01 -1.994942e-22)
0.0015       	(8.977709e+00 2.269207e+00 -1.232318e-19)	(6.746928e+00 2.163916e+00 -1.230432e-19)	(2.230781e+00 1.052908e-01 -1.885403e-22)
0.0016       	(8.236841e+00 1.774726e+00 -1.117288e-19)	(6.043413e+00 1.673866e+00 -1.115538e-19)	(2.193427e+00 1.008595e-01 -1.749660e-22)
0.0017       	(7.353438e+00 2.710800e+00 -1.074917e-19)	(5.196639e+00 2.614491e+00 -1.073291e-19)	(2.156799e+00 9.630857e-02 -1.626256e-22)
0.0018       	(9.238675e+00 3.146615e+00 -1.280423e-19)	(7.116882e+00 3.055130e+00 -1.278964e-19)	(2.121793e+00 9.148468e-02 -1.459349e-22)
0.0019       	(9.635955e+00 4.644494e+00 -1.294335e-19)	(7.547456e+00 4.557215e+00 -1.293059e-19)	(2.088499e+00 8.727919e-02 -1.276070e-22)
0.002        	(7.909112e+00 1.990288e+00 -1.156607e-19)	(5.853541e+00 1.905420e+00 -1.155422e-19)	(2.055571e+00 8.486796e-02 -1.184761e-22)
0.0021       	(8.631560e+00 -3.275888e-01 -1.178220e-19)	(6.608266e+00 -4.106772e-01 -1.177053e-19)	(2.023294e+00 8.308845e-02 -1.166476e-22)
0.0022       	(1.024371e+01 5.074664e+00 -1.198191e-19)	(8.251421e+00 4.993969e+00 -1.197069e-19)	(1.992285e+00 8.069519e-02 -1.121931e-22)
0.0023       	(1.005055e+01 9.122068e+00 -1.152672e-19)	(8.087924e+00 9.043923e+00 -1.151643e-19)	(1.962622e+00 7.814472e-02 -1.029461e-22)
0.0024       	(9.142985e+00 1.112784e+01 -1.136610e-19)	(7.208519e+00 1.105225e+01 -1.135658e-19)	(1.934466e+00 7.558898e-02 -9.519785e-23)
0.0025       	(1.129526e+01 6.236887e+00 -1.152756e-19)	(9.388805e+00 6.162995e+00 -1.151820e-19)	(1.906458e+00 7.389188e-02 -9.357392e-23)
0.0026       	(1.011412e+01 6.597971e+00 -1.172719e-19)	(8.235232e+00 6.525131e+00 -1.171836e-19)	(1.878885e+00 7.283953e-02 -8.829252e-23)
0.0027       	(1.010217e+01 7.322048e+00 -1.177307e-19)	(8.250787e+00 7.250322e+00 -1.176450e-19)	(1.851380e+00 7.172623e-02 -8.566614e-23)
0.0028       	(1.386027e+01 1.235579e+01 -1.126991e-19)	(1.203638e+01 1.228587e+01 -1.126016e-19)	(1.823892e+00 6.991373e-02 -9.746523e-23)
0.0029       	(1.323091e+01 1.165134e+01 -1.119714e-19)	(1.143432e+01 1.158266e+01 -1.118666e-19)	(1.796581e+00 6.867263e-02 -1.047509e-22)
0.003        	(1.017929e+01 1.123776e+01 -1.221835e-19)	(8.408961e+00 1.116951e+01 -1.220787e-19)	(1.770331e+00 6.825552e-02 -1.048240e-22)
0.0031       	(9.024111e+00 7.474645e+00 -1.168109e-19)	(7.277482e+00 7.406913e+00 -1.167079e-19)	(1.746629e+00 6.773179e-02 -1.030272e-22)
0.0032       	(9.514540e+00 1.188092e+01 -1.245115e-19)	(7.789896e+00 1.181418e+01 -1.244068e-19)	(1.724644e+00 6.673358e-02 -1.046853e-22)
0.0033       	(1.085032e+01 1.382769e+01 -1.157515e-19)	(9.144631e+00 1.376178e+01 -1.156534e-19)	(1.705688e+00 6.590849e-02 -9.803937e-23)
0.0034       	(1.193820e+01 1.301327e+01 -1.159149e-19)	(1.024876e+01 1.294783e+01 -1.158258e-19)	(1.689437e+00 6.543974e-02 -8.907948e-23)
