# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.489347e+03 -2.920099e+02 -1.449124e-18)	(3.485692e+03 -2.920011e+02 -1.448819e-18)	(3.654747e+00 -8.758136e-03 -3.050476e-22)
0.0002       	(1.858040e+01 1.169803e+01 -1.722369e-19)	(1.521548e+01 1.170606e+01 -1.720146e-19)	(3.364916e+00 -8.029499e-03 -2.223740e-22)
0.0003       	(1.848314e+01 1.289737e+00 -1.720926e-19)	(1.532935e+01 1.297500e+00 -1.718918e-19)	(3.153790e+00 -7.762705e-03 -2.007686e-22)
0.0004       	(1.871478e+01 -3.125372e+00 -1.719678e-19)	(1.570292e+01 -3.118698e+00 -1.717595e-19)	(3.011855e+00 -6.673350e-03 -2.082916e-22)
0.0005       	(1.819401e+01 -1.000559e+00 -1.697551e-19)	(1.529644e+01 -9.962479e-01 -1.695498e-19)	(2.897572e+00 -4.311591e-03 -2.052559e-22)
0.0006       	(1.895210e+01 -4.770491e+00 -1.739944e-19)	(1.614689e+01 -4.767016e+00 -1.737972e-19)	(2.805203e+00 -3.475189e-03 -1.971520e-22)
0.0007       	(2.056893e+01 -4.746169e-01 -1.721042e-19)	(1.784289e+01 -4.703552e-01 -1.719164e-19)	(2.726033e+00 -4.261682e-03 -1.877246e-22)
0.0008       	(1.961979e+01 -2.930334e+00 -1.724163e-19)	(1.696251e+01 -2.925529e+00 -1.722351e-19)	(2.657272e+00 -4.805064e-03 -1.811430e-22)
0.0009       	(1.990360e+01 -3.842606e+00 -1.693018e-19)	(1.730688e+01 -3.837859e+00 -1.691122e-19)	(2.596712e+00 -4.747432e-03 -1.896149e-22)
0.001        	(2.068400e+01 -9.853501e+00 -1.674922e-19)	(1.814045e+01 -9.849142e+00 -1.672930e-19)	(2.543549e+00 -4.358960e-03 -1.992233e-22)
0.0011       	(2.115762e+01 -1.094906e+01 -1.662184e-19)	(1.866259e+01 -1.094592e+01 -1.660193e-19)	(2.495026e+00 -3.142993e-03 -1.990585e-22)
0.0012       	(2.131658e+01 -3.077762e+00 -1.661710e-19)	(1.886824e+01 -3.074929e+00 -1.659750e-19)	(2.448342e+00 -2.833103e-03 -1.960111e-22)
0.0013       	(2.163458e+01 -1.721252e+01 -1.585619e-19)	(1.922745e+01 -1.721016e+01 -1.583699e-19)	(2.407135e+00 -2.353397e-03 -1.920806e-22)
0.0014       	(2.073194e+01 -2.971284e+01 -1.543456e-19)	(1.836237e+01 -2.971114e+01 -1.541658e-19)	(2.369568e+00 -1.700110e-03 -1.798284e-22)
0.0015       	(2.201896e+01 -1.631180e+00 -1.626670e-19)	(1.968440e+01 -1.629719e+00 -1.624991e-19)	(2.334567e+00 -1.461351e-03 -1.679596e-22)
0.0016       	(2.252449e+01 4.119390e-01 -1.648878e-19)	(2.022324e+01 4.139220e-01 -1.647252e-19)	(2.301242e+00 -1.982948e-03 -1.625692e-22)
0.0017       	(2.296180e+01 1.292230e+01 -1.672924e-19)	(2.068976e+01 1.292456e+01 -1.671332e-19)	(2.272038e+00 -2.253022e-03 -1.591716e-22)
0.0018       	(2.472877e+01 5.801948e+00 -1.581756e-19)	(2.248105e+01 5.803937e+00 -1.580249e-19)	(2.247720e+00 -1.988307e-03 -1.506851e-22)
0.0019       	(2.802813e+01 -5.563319e+00 -1.513674e-19)	(2.580185e+01 -5.561886e+00 -1.512273e-19)	(2.226283e+00 -1.433016e-03 -1.400841e-22)
0.002        	(2.570959e+01 -6.888587e-01 -1.716732e-19)	(2.350353e+01 -6.871885e-01 -1.715446e-19)	(2.206058e+00 -1.670203e-03 -1.285356e-22)
0.0021       	(2.584377e+01 -3.257205e+00 -1.722158e-19)	(2.365503e+01 -3.255347e+00 -1.720823e-19)	(2.188742e+00 -1.857812e-03 -1.334374e-22)
0.0022       	(2.543735e+01 -9.405334e+00 -1.702814e-19)	(2.326361e+01 -9.404536e+00 -1.701287e-19)	(2.173744e+00 -7.985002e-04 -1.527056e-22)
0.0023       	(2.495486e+01 -3.573997e+00 -1.758935e-19)	(2.279414e+01 -3.572729e+00 -1.757193e-19)	(2.160719e+00 -1.267777e-03 -1.741882e-22)
0.0024       	(2.620354e+01 -6.444231e-01 -1.767105e-19)	(2.405130e+01 -6.441989e-01 -1.765409e-19)	(2.152238e+00 -2.242472e-04 -1.696015e-22)
0.0025       	(3.010936e+01 -5.701108e+00 -1.837647e-19)	(2.796209e+01 -5.701592e+00 -1.836057e-19)	(2.147269e+00 4.838542e-04 -1.589379e-22)
0.0026       	(4.069376e+01 -2.649384e+01 -1.923645e-19)	(3.854791e+01 -2.649600e+01 -1.922242e-19)	(2.145853e+00 2.164648e-03 -1.402658e-22)
0.0027       	(3.332219e+01 3.586098e+00 -2.041372e-19)	(3.117649e+01 3.584758e+00 -2.040062e-19)	(2.145691e+00 1.340478e-03 -1.309630e-22)
0.0028       	(2.860392e+01 1.897795e+01 -1.912201e-19)	(2.645575e+01 1.897722e+01 -1.910945e-19)	(2.148168e+00 7.292744e-04 -1.256243e-22)
0.0029       	(3.023815e+01 2.856274e+01 -1.778871e-19)	(2.808592e+01 2.856203e+01 -1.777435e-19)	(2.152230e+00 7.080922e-04 -1.436349e-22)
0.003        	(2.962729e+01 3.204125e+00 -1.812049e-19)	(2.746821e+01 3.204680e+00 -1.810667e-19)	(2.159077e+00 -5.546392e-04 -1.381641e-22)
0.0031       	(3.464209e+01 -1.494773e+01 -1.924306e-19)	(3.247319e+01 -1.494564e+01 -1.923369e-19)	(2.168904e+00 -2.090561e-03 -9.374812e-23)
0.0032       	(4.364714e+01 -4.559988e+01 -2.027483e-19)	(4.146580e+01 -4.559763e+01 -2.026927e-19)	(2.181338e+00 -2.251888e-03 -5.566511e-23)
0.0033       	(3.396540e+01 4.488483e+00 -1.852895e-19)	(3.177141e+01 4.490620e+00 -1.852870e-19)	(2.193992e+00 -2.137640e-03 -2.501951e-24)
0.0034       	(5.478902e+01 -5.230483e+01 -2.273020e-19)	(5.258185e+01 -5.230310e+01 -2.273507e-19)	(2.207171e+00 -1.720708e-03 4.866390e-23)
0.0035       	(4.535642e+01 -3.560521e+01 -1.835939e-19)	(4.313703e+01 -3.560304e+01 -1.836562e-19)	(2.219393e+00 -2.177942e-03 6.230501e-23)
0.0036       	(4.097449e+01 -6.500796e+01 -1.933394e-19)	(3.874003e+01 -6.500632e+01 -1.934186e-19)	(2.234459e+00 -1.637828e-03 7.920545e-23)
0.0037       	(5.333980e+01 -4.296624e+01 -1.754649e-19)	(5.108429e+01 -4.296657e+01 -1.756112e-19)	(2.255511e+00 3.336910e-04 1.462922e-22)
