# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.384799e+03 2.530381e+04 3.815693e-18)	(2.381221e+03 2.530332e+04 3.816123e-18)	(3.577674e+00 4.905945e-01 -4.297059e-22)
0.0002       	(-2.526990e+02 -3.825104e+03 -4.696098e-19)	(-2.559949e+02 -3.825534e+03 -4.692554e-19)	(3.295843e+00 4.297342e-01 -3.543345e-22)
0.0003       	(3.265018e+00 -1.299500e+00 -1.263907e-19)	(4.100943e-01 -1.670459e+00 -1.260679e-19)	(2.854924e+00 3.709592e-01 -3.227369e-22)
0.0004       	(3.402688e+00 -3.200236e+00 -1.274945e-19)	(7.089042e-01 -3.545388e+00 -1.272155e-19)	(2.693783e+00 3.451522e-01 -2.789706e-22)
0.0005       	(2.972511e+00 -9.405435e-01 -1.205714e-19)	(3.921576e-01 -1.267320e+00 -1.203245e-19)	(2.580353e+00 3.267766e-01 -2.469571e-22)
0.0006       	(2.837408e+00 -5.754405e-01 -1.137096e-19)	(3.835489e-01 -8.830754e-01 -1.134797e-19)	(2.453859e+00 3.076350e-01 -2.298539e-22)
0.0007       	(2.957562e+00 -2.015711e+00 -1.138592e-19)	(6.109284e-01 -2.307143e+00 -1.136390e-19)	(2.346634e+00 2.914328e-01 -2.201908e-22)
0.0008       	(2.688496e+00 5.850477e-02 -1.190849e-19)	(4.156572e-01 -2.185361e-01 -1.188784e-19)	(2.272839e+00 2.770409e-01 -2.065543e-22)
0.0009       	(3.275471e+00 -1.226059e-02 -1.197511e-19)	(1.066986e+00 -2.752680e-01 -1.195670e-19)	(2.208485e+00 2.630074e-01 -1.840590e-22)
0.001        	(3.477737e+00 1.606106e+00 -1.185435e-19)	(1.332536e+00 1.357328e+00 -1.183781e-19)	(2.145201e+00 2.487783e-01 -1.653435e-22)
0.0011       	(3.956481e+00 2.005998e+00 -1.174845e-19)	(1.872170e+00 1.771423e+00 -1.173400e-19)	(2.084311e+00 2.345749e-01 -1.444841e-22)
0.0012       	(4.092393e+00 1.305584e+00 -1.196714e-19)	(2.064621e+00 1.084884e+00 -1.195470e-19)	(2.027773e+00 2.206999e-01 -1.244908e-22)
0.0013       	(3.393529e+00 6.609319e-01 -1.292713e-19)	(1.416275e+00 4.532798e-01 -1.291604e-19)	(1.977253e+00 2.076521e-01 -1.108943e-22)
0.0014       	(3.849006e+00 7.859845e-01 -1.282476e-19)	(1.916653e+00 5.901581e-01 -1.281501e-19)	(1.932353e+00 1.958263e-01 -9.754046e-23)
0.0015       	(6.187960e+00 5.075714e-01 -1.179305e-19)	(4.296624e+00 3.221994e-01 -1.178432e-19)	(1.891337e+00 1.853721e-01 -8.732501e-23)
0.0016       	(8.951936e+00 2.195763e+00 -1.018734e-19)	(7.098351e+00 2.020723e+00 -1.017905e-19)	(1.853585e+00 1.750402e-01 -8.286489e-23)
0.0017       	(6.843738e+00 2.345578e+00 -1.048560e-19)	(5.026471e+00 2.179826e+00 -1.047850e-19)	(1.817266e+00 1.657522e-01 -7.094412e-23)
0.0018       	(5.311960e+00 3.068952e+00 -1.134124e-19)	(3.528077e+00 2.911027e+00 -1.133473e-19)	(1.783883e+00 1.579247e-01 -6.512111e-23)
0.0019       	(7.548709e+00 4.194258e+00 -1.055450e-19)	(5.794643e+00 4.042714e+00 -1.054812e-19)	(1.754066e+00 1.515437e-01 -6.380962e-23)
0.002        	(6.739973e+00 3.966137e+00 -1.150232e-19)	(5.014033e+00 3.819706e+00 -1.149580e-19)	(1.725940e+00 1.464310e-01 -6.513884e-23)
