# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.054157e+03 -1.349084e+04 -6.114165e-18)	(3.050519e+03 -1.349056e+04 -6.113951e-18)	(3.637367e+00 -2.766684e-01 -2.139614e-22)
0.0002       	(-4.326937e+02 1.912954e+03 3.623462e-19)	(-4.360615e+02 1.913207e+03 3.625201e-19)	(3.367800e+00 -2.528972e-01 -1.738680e-22)
0.0003       	(3.568123e+00 2.263259e+00 -1.261339e-19)	(5.797118e-01 2.486460e+00 -1.259580e-19)	(2.988412e+00 -2.232012e-01 -1.758516e-22)
0.0004       	(2.884752e+00 -2.243224e-01 -1.224367e-19)	(4.454429e-02 -1.417356e-02 -1.222207e-19)	(2.840208e+00 -2.101488e-01 -2.160500e-22)
0.0005       	(2.875251e+00 6.992155e-01 -1.214575e-19)	(1.402202e-01 9.015028e-01 -1.212107e-19)	(2.735031e+00 -2.022873e-01 -2.467873e-22)
0.0006       	(2.567261e+00 -1.079426e+00 -1.233151e-19)	(-5.422565e-02 -8.863734e-01 -1.230398e-19)	(2.621487e+00 -1.930530e-01 -2.753137e-22)
0.0007       	(2.216176e+00 -2.181512e+00 -1.270911e-19)	(-3.092526e-01 -1.996274e+00 -1.267890e-19)	(2.525429e+00 -1.852388e-01 -3.021127e-22)
0.0008       	(2.479084e+00 -2.326203e+00 -1.270575e-19)	(2.430113e-02 -2.148929e+00 -1.267293e-19)	(2.454783e+00 -1.772738e-01 -3.282183e-22)
0.0009       	(3.274251e+00 -1.321684e+00 -1.330696e-19)	(8.831177e-01 -1.150979e+00 -1.327413e-19)	(2.391133e+00 -1.707053e-01 -3.283826e-22)
0.001        	(3.885730e+00 -1.449216e+00 -1.346573e-19)	(1.553566e+00 -1.285229e+00 -1.343522e-19)	(2.332164e+00 -1.639863e-01 -3.051327e-22)
0.0011       	(4.147590e+00 -1.426271e+00 -1.273850e-19)	(1.875251e+00 -1.269430e+00 -1.271171e-19)	(2.272339e+00 -1.568405e-01 -2.679016e-22)
0.0012       	(3.615488e+00 -2.353172e+00 -1.245545e-19)	(1.397528e+00 -2.203424e+00 -1.243150e-19)	(2.217960e+00 -1.497473e-01 -2.395254e-22)
0.0013       	(3.826929e+00 -2.232505e+00 -1.323730e-19)	(1.656698e+00 -2.091116e+00 -1.321482e-19)	(2.170230e+00 -1.413884e-01 -2.248280e-22)
0.0014       	(4.351556e+00 -3.119827e+00 -1.357309e-19)	(2.224526e+00 -2.985453e+00 -1.355163e-19)	(2.127030e+00 -1.343747e-01 -2.146542e-22)
0.0015       	(5.619975e+00 -5.241905e+00 -1.621652e-19)	(3.533636e+00 -5.114025e+00 -1.619545e-19)	(2.086339e+00 -1.278795e-01 -2.106694e-22)
0.0016       	(4.715008e+00 -3.421512e+00 -1.563818e-19)	(2.667931e+00 -3.299320e+00 -1.561661e-19)	(2.047077e+00 -1.221921e-01 -2.156691e-22)
0.0017       	(6.410173e+00 -3.797764e+00 -1.723170e-19)	(4.399660e+00 -3.680692e+00 -1.721018e-19)	(2.010513e+00 -1.170717e-01 -2.151787e-22)
0.0018       	(8.929023e+00 -4.034604e+00 -2.061168e-19)	(6.951941e+00 -3.921806e+00 -2.059087e-19)	(1.977083e+00 -1.127979e-01 -2.081013e-22)
0.0019       	(4.850796e+00 -3.086886e+00 -1.563079e-19)	(2.906420e+00 -2.978483e+00 -1.561042e-19)	(1.944377e+00 -1.084030e-01 -2.037335e-22)
0.002        	(5.097327e+00 -3.772125e+00 -1.547477e-19)	(3.185188e+00 -3.668347e+00 -1.545499e-19)	(1.912139e+00 -1.037782e-01 -1.977217e-22)
0.0021       	(8.055707e+00 -4.114908e+00 -1.784629e-19)	(6.175509e+00 -4.015823e+00 -1.782668e-19)	(1.880198e+00 -9.908479e-02 -1.960828e-22)
0.0022       	(1.000569e+01 -3.083321e+00 -1.610209e-19)	(8.157393e+00 -2.987860e+00 -1.608401e-19)	(1.848292e+00 -9.546084e-02 -1.807665e-22)
0.0023       	(8.517471e+00 -3.289591e+00 -1.567483e-19)	(6.697590e+00 -3.195591e+00 -1.565792e-19)	(1.819881e+00 -9.399954e-02 -1.691575e-22)
0.0024       	(7.106586e+00 -3.293980e+00 -1.745165e-19)	(5.313562e+00 -3.200983e+00 -1.743556e-19)	(1.793023e+00 -9.299694e-02 -1.608674e-22)
0.0025       	(7.244892e+00 -2.894605e+00 -1.639611e-19)	(5.477087e+00 -2.802876e+00 -1.638051e-19)	(1.767805e+00 -9.172841e-02 -1.559878e-22)
0.0026       	(8.659823e+00 -3.478815e+00 -1.680778e-19)	(6.915962e+00 -3.388510e+00 -1.679227e-19)	(1.743861e+00 -9.030510e-02 -1.550936e-22)
0.0027       	(8.738960e+00 -4.701261e+00 -1.913331e-19)	(7.018834e+00 -4.611974e+00 -1.911858e-19)	(1.720126e+00 -8.928742e-02 -1.473863e-22)
0.0028       	(7.577116e+00 -3.770565e+00 -1.626479e-19)	(5.880230e+00 -3.682577e+00 -1.625050e-19)	(1.696886e+00 -8.798753e-02 -1.429057e-22)
0.0029       	(7.101616e+00 -4.289142e+00 -1.537260e-19)	(5.429227e+00 -4.203201e+00 -1.535824e-19)	(1.672389e+00 -8.594182e-02 -1.436003e-22)
0.003        	(6.816282e+00 -5.322071e+00 -1.602970e-19)	(5.168861e+00 -5.238298e+00 -1.601592e-19)	(1.647421e+00 -8.377300e-02 -1.378389e-22)
0.0031       	(7.587506e+00 -5.181195e+00 -1.573267e-19)	(5.962970e+00 -5.099782e+00 -1.571964e-19)	(1.624536e+00 -8.141316e-02 -1.302690e-22)
0.0032       	(9.148702e+00 -6.291484e+00 -1.697843e-19)	(7.542912e+00 -6.211869e+00 -1.696662e-19)	(1.605790e+00 -7.961528e-02 -1.181216e-22)
0.0033       	(8.756132e+00 -6.157698e+00 -1.669344e-19)	(7.169089e+00 -6.079170e+00 -1.668297e-19)	(1.587043e+00 -7.852786e-02 -1.046733e-22)
0.0034       	(9.097056e+00 -5.893195e+00 -1.614840e-19)	(7.528260e+00 -5.815685e+00 -1.613927e-19)	(1.568796e+00 -7.750973e-02 -9.125739e-23)
0.0035       	(1.033302e+01 -5.256149e+00 -1.720419e-19)	(8.781724e+00 -5.179287e+00 -1.719565e-19)	(1.551294e+00 -7.686126e-02 -8.535397e-23)
0.0036       	(1.280144e+01 -9.736863e+00 -2.122980e-19)	(1.126663e+01 -9.660536e+00 -2.122094e-19)	(1.534803e+00 -7.632618e-02 -8.863185e-23)
0.0037       	(1.124074e+01 -9.458697e+00 -1.949211e-19)	(9.722915e+00 -9.383418e+00 -1.948205e-19)	(1.517824e+00 -7.527950e-02 -1.005892e-22)
0.0038       	(1.110575e+01 -6.082666e+00 -1.613832e-19)	(9.603483e+00 -6.008469e+00 -1.612809e-19)	(1.502266e+00 -7.419712e-02 -1.023241e-22)
