# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.483184e+03 -2.295835e+04 -1.056840e-17)	(2.479586e+03 -2.295790e+04 -1.056823e-17)	(3.598595e+00 -4.529172e-01 -1.667865e-22)
0.0002       	(-2.659769e+02 3.246466e+03 1.019436e-18)	(-2.692980e+02 3.246865e+03 1.019556e-18)	(3.321085e+00 -3.995084e-01 -1.195969e-22)
0.0003       	(3.527211e+00 2.895383e+00 -1.234646e-19)	(6.287988e-01 3.245428e+00 -1.233241e-19)	(2.898412e+00 -3.500447e-01 -1.404397e-22)
0.0004       	(3.315398e+00 2.551823e+00 -1.218585e-19)	(5.774410e-01 2.879903e+00 -1.216977e-19)	(2.737957e+00 -3.280795e-01 -1.608085e-22)
0.0005       	(2.804775e+00 -2.514868e-01 -1.210155e-19)	(1.826259e-01 5.893497e-02 -1.208486e-19)	(2.622149e+00 -3.104217e-01 -1.668811e-22)
0.0006       	(2.906830e+00 4.853926e-01 -1.151506e-19)	(4.070616e-01 7.778635e-01 -1.149760e-19)	(2.499768e+00 -2.924710e-01 -1.745641e-22)
0.0007       	(2.854872e+00 8.503004e-01 -1.153767e-19)	(4.666395e-01 1.125615e+00 -1.151943e-19)	(2.388233e+00 -2.753144e-01 -1.824037e-22)
0.0008       	(2.844020e+00 3.482649e-02 -1.225906e-19)	(5.388136e-01 2.945012e-01 -1.224017e-19)	(2.305207e+00 -2.596747e-01 -1.888739e-22)
0.0009       	(3.030883e+00 -1.645549e+00 -1.379048e-19)	(7.944893e-01 -1.401616e+00 -1.377148e-19)	(2.236393e+00 -2.439330e-01 -1.900324e-22)
0.001        	(3.438171e+00 -1.831581e+00 -1.484206e-19)	(1.271630e+00 -1.602884e+00 -1.482230e-19)	(2.166541e+00 -2.286974e-01 -1.975922e-22)
0.0011       	(3.603272e+00 -2.580987e+00 -1.505107e-19)	(1.506945e+00 -2.368110e+00 -1.503039e-19)	(2.096327e+00 -2.128767e-01 -2.067547e-22)
0.0012       	(3.472884e+00 -2.388121e+00 -1.414951e-19)	(1.436296e+00 -2.188732e+00 -1.412852e-19)	(2.036589e+00 -1.993886e-01 -2.098728e-22)
0.0013       	(3.740355e+00 -1.714572e+00 -1.394194e-19)	(1.755252e+00 -1.526853e+00 -1.392140e-19)	(1.985103e+00 -1.877186e-01 -2.053864e-22)
0.0014       	(3.885183e+00 -2.449010e+00 -1.493029e-19)	(1.946407e+00 -2.272282e+00 -1.490939e-19)	(1.938776e+00 -1.767273e-01 -2.089479e-22)
0.0015       	(4.858023e+00 -3.070033e+00 -1.716634e-19)	(2.960917e+00 -2.902271e+00 -1.714427e-19)	(1.897106e+00 -1.677627e-01 -2.207398e-22)
0.0016       	(8.201723e+00 -4.703996e+00 -1.820825e-19)	(6.342648e+00 -4.544850e+00 -1.818802e-19)	(1.859075e+00 -1.591465e-01 -2.023112e-22)
0.0017       	(8.506541e+00 -5.182964e+00 -1.891438e-19)	(6.682479e+00 -5.031120e+00 -1.889541e-19)	(1.824062e+00 -1.518435e-01 -1.896707e-22)
0.0018       	(7.269839e+00 -4.101117e+00 -1.747540e-19)	(5.476096e+00 -3.956327e+00 -1.745784e-19)	(1.793743e+00 -1.447900e-01 -1.755269e-22)
0.0019       	(6.124280e+00 -3.896569e+00 -1.765503e-19)	(4.359101e+00 -3.757000e+00 -1.763874e-19)	(1.765178e+00 -1.395698e-01 -1.628458e-22)
