# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.606406e+03 -2.055279e+04 -9.522337e-18)	(2.602798e+03 -2.055238e+04 -9.522150e-18)	(3.608495e+00 -4.085919e-01 -1.871988e-22)
0.0002       	(-3.099597e+02 2.931179e+03 8.680797e-19)	(-3.132907e+02 2.931544e+03 8.682505e-19)	(3.331054e+00 -3.652277e-01 -1.708834e-22)
0.0003       	(3.343396e+00 1.189923e+00 -1.158757e-19)	(4.241336e-01 1.509131e+00 -1.157177e-19)	(2.919262e+00 -3.192076e-01 -1.579883e-22)
0.0004       	(2.970223e+00 3.276995e-01 -1.147415e-19)	(2.092711e-01 6.278944e-01 -1.145608e-19)	(2.760952e+00 -3.001949e-01 -1.806812e-22)
0.0005       	(2.826630e+00 -2.807566e-01 -1.183149e-19)	(1.772056e-01 5.164730e-03 -1.181175e-19)	(2.649424e+00 -2.859213e-01 -1.974220e-22)
0.0006       	(2.621514e+00 -1.985049e+00 -1.228443e-19)	(9.106854e-02 -1.715220e+00 -1.226264e-19)	(2.530446e+00 -2.698289e-01 -2.178932e-22)
0.0007       	(2.700425e+00 -1.208126e+00 -1.251073e-19)	(2.779247e-01 -9.540592e-01 -1.248790e-19)	(2.422500e+00 -2.540666e-01 -2.283247e-22)
0.0008       	(3.006959e+00 -7.878114e-01 -1.322980e-19)	(6.651599e-01 -5.471128e-01 -1.320600e-19)	(2.341799e+00 -2.406987e-01 -2.380266e-22)
0.0009       	(3.465586e+00 1.306247e+00 -1.353515e-19)	(1.192558e+00 1.532427e+00 -1.351062e-19)	(2.273028e+00 -2.261799e-01 -2.452671e-22)
0.001        	(3.450536e+00 -1.133952e+00 -1.357081e-19)	(1.244380e+00 -9.226767e-01 -1.354569e-19)	(2.206156e+00 -2.112756e-01 -2.511711e-22)
0.0011       	(3.659949e+00 -2.737812e+00 -1.364693e-19)	(1.519930e+00 -2.541312e+00 -1.362254e-19)	(2.140019e+00 -1.964998e-01 -2.439611e-22)
0.0012       	(3.788240e+00 -2.509257e+00 -1.447171e-19)	(1.705705e+00 -2.325676e+00 -1.444795e-19)	(2.082535e+00 -1.835803e-01 -2.376036e-22)
0.0013       	(3.569368e+00 -1.511008e+00 -1.387984e-19)	(1.535750e+00 -1.338141e+00 -1.385540e-19)	(2.033618e+00 -1.728679e-01 -2.444923e-22)
0.0014       	(4.194096e+00 -1.719192e+00 -1.454215e-19)	(2.205071e+00 -1.556084e+00 -1.451735e-19)	(1.989024e+00 -1.631083e-01 -2.479491e-22)
0.0015       	(7.926638e+00 -3.712959e+00 -1.701455e-19)	(5.978671e+00 -3.558004e+00 -1.699220e-19)	(1.947967e+00 -1.549556e-01 -2.234710e-22)
0.0016       	(6.372573e+00 -9.076185e-01 -1.694279e-19)	(4.461828e+00 -7.598302e-01 -1.692121e-19)	(1.910744e+00 -1.477883e-01 -2.158609e-22)
0.0017       	(6.344206e+00 -2.389315e+00 -1.808396e-19)	(4.467091e+00 -2.248737e+00 -1.806247e-19)	(1.877114e+00 -1.405778e-01 -2.149637e-22)
0.0018       	(8.450130e+00 -3.053493e+00 -1.863464e-19)	(6.603578e+00 -2.919425e+00 -1.861392e-19)	(1.846553e+00 -1.340672e-01 -2.072284e-22)
0.0019       	(5.671828e+00 -3.010138e+00 -1.664952e-19)	(3.854001e+00 -2.881233e+00 -1.662971e-19)	(1.817826e+00 -1.289048e-01 -1.980887e-22)
0.002        	(6.344237e+00 -3.334586e+00 -1.844405e-19)	(4.553461e+00 -3.209978e+00 -1.842571e-19)	(1.790776e+00 -1.246083e-01 -1.833790e-22)
0.0021       	(6.368158e+00 -2.558719e+00 -1.786987e-19)	(4.603997e+00 -2.437901e+00 -1.785303e-19)	(1.764160e+00 -1.208185e-01 -1.683921e-22)
0.0022       	(7.707928e+00 -3.418624e+00 -1.868089e-19)	(5.969551e+00 -3.301416e+00 -1.866525e-19)	(1.738376e+00 -1.172080e-01 -1.564230e-22)
0.0023       	(7.050304e+00 -3.243173e+00 -1.744016e-19)	(5.335600e+00 -3.129721e+00 -1.742465e-19)	(1.714703e+00 -1.134520e-01 -1.550937e-22)
0.0024       	(6.496202e+00 -3.500044e+00 -1.653197e-19)	(4.803853e+00 -3.388409e+00 -1.651624e-19)	(1.692348e+00 -1.116344e-01 -1.573138e-22)
0.0025       	(7.976067e+00 -4.442566e+00 -1.885731e-19)	(6.304049e+00 -4.332056e+00 -1.884224e-19)	(1.672019e+00 -1.105099e-01 -1.507080e-22)
0.0026       	(8.609118e+00 -5.247082e+00 -2.064719e-19)	(6.956769e+00 -5.137242e+00 -2.063368e-19)	(1.652349e+00 -1.098407e-01 -1.350681e-22)
0.0027       	(5.944627e+00 -4.030916e+00 -1.550519e-19)	(4.311222e+00 -3.921846e+00 -1.549321e-19)	(1.633405e+00 -1.090700e-01 -1.198385e-22)
0.0028       	(6.695025e+00 -4.078205e+00 -1.572765e-19)	(5.080201e+00 -3.969649e+00 -1.571710e-19)	(1.614824e+00 -1.085562e-01 -1.054870e-22)
0.0029       	(7.931097e+00 -3.858001e+00 -1.706849e-19)	(6.334416e+00 -3.750133e+00 -1.705869e-19)	(1.596682e+00 -1.078681e-01 -9.796474e-23)
0.003        	(1.323172e+01 -7.634640e+00 -2.090393e-19)	(1.165222e+01 -7.527793e+00 -2.089315e-19)	(1.579503e+00 -1.068474e-01 -1.077903e-22)
0.0031       	(1.254749e+01 -8.879765e+00 -2.229859e-19)	(1.098428e+01 -8.773871e+00 -2.228659e-19)	(1.563209e+00 -1.058944e-01 -1.199980e-22)
