# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.705139e+05 -3.078352e+05 1.116979e-14)	(2.704923e+05 -3.078341e+05 1.116992e-14)	(2.161285e+01 -1.038827e+00 -1.300499e-19)
0.0002       	(6.623475e+03 -1.236097e+04 3.899706e-16)	(6.602371e+03 -1.235994e+04 3.900946e-16)	(2.110377e+01 -1.035063e+00 -1.240151e-19)
0.0003       	(5.779282e+02 2.713394e+02 1.022365e-16)	(5.570229e+02 2.723545e+02 1.023554e-16)	(2.090531e+01 -1.015183e+00 -1.188907e-19)
0.0004       	(4.004421e+02 -4.585216e+01 9.827741e-17)	(3.798372e+02 -4.485310e+01 9.839294e-17)	(2.060488e+01 -9.990569e-01 -1.155351e-19)
0.0005       	(3.308290e+02 -9.365579e+01 8.619298e-17)	(3.103944e+02 -9.267045e+01 8.630574e-17)	(2.043462e+01 -9.853334e-01 -1.127518e-19)
0.0006       	(2.986383e+02 -1.072609e+02 7.225972e-17)	(2.783701e+02 -1.062902e+02 7.236986e-17)	(2.026811e+01 -9.706325e-01 -1.101445e-19)
0.0007       	(2.687207e+02 1.776643e+02 5.943339e-17)	(2.486129e+02 1.786220e+02 5.954019e-17)	(2.010780e+01 -9.576790e-01 -1.068046e-19)
0.0008       	(2.413514e+02 6.994126e+02 5.798808e-17)	(2.213943e+02 7.003537e+02 5.809096e-17)	(1.995718e+01 -9.410930e-01 -1.028778e-19)
0.0009       	(2.254356e+02 2.518457e+02 6.078163e-17)	(2.056243e+02 2.527745e+02 6.088196e-17)	(1.981132e+01 -9.287924e-01 -1.003257e-19)
0.001        	(1.931812e+02 6.034719e+02 5.420804e-17)	(1.735105e+02 6.043840e+02 5.430593e-17)	(1.967065e+01 -9.120991e-01 -9.789251e-20)
0.0011       	(1.775158e+02 2.071916e+02 5.210289e-17)	(1.579814e+02 2.080903e+02 5.219870e-17)	(1.953436e+01 -8.986920e-01 -9.581733e-20)
0.0012       	(1.591556e+02 -7.863735e+01 5.071575e-17)	(1.397537e+02 -7.774798e+01 5.080993e-17)	(1.940191e+01 -8.893756e-01 -9.418710e-20)
0.0013       	(1.172285e+02 -2.942496e+02 7.113878e-17)	(9.795484e+01 -2.933698e+02 7.123165e-17)	(1.927370e+01 -8.797582e-01 -9.287087e-20)
0.0014       	(-4.037268e+01 -1.249660e+03 1.834443e-16)	(-5.952349e+01 -1.248796e+03 1.835368e-16)	(1.915082e+01 -8.644814e-01 -9.243525e-20)
0.0015       	(1.239788e+02 -4.434533e+01 4.933604e-17)	(1.049492e+02 -4.349058e+01 4.942708e-17)	(1.902968e+01 -8.547507e-01 -9.104188e-20)
0.0016       	(1.218327e+02 1.766497e+01 4.562502e-17)	(1.029205e+02 1.850991e+01 4.571472e-17)	(1.891221e+01 -8.449456e-01 -8.970024e-20)
0.0017       	(1.137655e+02 1.042993e+02 4.476956e-17)	(9.496868e+01 1.051339e+02 4.485791e-17)	(1.879684e+01 -8.346066e-01 -8.835356e-20)
0.0018       	(1.084311e+02 3.882715e+01 4.447945e-17)	(8.974545e+01 3.964815e+01 4.456644e-17)	(1.868568e+01 -8.209998e-01 -8.698680e-20)
0.0019       	(7.102839e+01 1.783790e+03 3.532649e-17)	(5.245300e+01 1.784608e+03 3.541346e-17)	(1.857539e+01 -8.180498e-01 -8.696599e-20)
0.002        	(8.613190e+01 6.410115e+02 4.016828e-17)	(6.766274e+01 6.418242e+02 4.025447e-17)	(1.846916e+01 -8.127317e-01 -8.619291e-20)
0.0021       	(1.002367e+02 1.154550e+03 4.058284e-17)	(8.187144e+01 1.155363e+03 4.066776e-17)	(1.836526e+01 -8.136532e-01 -8.491899e-20)
0.0022       	(9.201130e+01 1.919259e+03 3.704382e-17)	(7.374641e+01 1.920063e+03 3.712721e-17)	(1.826489e+01 -8.040152e-01 -8.338237e-20)
0.0023       	(1.344011e+02 2.445857e+03 4.703396e-17)	(1.162339e+02 2.446656e+03 4.711700e-17)	(1.816729e+01 -7.997425e-01 -8.304481e-20)
0.0024       	(9.343415e+01 7.750515e+02 4.207245e-17)	(7.536149e+01 7.758445e+02 4.215485e-17)	(1.807266e+01 -7.929898e-01 -8.240568e-20)
0.0025       	(3.719009e+01 -3.117552e+02 4.111522e-17)	(1.920844e+01 -3.109726e+02 4.119681e-17)	(1.798164e+01 -7.826449e-01 -8.159135e-20)
0.0026       	(5.494999e+01 -2.043837e+02 4.065943e-17)	(3.705792e+01 -2.036050e+02 4.073979e-17)	(1.789208e+01 -7.787291e-01 -8.035421e-20)
0.0027       	(6.400218e+01 -1.178696e+02 4.028668e-17)	(4.619770e+01 -1.170954e+02 4.036560e-17)	(1.780448e+01 -7.742009e-01 -7.891765e-20)
0.0028       	(7.074237e+01 -3.142634e+01 4.008881e-17)	(5.302356e+01 -3.065754e+01 4.016651e-17)	(1.771882e+01 -7.688060e-01 -7.769958e-20)
0.0029       	(7.085564e+01 7.012753e+01 3.928669e-17)	(5.322129e+01 7.088957e+01 3.936266e-17)	(1.763434e+01 -7.620442e-01 -7.596685e-20)
0.003        	(7.827316e+01 2.119567e+01 3.923969e-17)	(6.072066e+01 2.195132e+01 3.931497e-17)	(1.755250e+01 -7.556536e-01 -7.527098e-20)
0.0031       	(5.103995e+01 -1.749311e+02 7.051120e-17)	(3.356704e+01 -1.741826e+02 7.058720e-17)	(1.747291e+01 -7.484285e-01 -7.599708e-20)
0.0032       	(-1.820241e+02 -1.609264e+03 2.786727e-16)	(-1.994187e+02 -1.608533e+03 2.787465e-16)	(1.739456e+01 -7.307593e-01 -7.385327e-20)
0.0033       	(4.457829e+01 1.964280e+02 6.956742e-17)	(2.726076e+01 1.971522e+02 6.964048e-17)	(1.731753e+01 -7.242194e-01 -7.306309e-20)
0.0034       	(6.301754e+01 -1.389096e+02 5.229356e-17)	(4.577519e+01 -1.381887e+02 5.236561e-17)	(1.724235e+01 -7.208500e-01 -7.204779e-20)
0.0035       	(6.941251e+01 -7.885641e+01 4.938271e-17)	(5.224298e+01 -7.814096e+01 4.945423e-17)	(1.716954e+01 -7.154448e-01 -7.152382e-20)
