# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.620836e+05 -6.098726e+05 -6.450907e-15)	(1.620626e+05 -6.098702e+05 -6.450854e-15)	(2.106037e+01 -2.494960e+00 -5.284415e-20)
0.0002       	(3.889291e+03 -2.198573e+04 -9.639718e-16)	(3.868708e+03 -2.198330e+04 -9.639268e-16)	(2.058275e+01 -2.424705e+00 -4.491353e-20)
0.0003       	(5.659504e+02 2.237732e+02 -1.228893e-16)	(5.455604e+02 2.261562e+02 -1.228443e-16)	(2.039000e+01 -2.382977e+00 -4.502256e-20)
0.0004       	(3.069896e+02 -2.056113e+02 -1.099513e-16)	(2.870342e+02 -2.032865e+02 -1.099065e-16)	(1.995541e+01 -2.324865e+00 -4.485322e-20)
0.0005       	(2.710481e+02 -1.922973e+02 -8.660207e-17)	(2.512576e+02 -1.900020e+02 -8.655709e-17)	(1.979051e+01 -2.295268e+00 -4.497483e-20)
0.0006       	(2.315430e+02 -2.035632e+02 -6.857046e-17)	(2.119116e+02 -2.012975e+02 -6.852559e-17)	(1.963144e+01 -2.265691e+00 -4.487078e-20)
0.0007       	(2.080122e+02 -2.054183e+02 -6.781342e-17)	(1.885353e+02 -2.031817e+02 -6.776869e-17)	(1.947685e+01 -2.236604e+00 -4.472809e-20)
0.0008       	(1.861809e+02 -1.916395e+02 -6.683555e-17)	(1.668537e+02 -1.894307e+02 -6.679104e-17)	(1.932720e+01 -2.208795e+00 -4.450584e-20)
0.0009       	(1.672216e+02 -1.712501e+02 -6.422958e-17)	(1.480395e+02 -1.690654e+02 -6.418571e-17)	(1.918208e+01 -2.184654e+00 -4.386876e-20)
0.001        	(1.509743e+02 -1.499991e+02 -6.224813e-17)	(1.319330e+02 -1.478381e+02 -6.220499e-17)	(1.904130e+01 -2.160980e+00 -4.314543e-20)
0.0011       	(1.380021e+02 -1.340875e+02 -6.101531e-17)	(1.190976e+02 -1.319501e+02 -6.097377e-17)	(1.890446e+01 -2.137356e+00 -4.153895e-20)
0.0012       	(1.276758e+02 -1.240828e+02 -6.036302e-17)	(1.089037e+02 -1.219684e+02 -6.032192e-17)	(1.877208e+01 -2.114333e+00 -4.109865e-20)
0.0013       	(1.165896e+02 -1.304178e+02 -6.004917e-17)	(9.794578e+01 -1.283262e+02 -6.000866e-17)	(1.864383e+01 -2.091600e+00 -4.051699e-20)
0.0014       	(5.946345e+01 -3.909298e+02 -5.987940e-17)	(4.094311e+01 -3.888664e+02 -5.983969e-17)	(1.852034e+01 -2.063400e+00 -3.970376e-20)
0.0015       	(9.411618e+01 -1.662383e+02 -5.977429e-17)	(7.571737e+01 -1.642022e+02 -5.973688e-17)	(1.839881e+01 -2.036111e+00 -3.740989e-20)
0.0016       	(1.003758e+02 -9.884451e+01 -5.973014e-17)	(8.209553e+01 -9.682904e+01 -5.969381e-17)	(1.828031e+01 -2.015469e+00 -3.632540e-20)
0.0017       	(9.599857e+01 -9.290762e+01 -5.979988e-17)	(7.783357e+01 -9.091259e+01 -5.976552e-17)	(1.816501e+01 -1.995031e+00 -3.436292e-20)
0.0018       	(9.193487e+01 -8.805901e+01 -5.997284e-17)	(7.388286e+01 -8.608326e+01 -5.993901e-17)	(1.805200e+01 -1.975748e+00 -3.382273e-20)
