# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.520961e+05 5.738650e+05 -9.636276e-15)	(1.520749e+05 5.738631e+05 -9.636352e-15)	(2.123791e+01 1.970874e+00 7.580634e-20)
0.0002       	(6.252360e+03 1.470984e+04 -4.440458e-16)	(6.231529e+03 1.470794e+04 -4.441117e-16)	(2.083136e+01 1.898765e+00 6.590676e-20)
0.0003       	(2.489211e+02 -4.868219e+03 3.486565e-17)	(2.282782e+02 -4.870094e+03 3.480136e-17)	(2.064290e+01 1.875149e+00 6.429389e-20)
0.0004       	(2.662538e+02 3.525181e+01 -1.241251e-18)	(2.464238e+02 3.344156e+01 -1.302405e-18)	(1.983004e+01 1.810245e+00 6.115345e-20)
0.0005       	(2.784223e+02 8.307202e+01 -2.157367e-17)	(2.587483e+02 8.128048e+01 -2.163354e-17)	(1.967407e+01 1.791541e+00 5.986835e-20)
0.0006       	(1.866060e+02 3.820965e+01 -4.952906e-18)	(1.670811e+02 3.643564e+01 -5.009957e-18)	(1.952493e+01 1.774006e+00 5.705169e-20)
0.0007       	(1.497190e+02 -8.377645e+00 5.556618e-19)	(1.303395e+02 -1.013566e+01 4.989656e-19)	(1.937948e+01 1.758012e+00 5.669618e-20)
0.0008       	(1.557570e+02 -5.201474e+02 -1.320610e-19)	(1.365180e+02 -5.219050e+02 -1.903324e-19)	(1.923902e+01 1.757569e+00 5.827144e-20)
0.0009       	(1.251201e+02 -8.424599e+01 -1.140436e-18)	(1.060177e+02 -8.598627e+01 -1.197062e-18)	(1.910243e+01 1.740278e+00 5.662574e-20)
0.001        	(1.316380e+02 -4.510224e+02 -1.204859e-18)	(1.126674e+02 -4.527323e+02 -1.261819e-18)	(1.897059e+01 1.709931e+00 5.695932e-20)
0.0011       	(1.024783e+02 -7.616400e+00 -4.991286e-19)	(8.363570e+01 -9.310680e+00 -5.552573e-19)	(1.884258e+01 1.694280e+00 5.612875e-20)
0.0012       	(9.483505e+01 -1.858999e+01 4.282319e-19)	(7.611724e+01 -2.026856e+01 3.724459e-19)	(1.871781e+01 1.678565e+00 5.578601e-20)
0.0013       	(8.754052e+01 -4.895753e+00 1.243547e-18)	(6.894380e+01 -6.559681e+00 1.188536e-18)	(1.859671e+01 1.663928e+00 5.501074e-20)
0.0014       	(8.175708e+01 4.592761e+00 1.868261e-18)	(6.327811e+01 2.942437e+00 1.814043e-18)	(1.847897e+01 1.650324e+00 5.421712e-20)
0.0015       	(6.389242e+01 1.112083e+01 -8.488760e-19)	(4.552782e+01 9.489726e+00 -9.030862e-19)	(1.836460e+01 1.631100e+00 5.421025e-20)
0.0016       	(8.329973e+01 3.348715e+01 -8.931321e-18)	(6.504722e+01 3.187018e+01 -8.984892e-18)	(1.825251e+01 1.616969e+00 5.357166e-20)
0.0017       	(6.956932e+01 1.881686e+01 4.222142e-19)	(5.142574e+01 1.721474e+01 3.695384e-19)	(1.814357e+01 1.602126e+00 5.267578e-20)
0.0018       	(4.676890e+01 1.246162e+02 1.780112e-18)	(2.873130e+01 1.230296e+02 1.726850e-18)	(1.803760e+01 1.586603e+00 5.326187e-20)
0.0019       	(4.752426e+01 1.031450e+02 2.216163e-18)	(2.959022e+01 1.015733e+02 2.162428e-18)	(1.793404e+01 1.571782e+00 5.373556e-20)
0.002        	(7.834204e+01 -4.977415e+02 2.720720e-18)	(6.050904e+01 -4.993024e+02 2.667481e-18)	(1.783300e+01 1.560841e+00 5.323949e-20)
0.0021       	(8.144929e+01 -7.399162e+02 7.009397e-18)	(6.371479e+01 -7.414674e+02 6.956970e-18)	(1.773450e+01 1.551157e+00 5.242664e-20)
0.0022       	(5.467398e+01 -4.104839e+01 7.275706e-18)	(3.703529e+01 -4.258819e+01 7.223586e-18)	(1.763870e+01 1.539800e+00 5.212050e-20)
0.0023       	(5.435858e+01 -1.051184e+01 6.557728e-18)	(3.681385e+01 -1.204070e+01 6.506021e-18)	(1.754473e+01 1.528858e+00 5.170739e-20)
0.0024       	(5.612731e+01 -1.210103e+01 5.254838e-18)	(3.867460e+01 -1.361914e+01 5.203558e-18)	(1.745271e+01 1.518109e+00 5.127956e-20)
0.0025       	(5.912368e+01 -3.843264e+01 3.247684e-18)	(4.176113e+01 -3.994070e+01 3.196847e-18)	(1.736255e+01 1.508063e+00 5.083695e-20)
0.0026       	(8.950268e+01 -6.566468e+02 -1.126200e-17)	(7.222872e+01 -6.581521e+02 -1.131337e-17)	(1.727395e+01 1.505310e+00 5.136594e-20)
0.0027       	(6.001279e+01 -8.568290e+01 2.408337e-18)	(4.282603e+01 -8.718309e+01 2.358210e-18)	(1.718676e+01 1.500196e+00 5.012676e-20)
0.0028       	(5.389091e+01 5.565115e+00 4.667891e-18)	(3.678828e+01 4.078295e+00 4.618349e-18)	(1.710264e+01 1.486821e+00 4.954183e-20)
0.0029       	(5.315813e+01 -8.029177e+00 5.005737e-18)	(3.613728e+01 -9.504281e+00 4.956541e-18)	(1.702086e+01 1.475104e+00 4.919577e-20)
0.003        	(5.279601e+01 -7.883241e+00 5.003170e-18)	(3.585499e+01 -9.348871e+00 4.954305e-18)	(1.694102e+01 1.465629e+00 4.886494e-20)
0.0031       	(7.229908e+01 -4.085201e+02 -4.056742e-18)	(5.543477e+01 -4.099701e+02 -4.105926e-18)	(1.686431e+01 1.450086e+00 4.918360e-20)
0.0032       	(6.305258e+01 -2.348426e+02 1.421550e-18)	(4.626390e+01 -2.362815e+02 1.372639e-18)	(1.678868e+01 1.438826e+00 4.891049e-20)
0.0033       	(6.178841e+01 -2.293146e+02 3.569547e-18)	(4.507387e+01 -2.307413e+02 3.521036e-18)	(1.671454e+01 1.426679e+00 4.851181e-20)
0.0034       	(5.342696e+01 -4.000703e+01 5.174509e-18)	(3.678477e+01 -4.142469e+01 5.126252e-18)	(1.664219e+01 1.417660e+00 4.825629e-20)
0.0035       	(6.090435e+01 -2.557569e+02 4.384678e-18)	(4.433321e+01 -2.571661e+02 4.336958e-18)	(1.657114e+01 1.409245e+00 4.772011e-20)
0.0036       	(1.119557e+02 -1.552270e+03 -1.852127e-18)	(9.545510e+01 -1.553682e+03 -1.898526e-18)	(1.650059e+01 1.412242e+00 4.639841e-20)
0.0037       	(3.598805e+01 1.000807e+02 -1.649782e-17)	(1.955687e+01 9.867574e+01 -1.654563e-17)	(1.643117e+01 1.404938e+00 4.780918e-20)
0.0038       	(4.331455e+01 5.465556e+01 3.994246e-18)	(2.695010e+01 5.325913e+01 3.946264e-18)	(1.636445e+01 1.396425e+00 4.798153e-20)
0.0039       	(4.847149e+01 1.620677e+01 5.127232e-18)	(3.217225e+01 1.481783e+01 5.079483e-18)	(1.629924e+01 1.388940e+00 4.774940e-20)
0.004        	(5.047092e+01 -1.319940e+01 4.894100e-18)	(3.423496e+01 -1.458102e+01 4.846714e-18)	(1.623595e+01 1.381622e+00 4.738618e-20)
0.0041       	(5.294286e+01 -7.180712e+01 3.262046e-18)	(3.676878e+01 -7.318146e+01 3.215329e-18)	(1.617409e+01 1.374339e+00 4.671687e-20)
0.0042       	(6.872047e+01 -3.735838e+02 -1.026442e-18)	(5.260731e+01 -3.749552e+02 -1.071352e-18)	(1.611316e+01 1.371347e+00 4.491003e-20)
0.0043       	(6.570232e+01 -3.074489e+02 9.068900e-19)	(4.964947e+01 -3.088156e+02 8.627987e-19)	(1.605285e+01 1.366729e+00 4.409134e-20)
0.0044       	(5.452232e+01 -4.142999e+01 4.284612e-18)	(3.852748e+01 -4.278856e+01 4.240746e-18)	(1.599483e+01 1.358569e+00 4.386547e-20)
0.0045       	(5.789666e+01 5.173258e+01 8.458281e-18)	(4.195826e+01 5.038309e+01 8.414351e-18)	(1.593840e+01 1.349488e+00 4.393004e-20)
0.0046       	(6.120262e+01 5.420447e+01 1.160287e-17)	(4.531947e+01 5.286328e+01 1.155897e-17)	(1.588315e+01 1.341192e+00 4.389965e-20)
0.0047       	(5.412018e+01 9.484018e+00 7.575635e-18)	(3.829063e+01 8.148865e+00 7.531966e-18)	(1.582955e+01 1.335152e+00 4.366932e-20)
0.0048       	(5.277104e+01 -3.013454e+01 6.076288e-18)	(3.699309e+01 -3.146403e+01 6.032940e-18)	(1.577795e+01 1.329492e+00 4.334817e-20)
0.0049       	(6.756623e+01 -3.975844e+02 4.096897e-18)	(5.183832e+01 -3.989083e+02 4.053965e-18)	(1.572792e+01 1.323859e+00 4.293165e-20)
0.005        	(5.570659e+01 -8.074665e+01 5.043108e-18)	(4.002743e+01 -8.206475e+01 5.000545e-18)	(1.567917e+01 1.318102e+00 4.256319e-20)
0.0051       	(5.263647e+01 -4.670121e+01 4.927155e-18)	(3.700542e+01 -4.801399e+01 4.884949e-18)	(1.563105e+01 1.312774e+00 4.220606e-20)
0.0052       	(5.283280e+01 -6.028164e+01 5.155063e-18)	(3.724826e+01 -6.158942e+01 5.113279e-18)	(1.558453e+01 1.307785e+00 4.178412e-20)
0.0053       	(5.118262e+01 -3.398673e+01 5.315598e-18)	(3.564385e+01 -3.529030e+01 5.274315e-18)	(1.553877e+01 1.303577e+00 4.128321e-20)
0.0054       	(4.995758e+01 -8.611265e+00 5.443899e-18)	(3.446381e+01 -9.911341e+00 5.403205e-18)	(1.549377e+01 1.300076e+00 4.069397e-20)
0.0055       	(5.033573e+01 -1.310743e+01 5.518571e-18)	(3.488598e+01 -1.440342e+01 5.478390e-18)	(1.544976e+01 1.295984e+00 4.018113e-20)
