# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.581965e+05 -1.050665e+06 -6.505335e-14)	(2.581753e+05 -1.050662e+06 -6.505340e-14)	(2.123468e+01 -3.722879e+00 5.237114e-20)
0.0002       	(7.049823e+03 -3.790994e+04 -1.674145e-15)	(7.029111e+03 -3.790636e+04 -1.674189e-15)	(2.071160e+01 -3.583086e+00 4.457048e-20)
0.0003       	(7.878073e+01 3.008696e+03 1.861414e-17)	(5.829030e+01 3.012205e+03 1.857106e-17)	(2.049042e+01 -3.509571e+00 4.308056e-20)
0.0004       	(2.943957e+02 -1.994428e+02 -7.683808e-17)	(2.746157e+02 -1.960470e+02 -7.687978e-17)	(1.978005e+01 -3.395827e+00 4.170397e-20)
0.0005       	(2.210653e+02 -1.224127e+02 -3.722516e-17)	(2.014567e+02 -1.190552e+02 -3.726491e-17)	(1.960857e+01 -3.357479e+00 3.975291e-20)
0.0006       	(1.378714e+02 -6.391059e+01 -2.692747e-17)	(1.184280e+02 -6.058665e+01 -2.696549e-17)	(1.944341e+01 -3.323940e+00 3.801787e-20)
0.0007       	(9.984799e+01 -4.303909e+01 -2.925250e-17)	(8.056355e+01 -3.975735e+01 -2.929156e-17)	(1.928444e+01 -3.281737e+00 3.905781e-20)
0.0008       	(8.129328e+01 -3.460750e+01 -3.248202e-17)	(6.216122e+01 -3.136883e+01 -3.252195e-17)	(1.913207e+01 -3.238678e+00 3.993730e-20)
0.0009       	(6.942258e+01 -2.937109e+01 -3.468790e-17)	(5.043684e+01 -2.616442e+01 -3.472654e-17)	(1.898574e+01 -3.206667e+00 3.864715e-20)
0.001        	(6.105798e+01 -2.577706e+01 -3.633320e-17)	(4.221384e+01 -2.260130e+01 -3.637051e-17)	(1.884414e+01 -3.175765e+00 3.730954e-20)
0.0011       	(5.477445e+01 -2.313563e+01 -3.762636e-17)	(3.606747e+01 -1.999284e+01 -3.766223e-17)	(1.870697e+01 -3.142790e+00 3.587397e-20)
0.0012       	(4.991050e+01 -2.112108e+01 -3.867688e-17)	(3.133539e+01 -1.802150e+01 -3.871113e-17)	(1.857511e+01 -3.099579e+00 3.425618e-20)
0.0013       	(4.614515e+01 -1.973147e+01 -3.956738e-17)	(2.769851e+01 -1.666087e+01 -3.960033e-17)	(1.844664e+01 -3.070596e+00 3.295255e-20)
0.0014       	(4.345808e+01 -1.917117e+01 -4.045737e-17)	(2.513685e+01 -1.613019e+01 -4.048944e-17)	(1.832123e+01 -3.040981e+00 3.206690e-20)
0.0015       	(4.272337e+01 -2.117674e+01 -4.198289e-17)	(2.452401e+01 -1.816367e+01 -4.201388e-17)	(1.819936e+01 -3.013072e+00 3.098962e-20)
0.0016       	(4.891087e+01 -3.450739e+01 -4.711161e-17)	(3.083056e+01 -3.152149e+01 -4.714140e-17)	(1.808031e+01 -2.985903e+00 2.979035e-20)
0.0017       	(7.738459e+01 -8.527933e+01 -6.402186e-17)	(5.942114e+01 -8.232174e+01 -6.405006e-17)	(1.796345e+01 -2.957597e+00 2.820128e-20)
