# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(-2.152400e+04 1.533127e+06 5.478263e-15)	(-2.154368e+04 1.533122e+06 5.478311e-15)	(1.967782e+01 4.396284e+00 -4.817536e-20)
0.0002       	(2.113182e+02 1.240709e+05 -1.047257e-17)	(1.922179e+02 1.240667e+05 -1.042658e-17)	(1.910029e+01 4.212178e+00 -4.599082e-20)
0.0003       	(2.839905e+02 -6.661011e+03 -5.435390e-17)	(2.650841e+02 -6.665153e+03 -5.430915e-17)	(1.890633e+01 4.141644e+00 -4.475207e-20)
0.0004       	(5.878900e+01 1.759719e+03 -8.285338e-18)	(4.058974e+01 1.755730e+03 -8.243751e-18)	(1.819926e+01 3.989242e+00 -4.158731e-20)
0.0005       	(1.346068e+02 4.829895e+02 -2.002699e-17)	(1.165662e+02 4.790540e+02 -1.998583e-17)	(1.804053e+01 3.935468e+00 -4.115357e-20)
0.0006       	(8.950717e+02 -8.474309e+02 -3.959450e-16)	(8.771938e+02 -8.512856e+02 -3.959016e-16)	(1.787786e+01 3.854667e+00 -4.341210e-20)
0.0007       	(1.311983e+02 2.933278e+03 1.255162e-17)	(1.135005e+02 2.929484e+03 1.259526e-17)	(1.769772e+01 3.793366e+00 -4.364455e-20)
0.0008       	(3.179257e+01 1.489708e+03 1.956806e-17)	(1.423913e+01 1.485961e+03 1.961146e-17)	(1.755344e+01 3.747287e+00 -4.340474e-20)
0.0009       	(4.703202e+01 1.770996e+02 1.147048e-17)	(2.961423e+01 1.733960e+02 1.151373e-17)	(1.741779e+01 3.703651e+00 -4.325016e-20)
0.001        	(4.008285e+01 1.976196e+02 9.784395e-18)	(2.279674e+01 1.939589e+02 9.827530e-18)	(1.728610e+01 3.660654e+00 -4.313557e-20)
0.0011       	(3.729317e+01 2.470954e+02 9.793123e-18)	(2.013413e+01 2.434797e+02 9.836777e-18)	(1.715904e+01 3.615648e+00 -4.365390e-20)
0.0012       	(7.143338e+01 1.529686e+02 2.094663e-17)	(5.439833e+01 1.493931e+02 2.099040e-17)	(1.703506e+01 3.575463e+00 -4.376917e-20)
0.0013       	(1.480786e+02 -6.916029e+01 1.920886e-17)	(1.311697e+02 -7.271182e+01 1.925292e-17)	(1.690890e+01 3.551526e+00 -4.405972e-20)
0.0014       	(2.583203e+01 9.639948e+02 1.401897e-17)	(9.042735e+00 9.604820e+02 1.406323e-17)	(1.678929e+01 3.512793e+00 -4.426044e-20)
0.0015       	(1.128903e+01 1.071416e+03 9.610870e-18)	(-5.381618e+00 1.067943e+03 9.655168e-18)	(1.667065e+01 3.473494e+00 -4.429865e-20)
0.0016       	(1.306466e+02 6.516331e+02 -5.806317e-17)	(1.140921e+02 6.481999e+02 -5.802009e-17)	(1.655456e+01 3.433283e+00 -4.307980e-20)
0.0017       	(2.382060e+02 9.812336e+02 -1.058556e-16)	(2.217688e+02 9.778516e+02 -1.058137e-16)	(1.643719e+01 3.382009e+00 -4.196473e-20)
0.0018       	(6.664992e+01 2.603332e+03 -9.374582e-17)	(5.033567e+01 2.599981e+03 -9.370335e-17)	(1.631425e+01 3.351633e+00 -4.246937e-20)
0.0019       	(4.236724e+01 4.587460e+02 -6.662168e-18)	(2.615476e+01 4.554267e+02 -6.619463e-18)	(1.621248e+01 3.319230e+00 -4.270541e-20)
0.002        	(2.789929e+01 3.492476e+02 9.985720e-18)	(1.178611e+01 3.459605e+02 1.002842e-17)	(1.611318e+01 3.287092e+00 -4.270161e-20)
0.0021       	(2.204216e+01 4.162978e+02 9.394459e-18)	(6.026340e+00 4.130420e+02 9.437228e-18)	(1.601582e+01 3.255817e+00 -4.276928e-20)
0.0022       	(2.039164e+01 3.890477e+02 8.534362e-18)	(4.470579e+00 3.858224e+02 8.577198e-18)	(1.592106e+01 3.225310e+00 -4.283616e-20)
0.0023       	(2.114491e+01 3.523323e+02 8.657242e-18)	(5.316524e+00 3.491370e+02 8.700114e-18)	(1.582838e+01 3.195260e+00 -4.287140e-20)
0.0024       	(9.371968e+01 2.587351e+02 4.369911e-17)	(7.797909e+01 2.555758e+02 4.374174e-17)	(1.574059e+01 3.159296e+00 -4.262346e-20)
0.0025       	(6.432531e+01 3.830881e+02 3.056943e-17)	(4.867164e+01 3.799601e+02 3.061207e-17)	(1.565367e+01 3.128000e+00 -4.263602e-20)
0.0026       	(5.808141e+01 3.405290e+02 -6.322342e-18)	(4.251378e+01 3.374355e+02 -6.279713e-18)	(1.556762e+01 3.093575e+00 -4.262955e-20)
0.0027       	(1.564326e+02 1.967095e+02 -4.883039e-17)	(1.409491e+02 1.936433e+02 -4.878742e-17)	(1.548352e+01 3.066201e+00 -4.296641e-20)
0.0028       	(6.822733e+01 5.315410e+02 -1.875503e-17)	(5.282636e+01 5.285013e+02 -1.871226e-17)	(1.540097e+01 3.039628e+00 -4.277192e-20)
0.0029       	(-5.453010e+00 1.002639e+03 5.958050e-18)	(-2.076890e+01 9.996274e+02 6.000702e-18)	(1.531589e+01 3.011393e+00 -4.265227e-20)
0.003        	(-2.978733e+00 1.068175e+03 6.968375e-18)	(-1.821307e+01 1.065191e+03 7.010755e-18)	(1.523433e+01 2.983584e+00 -4.238014e-20)
0.0031       	(4.083028e+00 7.879189e+02 6.400842e-18)	(-1.107238e+01 7.849628e+02 6.443143e-18)	(1.515541e+01 2.956100e+00 -4.230091e-20)
0.0032       	(1.196299e+01 5.176941e+02 6.474615e-18)	(-3.116142e+00 5.147641e+02 6.516953e-18)	(1.507913e+01 2.930018e+00 -4.233836e-20)
0.0033       	(6.997259e+01 -1.464485e+01 6.347632e-18)	(5.496857e+01 -1.755098e+01 6.390096e-18)	(1.500401e+01 2.906129e+00 -4.246380e-20)
0.0034       	(1.586065e+02 -4.015227e+02 7.069796e-18)	(1.436788e+02 -4.044038e+02 7.112620e-18)	(1.492769e+01 2.881104e+00 -4.282414e-20)
0.0035       	(-7.697223e+00 1.385017e+03 6.656492e-18)	(-2.254789e+01 1.382161e+03 6.699274e-18)	(1.485067e+01 2.856398e+00 -4.278171e-20)
0.0036       	(2.433625e+01 6.132301e+02 5.437913e-18)	(9.556888e+00 6.103990e+02 5.480385e-18)	(1.477936e+01 2.831057e+00 -4.247216e-20)
0.0037       	(6.753019e+01 -1.791497e+02 -3.254679e-17)	(5.282609e+01 -1.819684e+02 -3.250536e-17)	(1.470410e+01 2.818760e+00 -4.142892e-20)
0.0038       	(4.271821e+01 4.677650e+02 -2.934612e-18)	(2.808545e+01 4.649674e+02 -2.893635e-18)	(1.463276e+01 2.797572e+00 -4.097739e-20)
0.0039       	(2.638740e+00 7.141667e+02 5.834183e-18)	(-1.192499e+01 7.113910e+02 5.875139e-18)	(1.456373e+01 2.775766e+00 -4.095566e-20)
0.004        	(7.127361e-01 7.657065e+02 7.698013e-18)	(-1.378240e+01 7.629515e+02 7.739039e-18)	(1.449513e+01 2.755038e+00 -4.102608e-20)
0.0041       	(-1.701651e+00 9.278839e+02 8.429990e-18)	(-1.612923e+01 9.251493e+02 8.471131e-18)	(1.442757e+01 2.734614e+00 -4.114121e-20)
0.0042       	(7.753331e+00 6.436218e+02 7.492861e-18)	(-6.610630e+00 6.409076e+02 7.534109e-18)	(1.436396e+01 2.714139e+00 -4.124757e-20)
0.0043       	(1.317563e+01 5.205529e+02 9.618413e-18)	(-1.125533e+00 5.178583e+02 9.659705e-18)	(1.430116e+01 2.694624e+00 -4.129191e-20)
0.0044       	(9.811352e+01 7.015859e+02 5.556822e-17)	(8.387409e+01 6.989138e+02 5.560778e-17)	(1.423944e+01 2.672035e+00 -3.955985e-20)
0.0045       	(3.967856e+01 6.973124e+02 2.319531e-17)	(2.550056e+01 6.946586e+02 2.323485e-17)	(1.417801e+01 2.653773e+00 -3.953337e-20)
0.0046       	(1.505290e+01 6.105032e+02 8.501542e-18)	(9.343129e-01 6.078687e+02 8.540957e-18)	(1.411859e+01 2.634427e+00 -3.941562e-20)
0.0047       	(3.125402e+01 4.605111e+02 1.368596e-17)	(1.719297e+01 4.578968e+02 1.372507e-17)	(1.406105e+01 2.614282e+00 -3.911478e-20)
