# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.999500e+05 -3.481670e+05 1.010049e-14)	(1.999287e+05 -3.481666e+05 1.010065e-14)	(2.128811e+01 -4.489654e-01 -1.635384e-19)
0.0002       	(4.451803e+03 -1.369793e+03 4.592413e-16)	(4.430944e+03 -1.369398e+03 4.593924e-16)	(2.085837e+01 -3.953950e-01 -1.510118e-19)
0.0003       	(3.763360e+02 -5.856179e+02 1.587806e-16)	(3.556591e+02 -5.852438e+02 1.589290e-16)	(2.067688e+01 -3.740969e-01 -1.483557e-19)
0.0004       	(3.054476e+02 -7.269512e+02 1.143035e-16)	(2.850328e+02 -7.265922e+02 1.144505e-16)	(2.041480e+01 -3.589548e-01 -1.469993e-19)
0.0005       	(1.838608e+02 -1.892036e+03 9.201912e-17)	(1.636093e+02 -1.891680e+03 9.216479e-17)	(2.025151e+01 -3.563571e-01 -1.456748e-19)
0.0006       	(2.469599e+02 -2.550002e+02 7.990078e-17)	(2.268644e+02 -2.546588e+02 8.004558e-17)	(2.009555e+01 -3.414572e-01 -1.448046e-19)
0.0007       	(2.189525e+02 -2.662033e+02 7.163633e-17)	(1.990095e+02 -2.658751e+02 7.178035e-17)	(1.994303e+01 -3.282189e-01 -1.440285e-19)
0.0008       	(1.902473e+02 -3.426335e+02 6.564631e-17)	(1.704502e+02 -3.423145e+02 6.578930e-17)	(1.979717e+01 -3.189783e-01 -1.429909e-19)
0.0009       	(1.798565e+02 -2.334016e+02 6.108223e-17)	(1.602002e+02 -2.330940e+02 6.122460e-17)	(1.965623e+01 -3.076140e-01 -1.423667e-19)
0.001        	(1.640958e+02 -2.195248e+02 5.758412e-17)	(1.445761e+02 -2.192282e+02 5.772587e-17)	(1.951978e+01 -2.966266e-01 -1.417437e-19)
0.0011       	(1.512650e+02 -1.740727e+02 5.473474e-17)	(1.318781e+02 -1.737836e+02 5.487581e-17)	(1.938691e+01 -2.891229e-01 -1.410678e-19)
0.0012       	(1.374292e+02 -1.063954e+02 5.178030e-17)	(1.181705e+02 -1.061116e+02 5.192082e-17)	(1.925867e+01 -2.837820e-01 -1.405187e-19)
0.0013       	(1.285581e+02 1.749692e+02 4.890914e-17)	(1.094251e+02 1.752465e+02 4.904895e-17)	(1.913299e+01 -2.772961e-01 -1.398031e-19)
0.0014       	(1.089501e+02 -2.962690e+02 5.007557e-17)	(8.993752e+01 -2.960027e+02 5.021440e-17)	(1.901262e+01 -2.663180e-01 -1.388329e-19)
0.0015       	(-1.215520e+02 -3.527336e+03 7.157783e-17)	(-1.404487e+02 -3.527086e+03 7.171649e-17)	(1.889668e+01 -2.501066e-01 -1.386522e-19)
0.0016       	(1.105132e+02 -3.163067e+02 5.429393e-17)	(9.172996e+01 -3.160648e+02 5.443228e-17)	(1.878329e+01 -2.419504e-01 -1.383455e-19)
0.0017       	(8.503683e+01 -5.476527e+02 4.834490e-17)	(6.636343e+01 -5.474165e+02 4.848293e-17)	(1.867341e+01 -2.362411e-01 -1.380316e-19)
0.0018       	(1.476314e+02 -2.355948e+02 5.647154e-17)	(1.290645e+02 -2.353677e+02 5.660939e-17)	(1.856682e+01 -2.271020e-01 -1.378485e-19)
0.0019       	(3.099217e+02 -2.086377e+02 1.016931e-16)	(2.914546e+02 -2.084200e+02 1.018309e-16)	(1.846710e+01 -2.177598e-01 -1.377953e-19)
0.002        	(1.230759e+02 -3.019885e+02 5.393401e-17)	(1.047106e+02 -3.017693e+02 5.407151e-17)	(1.836528e+01 -2.192156e-01 -1.375015e-19)
0.0021       	(1.168705e+02 -2.998009e+02 5.285632e-17)	(9.860309e+01 -2.995889e+02 5.299294e-17)	(1.826740e+01 -2.120236e-01 -1.366218e-19)
0.0022       	(2.507343e+00 -3.033025e+03 5.372217e-17)	(-1.566515e+01 -3.032824e+03 5.385857e-17)	(1.817250e+01 -2.015667e-01 -1.364031e-19)
0.0023       	(3.185880e+02 -1.624388e+03 1.347297e-16)	(3.005060e+02 -1.624192e+03 1.348650e-16)	(1.808195e+01 -1.962273e-01 -1.353883e-19)
0.0024       	(3.240032e+02 -5.244083e+02 1.207212e-16)	(3.060099e+02 -5.242167e+02 1.208559e-16)	(1.799332e+01 -1.915890e-01 -1.346730e-19)
0.0025       	(1.368401e+02 -2.239760e+02 6.043205e-17)	(1.189347e+02 -2.237891e+02 6.056631e-17)	(1.790541e+01 -1.868839e-01 -1.342614e-19)
0.0026       	(1.328132e+02 -8.886791e+01 5.910868e-17)	(1.149936e+02 -8.868912e+01 5.924236e-17)	(1.781965e+01 -1.787864e-01 -1.336785e-19)
0.0027       	(1.329895e+02 -1.132003e+02 5.919879e-17)	(1.152536e+02 -1.130296e+02 5.933190e-17)	(1.773590e+01 -1.706892e-01 -1.331110e-19)
0.0028       	(1.433648e+02 -1.100432e+02 6.109861e-17)	(1.257109e+02 -1.098805e+02 6.123123e-17)	(1.765388e+01 -1.626974e-01 -1.326147e-19)
0.0029       	(1.764436e+02 2.992379e+02 6.640651e-17)	(1.588704e+02 2.993927e+02 6.653788e-17)	(1.757320e+01 -1.547676e-01 -1.313746e-19)
0.003        	(1.849494e+02 -1.356810e+03 7.673538e-17)	(1.674543e+02 -1.356668e+03 7.686525e-17)	(1.749513e+01 -1.415069e-01 -1.298693e-19)
0.0031       	(4.528104e+01 -1.604494e+03 6.432438e-17)	(2.786207e+01 -1.604362e+03 6.445343e-17)	(1.741897e+01 -1.323774e-01 -1.290548e-19)
0.0032       	(4.135695e+01 -2.350958e+03 8.000603e-17)	(2.401139e+01 -2.350834e+03 8.013442e-17)	(1.734556e+01 -1.236451e-01 -1.283925e-19)
0.0033       	(3.325354e+02 -2.887905e+02 1.190396e-16)	(3.152591e+02 -2.886716e+02 1.191671e-16)	(1.727623e+01 -1.188296e-01 -1.275512e-19)
0.0034       	(1.394544e+02 -9.523961e+01 6.249845e-17)	(1.222494e+02 -9.512485e+01 6.262561e-17)	(1.720501e+01 -1.147558e-01 -1.271538e-19)
0.0035       	(1.538785e+02 1.478603e+02 6.793585e-17)	(1.367430e+02 1.479758e+02 6.806408e-17)	(1.713549e+01 -1.155404e-01 -1.282304e-19)
0.0036       	(1.262435e+02 -3.135966e+02 6.517199e-17)	(1.091761e+02 -3.134849e+02 6.530044e-17)	(1.706740e+01 -1.117453e-01 -1.284453e-19)
0.0037       	(1.310094e+02 -2.207510e+02 6.366589e-17)	(1.140086e+02 -2.206441e+02 6.379387e-17)	(1.700081e+01 -1.068616e-01 -1.279807e-19)
0.0038       	(1.284053e+02 -7.934642e+01 6.545052e-17)	(1.114707e+02 -7.924086e+01 6.557744e-17)	(1.693458e+01 -1.055651e-01 -1.269220e-19)
0.0039       	(1.655539e+02 -4.894717e+01 6.760335e-17)	(1.486815e+02 -4.884765e+01 6.772947e-17)	(1.687238e+01 -9.952893e-02 -1.261149e-19)
0.004        	(1.463167e+02 -7.623900e+01 6.384406e-17)	(1.295049e+02 -7.614400e+01 6.396964e-17)	(1.681181e+01 -9.500086e-02 -1.255757e-19)
0.0041       	(1.385581e+02 -1.062865e+02 6.335074e-17)	(1.218058e+02 -1.061955e+02 6.347565e-17)	(1.675234e+01 -9.101603e-02 -1.249131e-19)
0.0042       	(1.525068e+02 3.025801e+02 6.706220e-17)	(1.358127e+02 3.026671e+02 6.718605e-17)	(1.669404e+01 -8.696595e-02 -1.238486e-19)
0.0043       	(1.428017e+02 1.391128e+01 6.488659e-17)	(1.261643e+02 1.399425e+01 6.500947e-17)	(1.663736e+01 -8.296427e-02 -1.228730e-19)
0.0044       	(3.484023e+02 7.905544e+02 1.162512e-16)	(3.318159e+02 7.906374e+02 1.163734e-16)	(1.658641e+01 -8.297245e-02 -1.221757e-19)
0.0045       	(1.262970e+02 -1.135592e+02 6.476939e-17)	(1.097650e+02 -1.134759e+02 6.489135e-17)	(1.653191e+01 -8.334697e-02 -1.219553e-19)
