# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.715119e+05 -4.108531e+04 -1.735012e-14)	(1.714907e+05 -4.108605e+04 -1.735010e-14)	(2.122511e+01 7.418771e-01 -2.380205e-20)
0.0002       	(9.969112e+03 -5.408896e+03 -1.144432e-15)	(9.948242e+03 -5.409615e+03 -1.144408e-15)	(2.086972e+01 7.195838e-01 -2.320775e-20)
0.0003       	(-3.618883e+02 -1.659243e+02 9.481133e-17)	(-3.825741e+02 -1.666476e+02 9.483216e-17)	(2.068572e+01 7.232951e-01 -2.083022e-20)
0.0004       	(1.126840e+02 2.735654e+01 9.835858e-18)	(9.274299e+01 2.665055e+01 9.854330e-18)	(1.994105e+01 7.059839e-01 -1.847175e-20)
0.0005       	(1.231913e+02 -2.596018e+01 1.636645e-17)	(1.034016e+02 -2.666736e+01 1.638361e-17)	(1.978968e+01 7.071842e-01 -1.716841e-20)
0.0006       	(9.133468e+01 7.943275e+01 2.789974e-18)	(7.169150e+01 7.872431e+01 2.805212e-18)	(1.964319e+01 7.084331e-01 -1.523733e-20)
0.0007       	(7.568329e+01 1.698899e+01 -3.929843e-18)	(5.618238e+01 1.628386e+01 -3.918507e-18)	(1.950091e+01 7.051305e-01 -1.133592e-20)
0.0008       	(5.588223e+01 7.849746e+00 -1.233295e-17)	(3.651870e+01 7.151027e+00 -1.232288e-17)	(1.936353e+01 6.987195e-01 -1.007303e-20)
0.0009       	(5.508953e+01 6.823800e+00 -1.262240e-17)	(3.585973e+01 6.127127e+00 -1.261327e-17)	(1.922980e+01 6.966728e-01 -9.128016e-21)
0.001        	(5.378654e+01 7.379152e+00 -1.310925e-17)	(3.468634e+01 6.684394e+00 -1.310074e-17)	(1.910019e+01 6.947574e-01 -8.506254e-21)
0.0011       	(5.075139e+01 1.004910e+01 -1.434022e-17)	(3.177697e+01 9.356347e+00 -1.433258e-17)	(1.897442e+01 6.927563e-01 -7.640551e-21)
0.0012       	(4.826605e+01 2.510923e+01 -1.556353e-17)	(2.941401e+01 2.441850e+01 -1.555655e-17)	(1.885204e+01 6.907243e-01 -6.975213e-21)
0.0013       	(5.760359e+01 2.257629e+02 -1.533781e-17)	(3.887070e+01 2.250730e+02 -1.533344e-17)	(1.873289e+01 6.898689e-01 -4.370820e-21)
0.0014       	(4.630909e+01 7.731943e+01 -1.703651e-17)	(2.769209e+01 7.663047e+01 -1.703454e-17)	(1.861700e+01 6.889608e-01 -1.972009e-21)
0.0015       	(4.195848e+01 3.020355e+01 -1.804556e-17)	(2.345450e+01 2.951637e+01 -1.804424e-17)	(1.850398e+01 6.871731e-01 -1.314203e-21)
0.0016       	(3.985217e+01 1.922754e+01 -1.823092e-17)	(2.145830e+01 1.854840e+01 -1.823145e-17)	(1.839387e+01 6.791360e-01 5.212017e-22)
0.0017       	(2.463662e+01 -2.215610e+02 -2.224841e-18)	(6.350251e+00 -2.222418e+02 -2.224234e-18)	(1.828636e+01 6.807843e-01 -6.070150e-22)
0.0018       	(3.407160e+01 -2.942897e+01 -1.341841e-17)	(1.588972e+01 -3.010679e+01 -1.341777e-17)	(1.818188e+01 6.778175e-01 -6.432339e-22)
0.0019       	(3.669327e+01 2.126005e+01 -1.937813e-17)	(1.861286e+01 2.058416e+01 -1.937787e-17)	(1.808041e+01 6.758976e-01 -2.656574e-22)
