# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(6.045447e+05 -1.238342e+06 -2.730074e-14)	(6.045217e+05 -1.238337e+06 -2.730071e-14)	(2.304678e+01 -4.671102e+00 -2.915489e-20)
0.0002       	(2.816772e+04 -4.593258e+04 -1.642269e-15)	(2.814526e+04 -4.592811e+04 -1.642250e-15)	(2.245345e+01 -4.469695e+00 -1.902124e-20)
0.0003       	(-6.312262e+03 1.826333e+04 3.349639e-16)	(-6.334409e+03 1.826771e+04 3.349844e-16)	(2.214613e+01 -4.378740e+00 -2.048360e-20)
0.0004       	(2.146804e+01 1.023043e+01 -5.966822e-17)	(8.597215e-01 1.432582e+01 -5.964344e-17)	(2.060832e+01 -4.095389e+00 -2.478161e-20)
0.0005       	(-6.201554e+01 -3.766187e+02 -1.049821e-16)	(-8.242727e+01 -3.725590e+02 -1.049575e-16)	(2.041173e+01 -4.059658e+00 -2.464520e-20)
0.0006       	(-2.263452e+01 -1.176645e+02 -8.707077e-17)	(-4.285797e+01 -1.136493e+02 -8.704658e-17)	(2.022345e+01 -4.015280e+00 -2.418988e-20)
0.0007       	(4.531581e+01 2.286836e+02 -4.334455e-17)	(2.527174e+01 2.326560e+02 -4.332049e-17)	(2.004406e+01 -3.972376e+00 -2.406231e-20)
0.0008       	(2.356743e+01 4.854519e+01 -5.043810e-17)	(3.698650e+00 5.247887e+01 -5.041415e-17)	(1.986878e+01 -3.933684e+00 -2.394104e-20)
0.0009       	(3.701785e+01 1.994876e+02 -5.296072e-17)	(1.731840e+01 2.033837e+02 -5.293703e-17)	(1.969946e+01 -3.896110e+00 -2.369229e-20)
0.001        	(2.603777e+02 2.679456e+03 -2.244965e-17)	(2.408437e+02 2.683328e+03 -2.242535e-17)	(1.953404e+01 -3.872466e+00 -2.430282e-20)
