# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.130697e+05 8.495707e+05 -1.211125e-14)	(1.130484e+05 8.495680e+05 -1.211130e-14)	(2.131153e+01 2.732154e+00 4.550871e-20)
0.0002       	(5.742391e+03 5.236598e+04 -4.712006e-16)	(5.721513e+03 5.236336e+04 -4.712373e-16)	(2.087748e+01 2.614221e+00 3.667178e-20)
0.0003       	(-2.565707e+02 -8.119742e+03 6.368711e-17)	(-2.772318e+02 -8.122319e+03 6.364933e-17)	(2.066115e+01 2.576483e+00 3.777692e-20)
0.0004       	(8.564179e+01 2.033514e+02 -3.894498e-17)	(6.592561e+01 2.008863e+02 -3.898264e-17)	(1.971617e+01 2.465154e+00 3.766000e-20)
0.0005       	(3.133069e+02 8.105268e+02 -3.028847e-17)	(2.937060e+02 8.080873e+02 -3.032736e-17)	(1.960085e+01 2.439491e+00 3.888512e-20)
0.0006       	(1.775512e+02 1.641968e+03 -2.999024e-17)	(1.580718e+02 1.639553e+03 -3.002934e-17)	(1.947936e+01 2.415287e+00 3.909024e-20)
0.0007       	(1.327991e+02 9.516301e+02 -3.539638e-17)	(1.134651e+02 9.492399e+02 -3.543586e-17)	(1.933400e+01 2.390144e+00 3.948207e-20)
0.0008       	(1.235202e+02 5.147432e+02 -2.710657e-17)	(1.043667e+02 5.123765e+02 -2.714713e-17)	(1.915349e+01 2.366792e+00 4.055991e-20)
0.0009       	(9.997256e+01 1.039256e+03 -1.772304e-17)	(8.100003e+01 1.036900e+03 -1.776778e-17)	(1.897253e+01 2.356451e+00 4.473734e-20)
0.001        	(9.172349e+01 8.926817e+02 -3.470023e-17)	(7.290470e+01 8.903374e+02 -3.474828e-17)	(1.881879e+01 2.344314e+00 4.805735e-20)
0.0011       	(4.474671e+01 1.497204e+03 -1.869085e-17)	(2.610364e+01 1.494884e+03 -1.873886e-17)	(1.864308e+01 2.320178e+00 4.801117e-20)
