# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.725954e+05 -2.563042e+05 -3.498492e-15)	(1.725740e+05 -2.563041e+05 -3.498470e-15)	(2.141309e+01 -1.198482e-01 -2.273972e-20)
0.0002       	(5.746840e+03 -2.341763e+04 1.451419e-16)	(5.725864e+03 -2.341752e+04 1.451572e-16)	(2.097542e+01 -1.168117e-01 -1.528748e-20)
0.0003       	(6.903034e+02 -8.927412e+02 -2.130730e-17)	(6.695139e+02 -8.926397e+02 -2.129391e-17)	(2.078958e+01 -1.015194e-01 -1.339004e-20)
0.0004       	(4.820865e+02 1.143614e+02 -2.616815e-17)	(4.615602e+02 1.144398e+02 -2.615720e-17)	(2.052630e+01 -7.836451e-02 -1.094576e-20)
0.0005       	(4.001165e+02 -3.948428e+02 -3.312950e-17)	(3.797550e+02 -3.947771e+02 -3.311957e-17)	(2.036147e+01 -6.569053e-02 -9.927245e-21)
0.0006       	(3.563420e+02 -4.124555e+02 -3.381124e-17)	(3.361407e+02 -4.124015e+02 -3.380179e-17)	(2.020128e+01 -5.400956e-02 -9.444964e-21)
0.0007       	(3.563117e+02 -4.812443e+02 -3.230552e-17)	(3.362669e+02 -4.812013e+02 -3.229648e-17)	(2.004477e+01 -4.298337e-02 -9.042116e-21)
0.0008       	(3.285486e+02 -4.670355e+02 -3.269151e-17)	(3.086533e+02 -4.670030e+02 -3.268282e-17)	(1.989528e+01 -3.253235e-02 -8.695303e-21)
0.0009       	(2.979393e+02 -4.102875e+02 -3.356553e-17)	(2.781887e+02 -4.102647e+02 -3.355643e-17)	(1.975060e+01 -2.274481e-02 -9.105986e-21)
0.001        	(4.795060e+02 -1.119931e+03 -2.388472e-17)	(4.598954e+02 -1.119909e+03 -2.387507e-17)	(1.961054e+01 -2.211548e-02 -9.648991e-21)
0.0011       	(4.474671e+02 -1.058898e+03 -2.443774e-17)	(4.279919e+02 -1.058888e+03 -2.442980e-17)	(1.947530e+01 -9.364551e-03 -7.939726e-21)
0.0012       	(5.616353e+02 -1.535352e+03 -1.912338e-17)	(5.422905e+02 -1.535350e+03 -1.911661e-17)	(1.934482e+01 -1.949802e-03 -6.773034e-21)
0.0013       	(4.581700e+02 -8.794494e+02 -2.686697e-17)	(4.389513e+02 -8.794546e+02 -2.686080e-17)	(1.921866e+01 5.213843e-03 -6.169679e-21)
0.0014       	(3.011737e+02 -4.963955e+02 -3.201316e-17)	(2.820792e+02 -4.964082e+02 -3.200727e-17)	(1.909450e+01 1.270928e-02 -5.888885e-21)
0.0015       	(2.653358e+02 -4.043711e+02 -3.359207e-17)	(2.463618e+02 -4.043910e+02 -3.358642e-17)	(1.897401e+01 1.987261e-02 -5.648681e-21)
0.0016       	(2.582111e+02 -5.319489e+02 -3.383202e-17)	(2.393522e+02 -5.319745e+02 -3.382690e-17)	(1.885889e+01 2.560704e-02 -5.118993e-21)
0.0017       	(2.330020e+02 -4.893676e+02 -4.396487e-17)	(2.142530e+02 -4.894036e+02 -4.395960e-17)	(1.874905e+01 3.591919e-02 -5.268492e-21)
0.0018       	(3.861888e+02 -9.373318e+02 -5.273343e-17)	(3.675472e+02 -9.373787e+02 -5.272728e-17)	(1.864163e+01 4.689709e-02 -6.144173e-21)
0.0019       	(2.776660e+02 -1.586434e+02 -4.503707e-17)	(2.591308e+02 -1.586939e+02 -4.502967e-17)	(1.853517e+01 5.049706e-02 -7.398041e-21)
0.002        	(2.738456e+02 -5.326456e+02 -3.507121e-17)	(2.554119e+02 -5.327044e+02 -3.506401e-17)	(1.843367e+01 5.884127e-02 -7.208864e-21)
0.0021       	(4.983723e+02 -2.420540e+03 -2.939466e-17)	(4.800396e+02 -2.420607e+03 -2.938654e-17)	(1.833269e+01 6.699258e-02 -8.113090e-21)
0.0022       	(4.699838e+02 -1.182383e+03 -2.710282e-17)	(4.517485e+02 -1.182456e+03 -2.709479e-17)	(1.823529e+01 7.253066e-02 -8.029770e-21)
0.0023       	(4.628498e+02 -1.292014e+03 -2.579247e-17)	(4.447098e+02 -1.292092e+03 -2.578426e-17)	(1.814000e+01 7.716723e-02 -8.215830e-21)
0.0024       	(4.086036e+02 -1.042255e+03 -2.781580e-17)	(3.905569e+02 -1.042336e+03 -2.780738e-17)	(1.804665e+01 8.090979e-02 -8.414826e-21)
0.0025       	(3.061684e+02 -1.274411e+02 -3.067899e-17)	(2.882134e+02 -1.275240e+02 -3.066773e-17)	(1.795496e+01 8.286696e-02 -1.125779e-20)
0.0026       	(5.816712e+02 -9.910771e+02 -2.804882e-17)	(5.638010e+02 -9.911672e+02 -2.803730e-17)	(1.787022e+01 9.018245e-02 -1.151145e-20)
0.0027       	(3.064320e+02 -7.155078e+02 -3.708889e-17)	(2.886480e+02 -7.156000e+02 -3.707700e-17)	(1.778400e+01 9.213691e-02 -1.189425e-20)
0.0028       	(6.111645e+02 -2.130249e+03 -2.873115e-17)	(5.934632e+02 -2.130340e+03 -2.871856e-17)	(1.770136e+01 9.060332e-02 -1.259728e-20)
0.0029       	(3.467955e+02 -4.965127e+02 -3.357075e-17)	(3.291754e+02 -4.965970e+02 -3.355651e-17)	(1.762013e+01 8.430395e-02 -1.423496e-20)
0.003        	(3.021077e+02 -4.585968e+02 -3.319102e-17)	(2.845662e+02 -4.586856e+02 -3.317676e-17)	(1.754154e+01 8.880782e-02 -1.426376e-20)
0.0031       	(3.894264e+02 -8.132044e+02 -3.380836e-17)	(3.719613e+02 -8.132950e+02 -3.379417e-17)	(1.746512e+01 9.051276e-02 -1.418897e-20)
0.0032       	(2.915887e+02 -4.500063e+02 -3.786702e-17)	(2.741986e+02 -4.500981e+02 -3.785293e-17)	(1.739003e+01 9.175396e-02 -1.409327e-20)
0.0033       	(3.182545e+02 -6.241337e+02 -3.297556e-17)	(3.009373e+02 -6.242278e+02 -3.296122e-17)	(1.731719e+01 9.414006e-02 -1.433850e-20)
0.0034       	(3.261897e+02 -7.210567e+02 -3.191653e-17)	(3.089429e+02 -7.211532e+02 -3.190085e-17)	(1.724679e+01 9.648713e-02 -1.567889e-20)
0.0035       	(4.120514e+02 -1.060654e+03 -2.764810e-17)	(3.948735e+02 -1.060752e+03 -2.763197e-17)	(1.717793e+01 9.852010e-02 -1.612707e-20)
0.0036       	(3.217094e+02 -6.779393e+02 -3.154121e-17)	(3.045992e+02 -6.780400e+02 -3.152473e-17)	(1.711015e+01 1.007282e-01 -1.647547e-20)
0.0037       	(4.795916e+02 -1.476417e+03 -2.549189e-17)	(4.625470e+02 -1.476516e+03 -2.547324e-17)	(1.704459e+01 9.889754e-02 -1.865181e-20)
0.0038       	(4.407012e+02 -2.687093e+02 -3.099064e-17)	(4.237211e+02 -2.687990e+02 -3.096665e-17)	(1.698003e+01 8.973747e-02 -2.398307e-20)
0.0039       	(4.332933e+02 -1.197189e+03 -2.857844e-17)	(4.163748e+02 -1.197276e+03 -2.855303e-17)	(1.691843e+01 8.696511e-02 -2.540366e-20)
0.004        	(3.433614e+02 -2.037223e+03 -4.443519e-17)	(3.265031e+02 -2.037306e+03 -4.440873e-17)	(1.685831e+01 8.374345e-02 -2.646030e-20)
0.0041       	(4.721673e+02 -1.628200e+03 -3.657539e-17)	(4.553656e+02 -1.628283e+03 -3.654842e-17)	(1.680167e+01 8.244480e-02 -2.697364e-20)
0.0042       	(3.830954e+02 -1.025168e+03 -3.278385e-17)	(3.663495e+02 -1.025249e+03 -3.275616e-17)	(1.674594e+01 8.100491e-02 -2.769004e-20)
