# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.718411e+05 3.278277e+05 1.853173e-14)	(1.718198e+05 3.278264e+05 1.853175e-14)	(2.131846e+01 1.273601e+00 -1.490808e-20)
0.0002       	(7.216703e+03 1.079571e+04 7.983870e-16)	(7.195767e+03 1.079448e+04 7.984026e-16)	(2.093656e+01 1.228468e+00 -1.557292e-20)
0.0003       	(6.047665e+02 -1.314108e+03 6.301318e-17)	(5.840079e+02 -1.315326e+03 6.302829e-17)	(2.075862e+01 1.218315e+00 -1.510530e-20)
0.0004       	(4.188260e+02 -8.268979e+01 4.392491e-17)	(3.984111e+02 -8.389152e+01 4.394051e-17)	(2.041489e+01 1.201736e+00 -1.559909e-20)
0.0005       	(3.231096e+02 4.797051e+00 3.949087e-17)	(3.028510e+02 3.606253e+00 3.950632e-17)	(2.025853e+01 1.190798e+00 -1.544809e-20)
0.0006       	(2.698250e+02 -6.571926e+00 3.878250e-17)	(2.497256e+02 -7.752370e+00 3.879792e-17)	(2.009936e+01 1.180444e+00 -1.542243e-20)
0.0007       	(2.355262e+02 -5.272521e+01 3.827415e-17)	(2.155721e+02 -5.389919e+01 3.828963e-17)	(1.995409e+01 1.173979e+00 -1.547934e-20)
0.0008       	(2.237138e+02 -5.267811e+02 4.259714e-17)	(2.039019e+02 -5.279598e+02 4.261214e-17)	(1.981188e+01 1.178640e+00 -1.500315e-20)
0.0009       	(1.968752e+02 -3.149692e+02 3.969018e-17)	(1.772006e+02 -3.161306e+02 3.970491e-17)	(1.967456e+01 1.161405e+00 -1.472520e-20)
0.001        	(1.796942e+02 -3.182018e+02 3.866020e-17)	(1.601511e+02 -3.193429e+02 3.867386e-17)	(1.954305e+01 1.141065e+00 -1.365250e-20)
0.0011       	(1.652388e+02 -7.130384e+01 3.672330e-17)	(1.458220e+02 -7.243418e+01 3.673690e-17)	(1.941682e+01 1.130339e+00 -1.360490e-20)
0.0012       	(1.563257e+02 -5.179397e+01 3.655732e-17)	(1.370314e+02 -5.291587e+01 3.657096e-17)	(1.929437e+01 1.121902e+00 -1.363265e-20)
0.0013       	(1.488778e+02 -5.429581e+01 3.714255e-17)	(1.297026e+02 -5.541100e+01 3.715588e-17)	(1.917516e+01 1.115186e+00 -1.332575e-20)
0.0014       	(1.079671e+02 2.013373e+02 6.656806e-17)	(8.890796e+01 2.002393e+02 6.658072e-17)	(1.905912e+01 1.098076e+00 -1.266861e-20)
0.0015       	(1.251280e+02 6.159649e+01 4.623705e-17)	(1.061809e+02 6.050475e+01 4.624956e-17)	(1.894713e+01 1.091734e+00 -1.250812e-20)
0.0016       	(1.447716e+02 -3.347127e+02 4.239518e-17)	(1.259330e+02 -3.357981e+02 4.240792e-17)	(1.883857e+01 1.085478e+00 -1.274122e-20)
0.0017       	(1.704390e+02 -1.305590e+03 4.314388e-17)	(1.517051e+02 -1.306670e+03 4.315860e-17)	(1.873388e+01 1.080857e+00 -1.472221e-20)
0.0018       	(1.373650e+02 -2.482903e+02 3.667191e-17)	(1.187332e+02 -2.493632e+02 3.668714e-17)	(1.863178e+01 1.072922e+00 -1.523674e-20)
0.0019       	(1.306380e+02 -1.325089e+02 3.602908e-17)	(1.121056e+02 -1.335739e+02 3.604455e-17)	(1.853239e+01 1.064979e+00 -1.547240e-20)
0.002        	(1.293781e+02 -3.557814e+02 3.681857e-17)	(1.109428e+02 -3.568399e+02 3.683428e-17)	(1.843539e+01 1.058490e+00 -1.571171e-20)
0.0021       	(2.111615e+02 -3.016482e+03 5.369782e-17)	(1.928208e+02 -3.017538e+03 5.371487e-17)	(1.834061e+01 1.055866e+00 -1.705717e-20)
0.0022       	(1.683573e+02 -4.263217e+02 3.883497e-17)	(1.501088e+02 -4.273652e+02 3.885277e-17)	(1.824854e+01 1.043551e+00 -1.779348e-20)
0.0023       	(1.871975e+02 -3.322627e+02 3.699489e-17)	(1.690375e+02 -3.332949e+02 3.701295e-17)	(1.815998e+01 1.032117e+00 -1.805599e-20)
0.0024       	(1.723323e+02 -3.090746e+03 4.824076e-17)	(1.542572e+02 -3.091777e+03 4.825690e-17)	(1.807503e+01 1.031262e+00 -1.613442e-20)
0.0025       	(1.290812e+02 -3.353185e+02 3.665013e-17)	(1.110905e+02 -3.363430e+02 3.666646e-17)	(1.799064e+01 1.024482e+00 -1.632599e-20)
0.0026       	(1.223530e+02 -1.988115e+02 3.542058e-17)	(1.044446e+02 -1.998296e+02 3.543709e-17)	(1.790849e+01 1.018044e+00 -1.651047e-20)
0.0027       	(9.577262e+01 1.897282e+01 3.969568e-17)	(7.794439e+01 1.796122e+01 3.971220e-17)	(1.782823e+01 1.011592e+00 -1.651137e-20)
0.0028       	(7.337984e+01 2.301272e+01 4.621799e-17)	(5.562961e+01 2.200892e+01 4.623447e-17)	(1.775023e+01 1.003794e+00 -1.647727e-20)
0.0029       	(1.571030e+02 -1.175874e+03 4.575505e-17)	(1.394281e+02 -1.176871e+03 4.577160e-17)	(1.767488e+01 9.964589e-01 -1.655250e-20)
0.003        	(2.007970e+02 -2.167399e+03 5.929809e-17)	(1.831951e+02 -2.168389e+03 5.931363e-17)	(1.760189e+01 9.893837e-01 -1.553272e-20)
0.0031       	(9.343118e+01 3.232699e+01 2.912859e-17)	(7.590138e+01 3.134331e+01 2.914390e-17)	(1.752981e+01 9.836822e-01 -1.530938e-20)
0.0032       	(1.624555e+02 -9.571473e+02 6.334245e-17)	(1.449962e+02 -9.581270e+02 6.335769e-17)	(1.745931e+01 9.796555e-01 -1.524100e-20)
0.0033       	(2.798172e+02 -2.527897e+03 1.408237e-16)	(2.624268e+02 -2.528874e+03 1.408385e-16)	(1.739040e+01 9.769974e-01 -1.479299e-20)
