# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.284473e+05 -1.717068e+06 5.431850e-14)	(3.284253e+05 -1.717062e+06 5.431874e-14)	(2.207157e+01 -6.379706e+00 -2.414122e-19)
0.0002       	(4.644188e+03 -1.371144e+05 2.941727e-15)	(4.622773e+03 -1.371083e+05 2.941942e-15)	(2.141507e+01 -6.043317e+00 -2.144885e-19)
0.0003       	(1.522163e+03 -1.644471e+03 2.302039e-16)	(1.501033e+03 -1.638552e+03 2.304150e-16)	(2.112978e+01 -5.918315e+00 -2.111045e-19)
0.0004       	(1.160829e+03 -1.263602e+03 2.200762e-16)	(1.139972e+03 -1.257794e+03 2.202836e-16)	(2.085758e+01 -5.807786e+00 -2.074340e-19)
0.0005       	(9.300725e+02 -1.074065e+03 2.067401e-16)	(9.094471e+02 -1.068352e+03 2.069438e-16)	(2.062539e+01 -5.712533e+00 -2.037228e-19)
0.0006       	(7.056631e+02 -1.207034e+03 2.046769e-16)	(6.852600e+02 -1.201412e+03 2.048770e-16)	(2.040315e+01 -5.622059e+00 -2.001458e-19)
0.0007       	(-1.160238e+02 -4.920598e+03 3.389613e-16)	(-1.361895e+02 -4.915078e+03 3.391584e-16)	(2.016572e+01 -5.519664e+00 -1.971402e-19)
0.0008       	(8.470466e+02 1.292864e+03 1.747963e-16)	(8.270866e+02 1.298305e+03 1.749907e-16)	(1.995999e+01 -5.441325e+00 -1.944443e-19)
0.0009       	(6.598929e+02 7.666962e+02 1.992267e-16)	(6.401399e+02 7.720655e+02 1.994186e-16)	(1.975292e+01 -5.369328e+00 -1.919236e-19)
0.001        	(4.467085e+02 -5.401646e+02 1.476139e-16)	(4.271431e+02 -5.348694e+02 1.478031e-16)	(1.956536e+01 -5.295201e+00 -1.891110e-19)
0.0011       	(5.578588e+02 2.790889e+02 1.441865e-16)	(5.384773e+02 2.843219e+02 1.443721e-16)	(1.938144e+01 -5.232960e+00 -1.856469e-19)
0.0012       	(4.319122e+02 -2.394308e+02 1.532092e-16)	(4.127079e+02 -2.342647e+02 1.533922e-16)	(1.920432e+01 -5.166135e+00 -1.829941e-19)
0.0013       	(-2.571214e+02 -3.901305e+03 2.829694e-16)	(-2.761192e+02 -3.896184e+03 2.831496e-16)	(1.899783e+01 -5.121028e+00 -1.802655e-19)
0.0014       	(2.154642e+02 -1.178599e+03 1.765822e-16)	(1.966396e+02 -1.173535e+03 1.767600e-16)	(1.882466e+01 -5.063479e+00 -1.778521e-19)
0.0015       	(4.796047e+02 1.855211e+02 1.574688e-16)	(4.609346e+02 1.905122e+02 1.576452e-16)	(1.867013e+01 -4.991161e+00 -1.764128e-19)
0.0016       	(3.458628e+02 -2.424939e+02 1.379488e-16)	(3.273458e+02 -2.375632e+02 1.381238e-16)	(1.851696e+01 -4.930664e+00 -1.750237e-19)
0.0017       	(6.543662e+02 2.319070e+03 2.483704e-17)	(6.359980e+02 2.323969e+03 2.501113e-17)	(1.836824e+01 -4.898284e+00 -1.740982e-19)
0.0018       	(2.977947e+02 -1.101659e+02 1.162070e-16)	(2.795721e+02 -1.053249e+02 1.163797e-16)	(1.822262e+01 -4.840955e+00 -1.726618e-19)
