# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.785028e+05 2.161446e+06 -1.163979e-14)	(2.784807e+05 2.161440e+06 -1.163954e-14)	(2.205069e+01 6.692965e+00 -2.505195e-19)
0.0002       	(2.236881e+04 1.696286e+05 4.362912e-16)	(2.234758e+04 1.696221e+05 4.365188e-16)	(2.122925e+01 6.438149e+00 -2.276145e-19)
0.0003       	(-1.131098e+01 -4.511725e+03 -2.514262e-16)	(-3.224265e+01 -4.518041e+03 -2.512024e-16)	(2.093167e+01 6.316123e+00 -2.237375e-19)
0.0004       	(2.975545e+02 3.873808e+02 -1.464671e-16)	(2.774238e+02 3.812946e+02 -1.462463e-16)	(2.013062e+01 6.086292e+00 -2.207790e-19)
0.0005       	(3.002126e+02 2.692543e+02 -1.556945e-16)	(2.802980e+02 2.632498e+02 -1.554769e-16)	(1.991464e+01 6.004540e+00 -2.175390e-19)
0.0006       	(1.132806e+03 -2.732811e+03 2.087822e-16)	(1.113094e+03 -2.738697e+03 2.089981e-16)	(1.971263e+01 5.886262e+00 -2.159136e-19)
0.0007       	(3.223219e+02 -1.783839e+02 -6.959916e-17)	(3.028038e+02 -1.841921e+02 -6.938686e-17)	(1.951810e+01 5.808180e+00 -2.123012e-19)
0.0008       	(1.593113e+02 1.969775e+02 -1.202576e-16)	(1.399821e+02 1.912465e+02 -1.200484e-16)	(1.932920e+01 5.730982e+00 -2.092102e-19)
0.0009       	(1.986792e+02 -3.305664e+01 -8.198158e-17)	(1.795336e+02 -3.869834e+01 -8.177381e-17)	(1.914564e+01 5.641693e+00 -2.077693e-19)
0.001        	(1.727346e+02 -2.354806e+00 -6.899142e-17)	(1.537645e+02 -7.921476e+00 -6.878609e-17)	(1.897008e+01 5.566670e+00 -2.053210e-19)
0.0011       	(1.322619e+02 2.506332e+02 -5.806648e-17)	(1.134610e+02 2.451376e+02 -5.786373e-17)	(1.880082e+01 5.495612e+00 -2.027588e-19)
0.0012       	(7.226592e+02 -2.001077e+03 3.245354e-16)	(7.040363e+02 -2.006521e+03 3.247318e-16)	(1.862284e+01 5.443765e+00 -1.964231e-19)
0.0013       	(7.565620e+02 -2.369133e+03 3.181882e-16)	(7.381076e+02 -2.374525e+03 3.183791e-16)	(1.845447e+01 5.391552e+00 -1.909683e-19)
0.0014       	(1.226169e+02 -7.782921e+01 -5.796898e-17)	(1.043157e+02 -8.316177e+01 -5.778084e-17)	(1.830122e+01 5.332560e+00 -1.881389e-19)
0.0015       	(6.034344e+01 1.200908e+02 -8.355239e-17)	(4.219237e+01 1.148144e+02 -8.336732e-17)	(1.815107e+01 5.276366e+00 -1.850704e-19)
0.0016       	(5.659334e+01 1.219292e+02 -7.880040e-17)	(3.859057e+01 1.167087e+02 -7.861784e-17)	(1.800277e+01 5.220435e+00 -1.825578e-19)
0.0017       	(5.513146e+01 1.089873e+02 -7.343193e-17)	(3.727020e+01 1.038207e+02 -7.325197e-17)	(1.786126e+01 5.166641e+00 -1.799518e-19)
0.0018       	(1.006745e+02 -4.731784e+01 -4.012624e-17)	(8.295308e+01 -5.243231e+01 -3.994932e-17)	(1.772144e+01 5.114466e+00 -1.769261e-19)
0.0019       	(2.708777e+02 -4.917475e+02 6.545081e-17)	(2.532932e+02 -4.968158e+02 6.562303e-17)	(1.758453e+01 5.068287e+00 -1.722235e-19)
0.002        	(6.753653e+01 1.760184e+01 -6.130691e-17)	(5.008383e+01 1.258185e+01 -6.113743e-17)	(1.745270e+01 5.019994e+00 -1.694742e-19)
0.0021       	(2.716713e+02 -1.001995e+03 -2.545791e-17)	(2.543495e+02 -1.006981e+03 -2.529116e-17)	(1.732185e+01 4.986195e+00 -1.667487e-19)
0.0022       	(7.030207e+01 3.770309e+02 -3.006475e-17)	(5.311281e+01 3.720949e+02 -2.990082e-17)	(1.718926e+01 4.936044e+00 -1.639311e-19)
0.0023       	(-1.053921e+02 1.720493e+03 3.309243e-17)	(-1.224253e+02 1.715608e+03 3.325348e-17)	(1.703317e+01 4.885454e+00 -1.610465e-19)
0.0024       	(-1.205140e+01 5.926806e+02 -4.593795e-17)	(-2.895885e+01 5.878412e+02 -4.577962e-17)	(1.690745e+01 4.839412e+00 -1.583294e-19)
0.0025       	(2.781961e+01 1.631599e+02 -6.422433e-17)	(1.102353e+01 1.583888e+02 -6.406843e-17)	(1.679608e+01 4.771126e+00 -1.559000e-19)
0.0026       	(8.415348e+01 -1.299922e+02 -3.698597e-17)	(6.746456e+01 -1.347175e+02 -3.683254e-17)	(1.668892e+01 4.725286e+00 -1.534249e-19)
0.0027       	(1.736616e+02 -4.955547e+02 3.578824e-19)	(1.570828e+02 -5.002372e+02 5.086216e-19)	(1.657880e+01 4.682461e+00 -1.507393e-19)
0.0028       	(-5.911890e+01 1.171470e+03 -2.461593e-17)	(-7.558915e+01 1.166828e+03 -2.446763e-17)	(1.647025e+01 4.641483e+00 -1.482946e-19)
0.0029       	(-5.710584e+01 1.271186e+03 -3.316544e-17)	(-7.346889e+01 1.266586e+03 -3.301956e-17)	(1.636305e+01 4.600313e+00 -1.458817e-19)
0.003        	(4.201220e+01 5.655312e+02 -5.943112e-17)	(2.575058e+01 5.609728e+02 -5.928756e-17)	(1.626163e+01 4.558457e+00 -1.435646e-19)
0.0031       	(-1.604044e+01 1.555040e+03 -6.055722e-17)	(-3.220297e+01 1.550524e+03 -6.041579e-17)	(1.616254e+01 4.516040e+00 -1.414319e-19)
0.0032       	(-4.961732e+02 6.669267e+03 1.358028e-17)	(-5.122294e+02 6.664790e+03 1.371966e-17)	(1.605623e+01 4.476964e+00 -1.393826e-19)
0.0033       	(-9.295883e+01 1.776534e+03 -4.186452e-17)	(-1.089201e+02 1.772098e+03 -4.172705e-17)	(1.596123e+01 4.435945e+00 -1.374678e-19)
