# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.284250e+05 1.158268e+05 -5.769597e-15)	(1.284039e+05 1.158260e+05 -5.769575e-15)	(2.110943e+01 7.943144e-01 -2.150614e-20)
0.0002       	(3.829875e+03 3.571525e+03 3.099834e-17)	(3.809142e+03 3.570729e+03 3.102052e-17)	(2.073316e+01 7.962782e-01 -2.218074e-20)
0.0003       	(6.335523e+01 -2.324300e+03 1.826457e-17)	(4.279747e+01 -2.325092e+03 1.828562e-17)	(2.055776e+01 7.921553e-01 -2.104008e-20)
0.0004       	(1.574060e+02 -1.928490e+02 -8.133321e-18)	(1.373296e+02 -1.936292e+02 -8.112512e-18)	(2.007642e+01 7.801185e-01 -2.080907e-20)
0.0005       	(1.716348e+02 -3.619189e+02 -9.577792e-18)	(1.517120e+02 -3.626923e+02 -9.558269e-18)	(1.992280e+01 7.733821e-01 -1.952327e-20)
0.0006       	(1.668605e+02 -2.104126e+03 3.403901e-18)	(1.470832e+02 -2.104888e+03 3.419910e-18)	(1.977734e+01 7.617789e-01 -1.600853e-20)
0.0007       	(1.253833e+02 -4.752481e+02 -5.117466e-18)	(1.057477e+02 -4.760057e+02 -5.102107e-18)	(1.963565e+01 7.575732e-01 -1.535964e-20)
0.0008       	(1.012904e+02 -6.058726e+01 -9.954911e-18)	(8.179225e+01 -6.134149e+01 -9.939867e-18)	(1.949812e+01 7.542301e-01 -1.504406e-20)
0.0009       	(1.037908e+02 -7.784305e+02 -6.847378e-18)	(8.442716e+01 -7.791837e+02 -6.833108e-18)	(1.936368e+01 7.531942e-01 -1.427037e-20)
0.001        	(9.176872e+01 -3.440680e+02 -8.354827e-18)	(7.253337e+01 -3.448173e+02 -8.341082e-18)	(1.923535e+01 7.492914e-01 -1.374515e-20)
0.0011       	(7.943808e+01 -9.800228e+01 -1.030459e-17)	(6.032717e+01 -9.874735e+01 -1.029118e-17)	(1.911091e+01 7.450681e-01 -1.341188e-20)
0.0012       	(5.552198e+01 1.146873e+02 -2.899475e-17)	(3.653013e+01 1.139551e+02 -2.898198e-17)	(1.899185e+01 7.322176e-01 -1.276974e-20)
0.0013       	(7.431739e+01 -4.074341e+02 -1.414226e-17)	(5.544193e+01 -4.081597e+02 -1.412992e-17)	(1.887547e+01 7.255772e-01 -1.234199e-20)
0.0014       	(8.023983e+01 -7.548159e+02 -6.987444e-18)	(6.147734e+01 -7.555362e+02 -6.975163e-18)	(1.876249e+01 7.203569e-01 -1.228189e-20)
0.0015       	(5.729570e+01 -3.192624e+02 -1.296363e-17)	(3.864259e+01 -3.199817e+02 -1.295062e-17)	(1.865311e+01 7.192920e-01 -1.301363e-20)
0.0016       	(5.625680e+01 -2.690111e+03 -1.101217e-17)	(3.770969e+01 -2.690830e+03 -1.099300e-17)	(1.854711e+01 7.193082e-01 -1.917506e-20)
0.0017       	(6.231991e+01 -4.468040e+02 -9.196708e-18)	(4.387684e+01 -4.475201e+02 -9.177155e-18)	(1.844307e+01 7.161885e-01 -1.955313e-20)
0.0018       	(5.481470e+01 -3.183257e+01 -1.050348e-17)	(3.647339e+01 -3.254634e+01 -1.048376e-17)	(1.834130e+01 7.137734e-01 -1.971468e-20)
0.0019       	(5.376200e+01 -5.315125e+01 -9.930972e-18)	(3.552076e+01 -5.386239e+01 -9.911099e-18)	(1.824125e+01 7.111450e-01 -1.987365e-20)
0.002        	(7.463623e+01 -6.595788e+02 5.138597e-18)	(5.649279e+01 -6.602915e+02 5.159788e-18)	(1.814343e+01 7.126429e-01 -2.119158e-20)
0.0021       	(5.955976e+01 -3.296278e+02 -2.340200e-18)	(4.150941e+01 -3.303370e+02 -2.318469e-18)	(1.805035e+01 7.091509e-01 -2.173128e-20)
0.0022       	(5.259955e+01 -1.208049e+02 -8.026412e-18)	(3.463975e+01 -1.215105e+02 -8.004323e-18)	(1.795980e+01 7.055661e-01 -2.208834e-20)
0.0023       	(5.155774e+01 -9.743082e+01 -9.145826e-18)	(3.368642e+01 -9.812888e+01 -9.121631e-18)	(1.787133e+01 6.980574e-01 -2.419530e-20)
0.0024       	(5.175231e+01 -1.134124e+02 -8.725814e-18)	(3.396593e+01 -1.141064e+02 -8.701219e-18)	(1.778637e+01 6.940192e-01 -2.459563e-20)
0.0025       	(4.941596e+01 -7.008717e+01 -9.419231e-18)	(3.171244e+01 -7.077810e+01 -9.394401e-18)	(1.770353e+01 6.909301e-01 -2.482977e-20)
0.0026       	(4.878413e+01 -4.042725e+01 -1.005807e-17)	(3.116148e+01 -4.111533e+01 -1.003297e-17)	(1.762266e+01 6.880770e-01 -2.509780e-20)
0.0027       	(8.150625e+01 -1.127087e+01 -1.015876e-17)	(6.396169e+01 -1.195501e+01 -1.013342e-17)	(1.754456e+01 6.841355e-01 -2.534179e-20)
0.0028       	(9.139846e+01 -1.296930e+02 -1.087270e-17)	(7.392965e+01 -1.303741e+02 -1.084816e-17)	(1.746880e+01 6.811358e-01 -2.453702e-20)
0.0029       	(4.287804e+01 -1.624929e+03 -2.337592e-17)	(2.548512e+01 -1.625617e+03 -2.335286e-17)	(1.739292e+01 6.883951e-01 -2.306164e-20)
0.003        	(8.555385e+01 -1.308623e+03 -2.171408e-19)	(6.823549e+01 -1.309311e+03 -1.939420e-19)	(1.731835e+01 6.884874e-01 -2.319872e-20)
0.0031       	(1.305727e+02 -1.648284e+03 1.365836e-17)	(1.133268e+02 -1.648974e+03 1.368195e-17)	(1.724589e+01 6.903135e-01 -2.359302e-20)
0.0032       	(5.615544e+01 -4.717866e+02 -4.328686e-18)	(3.898017e+01 -4.724728e+02 -4.305476e-18)	(1.717526e+01 6.861440e-01 -2.320946e-20)
0.0033       	(1.166498e+02 -2.984490e+03 7.448628e-18)	(9.954409e+01 -2.985173e+03 7.472615e-18)	(1.710566e+01 6.831242e-01 -2.398666e-20)
0.0034       	(1.306876e+02 -2.074010e+03 4.862639e-18)	(1.136507e+02 -2.074694e+03 4.887571e-18)	(1.703698e+01 6.840009e-01 -2.493239e-20)
0.0035       	(2.273732e+02 -3.125375e+02 -9.057848e-18)	(2.104018e+02 -3.132247e+02 -9.033223e-18)	(1.697141e+01 6.872136e-01 -2.462473e-20)
0.0036       	(7.662251e+01 -3.410450e+02 -9.602900e-18)	(5.971584e+01 -3.417319e+02 -9.578191e-18)	(1.690667e+01 6.868057e-01 -2.470871e-20)
0.0037       	(5.567148e+01 -2.085307e+02 -1.023110e-17)	(3.882761e+01 -2.092164e+02 -1.020629e-17)	(1.684387e+01 6.856930e-01 -2.480445e-20)
0.0038       	(5.062173e+01 -4.311931e+01 -1.116364e-17)	(3.383901e+01 -4.380386e+01 -1.113882e-17)	(1.678272e+01 6.845480e-01 -2.482272e-20)
0.0039       	(4.952341e+01 -1.955243e+01 -1.108161e-17)	(3.280037e+01 -2.023624e+01 -1.105684e-17)	(1.672304e+01 6.838094e-01 -2.476593e-20)
0.004        	(5.146684e+01 -4.389109e+01 -1.118778e-17)	(3.480188e+01 -4.457463e+01 -1.116322e-17)	(1.666496e+01 6.835389e-01 -2.456602e-20)
0.0041       	(5.946807e+01 6.896627e+00 -1.614717e-17)	(4.285972e+01 6.215779e+00 -1.612279e-17)	(1.660835e+01 6.808474e-01 -2.437293e-20)
0.0042       	(5.974515e+01 -1.282966e+02 -1.348337e-17)	(4.319196e+01 -1.289747e+02 -1.345885e-17)	(1.655319e+01 6.781542e-01 -2.451670e-20)
0.0043       	(1.307730e+02 -3.183580e+02 -8.977723e-18)	(1.142719e+02 -3.190374e+02 -8.952809e-18)	(1.650106e+01 6.794183e-01 -2.491440e-20)
0.0044       	(9.458896e+01 -4.518397e+02 -1.912926e-18)	(7.813992e+01 -4.525176e+02 -1.887682e-18)	(1.644904e+01 6.778039e-01 -2.524409e-20)
0.0045       	(6.593832e+01 -3.776561e+02 -4.212521e-18)	(4.954088e+01 -3.783306e+02 -4.187550e-18)	(1.639744e+01 6.744455e-01 -2.497021e-20)
0.0046       	(3.971897e+01 -2.576940e+03 -2.527236e-17)	(2.337270e+01 -2.577612e+03 -2.524927e-17)	(1.634627e+01 6.720964e-01 -2.309282e-20)
0.0047       	(6.335503e+01 -1.430023e+03 -9.399366e-18)	(4.705764e+01 -1.430692e+03 -9.376418e-18)	(1.629739e+01 6.685603e-01 -2.294817e-20)
0.0048       	(7.367721e+01 -4.281433e+02 -8.942590e-18)	(5.742850e+01 -4.288055e+02 -8.919083e-18)	(1.624871e+01 6.622511e-01 -2.350695e-20)
0.0049       	(6.949231e+01 -2.950902e+02 -9.073229e-18)	(5.329063e+01 -2.957482e+02 -9.049408e-18)	(1.620168e+01 6.580570e-01 -2.382122e-20)
0.005        	(5.748407e+01 -2.895237e+02 -9.156255e-18)	(4.132805e+01 -2.901796e+02 -9.132350e-18)	(1.615602e+01 6.558821e-01 -2.390483e-20)
0.0051       	(5.703168e+01 -4.033515e+02 -8.499292e-18)	(4.092019e+01 -4.040057e+02 -8.475282e-18)	(1.611149e+01 6.542561e-01 -2.400976e-20)
0.0052       	(5.873089e+01 -3.892741e+02 -8.331034e-18)	(4.266278e+01 -3.899280e+02 -8.306874e-18)	(1.606811e+01 6.539229e-01 -2.415963e-20)
0.0053       	(1.059972e+02 -1.875832e+02 -8.515209e-18)	(8.996965e+01 -1.882355e+02 -8.491163e-18)	(1.602750e+01 6.522474e-01 -2.404668e-20)
0.0054       	(9.958438e+01 -2.435387e+02 -8.733611e-18)	(8.359750e+01 -2.441903e+02 -8.709934e-18)	(1.598688e+01 6.515756e-01 -2.367651e-20)
0.0055       	(5.968305e+01 -1.755253e+02 -9.287013e-18)	(4.373698e+01 -1.761750e+02 -9.262887e-18)	(1.594607e+01 6.496771e-01 -2.412614e-20)
0.0056       	(5.766346e+01 -2.899071e+02 -8.466083e-18)	(4.175771e+01 -2.905548e+02 -8.441224e-18)	(1.590575e+01 6.476578e-01 -2.485893e-20)
0.0057       	(1.554398e+01 2.343871e+02 -1.168909e-17)	(-3.225344e-01 2.337440e+02 -1.166515e-17)	(1.586652e+01 6.431172e-01 -2.394701e-20)
0.0058       	(4.711857e+01 -4.753002e+01 -1.048279e-17)	(3.129028e+01 -4.817148e+01 -1.045892e-17)	(1.582828e+01 6.414673e-01 -2.386675e-20)
0.0059       	(5.144005e+01 -3.068917e+01 -1.019541e-17)	(3.564932e+01 -3.132896e+01 -1.017155e-17)	(1.579073e+01 6.397854e-01 -2.385783e-20)
0.006        	(5.486266e+01 -7.635045e+01 -8.771439e-18)	(3.910902e+01 -7.698820e+01 -8.747902e-18)	(1.575364e+01 6.377509e-01 -2.353725e-20)
0.0061       	(5.081055e+01 -4.614202e+01 -9.485797e-18)	(3.509341e+01 -4.677796e+01 -9.462389e-18)	(1.571714e+01 6.359379e-01 -2.340715e-20)
0.0062       	(5.297824e+01 -1.294854e+02 -9.517094e-18)	(3.729705e+01 -1.301196e+02 -9.493854e-18)	(1.568120e+01 6.341786e-01 -2.324067e-20)
0.0063       	(4.088415e+01 -6.179207e+02 -2.478655e-17)	(2.523828e+01 -6.185568e+02 -2.476278e-17)	(1.564588e+01 6.361386e-01 -2.377425e-20)
0.0064       	(4.246782e+01 -8.593188e+02 -2.248760e-17)	(2.685677e+01 -8.599560e+02 -2.246357e-17)	(1.561105e+01 6.371776e-01 -2.402747e-20)
0.0065       	(4.853252e+01 -2.328608e+03 -2.481017e-17)	(3.295598e+01 -2.329247e+03 -2.478722e-17)	(1.557654e+01 6.387632e-01 -2.294864e-20)
0.0066       	(6.091222e+01 -6.294786e+02 -8.101840e-18)	(4.536908e+01 -6.301171e+02 -8.079013e-18)	(1.554314e+01 6.385207e-01 -2.282744e-20)
0.0067       	(4.735875e+01 5.795174e+00 -1.068814e-17)	(3.184829e+01 5.155768e+00 -1.066544e-17)	(1.551046e+01 6.394067e-01 -2.269954e-20)
0.0068       	(5.017119e+01 -1.697536e+01 -1.074434e-17)	(3.469269e+01 -1.761485e+01 -1.072184e-17)	(1.547851e+01 6.394842e-01 -2.249637e-20)
0.0069       	(5.516623e+01 -1.938603e+01 -1.066840e-17)	(3.971941e+01 -2.002562e+01 -1.064592e-17)	(1.544682e+01 6.395844e-01 -2.247080e-20)
0.007        	(5.810314e+01 -2.274231e+01 -1.000986e-17)	(4.268730e+01 -2.338270e+01 -9.987346e-18)	(1.541584e+01 6.403866e-01 -2.251233e-20)
0.0071       	(8.982549e+01 2.320185e+01 -8.626677e-18)	(7.443945e+01 2.256041e+01 -8.604074e-18)	(1.538603e+01 6.414403e-01 -2.260266e-20)
