# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.229065e+05 -2.398721e+05 -2.639915e-14)	(3.228805e+05 -2.398710e+05 -2.639911e-14)	(2.598861e+01 -1.079274e+00 -4.111489e-20)
0.0002       	(1.683936e+04 1.060816e+04 -1.093098e-16)	(1.681398e+04 1.060921e+04 -1.092783e-16)	(2.538008e+01 -1.042293e+00 -3.150628e-20)
0.0003       	(3.232526e+02 -5.669337e+02 1.816614e-16)	(2.981190e+02 -5.659193e+02 1.816916e-16)	(2.513363e+01 -1.014377e+00 -3.013727e-20)
0.0004       	(4.766055e+02 7.969829e+02 2.841154e-17)	(4.521546e+02 7.979639e+02 2.844232e-17)	(2.445089e+01 -9.810237e-01 -3.077471e-20)
0.0005       	(3.868936e+02 3.157568e+02 -8.942454e-18)	(3.626491e+02 3.167315e+02 -8.911430e-18)	(2.424453e+01 -9.747150e-01 -3.102440e-20)
0.0006       	(4.557943e+02 1.240555e+03 2.124919e-17)	(4.317475e+02 1.241522e+03 2.128025e-17)	(2.404674e+01 -9.672317e-01 -3.105238e-20)
0.0007       	(3.925597e+02 9.898126e+02 5.981118e-18)	(3.687039e+02 9.907735e+02 6.012507e-18)	(2.385575e+01 -9.609507e-01 -3.138943e-20)
0.0008       	(2.292537e+02 -6.776521e+01 -2.996289e-17)	(2.055852e+02 -6.679967e+01 -2.992700e-17)	(2.366846e+01 -9.655354e-01 -3.588938e-20)
0.0009       	(-7.193407e+01 -3.143975e+03 -3.756927e-17)	(-9.542744e+01 -3.143016e+03 -3.753314e-17)	(2.349336e+01 -9.591465e-01 -3.612791e-20)
0.001        	(7.001353e+01 -3.064139e+03 -1.756778e-17)	(4.669421e+01 -3.063187e+03 -1.753365e-17)	(2.331932e+01 -9.519443e-01 -3.413022e-20)
0.0011       	(6.155249e+02 1.685394e+03 5.098775e-17)	(5.923803e+02 1.686352e+03 5.102472e-17)	(2.314458e+01 -9.581636e-01 -3.696564e-20)
0.0012       	(4.202111e+02 1.298501e+03 1.022898e-17)	(3.972316e+02 1.299456e+03 1.026680e-17)	(2.297950e+01 -9.550109e-01 -3.781949e-20)
0.0013       	(2.433142e+02 -6.905813e+02 -4.090723e-17)	(2.204958e+02 -6.896308e+02 -4.086823e-17)	(2.281838e+01 -9.504531e-01 -3.899958e-20)
0.0014       	(3.759629e+02 5.697883e+02 -4.251113e-17)	(3.533017e+02 5.707305e+02 -4.247094e-17)	(2.266118e+01 -9.422378e-01 -4.019121e-20)
