# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.916909e+05 5.570995e+05 -3.628076e-14)	(1.916694e+05 5.570974e+05 -3.628088e-14)	(2.149719e+01 2.121975e+00 1.189789e-19)
0.0002       	(6.992077e+03 1.928687e+04 -1.670705e-15)	(6.971018e+03 1.928482e+04 -1.670821e-15)	(2.105857e+01 2.047433e+00 1.163569e-19)
0.0003       	(-2.258597e+02 -1.759120e+03 1.611144e-16)	(-2.467188e+02 -1.761148e+03 1.610018e-16)	(2.085915e+01 2.028505e+00 1.125986e-19)
0.0004       	(1.228619e+02 2.828584e+01 -1.251248e-17)	(1.027567e+02 2.632371e+01 -1.262259e-17)	(2.010517e+01 1.962128e+00 1.101124e-19)
0.0005       	(1.333986e+02 -2.888480e+01 -1.982031e-17)	(1.134529e+02 -3.083073e+01 -1.992900e-17)	(1.994573e+01 1.945928e+00 1.086870e-19)
0.0006       	(1.662373e+02 -7.207806e+01 -2.250248e-17)	(1.464494e+02 -7.400956e+01 -2.260966e-17)	(1.978792e+01 1.931496e+00 1.071774e-19)
0.0007       	(9.195557e+01 -2.271829e+00 -2.232281e-17)	(7.231886e+01 -4.187686e+00 -2.242850e-17)	(1.963671e+01 1.915857e+00 1.056914e-19)
0.0008       	(5.104505e+01 3.593737e+02 5.349950e-18)	(3.155535e+01 3.574791e+02 5.249143e-18)	(1.948970e+01 1.894566e+00 1.008076e-19)
0.0009       	(7.238651e+01 -4.456623e+01 -1.904576e-17)	(5.304010e+01 -4.644744e+01 -1.914464e-17)	(1.934641e+01 1.881210e+00 9.888356e-20)
0.001        	(8.329149e+01 -5.761801e+02 -1.446421e-17)	(6.408391e+01 -5.780533e+02 -1.456305e-17)	(1.920759e+01 1.873212e+00 9.884004e-20)
0.0011       	(2.677274e+01 4.589307e+02 1.372481e-17)	(7.701201e+00 4.570751e+02 1.362536e-17)	(1.907154e+01 1.855534e+00 9.945398e-20)
0.0012       	(5.578239e+01 2.783140e+01 -2.158881e-17)	(3.684213e+01 2.599003e+01 -2.168761e-17)	(1.894026e+01 1.841374e+00 9.879934e-20)
0.0013       	(5.364243e+01 7.845957e+00 -2.412100e-17)	(3.482913e+01 6.017966e+00 -2.421892e-17)	(1.881330e+01 1.827990e+00 9.792423e-20)
0.0014       	(4.962319e+01 4.425127e+00 -2.489957e-17)	(3.093274e+01 2.610235e+00 -2.499664e-17)	(1.869045e+01 1.814892e+00 9.706596e-20)
0.0015       	(4.822239e+01 8.644990e+00 -2.473968e-17)	(2.965119e+01 6.842827e+00 -2.483589e-17)	(1.857120e+01 1.802164e+00 9.620350e-20)
0.0016       	(3.563965e+01 1.808294e+02 -1.384612e-17)	(1.718438e+01 1.790390e+02 -1.394124e-17)	(1.845528e+01 1.790450e+00 9.511858e-20)
