# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(5.972719e+04 1.967454e+06 -3.113971e-14)	(5.970670e+04 1.967449e+06 -3.113971e-14)	(2.049190e+01 5.527338e+00 -7.750855e-21)
0.0002       	(7.648458e+03 1.656576e+05 -3.383305e-15)	(7.628721e+03 1.656523e+05 -3.383302e-15)	(1.973608e+01 5.282226e+00 -3.733556e-21)
0.0003       	(-1.020698e+02 -1.356007e+03 1.026825e-16)	(-1.215523e+02 -1.361189e+03 1.026834e-16)	(1.948252e+01 5.182054e+00 -8.597859e-22)
0.0004       	(8.567896e+01 3.559501e+03 -2.536392e-17)	(6.693334e+01 3.554520e+03 -2.536465e-17)	(1.874562e+01 4.981013e+00 7.326645e-22)
0.0005       	(1.479011e+02 1.321689e+02 -1.074152e-16)	(1.293374e+02 1.272607e+02 -1.074158e-16)	(1.856365e+01 4.908176e+00 6.621315e-22)
0.0006       	(1.055615e+02 1.345438e+02 -9.945713e-17)	(8.720787e+01 1.297087e+02 -9.945741e-17)	(1.835360e+01 4.835067e+00 2.743335e-22)
0.0007       	(3.636689e+02 -1.041569e+03 -9.398701e-17)	(3.454816e+02 -1.046338e+03 -9.398711e-17)	(1.818728e+01 4.768714e+00 9.925167e-23)
0.0008       	(1.608387e+02 -2.773081e+02 -9.126831e-17)	(1.428108e+02 -2.820092e+02 -9.126763e-17)	(1.802788e+01 4.701137e+00 -6.741967e-22)
0.0009       	(7.121048e+01 3.826846e+01 -8.831789e-17)	(5.333819e+01 3.362777e+01 -8.831693e-17)	(1.787229e+01 4.640692e+00 -9.554456e-22)
0.001        	(4.509194e+01 1.189469e+02 -8.537138e-17)	(2.737071e+01 1.143633e+02 -8.537013e-17)	(1.772124e+01 4.583578e+00 -1.242258e-21)
0.0011       	(4.353105e+01 1.024549e+02 -8.357142e-17)	(2.595637e+01 9.792659e+01 -8.356992e-17)	(1.757469e+01 4.528354e+00 -1.498447e-21)
0.0012       	(8.896778e+01 -8.786987e+01 -8.183650e-17)	(7.153686e+01 -9.234432e+01 -8.183363e-17)	(1.743092e+01 4.474455e+00 -2.877089e-21)
0.0013       	(1.947140e+02 -4.671574e+02 -8.035167e-17)	(1.774254e+02 -4.715842e+02 -8.034645e-17)	(1.728860e+01 4.426722e+00 -5.224008e-21)
