# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.824397e+05 3.783795e+04 -4.454693e-14)	(1.824183e+05 3.783747e+04 -4.454689e-14)	(2.141171e+01 4.801623e-01 -3.277048e-20)
0.0002       	(7.894405e+03 -2.559893e+03 -1.552293e-15)	(7.873407e+03 -2.560327e+03 -1.552261e-15)	(2.099836e+01 4.333075e-01 -3.171824e-20)
0.0003       	(6.274548e+02 -6.698305e+01 -2.374840e-16)	(6.066399e+02 -6.741027e+01 -2.374534e-16)	(2.081497e+01 4.272230e-01 -3.059522e-20)
0.0004       	(5.506083e+02 3.856066e+01 -2.186334e-16)	(5.299740e+02 3.813939e+01 -2.186041e-16)	(2.063436e+01 4.212699e-01 -2.927607e-20)
0.0005       	(4.736083e+02 3.446386e+01 -2.030980e-16)	(4.531407e+02 3.404782e+01 -2.030694e-16)	(2.046763e+01 4.160308e-01 -2.856300e-20)
0.0006       	(5.737013e+02 -4.862988e+02 -1.821283e-16)	(5.533946e+02 -4.867054e+02 -1.821005e-16)	(2.030676e+01 4.065879e-01 -2.779226e-20)
0.0007       	(4.936226e+02 -4.304320e+02 -2.030936e-16)	(4.734688e+02 -4.308389e+02 -2.030662e-16)	(2.015389e+01 4.069265e-01 -2.738234e-20)
0.0008       	(4.734766e+02 -5.506190e+01 -2.051819e-16)	(4.534696e+02 -5.546373e+01 -2.051555e-16)	(2.000701e+01 4.018303e-01 -2.636324e-20)
0.0009       	(5.548683e+02 -1.293721e+03 -2.185672e-16)	(5.350030e+02 -1.294126e+03 -2.185408e-16)	(1.986531e+01 4.053374e-01 -2.633696e-20)
0.001        	(6.176015e+02 6.326534e+02 -2.583235e-16)	(5.978719e+02 6.322496e+02 -2.582999e-16)	(1.972955e+01 4.037624e-01 -2.360469e-20)
0.0011       	(5.335383e+02 3.687031e+02 -2.269567e-16)	(5.139414e+02 3.683037e+02 -2.269345e-16)	(1.959696e+01 3.993802e-01 -2.216595e-20)
0.0012       	(8.587312e+02 -2.088609e+03 -2.785188e-16)	(8.392599e+02 -2.088995e+03 -2.784971e-16)	(1.947135e+01 3.866658e-01 -2.172307e-20)
0.0013       	(9.592745e+02 -2.752339e+03 -2.899192e-16)	(9.399229e+02 -2.752718e+03 -2.898976e-16)	(1.935155e+01 3.790829e-01 -2.165224e-20)
0.0014       	(7.119539e+02 -9.082432e+02 -2.509059e-16)	(6.927197e+02 -9.086183e+02 -2.508848e-16)	(1.923421e+01 3.751357e-01 -2.106341e-20)
0.0015       	(8.534234e+02 -1.022862e+03 -2.794928e-16)	(8.343022e+02 -1.023236e+03 -2.794725e-16)	(1.912126e+01 3.740341e-01 -2.033012e-20)
0.0016       	(6.680381e+02 -6.731764e+02 -2.411490e-16)	(6.490288e+02 -6.735452e+02 -2.411292e-16)	(1.900935e+01 3.687965e-01 -1.983620e-20)
0.0017       	(6.251932e+02 1.189087e+02 -2.474692e-16)	(6.062907e+02 1.185452e+02 -2.474501e-16)	(1.890247e+01 3.634969e-01 -1.912614e-20)
0.0018       	(3.445528e+02 1.323641e+03 -2.127963e-16)	(3.257564e+02 1.323280e+03 -2.127796e-16)	(1.879642e+01 3.611404e-01 -1.674499e-20)
0.0019       	(3.631546e+02 3.027588e+01 -1.762727e-16)	(3.444612e+02 2.991453e+01 -1.762561e-16)	(1.869340e+01 3.613556e-01 -1.656620e-20)
0.002        	(5.619804e+02 -3.027363e+03 -2.064215e-16)	(5.433864e+02 -3.027723e+03 -2.064054e-16)	(1.859403e+01 3.594855e-01 -1.610539e-20)
0.0021       	(1.604799e+03 -1.509321e+04 -3.497938e-16)	(1.586294e+03 -1.509357e+04 -3.497798e-16)	(1.850506e+01 3.628898e-01 -1.399519e-20)
0.0022       	(4.842156e+02 -6.930176e+02 -1.960749e-16)	(4.658035e+02 -6.933798e+02 -1.960614e-16)	(1.841210e+01 3.622051e-01 -1.344532e-20)
0.0023       	(7.949030e+02 -2.895101e+03 -2.440197e-16)	(7.765794e+02 -2.895460e+03 -2.440068e-16)	(1.832363e+01 3.583175e-01 -1.285615e-20)
0.0024       	(8.379882e+02 -3.214758e+03 -2.579416e-16)	(8.197500e+02 -3.215110e+03 -2.579294e-16)	(1.823817e+01 3.519164e-01 -1.219917e-20)
0.0025       	(4.380946e+02 1.256699e+03 -2.858038e-16)	(4.199415e+02 1.256363e+03 -2.857917e-16)	(1.815311e+01 3.356038e-01 -1.215525e-20)
0.0026       	(4.412183e+02 4.866368e+02 -2.445106e-16)	(4.231472e+02 4.863085e+02 -2.444988e-16)	(1.807104e+01 3.282817e-01 -1.173415e-20)
