# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.387165e+05 -5.889158e+04 -1.843125e-15)	(2.386949e+05 -5.889159e+04 -1.843289e-15)	(2.161453e+01 8.131670e-03 1.636447e-19)
0.0002       	(7.722150e+03 3.555916e+03 2.076649e-16)	(7.700939e+03 3.555898e+03 2.075091e-16)	(2.121126e+01 1.757417e-02 1.557272e-19)
0.0003       	(7.159174e+02 -1.298345e+03 1.115866e-16)	(6.948972e+02 -1.298387e+03 1.114362e-16)	(2.102022e+01 4.172391e-02 1.503539e-19)
0.0004       	(4.946574e+02 -5.105194e+02 1.995991e-17)	(4.739584e+02 -5.105841e+02 1.981311e-17)	(2.069900e+01 6.474319e-02 1.468023e-19)
0.0005       	(4.174986e+02 -4.312090e+02 -5.809377e-18)	(3.969728e+02 -4.312899e+02 -5.952704e-18)	(2.052580e+01 8.094542e-02 1.433275e-19)
0.0006       	(3.642342e+02 -3.842578e+02 -2.439596e-17)	(3.438729e+02 -3.843539e+02 -2.453595e-17)	(2.036131e+01 9.605390e-02 1.399952e-19)
0.0007       	(3.287348e+02 -3.499104e+02 -3.911174e-17)	(3.085302e+02 -3.500200e+02 -3.924848e-17)	(2.020454e+01 1.095730e-01 1.367345e-19)
0.0008       	(3.053963e+02 2.034252e+02 -5.730341e-17)	(2.853434e+02 2.033048e+02 -5.743710e-17)	(2.005297e+01 1.203923e-01 1.336954e-19)
0.0009       	(3.059121e+02 8.077038e+02 -8.360432e-17)	(2.860053e+02 8.075725e+02 -8.373527e-17)	(1.990677e+01 1.313130e-01 1.309472e-19)
0.001        	(1.093743e+02 -1.950048e+03 -1.075346e-16)	(8.960899e+01 -1.950183e+03 -1.076621e-16)	(1.976529e+01 1.349525e-01 1.274745e-19)
0.0011       	(2.581087e+02 -6.853303e+02 -6.874208e-17)	(2.384792e+02 -6.854747e+02 -6.886646e-17)	(1.962953e+01 1.443843e-01 1.243788e-19)
0.0012       	(2.125322e+02 -6.444543e+02 -6.540030e-17)	(1.930341e+02 -6.446017e+02 -6.552202e-17)	(1.949803e+01 1.473865e-01 1.217254e-19)
0.0013       	(2.125367e+02 -3.690692e+02 -5.667698e-17)	(1.931660e+02 -3.692223e+02 -5.679636e-17)	(1.937074e+01 1.531116e-01 1.193790e-19)
0.0014       	(1.795907e+02 -5.373428e+02 -4.757182e-17)	(1.603420e+02 -5.375028e+02 -4.768770e-17)	(1.924870e+01 1.599896e-01 1.158848e-19)
0.0015       	(9.764510e+01 -1.444876e+03 -1.171133e-17)	(7.851427e+01 -1.445048e+03 -1.182336e-17)	(1.913083e+01 1.724258e-01 1.120333e-19)
0.0016       	(1.065487e+02 -1.857551e+03 -3.819318e-17)	(8.753353e+01 -1.857734e+03 -3.830316e-17)	(1.901516e+01 1.834019e-01 1.099856e-19)
0.0017       	(1.495033e+02 4.391536e+01 -6.088409e-17)	(1.306001e+02 4.372820e+01 -6.099074e-17)	(1.890319e+01 1.871590e-01 1.066499e-19)
0.0018       	(1.423153e+02 9.309702e+01 -6.520763e-17)	(1.235210e+02 9.290500e+01 -6.531126e-17)	(1.879432e+01 1.920238e-01 1.036366e-19)
0.0019       	(1.366176e+02 -1.277944e+02 -6.784722e-17)	(1.179312e+02 -1.279925e+02 -6.794881e-17)	(1.868643e+01 1.980685e-01 1.015833e-19)
0.002        	(1.613447e+02 -1.981490e+02 -6.532841e-17)	(1.427625e+02 -1.983456e+02 -6.542803e-17)	(1.858220e+01 1.965718e-01 9.961761e-20)
0.0021       	(1.368707e+02 -6.639542e+01 -6.931353e-17)	(1.183887e+02 -6.659696e+01 -6.941099e-17)	(1.848202e+01 2.015361e-01 9.746149e-20)
0.0022       	(1.245217e+02 1.593627e+01 -7.195423e-17)	(1.061373e+02 1.572968e+01 -7.204878e-17)	(1.838439e+01 2.065958e-01 9.454217e-20)
0.0023       	(1.221069e+02 1.358821e+02 -7.441392e-17)	(1.038176e+02 1.356794e+02 -7.450630e-17)	(1.828929e+01 2.027253e-01 9.237751e-20)
