# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(4.158367e+04 2.061047e+06 1.015128e-14)	(4.156326e+04 2.061041e+06 1.015134e-14)	(2.040875e+01 5.704755e+00 -6.378639e-20)
0.0002       	(4.497483e+03 1.682577e+05 1.817889e-15)	(4.477832e+03 1.682523e+05 1.817943e-15)	(1.965123e+01 5.475474e+00 -5.449525e-20)
0.0003       	(-5.211825e+02 -1.259302e+04 1.422947e-16)	(-5.405878e+02 -1.259839e+04 1.423451e-16)	(1.940532e+01 5.369463e+00 -5.038058e-20)
0.0004       	(4.480536e+01 2.521934e+03 1.774644e-16)	(2.640386e+01 2.516835e+03 1.775112e-16)	(1.840150e+01 5.098789e+00 -4.688045e-20)
0.0005       	(1.472032e+02 -4.394142e+01 8.412248e-17)	(1.289747e+02 -4.897155e+01 8.416777e-17)	(1.822852e+01 5.030125e+00 -4.528685e-20)
0.0006       	(8.227905e+01 9.561394e+01 6.675106e-17)	(6.426888e+01 9.065712e+01 6.679475e-17)	(1.801016e+01 4.956822e+00 -4.369654e-20)
0.0007       	(5.656590e+01 6.288396e+01 5.493947e-17)	(3.871560e+01 5.798881e+01 5.498153e-17)	(1.785030e+01 4.895151e+00 -4.205446e-20)
0.0008       	(4.621889e+01 2.486458e+01 4.843835e-17)	(2.852405e+01 2.002911e+01 4.847920e-17)	(1.769484e+01 4.835463e+00 -4.085327e-20)
0.0009       	(2.606975e+02 -1.113713e+03 4.427474e-17)	(2.431549e+02 -1.118493e+03 4.431731e-17)	(1.754264e+01 4.780825e+00 -4.256943e-20)
0.001        	(9.450379e+01 -3.131826e+02 4.159653e-17)	(7.710636e+01 -3.179049e+02 4.163768e-17)	(1.739744e+01 4.722333e+00 -4.114845e-20)
0.0011       	(3.752302e+01 -3.382237e+01 4.107602e-17)	(2.026637e+01 -3.848911e+01 4.111571e-17)	(1.725664e+01 4.666745e+00 -3.968490e-20)
0.0012       	(2.975224e+01 3.114170e+00 4.096807e-17)	(1.263509e+01 -1.497372e+00 4.100675e-17)	(1.711715e+01 4.611542e+00 -3.867266e-20)
