# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.400762e+05 -1.236194e+04 5.434759e-14)	(2.400546e+05 -1.236184e+04 5.434762e-14)	(2.156169e+01 -1.095858e-01 -2.412693e-20)
0.0002       	(7.768822e+03 -6.029929e+03 1.705195e-15)	(7.747722e+03 -6.029835e+03 1.705224e-15)	(2.110044e+01 -9.381890e-02 -2.920884e-20)
0.0003       	(-2.389828e+01 7.889408e+02 5.910415e-17)	(-4.480477e+01 7.890250e+02 5.913531e-17)	(2.090649e+01 -8.415592e-02 -3.115905e-20)
0.0004       	(2.645909e+02 -1.688737e+01 1.054478e-16)	(2.443002e+02 -1.680657e+01 1.054803e-16)	(2.029067e+01 -8.079586e-02 -3.253912e-20)
0.0005       	(2.476769e+02 -2.028753e+01 1.032156e-16)	(2.275485e+02 -2.020810e+01 1.032486e-16)	(2.012844e+01 -7.943066e-02 -3.304094e-20)
0.0006       	(2.075187e+02 -1.041499e+01 9.273851e-17)	(1.875465e+02 -1.033669e+01 9.277195e-17)	(1.997218e+01 -7.830261e-02 -3.344085e-20)
0.0007       	(1.755722e+02 -6.960734e+00 8.566882e-17)	(1.557515e+02 -6.883408e+00 8.570258e-17)	(1.982071e+01 -7.732547e-02 -3.376246e-20)
0.0008       	(1.517898e+02 -6.170544e+00 8.093330e-17)	(1.321164e+02 -6.094115e+00 8.096734e-17)	(1.967342e+01 -7.642808e-02 -3.403750e-20)
0.0009       	(1.337324e+02 -5.641582e+00 7.740864e-17)	(1.142016e+02 -5.566016e+00 7.744289e-17)	(1.953077e+01 -7.556603e-02 -3.425212e-20)
0.001        	(1.195137e+02 -3.870336e+00 7.459896e-17)	(1.001214e+02 -3.795651e+00 7.463304e-17)	(1.939236e+01 -7.468498e-02 -3.407984e-20)
0.0011       	(1.046167e+02 4.802569e+01 7.233233e-17)	(8.535908e+01 4.809990e+01 7.236608e-17)	(1.925760e+01 -7.421065e-02 -3.374431e-20)
0.0012       	(5.451451e+01 6.282820e+02 7.049640e-17)	(3.538938e+01 6.283611e+02 7.052987e-17)	(1.912512e+01 -7.910516e-02 -3.346795e-20)
0.0013       	(9.005887e+01 1.787800e+01 6.896665e-17)	(7.106148e+01 1.796316e+01 6.899959e-17)	(1.899739e+01 -8.516625e-02 -3.293670e-20)
0.0014       	(8.018737e+01 6.759548e+01 6.768941e-17)	(6.131374e+01 6.767890e+01 6.772290e-17)	(1.887362e+01 -8.342059e-02 -3.349618e-20)
0.0015       	(7.705108e+01 3.549839e+01 6.660499e-17)	(5.829751e+01 3.558097e+01 6.663905e-17)	(1.875357e+01 -8.257581e-02 -3.406030e-20)
0.0016       	(7.091016e+01 6.110534e+01 6.568864e-17)	(5.227347e+01 6.118826e+01 6.572275e-17)	(1.863669e+01 -8.292700e-02 -3.410297e-20)
0.0017       	(5.582795e+01 1.981524e+02 6.489877e-17)	(3.730508e+01 1.982381e+02 6.493265e-17)	(1.852287e+01 -8.574334e-02 -3.388145e-20)
0.0018       	(4.503270e+01 -2.039645e+02 6.422470e-17)	(2.662073e+01 -2.038823e+02 6.425713e-17)	(1.841197e+01 -8.214942e-02 -3.243147e-20)
0.0019       	(6.026767e+01 -4.582273e+01 6.363523e-17)	(4.196368e+01 -4.574128e+01 6.366722e-17)	(1.830399e+01 -8.144038e-02 -3.198660e-20)
0.002        	(6.151394e+01 -2.936394e+00 6.312638e-17)	(4.331536e+01 -2.853765e+00 6.315800e-17)	(1.819858e+01 -8.262875e-02 -3.162485e-20)
0.0021       	(5.837945e+01 9.642211e-01 6.267655e-17)	(4.028455e+01 1.042184e+00 6.270848e-17)	(1.809490e+01 -7.796325e-02 -3.193827e-20)
0.0022       	(5.558422e+01 -1.841756e+01 6.228630e-17)	(3.758918e+01 -1.833817e+01 6.231747e-17)	(1.799505e+01 -7.938961e-02 -3.117313e-20)
0.0023       	(5.524021e+01 8.716884e-01 6.193805e-17)	(3.734215e+01 9.510787e-01 6.196900e-17)	(1.789807e+01 -7.939028e-02 -3.094337e-20)
0.0024       	(5.390357e+01 3.862568e+00 6.163357e-17)	(3.610014e+01 3.941331e+00 6.166448e-17)	(1.780343e+01 -7.876312e-02 -3.091963e-20)
0.0025       	(5.258421e+01 2.466054e+00 6.136034e-17)	(3.487319e+01 2.543318e+00 6.139132e-17)	(1.771102e+01 -7.726339e-02 -3.097929e-20)
0.0026       	(5.115555e+01 4.939940e-03 6.112119e-17)	(3.353462e+01 8.017337e-02 6.115216e-17)	(1.762092e+01 -7.523343e-02 -3.097000e-20)
0.0027       	(5.024388e+01 2.684097e+00 6.090560e-17)	(3.271073e+01 2.758115e+00 6.093661e-17)	(1.753315e+01 -7.401759e-02 -3.101454e-20)
0.0028       	(4.831071e+01 1.829984e+01 6.071707e-17)	(3.086320e+01 1.837334e+01 6.074806e-17)	(1.744751e+01 -7.349934e-02 -3.099257e-20)
0.0029       	(-1.934190e+00 6.626759e+02 6.054834e-17)	(-1.929739e+01 6.627511e+02 6.057750e-17)	(1.736320e+01 -7.518480e-02 -2.916334e-20)
0.003        	(2.663249e+01 2.853896e+02 6.040015e-17)	(9.351326e+00 2.854651e+02 6.042876e-17)	(1.728116e+01 -7.553964e-02 -2.861765e-20)
0.0031       	(4.602900e+01 2.327343e+01 6.025664e-17)	(2.882788e+01 2.334843e+01 6.028532e-17)	(1.720112e+01 -7.499278e-02 -2.867842e-20)
