# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(7.351083e+04 -1.014518e+06 -2.723987e-14)	(7.349060e+04 -1.014515e+06 -2.723997e-14)	(2.022564e+01 -3.571514e+00 9.381803e-20)
0.0002       	(2.060632e+03 -5.097267e+04 -2.158906e-15)	(2.040873e+03 -5.096920e+04 -2.158988e-15)	(1.975905e+01 -3.473933e+00 8.261560e-20)
0.0003       	(1.860241e+02 9.976724e+03 8.435881e-17)	(1.664483e+02 9.980139e+03 8.427841e-17)	(1.957584e+01 -3.414289e+00 8.040205e-20)
0.0004       	(1.318121e+02 -4.475245e+01 -6.404492e-17)	(1.130817e+02 -4.146558e+01 -6.412371e-17)	(1.873031e+01 -3.286871e+00 7.878900e-20)
0.0005       	(1.626852e+02 -6.742355e+01 -6.331309e-17)	(1.441055e+02 -6.417282e+01 -6.339125e-17)	(1.857965e+01 -3.250736e+00 7.815817e-20)
0.0006       	(1.244313e+02 -3.068916e+01 -6.436023e-17)	(1.059982e+02 -2.747307e+01 -6.443777e-17)	(1.843302e+01 -3.216090e+00 7.754214e-20)
0.0007       	(1.486325e+02 7.406552e+02 -6.520966e-17)	(1.303390e+02 7.438140e+02 -6.529148e-17)	(1.829353e+01 -3.158864e+00 8.181445e-20)
0.0008       	(1.048704e+02 2.077946e+02 -6.556403e-17)	(8.671098e+01 2.109146e+02 -6.564865e-17)	(1.815945e+01 -3.119996e+00 8.461699e-20)
0.0009       	(7.336738e+01 -7.396278e+01 -6.602849e-17)	(5.534364e+01 -7.086597e+01 -6.611230e-17)	(1.802374e+01 -3.096803e+00 8.381789e-20)
0.001        	(-1.681212e+02 -1.260469e+03 -6.686904e-17)	(-1.860187e+02 -1.257404e+03 -6.695189e-17)	(1.789743e+01 -3.065226e+00 8.284231e-20)
0.0011       	(9.920487e-01 -3.398539e+02 -6.702928e-17)	(-1.678125e+01 -3.368165e+02 -6.711247e-17)	(1.777330e+01 -3.037347e+00 8.319018e-20)
0.0012       	(6.648451e+01 9.168794e+00 -6.703854e-17)	(4.883130e+01 1.217760e+01 -6.712151e-17)	(1.765322e+01 -3.008809e+00 8.297076e-20)
0.0013       	(5.910991e+01 -4.028495e+01 -6.781398e-17)	(4.157410e+01 -3.730244e+01 -6.789607e-17)	(1.753580e+01 -2.982511e+00 8.208735e-20)
0.0014       	(5.698832e+01 -1.639930e+01 -6.756077e-17)	(3.956701e+01 -1.344438e+01 -6.764271e-17)	(1.742131e+01 -2.954913e+00 8.194045e-20)
0.0015       	(5.630079e+01 -1.983381e+01 -6.699526e-17)	(3.899108e+01 -1.690540e+01 -6.707634e-17)	(1.730971e+01 -2.928409e+00 8.108553e-20)
0.0016       	(5.417790e+01 -3.091251e+01 -6.675191e-17)	(3.697721e+01 -2.800916e+01 -6.683194e-17)	(1.720069e+01 -2.903346e+00 8.002915e-20)
0.0017       	(5.233790e+01 -3.274008e+01 -6.668114e-17)	(3.524395e+01 -2.986091e+01 -6.676047e-17)	(1.709395e+01 -2.879165e+00 7.932721e-20)
0.0018       	(5.076150e+01 -3.235287e+01 -6.668630e-17)	(3.377325e+01 -2.949835e+01 -6.676745e-17)	(1.698824e+01 -2.854515e+00 8.115577e-20)
0.0019       	(3.246682e+01 -1.067848e+02 -6.693459e-17)	(1.558247e+01 -1.039533e+02 -6.701407e-17)	(1.688435e+01 -2.831519e+00 7.947246e-20)
0.002        	(-3.204928e+01 6.621908e+02 -7.163174e-17)	(-4.883458e+01 6.649893e+02 -7.170762e-17)	(1.678529e+01 -2.798461e+00 7.588307e-20)
0.0021       	(-9.347036e+01 3.320558e+01 -7.048980e-17)	(-1.101444e+02 3.598344e+01 -7.056203e-17)	(1.667407e+01 -2.777861e+00 7.223160e-20)
0.0022       	(4.842610e+01 -1.089123e+01 -6.893794e-17)	(3.184842e+01 -8.136193e+00 -6.900911e-17)	(1.657768e+01 -2.755037e+00 7.116558e-20)
0.0023       	(-1.003773e+02 -7.552971e+02 -1.447316e-16)	(-1.168585e+02 -7.525684e+02 -1.448009e-16)	(1.648125e+01 -2.728730e+00 6.928434e-20)
0.0024       	(-4.006362e+01 -4.126847e+02 -1.060969e-16)	(-5.645281e+01 -4.099780e+02 -1.061650e-16)	(1.638919e+01 -2.706660e+00 6.812900e-20)
0.0025       	(2.417162e+01 -1.102488e+02 -7.797565e-17)	(7.873376e+00 -1.075626e+02 -7.804273e-17)	(1.629825e+01 -2.686227e+00 6.707662e-20)
0.0026       	(4.295903e+01 -1.613400e+01 -6.924567e-17)	(2.674863e+01 -1.346872e+01 -6.931186e-17)	(1.621040e+01 -2.665278e+00 6.619735e-20)
0.0027       	(4.779304e+01 3.402386e+01 -6.740685e-17)	(3.166795e+01 3.666785e+01 -6.747249e-17)	(1.612509e+01 -2.643990e+00 6.564813e-20)
0.0028       	(4.653938e+01 3.061366e+00 -6.712007e-17)	(3.049796e+01 5.684598e+00 -6.718490e-17)	(1.604142e+01 -2.623232e+00 6.482752e-20)
0.0029       	(4.541995e+01 -2.172214e+01 -6.704483e-17)	(2.946069e+01 -1.911887e+01 -6.710864e-17)	(1.595926e+01 -2.603272e+00 6.380987e-20)
0.003        	(4.497669e+01 -1.766307e+01 -6.712425e-17)	(2.909799e+01 -1.507934e+01 -6.718708e-17)	(1.587870e+01 -2.583725e+00 6.282544e-20)
0.0031       	(4.640492e+01 3.452559e+01 -6.744594e-17)	(3.060487e+01 3.708819e+01 -6.750827e-17)	(1.580005e+01 -2.562605e+00 6.232457e-20)
0.0032       	(8.588770e+01 -1.485222e+01 -6.555577e-17)	(7.016530e+01 -1.230574e+01 -6.561716e-17)	(1.572239e+01 -2.546485e+00 6.138918e-20)
0.0033       	(1.421123e+02 -3.920174e+01 -6.399933e-17)	(1.264672e+02 -3.666620e+01 -6.405938e-17)	(1.564512e+01 -2.535539e+00 6.004746e-20)
0.0034       	(7.160807e+01 -6.350188e+01 -7.303727e-17)	(5.603779e+01 -6.098358e+01 -7.309614e-17)	(1.557028e+01 -2.518305e+00 5.887213e-20)
0.0035       	(7.570474e+01 -1.410368e+02 -8.709742e-17)	(6.020847e+01 -1.385388e+02 -8.715500e-17)	(1.549627e+01 -2.497987e+00 5.758017e-20)
0.0036       	(1.011671e+02 -1.361477e+02 -9.719490e-17)	(8.574508e+01 -1.336700e+02 -9.725091e-17)	(1.542202e+01 -2.477700e+00 5.600852e-20)
0.0037       	(8.444053e+01 -1.135063e+02 -8.803053e-17)	(6.909176e+01 -1.110470e+02 -8.808536e-17)	(1.534876e+01 -2.459340e+00 5.483321e-20)
0.0038       	(6.876185e+01 -7.314428e+01 -7.979737e-17)	(5.348332e+01 -7.071225e+01 -7.984994e-17)	(1.527853e+01 -2.432028e+00 5.256627e-20)
0.0039       	(4.313903e+01 -1.495385e+02 -8.034285e-17)	(2.792725e+01 -1.471237e+02 -8.039421e-17)	(1.521179e+01 -2.414863e+00 5.136244e-20)
0.004        	(4.283154e+01 -1.237592e+02 -7.517298e-17)	(2.768509e+01 -1.213605e+02 -7.522339e-17)	(1.514645e+01 -2.398749e+00 5.040601e-20)
0.0041       	(3.941348e+01 -1.233661e+02 -7.359137e-17)	(2.433125e+01 -1.209826e+02 -7.364093e-17)	(1.508223e+01 -2.383437e+00 4.955609e-20)
0.0042       	(-9.461880e+00 -3.500114e+02 -7.683867e-17)	(-2.448231e+01 -3.476451e+02 -7.688739e-17)	(1.502043e+01 -2.366311e+00 4.871828e-20)
0.0043       	(-1.460058e+02 -9.990566e+02 -8.609773e-17)	(-1.609698e+02 -9.967142e+02 -8.614589e-17)	(1.496398e+01 -2.342317e+00 4.815805e-20)
0.0044       	(2.031671e+00 -2.835708e+02 -7.716056e-17)	(-1.287318e+01 -2.812440e+02 -7.720817e-17)	(1.490485e+01 -2.326779e+00 4.761350e-20)
0.0045       	(2.608427e+01 -1.581902e+02 -7.313523e-17)	(1.123668e+01 -1.558785e+02 -7.318233e-17)	(1.484758e+01 -2.311667e+00 4.710152e-20)
0.0046       	(1.625726e+01 -2.026386e+02 -7.420347e-17)	(1.466261e+00 -2.003418e+02 -7.424999e-17)	(1.479100e+01 -2.296758e+00 4.652634e-20)
0.0047       	(1.308549e+01 -2.046552e+02 -7.587195e-17)	(-1.650613e+00 -2.023742e+02 -7.591799e-17)	(1.473610e+01 -2.281075e+00 4.603856e-20)
0.0048       	(4.254479e+01 -6.950279e+01 -6.981062e-17)	(2.786185e+01 -6.723682e+01 -6.985620e-17)	(1.468294e+01 -2.265967e+00 4.557980e-20)
0.0049       	(4.431302e+01 -1.262838e+02 -6.826568e-17)	(2.968240e+01 -1.240335e+02 -6.831077e-17)	(1.463062e+01 -2.250297e+00 4.509073e-20)
0.005        	(9.974409e+01 -2.717134e+02 -6.771236e-17)	(8.516328e+01 -2.694814e+02 -6.775745e-17)	(1.458081e+01 -2.232008e+00 4.508788e-20)
0.0051       	(1.856423e+02 -3.408857e+02 -6.899678e-17)	(1.711088e+02 -3.386716e+02 -6.904221e-17)	(1.453351e+01 -2.214051e+00 4.542893e-20)
0.0052       	(3.064860e+01 -2.122028e+02 -7.812014e-17)	(1.616472e+01 -2.100033e+02 -7.816543e-17)	(1.448388e+01 -2.199479e+00 4.528728e-20)
0.0053       	(2.960284e+01 -1.564701e+02 -7.685247e-17)	(1.516766e+01 -1.542836e+02 -7.689744e-17)	(1.443518e+01 -2.186483e+00 4.496957e-20)
0.0054       	(4.603137e+01 -8.151675e+01 -7.126680e-17)	(3.164355e+01 -7.934341e+01 -7.131135e-17)	(1.438783e+01 -2.173344e+00 4.454998e-20)
0.0055       	(1.590809e+02 -9.012327e+01 -6.451885e-17)	(1.447389e+02 -8.796760e+01 -6.456332e-17)	(1.434198e+01 -2.155665e+00 4.446429e-20)
0.0056       	(1.124927e+02 -1.171557e+02 -6.736024e-17)	(9.819682e+01 -1.150156e+02 -6.740437e-17)	(1.429587e+01 -2.140082e+00 4.413786e-20)
