# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(5.559067e+04 1.028018e+06 1.951552e-16)	(5.557024e+04 1.028015e+06 1.950888e-16)	(2.042548e+01 2.843075e+00 6.641064e-20)
0.0002       	(4.236163e+03 5.106787e+04 1.727073e-16)	(4.216173e+03 5.106518e+04 1.726400e-16)	(1.999031e+01 2.689918e+00 6.727191e-20)
0.0003       	(-3.810936e+02 -3.572063e+03 6.918978e-17)	(-4.009029e+02 -3.574714e+03 6.912297e-17)	(1.980933e+01 2.651254e+00 6.680835e-20)
0.0004       	(3.814404e+01 1.150341e+03 5.098392e-17)	(1.900910e+01 1.147777e+03 5.091666e-17)	(1.913494e+01 2.563983e+00 6.725646e-20)
0.0005       	(5.826363e+01 4.623785e+02 3.912566e-17)	(3.927578e+01 4.598420e+02 3.905866e-17)	(1.898785e+01 2.536508e+00 6.700186e-20)
0.0006       	(4.237472e+00 1.060588e+03 6.302466e-17)	(-1.459939e+01 1.058078e+03 6.295765e-17)	(1.883686e+01 2.510541e+00 6.700715e-20)
0.0007       	(-1.886582e+02 4.261427e+03 1.573407e-16)	(-2.073266e+02 4.258934e+03 1.572739e-16)	(1.866846e+01 2.492615e+00 6.677356e-20)
0.0008       	(2.856745e+01 8.408312e+02 5.297926e-17)	(1.003724e+01 8.383477e+02 5.291467e-17)	(1.853020e+01 2.483478e+00 6.458807e-20)
0.0009       	(1.502847e+01 6.430577e+02 4.448702e-17)	(-3.369262e+00 6.405971e+02 4.442251e-17)	(1.839773e+01 2.460625e+00 6.450348e-20)
0.001        	(-1.622005e+02 4.173116e+03 1.275983e-16)	(-1.804578e+02 4.170685e+03 1.275344e-16)	(1.825738e+01 2.431552e+00 6.386381e-20)
0.0011       	(-1.556832e+02 3.982645e+03 1.093197e-16)	(-1.738104e+02 3.980236e+03 1.092563e-16)	(1.812722e+01 2.409124e+00 6.345878e-20)
0.0012       	(3.031981e+01 2.247916e+02 3.406740e-17)	(1.231262e+01 2.224040e+02 3.400424e-17)	(1.800720e+01 2.387552e+00 6.316065e-20)
0.0013       	(3.725420e+01 6.759649e+01 3.137729e-17)	(1.936396e+01 6.522997e+01 3.131449e-17)	(1.789024e+01 2.366524e+00 6.280215e-20)
0.0014       	(3.646057e+01 6.302138e+01 3.130853e-17)	(1.868529e+01 6.067558e+01 3.124611e-17)	(1.777528e+01 2.345800e+00 6.241904e-20)
0.0015       	(3.493726e+01 7.624039e+01 3.150363e-17)	(1.726887e+01 7.391501e+01 3.144172e-17)	(1.766839e+01 2.325379e+00 6.190896e-20)
0.0016       	(3.089942e+01 1.088304e+02 3.364794e-17)	(1.334949e+01 1.065198e+02 3.358651e-17)	(1.754992e+01 2.310576e+00 6.143584e-20)
0.0017       	(-7.010065e-01 3.749943e+02 5.459268e-17)	(-1.814365e+01 3.727101e+02 5.453129e-17)	(1.744264e+01 2.284213e+00 6.139278e-20)
0.0018       	(3.217766e+01 8.640487e+01 3.321846e-17)	(1.483781e+01 8.414067e+01 3.315709e-17)	(1.733985e+01 2.264203e+00 6.137414e-20)
0.0019       	(3.311980e+01 6.850697e+01 3.550325e-17)	(1.587969e+01 6.626275e+01 3.544220e-17)	(1.724011e+01 2.244218e+00 6.105520e-20)
0.002        	(3.880602e+01 3.507512e+00 3.595060e-17)	(2.166277e+01 1.285272e+00 3.588966e-17)	(1.714325e+01 2.222240e+00 6.094373e-20)
0.0021       	(4.111866e+00 3.381139e+02 5.220955e-17)	(-1.293054e+01 3.359096e+02 5.214921e-17)	(1.704241e+01 2.204293e+00 6.033807e-20)
