# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(5.438684e+04 -1.598929e+06 6.668691e-15)	(5.436660e+04 -1.598924e+06 6.668666e-15)	(2.024200e+01 -5.069288e+00 2.534434e-20)
0.0002       	(2.319026e+03 -1.565284e+05 1.413022e-15)	(2.299476e+03 -1.565236e+05 1.412997e-15)	(1.955049e+01 -4.776936e+00 2.564758e-20)
0.0003       	(-8.657478e+01 1.766532e+04 -6.307355e-17)	(-1.059021e+02 1.767000e+04 -6.309978e-17)	(1.932732e+01 -4.677308e+00 2.623388e-20)
0.0004       	(1.320501e+01 -7.288467e+01 3.274600e-17)	(-5.000544e+00 -6.845422e+01 3.272069e-17)	(1.820556e+01 -4.430452e+00 2.530393e-20)
0.0005       	(1.420197e+01 -5.936881e+01 3.274540e-17)	(-3.841278e+00 -5.498779e+01 3.271896e-17)	(1.804325e+01 -4.381017e+00 2.643548e-20)
0.0006       	(3.583059e+00 -1.907420e+02 3.274617e-17)	(-1.429991e+01 -1.864084e+02 3.271726e-17)	(1.788297e+01 -4.333666e+00 2.890796e-20)
0.0007       	(8.100508e+00 -1.361670e+02 3.274730e-17)	(-9.630089e+00 -1.318794e+02 3.271570e-17)	(1.773060e+01 -4.287511e+00 3.160256e-20)
0.0008       	(1.146901e+01 -9.419217e+01 3.274674e-17)	(-6.111775e+00 -8.994961e+01 3.271428e-17)	(1.758078e+01 -4.242559e+00 3.245885e-20)
0.0009       	(3.412961e+01 1.809739e+02 3.274509e-17)	(1.669507e+01 1.851818e+02 3.271302e-17)	(1.743454e+01 -4.207871e+00 3.207805e-20)
0.001        	(6.763791e+01 5.828814e+02 3.274108e-17)	(5.034871e+01 5.870700e+02 3.271189e-17)	(1.728920e+01 -4.188563e+00 2.919229e-20)
0.0011       	(1.545526e+01 -3.348296e+01 3.274066e-17)	(-1.693865e+00 -2.933536e+01 3.271090e-17)	(1.714912e+01 -4.147601e+00 2.976781e-20)
0.0012       	(1.547988e+01 -3.124804e+01 3.274038e-17)	(-1.533030e+00 -2.714033e+01 3.271003e-17)	(1.701291e+01 -4.107707e+00 3.034887e-20)
0.0013       	(4.968465e+01 3.727235e+02 3.274091e-17)	(3.280055e+01 3.767789e+02 3.270929e-17)	(1.688411e+01 -4.055369e+00 3.161335e-20)
0.0014       	(1.294208e+01 -6.290018e+01 3.274072e-17)	(-3.814119e+00 -5.888346e+01 3.270865e-17)	(1.675620e+01 -4.016713e+00 3.207323e-20)
0.0015       	(-5.114351e+01 -8.548967e+02 3.274093e-17)	(-6.776083e+01 -8.509168e+02 3.270811e-17)	(1.661732e+01 -3.979885e+00 3.281690e-20)
0.0016       	(1.110527e+00 -2.136981e+02 3.274072e-17)	(-1.538376e+01 -2.097556e+02 3.270766e-17)	(1.649429e+01 -3.942453e+00 3.306865e-20)
0.0017       	(1.318705e+01 -5.508395e+01 3.274099e-17)	(-3.188232e+00 -5.117844e+01 3.270727e-17)	(1.637528e+01 -3.905512e+00 3.372472e-20)
0.0018       	(1.625797e+01 -1.434811e+01 3.274139e-17)	(-1.771747e-03 -1.047942e+01 3.270695e-17)	(1.625974e+01 -3.868684e+00 3.444177e-20)
0.0019       	(8.121886e+00 -1.135809e+02 3.274171e-17)	(-8.024351e+00 -1.097479e+02 3.270670e-17)	(1.614624e+01 -3.832942e+00 3.501559e-20)
0.002        	(1.865269e+01 1.310002e+01 3.274179e-17)	(2.616070e+00 1.689450e+01 3.270653e-17)	(1.603662e+01 -3.794480e+00 3.526115e-20)
0.0021       	(3.495323e+01 2.096828e+02 3.274214e-17)	(1.902222e+01 2.134330e+02 3.270648e-17)	(1.593100e+01 -3.750266e+00 3.566461e-20)
0.0022       	(6.638895e+00 -1.346211e+02 3.274219e-17)	(-9.185572e+00 -1.309080e+02 3.270653e-17)	(1.582447e+01 -3.713163e+00 3.565437e-20)
0.0023       	(5.810129e+00 -1.402432e+02 3.274218e-17)	(-9.911590e+00 -1.365637e+02 3.270658e-17)	(1.572172e+01 -3.679445e+00 3.560019e-20)
0.0024       	(1.387945e+01 -3.672566e+01 3.274247e-17)	(-1.743971e+00 -3.307936e+01 3.270656e-17)	(1.562342e+01 -3.646296e+00 3.591904e-20)
0.0025       	(1.445201e+01 -2.718868e+01 3.274228e-17)	(-1.076591e+00 -2.357297e+01 3.270651e-17)	(1.552861e+01 -3.615703e+00 3.577190e-20)
