# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(4.645076e+04 1.671877e+06 2.316823e-14)	(4.643067e+04 1.671872e+06 2.316807e-14)	(2.008529e+01 4.288420e+00 1.612787e-19)
0.0002       	(6.883838e+03 1.211058e+05 3.770502e-15)	(6.864430e+03 1.211016e+05 3.770354e-15)	(1.940858e+01 4.132395e+00 1.479227e-19)
0.0003       	(-1.329903e+02 -1.202757e+04 2.150997e-17)	(-1.521851e+02 -1.203163e+04 2.136322e-17)	(1.919478e+01 4.058635e+00 1.467451e-19)
0.0004       	(8.600986e+01 2.522947e+02 1.059492e-16)	(6.776431e+01 2.484146e+02 1.058014e-16)	(1.824555e+01 3.880075e+00 1.477335e-19)
0.0005       	(8.476774e+01 4.396416e+01 1.032514e-16)	(6.667622e+01 4.013053e+01 1.031054e-16)	(1.809152e+01 3.833637e+00 1.460296e-19)
0.0006       	(2.010332e+02 -6.021397e+02 9.875915e-17)	(1.830872e+02 -6.059053e+02 9.861615e-17)	(1.794597e+01 3.765570e+00 1.429984e-19)
0.0007       	(9.576934e+01 -1.321154e+02 9.654366e-17)	(7.796536e+01 -1.358314e+02 9.640267e-17)	(1.780398e+01 3.715970e+00 1.409932e-19)
0.0008       	(4.851072e+01 7.551858e+01 9.521479e-17)	(3.084500e+01 7.184428e+01 9.507519e-17)	(1.766572e+01 3.674297e+00 1.396078e-19)
0.0009       	(4.520786e+01 7.111529e+01 9.454784e-17)	(2.767762e+01 6.748129e+01 9.440954e-17)	(1.753024e+01 3.633995e+00 1.382990e-19)
0.001        	(7.661912e+01 -1.250050e+02 1.166558e-16)	(5.922104e+01 -1.286038e+02 1.165180e-16)	(1.739808e+01 3.598764e+00 1.377289e-19)
0.0011       	(4.021926e+02 -1.932238e+03 3.127880e-16)	(3.849289e+02 -1.935810e+03 3.126448e-16)	(1.726370e+01 3.571461e+00 1.432138e-19)
0.0012       	(9.378365e+01 -1.522048e+02 1.061070e-16)	(7.664462e+01 -1.557415e+02 1.059650e-16)	(1.713903e+01 3.536625e+00 1.420643e-19)
0.0013       	(4.200332e+01 7.786655e+01 9.711705e-17)	(2.498315e+01 7.436627e+01 9.697615e-17)	(1.702017e+01 3.500281e+00 1.408962e-19)
0.0014       	(3.702765e+01 8.220418e+01 9.494771e-17)	(2.012500e+01 7.873890e+01 9.480791e-17)	(1.690265e+01 3.465285e+00 1.397966e-19)
0.0015       	(4.396084e+01 1.894062e+01 9.880060e-17)	(2.717274e+01 1.551015e+01 9.866158e-17)	(1.678809e+01 3.430462e+00 1.390198e-19)
0.0016       	(4.710642e+01 -4.665626e+00 9.955779e-17)	(3.043001e+01 -8.061855e+00 9.941951e-17)	(1.667641e+01 3.396229e+00 1.382758e-19)
0.0017       	(4.006407e+01 2.930605e+01 9.561005e-17)	(2.349619e+01 2.594233e+01 9.547277e-17)	(1.656788e+01 3.363719e+00 1.372711e-19)
0.0018       	(3.681346e+01 4.361991e+01 9.408898e-17)	(2.035153e+01 4.028775e+01 9.395277e-17)	(1.646193e+01 3.332163e+00 1.362101e-19)
0.0019       	(5.830972e+01 -7.505629e+01 1.029091e-16)	(4.195044e+01 -7.835621e+01 1.027741e-16)	(1.635928e+01 3.299913e+00 1.350684e-19)
0.002        	(2.335472e+02 -1.020481e+03 1.754636e-16)	(2.172861e+02 -1.023738e+03 1.753291e-16)	(1.626112e+01 3.256407e+00 1.344892e-19)
0.0021       	(1.812157e+02 -5.773596e+02 1.134386e-16)	(1.650531e+02 -5.805908e+02 1.133058e-16)	(1.616257e+01 3.231206e+00 1.328137e-19)
0.0022       	(1.931215e+01 1.387823e+02 8.879985e-17)	(3.246020e+00 1.355802e+02 8.866824e-17)	(1.606613e+01 3.202040e+00 1.316019e-19)
0.0023       	(-8.032358e+01 1.232198e+03 8.715391e-17)	(-9.626416e+01 1.229028e+03 8.702331e-17)	(1.594058e+01 3.170061e+00 1.306019e-19)
0.0024       	(-9.881739e+00 5.574219e+02 8.824921e-17)	(-2.572361e+01 5.542807e+02 8.811957e-17)	(1.584187e+01 3.141228e+00 1.296340e-19)
0.0025       	(2.922441e+01 7.307625e+01 9.060681e-17)	(1.347304e+01 6.996196e+01 9.047820e-17)	(1.575137e+01 3.114286e+00 1.286043e-19)
0.0026       	(3.080926e+01 7.197064e+01 8.548343e-17)	(1.514615e+01 6.888146e+01 8.535602e-17)	(1.566311e+01 3.089188e+00 1.274136e-19)
0.0027       	(8.312596e+01 -2.748140e+02 1.822090e-17)	(6.754941e+01 -2.778830e+02 1.809691e-17)	(1.557655e+01 3.068988e+00 1.239853e-19)
0.0028       	(1.261327e+01 5.277745e+02 7.365895e-17)	(-2.879549e+00 5.247338e+02 7.353589e-17)	(1.549282e+01 3.040722e+00 1.230633e-19)
0.0029       	(-3.388865e+01 1.330037e+03 7.702526e-17)	(-4.929655e+01 1.327020e+03 7.690242e-17)	(1.540789e+01 3.016900e+00 1.228463e-19)
0.003        	(2.342514e+01 1.937351e+02 8.948664e-17)	(8.097583e+00 1.907421e+02 8.936452e-17)	(1.532755e+01 2.993051e+00 1.221146e-19)
0.0031       	(3.145651e+01 3.318410e+01 9.098111e-17)	(1.620719e+01 3.021415e+01 9.085986e-17)	(1.524932e+01 2.969956e+00 1.212533e-19)
0.0032       	(3.307275e+01 2.468383e+01 8.901027e-17)	(1.790497e+01 2.173625e+01 8.889021e-17)	(1.516778e+01 2.947581e+00 1.200607e-19)
0.0033       	(4.118798e+01 -3.371795e+01 7.983200e-17)	(2.609497e+01 -3.664042e+01 7.971265e-17)	(1.509301e+01 2.922476e+00 1.193459e-19)
0.0034       	(3.180178e+01 3.611233e+01 9.052066e-17)	(1.678285e+01 3.321162e+01 9.040229e-17)	(1.501893e+01 2.900708e+00 1.183694e-19)
0.0035       	(3.946631e+01 -1.401704e+01 8.166713e-17)	(2.452313e+01 -1.689524e+01 8.154988e-17)	(1.494318e+01 2.878208e+00 1.172580e-19)
0.0036       	(5.932254e+01 -1.531885e+02 5.898294e-17)	(4.445204e+01 -1.560386e+02 5.886746e-17)	(1.487050e+01 2.850057e+00 1.154819e-19)
0.0037       	(3.553114e+01 1.395937e+01 8.500189e-17)	(2.073191e+01 1.113163e+01 8.488764e-17)	(1.479923e+01 2.827745e+00 1.142524e-19)
0.0038       	(1.879279e+01 1.386210e+02 9.063330e-17)	(4.064210e+00 1.358152e+02 9.052006e-17)	(1.472858e+01 2.805825e+00 1.132469e-19)
0.0039       	(1.835760e+01 1.409021e+02 8.843373e-17)	(3.695264e+00 1.381196e+02 8.832210e-17)	(1.466234e+01 2.782506e+00 1.116331e-19)
0.004        	(2.936207e+01 5.748910e+01 8.867572e-17)	(1.476310e+01 5.473206e+01 8.856429e-17)	(1.459898e+01 2.757035e+00 1.114270e-19)
0.0041       	(2.946709e+01 7.005835e+01 8.950329e-17)	(1.492968e+01 6.732097e+01 8.939281e-17)	(1.453741e+01 2.737374e+00 1.104824e-19)
0.0042       	(3.332489e+01 3.480555e+01 8.714802e-17)	(1.884729e+01 3.208969e+01 8.703785e-17)	(1.447760e+01 2.715859e+00 1.101763e-19)
0.0043       	(3.391169e+01 3.386878e+01 8.968564e-17)	(1.949297e+01 3.117301e+01 8.957600e-17)	(1.441872e+01 2.695774e+00 1.096332e-19)
0.0044       	(3.718322e+01 5.873987e+01 9.625216e-17)	(2.282305e+01 5.606340e+01 9.614304e-17)	(1.436018e+01 2.676466e+00 1.091220e-19)
0.0045       	(5.084927e+01 1.058826e+02 1.111143e-16)	(3.654780e+01 1.032264e+02 1.110051e-16)	(1.430148e+01 2.656261e+00 1.091672e-19)
0.0046       	(6.185222e+01 1.302251e+02 1.199095e-16)	(4.760823e+01 1.275936e+02 1.197998e-16)	(1.424399e+01 2.631459e+00 1.096638e-19)
0.0047       	(1.524077e+02 -6.618031e+02 7.327590e-17)	(1.382228e+02 -6.644174e+02 7.316653e-17)	(1.418494e+01 2.614291e+00 1.093766e-19)
0.0048       	(6.940890e+01 -1.743866e+02 8.258455e-17)	(5.528012e+01 -1.769830e+02 8.247579e-17)	(1.412878e+01 2.596424e+00 1.087588e-19)
0.0049       	(3.566325e+01 1.335264e+02 9.306532e-17)	(2.158958e+01 1.309502e+02 9.295670e-17)	(1.407366e+01 2.576203e+00 1.086165e-19)
0.005        	(3.355360e+01 1.097291e+02 9.130542e-17)	(1.953458e+01 1.071719e+02 9.119712e-17)	(1.401902e+01 2.557180e+00 1.082980e-19)
0.0051       	(2.185132e+01 2.504024e+02 8.604390e-17)	(7.887954e+00 2.478621e+02 8.593563e-17)	(1.396337e+01 2.540302e+00 1.082640e-19)
0.0052       	(2.586220e+01 3.041047e+02 8.642898e-17)	(1.195338e+01 3.015824e+02 8.632014e-17)	(1.390882e+01 2.522312e+00 1.088392e-19)
0.0053       	(3.103806e+01 1.618480e+02 9.035002e-17)	(1.718194e+01 1.593452e+02 9.024223e-17)	(1.385612e+01 2.502751e+00 1.077937e-19)
0.0054       	(4.338560e+01 2.679610e+02 8.444456e-17)	(2.958154e+01 2.654856e+02 8.433810e-17)	(1.380406e+01 2.475493e+00 1.064575e-19)
0.0055       	(5.143320e+01 2.836630e+02 9.128072e-17)	(3.768107e+01 2.812136e+02 9.117525e-17)	(1.375213e+01 2.449396e+00 1.054667e-19)
0.0056       	(4.616626e+01 1.403113e+02 9.305264e-17)	(3.246564e+01 1.378828e+02 9.294812e-17)	(1.370062e+01 2.428579e+00 1.045193e-19)
0.0057       	(7.515029e+01 -1.348378e+02 1.079857e-16)	(6.150127e+01 -1.372513e+02 1.078814e-16)	(1.364901e+01 2.413475e+00 1.042961e-19)
0.0058       	(1.210334e+02 -4.289289e+02 1.238750e-16)	(1.074360e+02 -4.313315e+02 1.237701e-16)	(1.359741e+01 2.402692e+00 1.049333e-19)
0.0059       	(-1.027497e+01 1.043281e+03 8.822053e-17)	(-2.381960e+01 1.040898e+03 8.811616e-17)	(1.354462e+01 2.382510e+00 1.043777e-19)
0.006        	(8.448417e+01 6.642846e+02 1.120685e-16)	(7.099401e+01 6.619163e+02 1.119649e-16)	(1.349016e+01 2.368333e+00 1.036290e-19)
0.0061       	(3.774878e+01 1.137730e+02 9.621707e-17)	(2.430571e+01 1.114202e+02 9.611440e-17)	(1.344308e+01 2.352778e+00 1.026695e-19)
0.0062       	(8.954098e+01 -2.831440e+02 1.120290e-16)	(7.614221e+01 -2.854744e+02 1.119271e-16)	(1.339878e+01 2.330381e+00 1.018259e-19)
0.0063       	(7.410353e+01 -1.586321e+02 1.084303e-16)	(6.074793e+01 -1.609405e+02 1.083294e-16)	(1.335560e+01 2.308397e+00 1.008414e-19)
0.0064       	(2.887375e+01 2.378843e+02 9.706477e-17)	(1.556209e+01 2.355955e+02 9.696524e-17)	(1.331165e+01 2.288850e+00 9.953029e-20)
0.0065       	(1.970192e+01 3.082072e+02 9.593822e-17)	(6.435612e+00 3.059357e+02 9.583970e-17)	(1.326631e+01 2.271496e+00 9.852197e-20)
0.0066       	(2.514001e+01 2.284033e+02 9.623342e-17)	(1.191719e+01 2.261488e+02 9.613566e-17)	(1.322281e+01 2.254492e+00 9.775910e-20)
0.0067       	(2.821670e+01 1.992252e+02 9.634219e-17)	(1.503549e+01 1.969886e+02 9.624473e-17)	(1.318121e+01 2.236584e+00 9.745786e-20)
0.0068       	(3.445617e+01 1.150611e+02 9.559018e-17)	(2.131617e+01 1.128412e+02 9.549339e-17)	(1.314000e+01 2.219817e+00 9.679393e-20)
0.0069       	(1.014916e+02 1.509892e+01 1.118556e-16)	(8.839060e+01 1.289526e+01 1.117593e-16)	(1.310096e+01 2.203660e+00 9.621079e-20)
0.007        	(2.780693e+02 -1.252765e+03 1.224744e-16)	(2.650096e+02 -1.254960e+03 1.223774e-16)	(1.305972e+01 2.194823e+00 9.693360e-20)
0.0071       	(6.916707e+01 -1.434338e+02 9.625925e-17)	(5.614627e+01 -1.456136e+02 9.616274e-17)	(1.302079e+01 2.179807e+00 9.650853e-20)
0.0072       	(3.679702e+01 3.838212e+01 9.465390e-17)	(2.381466e+01 3.621676e+01 9.455814e-17)	(1.298236e+01 2.165360e+00 9.575557e-20)
0.0073       	(3.292875e+01 6.434473e+01 9.500996e-17)	(1.998435e+01 6.219348e+01 9.491504e-17)	(1.294440e+01 2.151250e+00 9.491979e-20)
0.0074       	(1.229674e+02 1.919825e+02 1.471617e-16)	(1.100580e+02 1.898458e+02 1.470667e-16)	(1.290945e+01 2.136737e+00 9.502585e-20)
0.0075       	(2.584024e+02 7.532241e+01 1.945932e-16)	(2.455250e+02 7.319941e+01 1.944974e-16)	(1.287744e+01 2.122997e+00 9.587468e-20)
0.0076       	(7.728682e+01 6.360178e+01 1.118662e-16)	(6.444476e+01 6.149491e+01 1.117707e-16)	(1.284205e+01 2.106870e+00 9.549452e-20)
0.0077       	(3.671900e+01 2.235968e+02 9.911343e-17)	(2.391342e+01 2.215062e+02 9.901856e-17)	(1.280558e+01 2.090584e+00 9.486682e-20)
0.0078       	(3.605504e+01 1.881416e+02 9.698033e-17)	(2.328559e+01 1.860672e+02 9.688615e-17)	(1.276945e+01 2.074486e+00 9.417987e-20)
0.0079       	(3.821611e+01 1.099942e+02 9.496244e-17)	(2.548223e+01 1.079344e+02 9.486901e-17)	(1.273388e+01 2.059798e+00 9.342839e-20)
0.008        	(3.560965e+01 9.539382e+01 9.644269e-17)	(2.291100e+01 9.334779e+01 9.634997e-17)	(1.269865e+01 2.046031e+00 9.271844e-20)
0.0081       	(3.491190e+01 8.969865e+01 9.667971e-17)	(2.224818e+01 8.766589e+01 9.658768e-17)	(1.266373e+01 2.032755e+00 9.202644e-20)
0.0082       	(3.436896e+01 9.461083e+01 9.619096e-17)	(2.173959e+01 9.259597e+01 9.609893e-17)	(1.262937e+01 2.014858e+00 9.203686e-20)
0.0083       	(3.220348e+01 1.094074e+02 9.561061e-17)	(1.960773e+01 1.074054e+02 9.551924e-17)	(1.259575e+01 2.001999e+00 9.137273e-20)
0.0084       	(3.012755e+01 1.283092e+02 9.507669e-17)	(1.756519e+01 1.263198e+02 9.498603e-17)	(1.256235e+01 1.989389e+00 9.066530e-20)
0.0085       	(3.030104e+01 1.228872e+02 9.497534e-17)	(1.777166e+01 1.209103e+02 9.488538e-17)	(1.252938e+01 1.976868e+00 8.996648e-20)
0.0086       	(3.186140e+01 1.003485e+02 9.505210e-17)	(1.936442e+01 9.838416e+01 9.496281e-17)	(1.249699e+01 1.964372e+00 8.928690e-20)
0.0087       	(3.332297e+01 8.623901e+01 9.544391e-17)	(2.085771e+01 8.428718e+01 9.535527e-17)	(1.246526e+01 1.951825e+00 8.864164e-20)
0.0088       	(4.388273e+01 9.326087e+01 1.017454e-16)	(3.144803e+01 9.132237e+01 1.016572e-16)	(1.243470e+01 1.938497e+00 8.823249e-20)
0.0089       	(7.476270e+01 1.710963e+02 1.220566e-16)	(6.235532e+01 1.691712e+02 1.219690e-16)	(1.240738e+01 1.925131e+00 8.766607e-20)
0.009        	(3.993230e+01 1.860084e+02 1.019172e-16)	(2.755495e+01 1.840964e+02 1.018303e-16)	(1.237736e+01 1.912043e+00 8.691714e-20)
0.0091       	(2.730047e+01 1.905044e+02 9.415607e-17)	(1.495366e+01 1.886065e+02 9.406988e-17)	(1.234681e+01 1.897908e+00 8.618609e-20)
0.0092       	(2.830397e+01 1.795062e+02 9.383241e-17)	(1.598629e+01 1.776229e+02 9.374715e-17)	(1.231767e+01 1.883354e+00 8.526761e-20)
0.0093       	(1.745188e+01 3.372124e+02 9.257237e-17)	(5.165246e+00 3.353433e+02 9.248820e-17)	(1.228663e+01 1.869120e+00 8.417175e-20)
0.0094       	(2.695678e+01 2.322057e+02 9.282941e-17)	(1.469944e+01 2.303506e+02 9.274614e-17)	(1.225734e+01 1.855146e+00 8.326761e-20)
0.0095       	(3.248537e+01 1.370155e+02 9.389350e-17)	(2.025598e+01 1.351735e+02 9.381101e-17)	(1.222939e+01 1.841997e+00 8.248610e-20)
0.0096       	(7.483503e+01 1.375917e+02 1.079617e-16)	(6.263203e+01 1.357633e+02 1.078803e-16)	(1.220301e+01 1.828388e+00 8.141552e-20)
0.0097       	(5.005624e+01 3.697875e+01 9.711393e-17)	(3.787986e+01 3.516258e+01 9.703305e-17)	(1.217639e+01 1.816169e+00 8.088012e-20)
