# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(5.675072e+05 2.261557e+06 -9.165521e-14)	(5.674839e+05 2.261550e+06 -9.165552e-14)	(2.331511e+01 6.366285e+00 3.138653e-19)
0.0002       	(2.973799e+04 1.624086e+05 -6.375529e-15)	(2.971523e+04 1.624025e+05 -6.375794e-15)	(2.276090e+01 6.073938e+00 2.650887e-19)
0.0003       	(-8.715158e+03 -6.685794e+02 1.241263e-15)	(-8.737554e+03 -6.745904e+02 1.241032e-15)	(2.239568e+01 6.010982e+00 2.304567e-19)
0.0004       	(-5.379700e+02 3.259559e+03 -3.036758e-17)	(-5.589760e+02 3.253917e+03 -3.057730e-17)	(2.100607e+01 5.641814e+00 2.097210e-19)
0.0005       	(2.098489e+02 -9.774307e+02 -7.977762e-17)	(1.890535e+02 -9.830054e+02 -7.998603e-17)	(2.079546e+01 5.574657e+00 2.084153e-19)
0.0006       	(1.968844e+01 1.955514e+01 -6.271198e-17)	(-7.529297e-01 1.407989e+01 -6.291856e-17)	(2.044137e+01 5.475246e+00 2.065755e-19)
0.0007       	(1.949913e+01 1.802201e+01 -6.258928e-17)	(-7.497327e-01 1.260914e+01 -6.279597e-17)	(2.024886e+01 5.412871e+00 2.066853e-19)
0.0008       	(1.845425e+01 1.958491e+01 -6.180996e-17)	(-1.607859e+00 1.423275e+01 -6.201582e-17)	(2.006211e+01 5.352158e+00 2.058632e-19)
0.0009       	(-2.586481e+01 1.228283e+02 -2.611653e-17)	(-4.574709e+01 1.175369e+02 -2.632293e-17)	(1.988228e+01 5.291402e+00 2.063979e-19)
0.001        	(-7.400359e+02 1.771867e+03 5.627649e-16)	(-7.597457e+02 1.766675e+03 5.625351e-16)	(1.970979e+01 5.192313e+00 2.298237e-19)
0.0011       	(1.057504e+02 -6.577807e+02 8.793100e-17)	(8.621342e+01 -6.629334e+02 8.770027e-17)	(1.953702e+01 5.152778e+00 2.307291e-19)
0.0012       	(-1.086467e+01 -2.689455e+01 1.419546e-17)	(-3.023176e+01 -3.199662e+01 1.396542e-17)	(1.936710e+01 5.102076e+00 2.300352e-19)
0.0013       	(-1.085030e+02 3.016432e+02 4.602159e-17)	(-1.276973e+02 2.965883e+02 4.579373e-17)	(1.919433e+01 5.054862e+00 2.278579e-19)
0.0014       	(-1.595798e+01 8.141221e+01 -2.765192e-17)	(-3.499730e+01 7.640902e+01 -2.787948e-17)	(1.903932e+01 5.003184e+00 2.275595e-19)
0.0015       	(-6.293461e+00 5.630477e+01 -3.468123e-17)	(-2.518305e+01 5.135220e+01 -3.490828e-17)	(1.888959e+01 4.952572e+00 2.270534e-19)
0.0016       	(-2.916136e+00 4.844167e+01 -3.779003e-17)	(-2.166038e+01 4.353877e+01 -3.801665e-17)	(1.874425e+01 4.902900e+00 2.266246e-19)
0.0017       	(-5.235546e-01 3.345665e+01 -3.567029e-17)	(-1.912653e+01 2.860249e+01 -3.589664e-17)	(1.860298e+01 4.854155e+00 2.263408e-19)
0.0018       	(-7.037078e+01 2.103950e+02 1.428661e-17)	(-8.883359e+01 2.055812e+02 1.406043e-17)	(1.846280e+01 4.813776e+00 2.261865e-19)
0.0019       	(-2.575491e+02 6.576420e+02 1.613461e-16)	(-2.758684e+02 6.528509e+02 1.611191e-16)	(1.831930e+01 4.791136e+00 2.270332e-19)
0.002        	(-2.484539e+01 1.032477e+02 -2.297889e-17)	(-4.303639e+01 9.849651e+01 -2.320465e-17)	(1.819100e+01 4.751216e+00 2.257602e-19)
0.0021       	(2.763977e+00 2.893803e+01 -4.111396e-17)	(-1.530238e+01 2.422787e+01 -4.133747e-17)	(1.806636e+01 4.710161e+00 2.235129e-19)
0.0022       	(-1.297099e+01 7.045014e+01 -3.086338e-17)	(-3.091720e+01 6.578642e+01 -3.108565e-17)	(1.794621e+01 4.663718e+00 2.222776e-19)
0.0023       	(5.310144e+00 2.520758e+00 -3.418500e-17)	(-1.252084e+01 -2.100098e+00 -3.440624e-17)	(1.783099e+01 4.620857e+00 2.212453e-19)
0.0024       	(3.536034e+01 -1.717797e+02 -1.008789e-17)	(1.763973e+01 -1.763551e+02 -1.030848e-17)	(1.772061e+01 4.575440e+00 2.205892e-19)
0.0025       	(2.577156e+01 -1.027488e+02 -2.449310e-17)	(8.158106e+00 -1.072820e+02 -2.471302e-17)	(1.761346e+01 4.533200e+00 2.199148e-19)
0.0026       	(8.698595e+00 6.472240e+00 -4.379017e-17)	(-8.809870e+00 1.976579e+00 -4.400926e-17)	(1.750847e+01 4.495661e+00 2.190849e-19)
0.0027       	(3.519190e+00 -1.801447e+00 -4.451457e-17)	(-1.388362e+01 -6.261721e+00 -4.473233e-17)	(1.740281e+01 4.460274e+00 2.177575e-19)
0.0028       	(2.283885e+02 -1.423441e+03 -1.547869e-16)	(2.111029e+02 -1.427881e+03 -1.550030e-16)	(1.728562e+01 4.440148e+00 2.160644e-19)
0.0029       	(3.181922e+01 -1.651239e+02 -4.341644e-17)	(1.463623e+01 -1.695328e+02 -4.363182e-17)	(1.718299e+01 4.408902e+00 2.153866e-19)
0.003        	(5.918454e+00 6.957568e+00 -4.438264e-17)	(-1.116883e+01 2.581048e+00 -4.459724e-17)	(1.708728e+01 4.376520e+00 2.145991e-19)
0.0031       	(-7.267709e+01 2.513909e+02 -3.157299e-17)	(-8.966900e+01 2.470500e+02 -3.178804e-17)	(1.699191e+01 4.340971e+00 2.150518e-19)
0.0032       	(-2.643843e+02 7.923547e+02 6.776179e-19)	(-2.812824e+02 7.880636e+02 4.584319e-19)	(1.689814e+01 4.291041e+00 2.191860e-19)
0.0033       	(-5.953790e+01 1.732834e+02 -4.298532e-17)	(-7.634584e+01 1.690290e+02 -4.320436e-17)	(1.680793e+01 4.254368e+00 2.190331e-19)
0.0034       	(-6.324156e+02 1.034854e+03 2.651939e-17)	(-6.491380e+02 1.030638e+03 2.629958e-17)	(1.672243e+01 4.216957e+00 2.198051e-19)
0.0035       	(-4.430276e+02 8.569887e+02 -8.060221e-18)	(-4.596647e+02 8.528118e+02 -8.281055e-18)	(1.663711e+01 4.176906e+00 2.208339e-19)
0.0036       	(-1.894547e+01 5.742516e+01 -4.908679e-17)	(-3.549947e+01 5.327964e+01 -4.930738e-17)	(1.655400e+01 4.145518e+00 2.205876e-19)
0.0037       	(1.112000e+01 -2.279386e+01 -5.357820e-17)	(-5.354406e+00 -2.690931e+01 -5.379765e-17)	(1.647440e+01 4.115441e+00 2.194479e-19)
0.0038       	(-7.715487e+01 2.270056e+02 -5.690214e-18)	(-9.355179e+01 2.229153e+02 -5.904925e-18)	(1.639692e+01 4.090363e+00 2.147108e-19)
0.0039       	(-3.389736e+01 1.529443e+02 -4.183208e-17)	(-5.021853e+01 1.488819e+02 -4.204620e-17)	(1.632117e+01 4.062336e+00 2.141180e-19)
0.004        	(-6.283365e-01 2.396467e+01 -5.644977e-17)	(-1.687733e+01 1.993977e+01 -5.666299e-17)	(1.624899e+01 4.024900e+00 2.132197e-19)
0.0041       	(-3.127685e+01 9.802162e+01 -5.177339e-17)	(-4.745554e+01 9.402520e+01 -5.198564e-17)	(1.617870e+01 3.996429e+00 2.122510e-19)
0.0042       	(2.211831e+00 2.108262e+02 -5.669716e-17)	(-1.389849e+01 2.068618e+02 -5.690759e-17)	(1.611033e+01 3.964364e+00 2.104309e-19)
0.0043       	(1.708818e+01 -1.330967e+01 -5.799498e-17)	(1.045273e+00 -1.724757e+01 -5.820489e-17)	(1.604291e+01 3.937904e+00 2.099111e-19)
0.0044       	(2.836453e+01 -6.359011e+01 -5.720203e-17)	(1.238782e+01 -6.750102e+01 -5.741150e-17)	(1.597671e+01 3.910910e+00 2.094728e-19)
0.0045       	(2.624211e+01 1.520387e+02 -5.741781e-17)	(1.032900e+01 1.481575e+02 -5.762556e-17)	(1.591311e+01 3.881200e+00 2.077537e-19)
0.0046       	(1.019769e+02 4.246793e+01 -5.736525e-17)	(8.612912e+01 3.861120e+01 -5.757128e-17)	(1.584782e+01 3.856724e+00 2.060302e-19)
0.0047       	(2.305045e+02 6.955308e+01 -5.823779e-17)	(2.147255e+02 6.572221e+01 -5.844065e-17)	(1.577902e+01 3.830873e+00 2.028620e-19)
0.0048       	(4.159489e+02 -1.106677e+03 -8.804868e-17)	(4.002376e+02 -1.110485e+03 -8.824858e-17)	(1.571137e+01 3.808294e+00 1.998964e-19)
0.0049       	(1.906056e+02 -2.482412e+02 -6.914665e-17)	(1.749583e+02 -2.520211e+02 -6.934425e-17)	(1.564735e+01 3.779855e+00 1.975962e-19)
0.005        	(5.226933e+01 1.186941e+02 -3.869154e-17)	(3.668346e+01 1.149388e+02 -3.888697e-17)	(1.558587e+01 3.755248e+00 1.954344e-19)
