# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(8.925545e+04 -1.236876e+06 8.882698e-16)	(8.923475e+04 -1.236872e+06 8.882793e-16)	(2.069610e+01 -3.919927e+00 -9.514895e-21)
0.0002       	(1.492329e+03 -6.877295e+04 -3.653876e-16)	(1.472135e+03 -6.876918e+04 -3.653768e-16)	(2.019423e+01 -3.772201e+00 -1.088479e-20)
0.0003       	(4.595125e+02 1.292878e+02 -4.937387e-17)	(4.395151e+02 1.330065e+02 -4.936327e-17)	(1.999735e+01 -3.718747e+00 -1.060189e-20)
0.0004       	(3.177216e+02 -4.140702e+02 -2.321778e-17)	(2.980095e+02 -4.104207e+02 -2.320767e-17)	(1.971206e+01 -3.649497e+00 -1.011176e-20)
0.0005       	(3.191591e+02 -7.403295e+02 1.981579e-18)	(2.996213e+02 -7.367421e+02 1.990510e-18)	(1.953783e+01 -3.587467e+00 -8.930801e-21)
0.0006       	(2.543148e+02 -5.867468e+02 -7.369010e-18)	(2.349477e+02 -5.832130e+02 -7.361261e-18)	(1.936716e+01 -3.533860e+00 -7.748769e-21)
0.0007       	(2.514633e+02 -1.394305e+02 -4.820600e-17)	(2.322614e+02 -1.359567e+02 -4.819735e-17)	(1.920189e+01 -3.473757e+00 -8.652857e-21)
0.0008       	(2.026183e+02 -4.055320e+02 -3.607406e-17)	(1.835649e+02 -4.021117e+02 -3.606548e-17)	(1.905339e+01 -3.420344e+00 -8.579928e-21)
0.0009       	(1.730655e+02 -5.722312e+02 -2.969358e-17)	(1.541603e+02 -5.688602e+02 -2.968544e-17)	(1.890515e+01 -3.370991e+00 -8.144118e-21)
0.001        	(1.715747e+02 -5.450472e+02 -4.131900e-17)	(1.528073e+02 -5.417160e+02 -4.131175e-17)	(1.876738e+01 -3.331275e+00 -7.250724e-21)
0.0011       	(1.757260e+02 -4.811927e+02 -3.158798e-17)	(1.571102e+02 -4.779005e+02 -3.158050e-17)	(1.861580e+01 -3.292186e+00 -7.476351e-21)
