# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.656851e+05 -1.809265e+06 -3.267695e-14)	(2.656643e+05 -1.809259e+06 -3.267694e-14)	(2.084198e+01 -6.201867e+00 -1.166052e-20)
0.0002       	(9.356584e+03 -9.642468e+04 -2.204203e-15)	(9.336395e+03 -9.641866e+04 -2.204182e-15)	(2.018970e+01 -6.025361e+00 -2.106531e-20)
0.0003       	(7.926390e+02 -1.738865e+03 -1.738970e-16)	(7.726836e+02 -1.732939e+03 -1.738783e-16)	(1.995540e+01 -5.925995e+00 -1.864916e-20)
0.0004       	(6.263120e+02 -1.611144e+03 -1.444876e-16)	(6.065654e+02 -1.605318e+03 -1.444690e-16)	(1.974664e+01 -5.825378e+00 -1.865178e-20)
0.0005       	(-5.059548e+01 -4.343081e+03 -1.983621e-17)	(-7.013987e+01 -4.337379e+03 -1.981940e-17)	(1.954439e+01 -5.701585e+00 -1.681244e-20)
0.0006       	(-1.722826e+03 -9.068581e+03 2.194908e-16)	(-1.742185e+03 -9.063059e+03 2.194895e-16)	(1.935932e+01 -5.522305e+00 1.290635e-21)
0.0007       	(2.024470e+02 -2.001010e+03 -1.014724e-16)	(1.832737e+02 -1.995582e+03 -1.014746e-16)	(1.917324e+01 -5.427497e+00 2.142144e-21)
0.0008       	(5.638494e+01 -2.201440e+03 -8.134295e-17)	(3.739312e+01 -2.196099e+03 -8.134549e-17)	(1.899182e+01 -5.340580e+00 2.547920e-21)
0.0009       	(-2.455894e+03 -1.140434e+04 5.182959e-18)	(-2.474668e+03 -1.139908e+04 5.179726e-18)	(1.877442e+01 -5.255932e+00 3.232589e-21)
0.001        	(-5.110997e+02 -3.998418e+03 -9.400390e-17)	(-5.297040e+02 -3.993246e+03 -9.400551e-17)	(1.860432e+01 -5.172193e+00 1.612784e-21)
0.0011       	(2.819135e+02 -9.104734e+02 -7.290337e-17)	(2.634706e+02 -9.053800e+02 -7.290434e-17)	(1.844295e+01 -5.093449e+00 9.729227e-22)
0.0012       	(2.238867e+02 -1.017095e+03 -7.207229e-17)	(2.055995e+02 -1.012078e+03 -7.207245e-17)	(1.828725e+01 -5.017053e+00 1.588822e-22)
0.0013       	(-9.674962e+01 -2.227098e+03 -9.159527e-17)	(-1.148834e+02 -2.222153e+03 -9.159534e-17)	(1.813374e+01 -4.945201e+00 7.337656e-23)
0.0014       	(-6.666884e+00 -2.975237e+03 -1.303500e-16)	(-2.465635e+01 -2.970365e+03 -1.303502e-16)	(1.798947e+01 -4.872088e+00 2.102130e-22)
0.0015       	(-5.590084e+02 -3.805850e+03 -8.824194e-17)	(-5.768526e+02 -3.801045e+03 -8.824361e-17)	(1.784413e+01 -4.805037e+00 1.665647e-21)
0.0016       	(3.601653e+01 -1.592814e+03 -7.535969e-17)	(1.831628e+01 -1.588073e+03 -7.536335e-17)	(1.770025e+01 -4.741069e+00 3.652214e-21)
0.0017       	(-1.000047e+02 -2.133269e+03 -5.942095e-17)	(-1.175616e+02 -2.128590e+03 -5.942501e-17)	(1.755694e+01 -4.678375e+00 4.059736e-21)
0.0018       	(-8.026618e+02 -4.776885e+03 -6.243858e-17)	(-8.200718e+02 -4.772269e+03 -6.244294e-17)	(1.741002e+01 -4.616641e+00 4.362959e-21)
0.0019       	(-1.202316e+03 -5.664730e+03 -1.031181e-16)	(-1.219589e+03 -5.660183e+03 -1.031195e-16)	(1.727242e+01 -4.546370e+00 1.390914e-21)
0.002        	(2.782298e+02 -1.673471e+03 -1.327531e-16)	(2.610804e+02 -1.668986e+03 -1.327529e-16)	(1.714937e+01 -4.485751e+00 -1.590839e-22)
0.0021       	(1.280514e+02 -4.199657e+02 -5.839466e-17)	(1.110156e+02 -4.155642e+02 -5.839449e-17)	(1.703584e+01 -4.401467e+00 -1.733270e-22)
0.0022       	(-1.416084e+03 -7.095257e+03 -7.791983e-17)	(-1.432998e+03 -7.090919e+03 -7.792212e-17)	(1.691387e+01 -4.337657e+00 2.290907e-21)
