# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(8.208648e+04 1.782753e+06 -1.281626e-14)	(8.206600e+04 1.782748e+06 -1.281634e-14)	(2.048020e+01 5.674857e+00 8.772850e-20)
0.0002       	(3.804344e+03 1.246015e+05 -4.383243e-16)	(3.784560e+03 1.245962e+05 -4.384159e-16)	(1.978411e+01 5.357489e+00 9.161566e-20)
0.0003       	(1.289265e+02 -1.228828e+04 6.573712e-17)	(1.093655e+02 -1.229353e+04 6.564131e-17)	(1.956100e+01 5.251915e+00 9.580370e-20)
0.0004       	(1.511796e+02 3.261545e+02 -3.597178e-17)	(1.325893e+02 3.211388e+02 -3.606894e-17)	(1.859036e+01 5.015700e+00 9.715753e-20)
0.0005       	(3.046152e+02 1.669799e+02 -3.597262e-17)	(2.861997e+02 1.620272e+02 -3.607056e-17)	(1.841557e+01 4.952701e+00 9.793707e-20)
0.0006       	(2.008528e+02 -6.398473e+01 -3.597427e-17)	(1.826055e+02 -6.888108e+01 -3.607210e-17)	(1.824732e+01 4.896343e+00 9.783252e-20)
0.0007       	(4.666448e+02 -1.486570e+03 -3.598154e-17)	(4.485685e+02 -1.491453e+03 -3.607352e-17)	(1.807632e+01 4.882569e+00 9.197986e-20)
0.0008       	(1.324963e+02 4.016572e+01 -3.598307e-17)	(1.145794e+02 3.533977e+01 -3.607502e-17)	(1.791689e+01 4.825951e+00 9.195169e-20)
0.0009       	(2.680817e+02 -6.765101e+02 -3.598952e-17)	(2.503150e+02 -6.812569e+02 -3.607830e-17)	(1.776677e+01 4.746860e+00 8.878632e-20)
0.001        	(8.777773e+01 2.220099e+02 -3.599047e-17)	(7.015806e+01 2.173154e+02 -3.607969e-17)	(1.761967e+01 4.694512e+00 8.921903e-20)
0.0011       	(8.158626e+01 1.610556e+02 -3.599166e-17)	(6.410947e+01 1.564112e+02 -3.608090e-17)	(1.747678e+01 4.644387e+00 8.923220e-20)
0.0012       	(1.145090e+02 4.944146e-01 -3.599287e-17)	(9.716555e+01 -4.093382e+00 -3.608247e-17)	(1.734348e+01 4.587796e+00 8.959910e-20)
0.0013       	(2.871823e+02 -7.180790e+02 -3.599449e-17)	(2.699772e+02 -7.226291e+02 -3.608385e-17)	(1.720515e+01 4.550095e+00 8.936108e-20)
0.0014       	(1.340080e+02 -8.580991e+01 -3.599589e-17)	(1.169369e+02 -9.031729e+01 -3.608501e-17)	(1.707111e+01 4.507378e+00 8.911650e-20)
0.0015       	(3.108010e+01 4.461289e+02 -3.599712e-17)	(1.414020e+01 4.416675e+02 -3.608608e-17)	(1.693990e+01 4.461454e+00 8.895885e-20)
0.0016       	(-2.444746e+02 3.396167e+03 -3.599951e-17)	(-2.612497e+02 3.391760e+03 -3.608779e-17)	(1.677516e+01 4.406463e+00 8.828376e-20)
0.0017       	(3.439127e+01 6.771376e+02 -3.600165e-17)	(1.774097e+01 6.727799e+02 -3.608923e-17)	(1.665029e+01 4.357723e+00 8.757443e-20)
0.0018       	(6.652373e+01 5.457222e+01 -3.600324e-17)	(4.999037e+01 5.025680e+01 -3.609029e-17)	(1.653336e+01 4.315416e+00 8.705109e-20)
0.0019       	(5.686580e+01 7.178114e+01 -3.600487e-17)	(4.044612e+01 6.750627e+01 -3.609132e-17)	(1.641967e+01 4.274871e+00 8.645146e-20)
0.002        	(5.037622e+01 8.623821e+01 -3.600676e-17)	(3.406773e+01 8.200308e+01 -3.609248e-17)	(1.630849e+01 4.235126e+00 8.571722e-20)
0.0021       	(2.971321e+01 2.595403e+02 -3.600935e-17)	(1.351504e+01 2.553460e+02 -3.609412e-17)	(1.619817e+01 4.194256e+00 8.476411e-20)
0.0022       	(-1.017109e+01 6.164602e+02 -3.601235e-17)	(-2.625834e+01 6.123059e+02 -3.609619e-17)	(1.608725e+01 4.154288e+00 8.383586e-20)
0.0023       	(8.721343e+00 4.422421e+02 -3.601556e-17)	(-7.258544e+00 4.381261e+02 -3.609854e-17)	(1.597989e+01 4.116064e+00 8.298065e-20)
0.0024       	(3.305145e+01 2.165626e+02 -3.601969e-17)	(1.717650e+01 2.124843e+02 -3.610182e-17)	(1.587495e+01 4.078234e+00 8.213281e-20)
0.0025       	(2.245456e+01 3.062152e+02 -3.602629e-17)	(6.682702e+00 3.021742e+02 -3.610759e-17)	(1.577186e+01 4.041030e+00 8.129368e-20)
0.0026       	(2.396590e+01 3.308564e+02 -3.604380e-17)	(8.293931e+00 3.268540e+02 -3.612395e-17)	(1.567197e+01 4.002397e+00 8.014684e-20)
0.0027       	(6.600973e+01 2.513302e+01 -3.617885e-17)	(5.042643e+01 2.117933e+01 -3.625453e-17)	(1.558330e+01 3.953689e+00 7.568032e-20)
0.0028       	(5.180176e+01 5.719768e+01 -4.131777e-17)	(3.631228e+01 5.327898e+01 -4.139260e-17)	(1.548948e+01 3.918706e+00 7.482337e-20)
0.0029       	(3.066267e+02 -1.815973e+03 -1.482744e-16)	(2.912404e+02 -1.819869e+03 -1.483535e-16)	(1.538632e+01 3.895661e+00 7.917632e-20)
0.003        	(7.045286e+01 -5.910401e+01 -4.589531e-17)	(5.515839e+01 -6.296578e+01 -4.597404e-17)	(1.529447e+01 3.861772e+00 7.872827e-20)
0.0031       	(2.878579e+02 -1.012915e+03 -5.644116e-17)	(2.726531e+02 -1.016741e+03 -5.651904e-17)	(1.520487e+01 3.826545e+00 7.787768e-20)
0.0032       	(9.835781e+01 -9.239691e+01 -4.710087e-17)	(8.323799e+01 -9.618952e+01 -4.717787e-17)	(1.511982e+01 3.792617e+00 7.700359e-20)
0.0033       	(-1.244576e+01 6.032778e+02 -5.715567e-17)	(-2.748309e+01 5.995208e+02 -5.723166e-17)	(1.503733e+01 3.756992e+00 7.599790e-20)
0.0034       	(2.152209e+01 2.992663e+02 -4.466767e-17)	(6.566675e+00 2.955409e+02 -4.474291e-17)	(1.495542e+01 3.725387e+00 7.523524e-20)
0.0035       	(3.583391e+01 1.420698e+02 -3.793720e-17)	(2.095904e+01 1.383738e+02 -3.801144e-17)	(1.487487e+01 3.695986e+00 7.424637e-20)
0.0036       	(3.359821e+01 1.478679e+02 -3.687185e-17)	(1.880255e+01 1.442006e+02 -3.694508e-17)	(1.479566e+01 3.667363e+00 7.322660e-20)
0.0037       	(-2.775704e+00 3.438473e+02 -3.780284e-17)	(-1.749168e+01 3.402083e+02 -3.787505e-17)	(1.471598e+01 3.638972e+00 7.220467e-20)
0.0038       	(-2.000593e+01 5.006239e+02 -3.861914e-17)	(-3.464338e+01 4.970129e+02 -3.869027e-17)	(1.463745e+01 3.610964e+00 7.112783e-20)
0.0039       	(3.253435e+00 3.359319e+02 -3.915730e-17)	(-1.130874e+01 3.323489e+02 -3.922744e-17)	(1.456218e+01 3.582985e+00 7.013349e-20)
0.004        	(4.410201e+01 5.692162e+01 -3.848743e-17)	(2.961246e+01 5.336626e+01 -3.855656e-17)	(1.448956e+01 3.555357e+00 6.913838e-20)
