# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.006171e+05 1.589000e+06 -1.609556e-14)	(1.005965e+05 1.588995e+06 -1.609567e-14)	(2.062357e+01 4.677889e+00 1.094674e-19)
0.0002       	(4.734976e+03 9.907041e+04 -1.020575e-15)	(4.714863e+03 9.906593e+04 -1.020688e-15)	(2.011372e+01 4.474576e+00 1.123183e-19)
0.0003       	(-4.215648e+02 -6.914299e+03 4.534358e-17)	(-4.414713e+02 -6.918691e+03 4.523466e-17)	(1.990651e+01 4.392195e+00 1.089250e-19)
0.0004       	(-1.263022e+01 5.900717e+02 -6.233789e-18)	(-3.180366e+01 5.858239e+02 -6.340061e-18)	(1.917344e+01 4.247833e+00 1.062727e-19)
0.0005       	(1.291631e+02 2.190876e+02 -6.001744e-18)	(1.101563e+02 2.148933e+02 -6.104552e-18)	(1.900674e+01 4.194256e+00 1.028088e-19)
0.0006       	(7.545204e+01 2.149088e+02 -6.604599e-18)	(5.661034e+01 2.107634e+02 -6.706273e-18)	(1.884170e+01 4.145366e+00 1.016741e-19)
0.0007       	(-3.689576e+02 3.669012e+03 -2.128417e-17)	(-3.876049e+02 3.664925e+03 -2.138003e-17)	(1.864727e+01 4.087720e+00 9.585408e-20)
0.0008       	(-3.821187e+01 8.536134e+02 -5.133903e-18)	(-5.670726e+01 8.495791e+02 -5.227829e-18)	(1.849539e+01 4.034241e+00 9.392604e-20)
0.0009       	(1.506661e+02 -4.578932e+02 -6.564694e-18)	(1.323191e+02 -4.618881e+02 -6.658388e-18)	(1.834694e+01 3.994861e+00 9.369430e-20)
0.001        	(9.172041e+01 -1.344366e+02 -6.760971e-18)	(7.353614e+01 -1.383841e+02 -6.854186e-18)	(1.818427e+01 3.947516e+00 9.321476e-20)
0.0011       	(1.557729e+02 -5.344045e+02 -6.756158e-18)	(1.377239e+02 -5.382991e+02 -6.846263e-18)	(1.804899e+01 3.894643e+00 9.010553e-20)
0.0012       	(1.063141e+02 -2.635097e+02 -6.740684e-18)	(8.839623e+01 -2.673587e+02 -6.828387e-18)	(1.791790e+01 3.848988e+00 8.770357e-20)
0.0013       	(6.527302e+01 -2.595667e+01 -6.688278e-18)	(4.748468e+01 -2.976648e+01 -6.776042e-18)	(1.778834e+01 3.809805e+00 8.776417e-20)
0.0014       	(1.549691e+02 -4.863605e+02 -6.203078e-18)	(1.373090e+02 -4.901375e+02 -6.290915e-18)	(1.766016e+01 3.777084e+00 8.783642e-20)
0.0015       	(1.283120e+02 -4.383380e+02 2.782342e-17)	(1.107771e+02 -4.420805e+02 2.773348e-17)	(1.753490e+01 3.742444e+00 8.993679e-20)
0.0016       	(1.170699e+02 -4.475910e+02 6.750504e-17)	(9.966210e+01 -4.513079e+02 6.741015e-17)	(1.740784e+01 3.716840e+00 9.489169e-20)
0.0017       	(1.218516e+02 -5.072858e+02 7.479590e-17)	(1.045607e+02 -5.109495e+02 7.470011e-17)	(1.729089e+01 3.663749e+00 9.579387e-20)
0.0018       	(6.146392e+01 -5.893265e+01 -3.505207e-18)	(4.428703e+01 -6.256136e+01 -3.601079e-18)	(1.717689e+01 3.628710e+00 9.587225e-20)
0.0019       	(7.046752e+01 -1.238531e+02 1.108982e-18)	(5.340248e+01 -1.274471e+02 1.013178e-18)	(1.706503e+01 3.593930e+00 9.580363e-20)
0.002        	(3.263685e+02 -1.699156e+03 5.109188e-17)	(3.094164e+02 -1.702720e+03 5.099413e-17)	(1.695213e+01 3.564608e+00 9.774119e-20)
0.0021       	(1.021703e+02 -2.908508e+02 8.257646e-18)	(8.532845e+01 -2.943807e+02 8.158685e-18)	(1.684185e+01 3.529859e+00 9.896060e-20)
0.0022       	(3.961268e+01 5.265947e+01 -7.405991e-18)	(2.287344e+01 4.916187e+01 -7.505221e-18)	(1.673924e+01 3.497599e+00 9.922968e-20)
0.0023       	(5.641910e+01 5.964455e+01 -6.766930e-18)	(3.978905e+01 5.617983e+01 -6.866237e-18)	(1.663005e+01 3.464722e+00 9.930722e-20)
0.0024       	(1.246459e+02 2.774852e+02 -6.768076e-18)	(1.081200e+02 2.740568e+02 -6.866124e-18)	(1.652585e+01 3.428373e+00 9.804813e-20)
0.0025       	(1.472633e+02 -5.337153e+00 -6.769390e-18)	(1.308373e+02 -8.735325e+00 -6.865976e-18)	(1.642609e+01 3.398172e+00 9.658594e-20)
0.0026       	(6.440127e+01 8.345700e+01 -6.769396e-18)	(4.806947e+01 8.008936e+01 -6.865714e-18)	(1.633180e+01 3.367636e+00 9.631790e-20)
0.0027       	(5.416032e+01 7.115378e+01 -6.769139e-18)	(3.792008e+01 6.781517e+01 -6.865434e-18)	(1.624024e+01 3.338609e+00 9.629436e-20)
0.0028       	(5.002994e+01 7.701591e+01 -6.768734e-18)	(3.388022e+01 7.370542e+01 -6.865072e-18)	(1.614971e+01 3.310493e+00 9.633764e-20)
0.0029       	(4.383398e+01 1.111038e+02 -6.768027e-18)	(2.777354e+01 1.078211e+02 -6.864540e-18)	(1.606045e+01 3.282788e+00 9.651262e-20)
0.003        	(4.426289e+01 9.328847e+01 -6.767137e-18)	(2.828849e+01 9.003188e+01 -6.863755e-18)	(1.597440e+01 3.256588e+00 9.661773e-20)
0.0031       	(2.654606e+01 2.213613e+02 -6.765496e-18)	(1.065688e+01 2.181261e+02 -6.862946e-18)	(1.588918e+01 3.235155e+00 9.744985e-20)
0.0032       	(2.817361e+01 1.955129e+02 -6.762483e-18)	(1.236707e+01 1.922991e+02 -6.860648e-18)	(1.580653e+01 3.213804e+00 9.816557e-20)
0.0033       	(4.238595e+01 7.049615e+01 -6.755428e-18)	(2.665838e+01 6.730588e+01 -6.853748e-18)	(1.572757e+01 3.190272e+00 9.831956e-20)
0.0034       	(8.853855e+01 -3.235632e+02 -6.728941e-18)	(7.288889e+01 -3.267326e+02 -6.827051e-18)	(1.564966e+01 3.169407e+00 9.811058e-20)
0.0035       	(9.005554e+01 -3.464253e+02 -6.500362e-18)	(7.448074e+01 -3.495687e+02 -6.597479e-18)	(1.557480e+01 3.143443e+00 9.711683e-20)
0.0036       	(2.831436e+01 9.279055e+01 -8.408930e-19)	(1.281217e+01 8.967234e+01 -9.381049e-19)	(1.550219e+01 3.118210e+00 9.721191e-20)
0.0037       	(2.224052e+01 1.732995e+02 4.251812e-19)	(6.811749e+00 1.702056e+02 3.277470e-19)	(1.542877e+01 3.093881e+00 9.743426e-20)
0.0038       	(2.187935e+01 2.002695e+02 -6.284437e-18)	(6.523295e+00 1.971966e+02 -6.382542e-18)	(1.535606e+01 3.072821e+00 9.810493e-20)
0.0039       	(3.377546e+01 1.087725e+02 -6.440960e-18)	(1.848823e+01 1.057216e+02 -6.539469e-18)	(1.528723e+01 3.050914e+00 9.850894e-20)
0.004        	(5.348154e+01 -1.184132e+01 -6.484721e-18)	(3.826147e+01 -1.487156e+01 -6.582541e-18)	(1.522007e+01 3.030238e+00 9.782025e-20)
0.0041       	(5.133685e+01 -1.263411e+01 -6.500247e-18)	(3.618182e+01 -1.564318e+01 -6.597045e-18)	(1.515503e+01 3.009066e+00 9.679755e-20)
0.0042       	(4.165186e+01 4.709874e+01 -6.503109e-18)	(2.655977e+01 4.411459e+01 -6.600006e-18)	(1.509209e+01 2.984154e+00 9.689749e-20)
0.0043       	(4.168321e+01 5.585795e+01 -6.493598e-18)	(2.665298e+01 5.289331e+01 -6.590168e-18)	(1.503023e+01 2.964636e+00 9.656959e-20)
0.0044       	(7.426326e+01 1.301719e+02 -6.414315e-18)	(5.929860e+01 1.272258e+02 -6.510655e-18)	(1.496466e+01 2.946093e+00 9.633950e-20)
