# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(1.858518e+05 1.313007e+06 4.035860e-14)	(1.858304e+05 1.313003e+06 4.035846e-14)	(2.143292e+01 4.235804e+00 1.457631e-19)
0.0002       	(1.340639e+04 9.752440e+04 2.342022e-15)	(1.338552e+04 9.752031e+04 2.341885e-15)	(2.087799e+01 4.082112e+00 1.362810e-19)
0.0003       	(-1.116049e+03 -1.100334e+04 -2.021802e-16)	(-1.136693e+03 -1.100735e+04 -2.023132e-16)	(2.064375e+01 4.011180e+00 1.330112e-19)
0.0004       	(2.151186e+01 6.454667e+02 3.979959e-17)	(1.957996e+00 6.416545e+02 3.966964e-17)	(1.955387e+01 3.812239e+00 1.299533e-19)
0.0005       	(1.921617e+01 2.281332e+02 3.464670e-17)	(-1.664389e-01 2.243653e+02 3.451883e-17)	(1.938261e+01 3.767885e+00 1.278708e-19)
0.0006       	(1.940174e+01 9.200363e+01 3.251815e-17)	(1.850960e-01 8.827836e+01 3.239225e-17)	(1.921664e+01 3.725270e+00 1.258984e-19)
0.0007       	(2.436040e+01 9.008358e+01 3.214109e-17)	(5.305198e+00 8.639857e+01 3.201691e-17)	(1.905520e+01 3.685004e+00 1.241721e-19)
0.0008       	(1.659132e+02 -8.971758e+02 3.221331e-17)	(1.470182e+02 -9.008410e+02 3.209090e-17)	(1.889500e+01 3.665192e+00 1.224122e-19)
0.0009       	(5.806721e+01 1.333608e+02 3.224133e-17)	(3.932774e+01 1.297329e+02 3.212101e-17)	(1.873947e+01 3.627866e+00 1.203205e-19)
0.001        	(4.736153e+01 5.757450e+01 3.264943e-17)	(2.876818e+01 5.398792e+01 3.253120e-17)	(1.859335e+01 3.586577e+00 1.182345e-19)
0.0011       	(6.108226e+01 -1.535935e+02 3.288949e-17)	(4.262922e+01 -1.571356e+02 3.277303e-17)	(1.845305e+01 3.542100e+00 1.164529e-19)
0.0012       	(2.440361e+01 8.674243e+01 3.265124e-17)	(6.086583e+00 8.323566e+01 3.253648e-17)	(1.831702e+01 3.506770e+00 1.147616e-19)
0.0013       	(2.467530e+01 1.718148e+02 3.247729e-17)	(6.490453e+00 1.683430e+02 3.236450e-17)	(1.818485e+01 3.471883e+00 1.127983e-19)
0.0014       	(4.940227e+01 6.836119e+02 3.219236e-17)	(3.135668e+01 6.801725e+02 3.208215e-17)	(1.804559e+01 3.439307e+00 1.102087e-19)
0.0015       	(4.214487e+01 5.461462e+02 3.230034e-17)	(2.423170e+01 5.427390e+02 3.219241e-17)	(1.791317e+01 3.407185e+00 1.079313e-19)
0.0016       	(3.158892e+01 2.537616e+02 3.243085e-17)	(1.380073e+01 2.503866e+02 3.232458e-17)	(1.778819e+01 3.375000e+00 1.062774e-19)
0.0017       	(2.565776e+01 1.065618e+02 3.249353e-17)	(7.990035e+00 1.032186e+02 3.238868e-17)	(1.766772e+01 3.343238e+00 1.048544e-19)
0.0018       	(2.061863e+01 7.930648e+01 3.251151e-17)	(3.067677e+00 7.599361e+01 3.240799e-17)	(1.755095e+01 3.312861e+00 1.035236e-19)
0.0019       	(2.212269e+01 7.450726e+01 3.250865e-17)	(4.685853e+00 7.122416e+01 3.240641e-17)	(1.743684e+01 3.283103e+00 1.022365e-19)
